No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
540,20221230,NASI,101.0,0.0,107.0,101.0,101.0,7984400.0,0.0,824839600.0,1370.0,102.0,204600.0,101.0,131100.0,52400.0,25900.0
540,20230102,NASI,101.0,0.0,104.0,98.0,101.0,3963500.0,0.0,402192500.0,673.0,101.0,300600.0,100.0,249300.0,16900.0,31000.0
540,20230103,NASI,101.0,0.0,103.0,99.0,100.0,3341600.0,-1.0,335785300.0,493.0,101.0,37800.0,100.0,189100.0,15500.0,19800.0
540,20230104,NASI,100.0,0.0,102.0,98.0,100.0,2891000.0,0.0,289942900.0,479.0,100.0,218600.0,99.0,22400.0,30900.0,0.0
540,20230105,NASI,100.0,0.0,102.0,93.0,93.0,6186100.0,-7.0,588703400.0,1097.0,94.0,2100.0,93.0,421800.0,13400.0,56500.0
543,20230106,NASI,93.0,0.0,95.0,91.0,94.0,2000100.0,1.0,184470800.0,487.0,94.0,50700.0,93.0,86500.0,16600.0,0.0
544,20230109,NASI,94.0,0.0,97.0,89.0,91.0,6864200.0,-3.0,632836000.0,1313.0,92.0,41600.0,90.0,124000.0,0.0,0.0
544,20230110,NASI,91.0,0.0,92.0,85.0,85.0,5880300.0,-6.0,507587200.0,784.0,86.0,54000.0,85.0,194500.0,0.0,0.0
545,20230111,NASI,85.0,0.0,87.0,80.0,80.0,4862500.0,-5.0,392459600.0,660.0,80.0,163600.0,0.0,0.0,39900.0,0.0
545,20230112,NASI,80.0,0.0,85.0,78.0,81.0,2775900.0,1.0,225332600.0,584.0,82.0,62500.0,81.0,122700.0,0.0,0.0
545,20230113,NASI,81.0,0.0,82.0,80.0,81.0,1673700.0,0.0,134536100.0,250.0,82.0,83200.0,81.0,229900.0,0.0,0.0
545,20230116,NASI,81.0,0.0,83.0,80.0,81.0,1769000.0,0.0,144034800.0,255.0,82.0,59400.0,81.0,95100.0,0.0,0.0
545,20230117,NASI,81.0,0.0,84.0,79.0,82.0,1004200.0,1.0,82858200.0,279.0,84.0,163800.0,82.0,83600.0,0.0,0.0
545,20230118,NASI,82.0,0.0,84.0,78.0,83.0,590100.0,1.0,48713700.0,171.0,83.0,1100.0,82.0,81600.0,0.0,0.0
545,20230119,NASI,83.0,0.0,90.0,82.0,88.0,6700500.0,5.0,583397800.0,890.0,89.0,382900.0,88.0,71600.0,100.0,100100.0
545,20230120,NASI,88.0,0.0,93.0,87.0,89.0,4679700.0,1.0,419863900.0,663.0,90.0,164700.0,89.0,14600.0,100100.0,4600.0
545,20230124,NASI,89.0,0.0,91.0,87.0,89.0,1850200.0,0.0,163291500.0,292.0,90.0,254000.0,89.0,167400.0,0.0,0.0
545,20230125,NASI,89.0,0.0,91.0,87.0,90.0,2084900.0,1.0,184907700.0,321.0,90.0,166700.0,88.0,7900.0,0.0,0.0
545,20230126,NASI,90.0,0.0,91.0,87.0,90.0,1331000.0,0.0,119301300.0,218.0,90.0,51900.0,89.0,321600.0,0.0,5500.0
546,20230127,NASI,90.0,0.0,93.0,88.0,90.0,1667700.0,0.0,151770000.0,314.0,91.0,113000.0,90.0,28200.0,0.0,0.0
546,20230130,NASI,90.0,0.0,92.0,88.0,90.0,788300.0,0.0,71223900.0,205.0,91.0,64900.0,90.0,107600.0,0.0,0.0
546,20230131,NASI,90.0,0.0,92.0,85.0,90.0,1500000.0,0.0,135090800.0,228.0,90.0,292000.0,89.0,96500.0,0.0,0.0
547,20230201,NASI,90.0,0.0,92.0,85.0,89.0,1194400.0,-1.0,107706400.0,213.0,89.0,77000.0,88.0,781300.0,5500.0,0.0
