No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
560,20230412,NCKL,1250.0,0.0,1410.0,1205.0,1305.0,658210300.0,55.0,846035099000.0,39589.0,1305.0,367100.0,1300.0,28727800.0,240694600.0,223539800.0
560,20230413,NCKL,1305.0,0.0,1355.0,1305.0,1345.0,209967600.0,40.0,281702824500.0,15117.0,1345.0,4559800.0,1340.0,11009900.0,114917600.0,106025000.0
560,20230414,NCKL,1345.0,0.0,1380.0,1345.0,1375.0,191316400.0,30.0,261382356500.0,9891.0,1375.0,773800.0,1370.0,4244200.0,133023900.0,122235600.0
560,20230417,NCKL,1375.0,0.0,1405.0,1365.0,1400.0,110359700.0,25.0,153867545000.0,11678.0,1400.0,1586300.0,1395.0,5965900.0,51188800.0,50899200.0
563,20230418,NCKL,1400.0,0.0,1470.0,1385.0,1445.0,219861600.0,45.0,317586213000.0,13220.0,1450.0,1530200.0,1445.0,1707300.0,136125200.0,148799500.0
563,20230426,NCKL,1445.0,0.0,1470.0,1345.0,1345.0,261585500.0,-100.0,354386604500.0,13666.0,1345.0,486400.0,0.0,0.0,133481300.0,83671800.0
563,20230427,NCKL,1345.0,0.0,1395.0,1265.0,1365.0,94496800.0,20.0,126628260500.0,10685.0,1370.0,57900.0,1365.0,377000.0,39090600.0,12655800.0
563,20230428,NCKL,1365.0,0.0,1415.0,1370.0,1405.0,89338700.0,40.0,125153406000.0,14306.0,1405.0,1870800.0,1400.0,740200.0,51597900.0,37146900.0
563,20230502,NCKL,1405.0,0.0,1435.0,1395.0,1405.0,135858700.0,0.0,192673844000.0,23037.0,1405.0,135000.0,1400.0,3191400.0,76521700.0,111508800.0
563,20230503,NCKL,1405.0,0.0,1420.0,1310.0,1335.0,114870400.0,-70.0,154440750000.0,25172.0,1340.0,3800.0,1335.0,33600.0,72736600.0,70145700.0
563,20230504,NCKL,1335.0,0.0,1370.0,1325.0,1365.0,74287600.0,30.0,101024398500.0,27052.0,1365.0,123100.0,1360.0,171400.0,55355900.0,60434600.0
563,20230505,NCKL,1365.0,0.0,1375.0,1270.0,1270.0,82042100.0,-95.0,105079026500.0,7603.0,1270.0,6575400.0,0.0,0.0,42434400.0,8691400.0
565,20230508,NCKL,1270.0,0.0,1355.0,1250.0,1350.0,176198300.0,80.0,232141537000.0,10759.0,1355.0,1240300.0,1350.0,1387400.0,110980400.0,134226500.0
566,20230509,NCKL,1350.0,0.0,1350.0,1260.0,1260.0,100508700.0,-90.0,128377303500.0,8788.0,1265.0,249400.0,1260.0,688300.0,58757400.0,16839100.0
566,20230510,NCKL,1260.0,0.0,1280.0,1175.0,1200.0,97596500.0,-60.0,116851958000.0,11197.0,1200.0,481700.0,1195.0,58100.0,27496200.0,29278900.0
566,20230511,NCKL,1200.0,0.0,1200.0,1120.0,1125.0,93354400.0,-75.0,105188882500.0,6727.0,1125.0,19471000.0,1120.0,2390300.0,48681800.0,25520700.0
566,20230512,NCKL,1125.0,0.0,1200.0,1050.0,1050.0,49940900.0,-75.0,52855795000.0,3566.0,1050.0,19604500.0,0.0,0.0,23096000.0,7648100.0
566,20230515,NCKL,1050.0,0.0,1060.0,990.0,1040.0,79327100.0,-10.0,80935027000.0,7522.0,1045.0,64800.0,1040.0,5510500.0,30270200.0,12957000.0
566,20230516,NCKL,1040.0,0.0,1060.0,980.0,1010.0,66525500.0,-30.0,66892941000.0,5338.0,1015.0,41000.0,1010.0,492900.0,23897600.0,12716900.0
566,20230517,NCKL,1010.0,0.0,1110.0,980.0,1075.0,89593200.0,65.0,95633079000.0,12612.0,1080.0,224200.0,1075.0,707200.0,16945700.0,16285200.0
566,20230519,NCKL,1075.0,0.0,1105.0,1000.0,1000.0,63189700.0,-75.0,65811744000.0,8244.0,1005.0,24800.0,1000.0,2174300.0,20272300.0,3107200.0
566,20230522,NCKL,1000.0,0.0,1020.0,930.0,930.0,84463100.0,-70.0,79273192500.0,6277.0,930.0,3902800.0,0.0,0.0,26025800.0,9453000.0
566,20230523,NCKL,930.0,0.0,980.0,880.0,945.0,104072000.0,15.0,97476198000.0,6571.0,945.0,6891700.0,940.0,465500.0,22734600.0,16120600.0
566,20230524,NCKL,945.0,0.0,950.0,880.0,880.0,61834500.0,-65.0,56429516500.0,4519.0,890.0,36500.0,880.0,361800.0,27325100.0,8827000.0
