No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
545,20221230,NICK,176.0,0.0,181.0,176.0,177.0,17000.0,1.0,3025100.0,28.0,178.0,7000.0,177.0,11600.0,0.0,0.0
545,20230102,NICK,177.0,0.0,180.0,177.0,180.0,18300.0,3.0,3239700.0,11.0,180.0,11400.0,177.0,3000.0,0.0,0.0
545,20230103,NICK,180.0,0.0,181.0,173.0,181.0,29500.0,1.0,5287400.0,30.0,181.0,2300.0,178.0,100.0,0.0,0.0
545,20230104,NICK,181.0,0.0,180.0,178.0,179.0,31400.0,-2.0,5614200.0,17.0,179.0,5500.0,178.0,600.0,0.0,0.0
545,20230105,NICK,179.0,0.0,180.0,175.0,179.0,36900.0,0.0,6545400.0,26.0,178.0,16900.0,176.0,20400.0,0.0,0.0
548,20230106,NICK,179.0,0.0,179.0,167.0,167.0,456900.0,-12.0,77251300.0,95.0,168.0,170000.0,167.0,10400.0,0.0,0.0
549,20230109,NICK,167.0,0.0,167.0,157.0,157.0,52400.0,-10.0,8593600.0,35.0,166.0,120600.0,157.0,9800.0,0.0,0.0
549,20230110,NICK,157.0,0.0,161.0,156.0,157.0,122100.0,0.0,19133900.0,38.0,158.0,17500.0,157.0,115500.0,0.0,0.0
550,20230111,NICK,157.0,0.0,157.0,149.0,149.0,185500.0,-8.0,28506600.0,49.0,152.0,13900.0,151.0,10000.0,0.0,0.0
550,20230112,NICK,149.0,0.0,160.0,147.0,155.0,9200.0,6.0,1424300.0,24.0,156.0,500.0,153.0,900.0,0.0,0.0
550,20230113,NICK,155.0,0.0,175.0,149.0,169.0,66800.0,14.0,10966900.0,99.0,169.0,500.0,156.0,500.0,0.0,0.0
550,20230116,NICK,169.0,0.0,169.0,158.0,158.0,41100.0,-11.0,6572400.0,58.0,167.0,1400.0,158.0,313800.0,0.0,0.0
550,20230117,NICK,158.0,0.0,162.0,151.0,160.0,41500.0,2.0,6494100.0,63.0,160.0,2200.0,154.0,4000.0,0.0,0.0
550,20230118,NICK,160.0,0.0,162.0,152.0,161.0,191200.0,1.0,30200500.0,54.0,162.0,5000.0,156.0,1300.0,0.0,0.0
550,20230119,NICK,161.0,0.0,177.0,153.0,168.0,232500.0,7.0,36675800.0,81.0,168.0,5300.0,157.0,100.0,0.0,0.0
550,20230120,NICK,168.0,0.0,168.0,162.0,164.0,19500.0,-4.0,3218200.0,30.0,164.0,700.0,161.0,64100.0,0.0,0.0
550,20230124,NICK,164.0,0.0,174.0,158.0,169.0,12100.0,5.0,2014300.0,29.0,170.0,2800.0,161.0,100.0,0.0,0.0
550,20230125,NICK,169.0,0.0,169.0,158.0,161.0,55200.0,-8.0,8803200.0,42.0,163.0,600.0,160.0,1400.0,0.0,0.0
550,20230126,NICK,161.0,0.0,163.0,155.0,158.0,519500.0,-3.0,81695600.0,308.0,160.0,3200.0,158.0,45000.0,0.0,0.0
551,20230127,NICK,158.0,0.0,183.0,158.0,169.0,195600.0,11.0,32022500.0,105.0,169.0,10000.0,166.0,200.0,0.0,0.0
551,20230130,NICK,169.0,0.0,179.0,164.0,170.0,13100.0,1.0,2249600.0,42.0,170.0,100.0,166.0,200.0,0.0,0.0
551,20230131,NICK,170.0,0.0,190.0,170.0,180.0,188700.0,10.0,34466800.0,171.0,184.0,9900.0,180.0,116400.0,0.0,0.0
552,20230201,NICK,180.0,0.0,234.0,183.0,218.0,2295100.0,38.0,499499000.0,1182.0,220.0,100.0,218.0,42600.0,0.0,0.0
552,20230202,NICK,218.0,0.0,222.0,204.0,204.0,331300.0,-14.0,69675200.0,235.0,204.0,32800.0,0.0,0.0,0.0,0.0
552,20230203,NICK,204.0,0.0,208.0,190.0,192.0,124000.0,-12.0,24384100.0,145.0,198.0,1000.0,192.0,42800.0,0.0,0.0
553,20230206,NICK,192.0,0.0,216.0,193.0,202.0,328300.0,10.0,66255400.0,262.0,204.0,1000.0,200.0,500.0,0.0,0.0
554,20230207,NICK,202.0,0.0,208.0,197.0,200.0,68500.0,-2.0,13737900.0,89.0,202.0,12000.0,200.0,4200.0,0.0,0.0
556,20230208,NICK,200.0,0.0,202.0,193.0,198.0,42900.0,-2.0,8374900.0,66.0,197.0,600.0,194.0,1100.0,0.0,0.0
556,20230209,NICK,198.0,0.0,198.0,185.0,185.0,191100.0,-13.0,35719300.0,111.0,185.0,109500.0,0.0,0.0,0.0,0.0
556,20230210,NICK,185.0,0.0,185.0,173.0,175.0,145400.0,-10.0,25455300.0,106.0,175.0,45400.0,174.0,500.0,0.0,0.0
556,20230213,NICK,175.0,0.0,189.0,173.0,178.0,641600.0,3.0,112496100.0,76.0,180.0,10000.0,178.0,561400.0,0.0,5000.0
556,20230214,NICK,178.0,0.0,180.0,175.0,175.0,91700.0,-3.0,16160900.0,41.0,177.0,100.0,175.0,4300.0,0.0,0.0
556,20230215,NICK,175.0,0.0,179.0,173.0,174.0,105300.0,-1.0,18487600.0,141.0,178.0,100.0,174.0,12200.0,5000.0,0.0
557,20230216,NICK,174.0,0.0,189.0,174.0,179.0,171800.0,5.0,31123700.0,138.0,180.0,900.0,179.0,3600.0,0.0,0.0
557,20230217,NICK,179.0,0.0,199.0,177.0,181.0,243100.0,2.0,44973800.0,208.0,181.0,10400.0,177.0,9500.0,0.0,0.0
557,20230220,NICK,181.0,0.0,195.0,181.0,184.0,205100.0,3.0,38638900.0,201.0,188.0,6000.0,184.0,1900.0,0.0,100.0
557,20230221,NICK,184.0,0.0,192.0,176.0,184.0,56700.0,0.0,10444400.0,95.0,184.0,3500.0,177.0,6700.0,0.0,0.0
557,20230222,NICK,184.0,0.0,184.0,175.0,180.0,122200.0,-4.0,22032400.0,59.0,181.0,1600.0,180.0,89500.0,0.0,0.0
557,20230223,NICK,180.0,0.0,185.0,175.0,184.0,122700.0,4.0,22535800.0,40.0,184.0,83200.0,179.0,500.0,0.0,0.0
557,20230224,NICK,184.0,0.0,184.0,177.0,181.0,203100.0,-3.0,36516100.0,120.0,183.0,1100.0,181.0,400.0,0.0,0.0
558,20230227,NICK,181.0,0.0,184.0,177.0,182.0,27000.0,1.0,4895800.0,216.0,183.0,7800.0,182.0,299900.0,0.0,0.0
558,20230228,NICK,182.0,0.0,189.0,180.0,187.0,27200.0,5.0,5010000.0,34.0,186.0,2400.0,181.0,500.0,0.0,0.0
559,20230301,NICK,187.0,0.0,200.0,176.0,181.0,149000.0,-6.0,27014100.0,115.0,182.0,400.0,181.0,93100.0,0.0,0.0
559,20230302,NICK,181.0,0.0,185.0,177.0,185.0,41200.0,4.0,7389400.0,54.0,185.0,15000.0,178.0,1100.0,0.0,0.0
