No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
548,20221230,NINE,50.0,0.0,54.0,47.0,49.0,19703900.0,-1.0,1005768000.0,1853.0,49.0,22400.0,48.0,723600.0,21100.0,0.0
548,20230102,NINE,49.0,0.0,50.0,46.0,48.0,7841700.0,-1.0,375153500.0,743.0,49.0,230000.0,48.0,464300.0,0.0,0.0
548,20230103,NINE,48.0,0.0,49.0,47.0,47.0,4052500.0,-1.0,192073600.0,516.0,48.0,640000.0,47.0,798300.0,0.0,0.0
548,20230104,NINE,47.0,0.0,48.0,46.0,46.0,3233500.0,-1.0,150524100.0,462.0,47.0,340100.0,46.0,802900.0,0.0,0.0
548,20230105,NINE,46.0,0.0,46.0,43.0,44.0,5170800.0,-2.0,229839000.0,671.0,45.0,412700.0,44.0,375400.0,0.0,0.0
551,20230106,NINE,44.0,0.0,45.0,40.0,42.0,4874300.0,-2.0,204247100.0,681.0,43.0,31800.0,42.0,82200.0,0.0,0.0
552,20230109,NINE,42.0,0.0,44.0,39.0,41.0,6623000.0,-1.0,269877000.0,700.0,43.0,367700.0,41.0,212200.0,0.0,0.0
552,20230110,NINE,41.0,0.0,43.0,40.0,41.0,4655800.0,0.0,191082400.0,553.0,41.0,182000.0,40.0,352000.0,0.0,0.0
553,20230111,NINE,41.0,0.0,45.0,40.0,45.0,8713200.0,4.0,384528700.0,730.0,0.0,0.0,45.0,1970600.0,0.0,0.0
553,20230112,NINE,45.0,0.0,49.0,43.0,49.0,28206200.0,4.0,1354077400.0,1639.0,49.0,678900.0,48.0,1254600.0,0.0,0.0
553,20230113,NINE,49.0,0.0,52.0,47.0,49.0,17964300.0,0.0,887987400.0,1405.0,49.0,210200.0,48.0,2455500.0,24200.0,60000.0
553,20230116,NINE,49.0,0.0,52.0,46.0,50.0,7916100.0,1.0,395424300.0,732.0,51.0,680600.0,50.0,7900.0,0.0,7000.0
553,20230117,NINE,50.0,0.0,51.0,49.0,49.0,2566100.0,-1.0,127759200.0,368.0,50.0,705400.0,49.0,666600.0,0.0,0.0
553,20230118,NINE,49.0,0.0,49.0,47.0,47.0,5386800.0,-2.0,257208900.0,437.0,48.0,148300.0,47.0,332600.0,0.0,0.0
553,20230119,NINE,47.0,0.0,48.0,46.0,46.0,2251800.0,-1.0,105191800.0,279.0,47.0,168000.0,46.0,349900.0,0.0,1000.0
553,20230120,NINE,46.0,0.0,49.0,45.0,46.0,3339000.0,0.0,156525200.0,306.0,47.0,4900.0,46.0,677900.0,0.0,0.0
553,20230124,NINE,46.0,0.0,47.0,45.0,45.0,2759400.0,-1.0,125816700.0,421.0,45.0,1900.0,44.0,216200.0,0.0,0.0
553,20230125,NINE,45.0,0.0,49.0,43.0,49.0,6350700.0,4.0,301406800.0,548.0,49.0,278400.0,48.0,430700.0,0.0,0.0
553,20230126,NINE,49.0,0.0,50.0,47.0,48.0,2735400.0,-1.0,131956600.0,393.0,48.0,32800.0,47.0,1050700.0,0.0,20000.0
554,20230127,NINE,48.0,0.0,49.0,46.0,46.0,2972500.0,-2.0,139343000.0,356.0,47.0,173900.0,46.0,686000.0,0.0,0.0
554,20230130,NINE,46.0,0.0,48.0,45.0,47.0,3229700.0,1.0,150137300.0,245.0,47.0,459000.0,46.0,625800.0,0.0,0.0
554,20230131,NINE,47.0,0.0,48.0,45.0,47.0,2408900.0,0.0,110687000.0,254.0,47.0,615100.0,46.0,222000.0,0.0,0.0
555,20230201,NINE,47.0,0.0,47.0,45.0,46.0,1638100.0,-1.0,75453000.0,199.0,47.0,757500.0,46.0,1522800.0,0.0,0.0
