No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
551,20221230,NISP,740.0,0.0,755.0,735.0,745.0,6286500.0,5.0,4697300500.0,630.0,745.0,278900.0,740.0,453600.0,718000.0,110800.0
551,20230102,NISP,745.0,0.0,750.0,740.0,740.0,4189600.0,-5.0,3121116500.0,217.0,745.0,971200.0,740.0,442200.0,900.0,4300.0
551,20230103,NISP,740.0,0.0,750.0,740.0,745.0,2732800.0,5.0,2038368500.0,230.0,745.0,63900.0,740.0,1301200.0,4300.0,370900.0
551,20230104,NISP,745.0,0.0,755.0,745.0,745.0,3396400.0,0.0,2545071500.0,285.0,745.0,105600.0,740.0,645500.0,360200.0,714900.0
551,20230105,NISP,745.0,0.0,755.0,720.0,720.0,17526800.0,-25.0,12820992000.0,1000.0,725.0,403500.0,720.0,42600.0,307000.0,255900.0
554,20230106,NISP,720.0,0.0,735.0,720.0,730.0,1870200.0,10.0,1361656500.0,535.0,735.0,464400.0,730.0,84400.0,281500.0,153000.0
555,20230109,NISP,730.0,0.0,750.0,730.0,740.0,5613500.0,10.0,4168133000.0,431.0,740.0,405600.0,735.0,12400.0,232300.0,5400.0
555,20230110,NISP,740.0,0.0,740.0,720.0,730.0,3314700.0,-10.0,2411522500.0,344.0,735.0,471400.0,730.0,900.0,539400.0,2300.0
556,20230111,NISP,730.0,0.0,735.0,720.0,725.0,4201600.0,-5.0,3056418500.0,469.0,730.0,50000.0,725.0,302700.0,1091700.0,5600.0
556,20230112,NISP,725.0,0.0,745.0,725.0,740.0,5143700.0,15.0,3786198500.0,382.0,745.0,1064200.0,740.0,6700.0,243200.0,311200.0
556,20230113,NISP,740.0,0.0,745.0,735.0,745.0,1066000.0,5.0,789830000.0,254.0,745.0,803700.0,740.0,13500.0,78500.0,842700.0
556,20230116,NISP,745.0,0.0,750.0,740.0,745.0,4204300.0,0.0,3144074500.0,351.0,745.0,210500.0,740.0,1044600.0,220800.0,58000.0
556,20230117,NISP,745.0,0.0,750.0,740.0,740.0,1444200.0,-5.0,1072177500.0,402.0,745.0,1497900.0,740.0,30600.0,70200.0,2100.0
556,20230118,NISP,740.0,0.0,745.0,740.0,745.0,723200.0,5.0,536887000.0,168.0,745.0,1725500.0,740.0,96200.0,54300.0,51800.0
556,20230119,NISP,745.0,0.0,745.0,735.0,745.0,2429300.0,0.0,1798903500.0,252.0,745.0,153700.0,740.0,160900.0,37400.0,260600.0
556,20230120,NISP,745.0,0.0,750.0,745.0,745.0,6519900.0,0.0,4885573500.0,270.0,750.0,2124100.0,745.0,329900.0,192400.0,232200.0
