No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
552,20221230,NOBU,555.0,0.0,560.0,540.0,550.0,47800.0,-5.0,26050000.0,37.0,550.0,43400.0,540.0,48200.0,3800.0,0.0
552,20230102,NOBU,550.0,0.0,560.0,540.0,540.0,272000.0,-10.0,150310000.0,88.0,545.0,6800.0,540.0,85400.0,0.0,1000.0
552,20230103,NOBU,540.0,0.0,555.0,535.0,545.0,123800.0,5.0,67220500.0,60.0,545.0,18700.0,540.0,9000.0,0.0,5300.0
552,20230104,NOBU,545.0,0.0,550.0,545.0,550.0,262900.0,5.0,143450500.0,47.0,550.0,1479300.0,545.0,400.0,2300.0,201000.0
552,20230105,NOBU,550.0,0.0,560.0,535.0,545.0,1592900.0,-5.0,868080000.0,75.0,545.0,6400.0,540.0,15300.0,0.0,0.0
555,20230106,NOBU,545.0,0.0,555.0,540.0,545.0,311100.0,0.0,170777500.0,50.0,545.0,1302900.0,540.0,37800.0,0.0,2800.0
556,20230109,NOBU,545.0,0.0,560.0,515.0,515.0,327600.0,-30.0,173185000.0,82.0,515.0,5800.0,510.0,58500.0,0.0,8700.0
556,20230110,NOBU,515.0,0.0,550.0,480.0,500.0,1375600.0,-15.0,679554700.0,231.0,500.0,82900.0,494.0,3800.0,0.0,384900.0
557,20230111,NOBU,500.0,0.0,525.0,486.0,488.0,287200.0,-12.0,140433000.0,79.0,492.0,2400.0,488.0,2646500.0,0.0,3000.0
557,20230112,NOBU,488.0,0.0,520.0,492.0,520.0,1187600.0,32.0,595490000.0,100.0,520.0,129900.0,505.0,10800.0,0.0,435100.0
557,20230113,NOBU,520.0,0.0,525.0,500.0,500.0,506700.0,-20.0,257376500.0,51.0,500.0,19900.0,496.0,3700.0,0.0,5000.0
557,20230116,NOBU,500.0,0.0,540.0,498.0,500.0,306500.0,0.0,153418500.0,38.0,505.0,4400.0,500.0,360400.0,0.0,281300.0
557,20230117,NOBU,500.0,0.0,520.0,500.0,500.0,678300.0,0.0,342932500.0,49.0,515.0,23100.0,500.0,63800.0,0.0,500000.0
557,20230118,NOBU,500.0,0.0,550.0,500.0,500.0,605500.0,0.0,306417000.0,44.0,505.0,61800.0,500.0,27400.0,0.0,500400.0
557,20230119,NOBU,500.0,0.0,515.0,500.0,500.0,217300.0,0.0,108781000.0,44.0,505.0,49800.0,500.0,188100.0,0.0,113000.0
557,20230120,NOBU,500.0,0.0,515.0,500.0,505.0,122200.0,5.0,61561000.0,35.0,505.0,70200.0,500.0,628200.0,0.0,600.0
557,20230124,NOBU,505.0,0.0,520.0,500.0,510.0,94400.0,5.0,47881000.0,37.0,510.0,33600.0,500.0,23200.0,200.0,0.0
