No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
555,20221230,NTBK,50.0,0.0,50.0,50.0,50.0,3900.0,0.0,195000.0,6.0,50.0,11103900.0,0.0,0.0,0.0,0.0
555,20230102,NTBK,50.0,0.0,50.0,50.0,50.0,1086200.0,0.0,54310000.0,24.0,50.0,9353900.0,0.0,0.0,0.0,0.0
555,20230103,NTBK,50.0,0.0,50.0,50.0,50.0,9400.0,0.0,470000.0,12.0,50.0,9106800.0,0.0,0.0,0.0,0.0
555,20230104,NTBK,50.0,0.0,50.0,50.0,50.0,1500.0,0.0,75000.0,9.0,50.0,10341600.0,0.0,0.0,0.0,0.0
555,20230105,NTBK,50.0,0.0,50.0,50.0,50.0,5100.0,0.0,255000.0,11.0,50.0,13495000.0,0.0,0.0,0.0,0.0
558,20230106,NTBK,50.0,0.0,50.0,50.0,50.0,48700.0,0.0,2435000.0,8.0,50.0,12400600.0,0.0,0.0,0.0,0.0
559,20230109,NTBK,50.0,0.0,50.0,50.0,50.0,3000.0,0.0,150000.0,6.0,50.0,10245200.0,0.0,0.0,0.0,0.0
559,20230110,NTBK,50.0,0.0,50.0,50.0,50.0,5600.0,0.0,280000.0,7.0,50.0,9775800.0,0.0,0.0,0.0,0.0
560,20230111,NTBK,50.0,0.0,50.0,50.0,50.0,256300.0,0.0,12815000.0,24.0,50.0,7547800.0,0.0,0.0,0.0,0.0
560,20230112,NTBK,50.0,0.0,50.0,50.0,50.0,15800.0,0.0,790000.0,15.0,50.0,9956500.0,0.0,0.0,0.0,0.0
560,20230113,NTBK,50.0,0.0,50.0,50.0,50.0,60500.0,0.0,3025000.0,10.0,50.0,10108800.0,0.0,0.0,0.0,0.0
560,20230116,NTBK,50.0,0.0,50.0,50.0,50.0,78500.0,0.0,3925000.0,14.0,50.0,10998800.0,0.0,0.0,0.0,0.0
560,20230117,NTBK,50.0,0.0,50.0,50.0,50.0,59000.0,0.0,2950000.0,10.0,50.0,12903200.0,0.0,0.0,0.0,0.0
560,20230118,NTBK,50.0,0.0,50.0,50.0,50.0,4700.0,0.0,235000.0,17.0,50.0,10086700.0,0.0,0.0,0.0,0.0
560,20230119,NTBK,50.0,0.0,50.0,50.0,50.0,1700.0,0.0,85000.0,17.0,50.0,10934500.0,0.0,0.0,0.0,0.0
560,20230120,NTBK,50.0,0.0,50.0,50.0,50.0,61700.0,0.0,3085000.0,8.0,50.0,11936000.0,0.0,0.0,0.0,0.0
560,20230124,NTBK,50.0,0.0,50.0,50.0,50.0,2900.0,0.0,145000.0,10.0,50.0,14096900.0,0.0,0.0,0.0,0.0
560,20230125,NTBK,50.0,0.0,50.0,50.0,50.0,24300.0,0.0,1215000.0,6.0,50.0,20073700.0,0.0,0.0,0.0,0.0
560,20230126,NTBK,50.0,0.0,50.0,50.0,50.0,51100.0,0.0,2555000.0,10.0,50.0,12481700.0,0.0,0.0,0.0,0.0
561,20230127,NTBK,50.0,0.0,50.0,50.0,50.0,55400.0,0.0,2770000.0,9.0,50.0,10704400.0,0.0,0.0,0.0,0.0
561,20230130,NTBK,50.0,0.0,50.0,50.0,50.0,6600.0,0.0,330000.0,13.0,50.0,12456500.0,0.0,0.0,0.0,0.0
561,20230131,NTBK,50.0,0.0,50.0,50.0,50.0,2400.0,0.0,120000.0,13.0,50.0,13848600.0,0.0,0.0,0.0,0.0
562,20230201,NTBK,50.0,0.0,50.0,50.0,50.0,116700.0,0.0,5835000.0,10.0,50.0,13384300.0,0.0,0.0,0.0,0.0
562,20230202,NTBK,50.0,0.0,50.0,50.0,50.0,106600.0,0.0,5330000.0,8.0,50.0,13149200.0,0.0,0.0,0.0,0.0
562,20230203,NTBK,50.0,0.0,50.0,50.0,50.0,2200.0,0.0,110000.0,7.0,50.0,18939200.0,0.0,0.0,0.0,0.0
563,20230206,NTBK,50.0,0.0,50.0,50.0,50.0,12600.0,0.0,630000.0,9.0,50.0,13104200.0,0.0,0.0,0.0,0.0
564,20230207,NTBK,50.0,0.0,50.0,50.0,50.0,50400.0,0.0,2520000.0,6.0,50.0,14492100.0,0.0,0.0,0.0,0.0
566,20230208,NTBK,50.0,0.0,50.0,50.0,50.0,102300.0,0.0,5115000.0,9.0,50.0,13789800.0,0.0,0.0,0.0,0.0
566,20230209,NTBK,50.0,0.0,50.0,50.0,50.0,97100.0,0.0,4855000.0,10.0,50.0,12085800.0,0.0,0.0,0.0,0.0
566,20230210,NTBK,50.0,0.0,50.0,50.0,50.0,2200.0,0.0,110000.0,9.0,50.0,12409600.0,0.0,0.0,0.0,0.0
566,20230213,NTBK,50.0,0.0,50.0,50.0,50.0,20400.0,0.0,1020000.0,8.0,50.0,13630500.0,0.0,0.0,0.0,0.0
566,20230214,NTBK,50.0,0.0,50.0,50.0,50.0,52900.0,0.0,2645000.0,9.0,50.0,10852200.0,0.0,0.0,0.0,0.0
566,20230215,NTBK,50.0,0.0,50.0,50.0,50.0,14700.0,0.0,735000.0,11.0,50.0,9755200.0,0.0,0.0,0.0,0.0
567,20230216,NTBK,50.0,0.0,50.0,50.0,50.0,5600.0,0.0,280000.0,5.0,50.0,11081300.0,0.0,0.0,0.0,0.0
567,20230217,NTBK,50.0,0.0,50.0,50.0,50.0,161700.0,0.0,8085000.0,13.0,50.0,12987300.0,0.0,0.0,0.0,100.0
567,20230220,NTBK,50.0,0.0,50.0,50.0,50.0,26600.0,0.0,1330000.0,11.0,50.0,14494800.0,0.0,0.0,0.0,0.0
567,20230221,NTBK,50.0,0.0,50.0,50.0,50.0,3300.0,0.0,165000.0,10.0,50.0,14166900.0,0.0,0.0,0.0,0.0
567,20230222,NTBK,50.0,0.0,50.0,50.0,50.0,1000.0,0.0,50000.0,6.0,50.0,14063500.0,0.0,0.0,0.0,0.0
567,20230223,NTBK,50.0,0.0,50.0,50.0,50.0,12500.0,0.0,625000.0,9.0,50.0,13044200.0,0.0,0.0,0.0,0.0
567,20230224,NTBK,50.0,0.0,50.0,50.0,50.0,400.0,0.0,20000.0,3.0,50.0,11962300.0,0.0,0.0,0.0,0.0
568,20230227,NTBK,50.0,0.0,50.0,50.0,50.0,125700.0,0.0,6285000.0,15.0,50.0,13502400.0,0.0,0.0,0.0,0.0
568,20230228,NTBK,50.0,0.0,50.0,50.0,50.0,4600.0,0.0,230000.0,8.0,50.0,15973000.0,0.0,0.0,0.0,0.0
569,20230301,NTBK,50.0,0.0,50.0,50.0,50.0,1700.0,0.0,85000.0,4.0,50.0,13639200.0,0.0,0.0,0.0,0.0
569,20230302,NTBK,50.0,0.0,50.0,50.0,50.0,50400.0,0.0,2520000.0,5.0,50.0,20975000.0,0.0,0.0,0.0,0.0
570,20230303,NTBK,50.0,0.0,50.0,50.0,50.0,4900.0,0.0,245000.0,5.0,50.0,19315300.0,0.0,0.0,0.0,0.0
570,20230306,NTBK,50.0,0.0,50.0,50.0,50.0,3600.0,0.0,180000.0,8.0,50.0,17045600.0,0.0,0.0,0.0,0.0
570,20230307,NTBK,50.0,0.0,50.0,50.0,50.0,11100.0,0.0,555000.0,8.0,50.0,14475300.0,0.0,0.0,0.0,0.0
571,20230308,NTBK,50.0,0.0,50.0,50.0,50.0,60400.0,0.0,3020000.0,10.0,50.0,14604800.0,0.0,0.0,0.0,0.0
571,20230309,NTBK,50.0,0.0,50.0,50.0,50.0,57100.0,0.0,2855000.0,16.0,50.0,13263400.0,0.0,0.0,0.0,0.0
572,20230310,NTBK,50.0,0.0,50.0,50.0,50.0,2600.0,0.0,130000.0,3.0,50.0,13673900.0,0.0,0.0,0.0,0.0
572,20230313,NTBK,50.0,0.0,50.0,50.0,50.0,600.0,0.0,30000.0,5.0,50.0,187115700.0,0.0,0.0,0.0,0.0
572,20230314,NTBK,50.0,0.0,52.0,50.0,51.0,83924800.0,1.0,4204856400.0,3921.0,51.0,2821100.0,50.0,3600.0,41500.0,0.0
572,20230315,NTBK,51.0,0.0,51.0,50.0,50.0,5645700.0,-1.0,282872100.0,866.0,50.0,6464400.0,0.0,0.0,0.0,0.0
572,20230316,NTBK,50.0,0.0,50.0,50.0,50.0,3132400.0,0.0,156620000.0,754.0,50.0,15725500.0,0.0,0.0,0.0,0.0
572,20230317,NTBK,50.0,0.0,50.0,50.0,50.0,6489500.0,0.0,324475000.0,378.0,50.0,15787800.0,0.0,0.0,0.0,0.0
572,20230320,NTBK,50.0,0.0,50.0,50.0,50.0,4599400.0,0.0,229970000.0,768.0,50.0,16461400.0,0.0,0.0,0.0,0.0
572,20230321,NTBK,50.0,0.0,50.0,50.0,50.0,10973700.0,0.0,548685000.0,858.0,50.0,21151900.0,0.0,0.0,0.0,0.0
572,20230324,NTBK,50.0,0.0,50.0,50.0,50.0,1094100.0,0.0,54705000.0,33.0,50.0,26106300.0,0.0,0.0,0.0,2000.0
572,20230327,NTBK,50.0,0.0,50.0,50.0,50.0,4837800.0,0.0,241890000.0,191.0,50.0,31846800.0,0.0,0.0,0.0,0.0
572,20230328,NTBK,50.0,0.0,50.0,50.0,50.0,6967000.0,0.0,348350000.0,372.0,50.0,29823500.0,0.0,0.0,0.0,0.0
572,20230329,NTBK,50.0,0.0,50.0,50.0,50.0,1341900.0,0.0,67095000.0,122.0,50.0,53108600.0,0.0,0.0,0.0,0.0
573,20230330,NTBK,50.0,0.0,50.0,50.0,50.0,8109700.0,0.0,405485000.0,1276.0,50.0,34723800.0,0.0,0.0,0.0,0.0
573,20230331,NTBK,50.0,0.0,50.0,50.0,50.0,7480200.0,0.0,374010000.0,491.0,50.0,34259800.0,0.0,0.0,0.0,0.0
573,20230403,NTBK,50.0,0.0,50.0,50.0,50.0,7265400.0,0.0,363270000.0,336.0,50.0,30606000.0,0.0,0.0,0.0,0.0
573,20230404,NTBK,50.0,0.0,50.0,50.0,50.0,9464300.0,0.0,473215000.0,567.0,50.0,29956900.0,0.0,0.0,0.0,0.0
