No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
566,20221230,OPMS,90.0,0.0,91.0,88.0,88.0,1466800.0,-2.0,129609800.0,154.0,88.0,1500.0,87.0,141800.0,0.0,0.0
566,20230102,OPMS,88.0,0.0,91.0,87.0,90.0,1923200.0,2.0,172143600.0,208.0,90.0,187700.0,89.0,363900.0,0.0,0.0
566,20230103,OPMS,90.0,0.0,93.0,86.0,90.0,1601900.0,0.0,141239700.0,196.0,90.0,363900.0,89.0,128300.0,0.0,0.0
566,20230104,OPMS,90.0,0.0,92.0,88.0,88.0,1470800.0,-2.0,131635600.0,212.0,90.0,142800.0,88.0,27000.0,0.0,565600.0
566,20230105,OPMS,88.0,0.0,89.0,85.0,85.0,1159500.0,-3.0,99778400.0,187.0,85.0,57000.0,84.0,125500.0,0.0,0.0
569,20230106,OPMS,85.0,0.0,89.0,82.0,84.0,1325400.0,-1.0,110842300.0,202.0,85.0,52800.0,84.0,101400.0,0.0,0.0
570,20230109,OPMS,84.0,0.0,86.0,82.0,84.0,1232600.0,0.0,102026700.0,237.0,84.0,186700.0,83.0,149900.0,0.0,270000.0
570,20230110,OPMS,84.0,0.0,85.0,81.0,82.0,1360000.0,-2.0,111308200.0,183.0,83.0,79700.0,82.0,12000.0,0.0,0.0
571,20230111,OPMS,82.0,0.0,83.0,80.0,80.0,714400.0,-2.0,57799100.0,141.0,81.0,100000.0,80.0,200.0,0.0,0.0
571,20230112,OPMS,80.0,0.0,87.0,79.0,82.0,3679000.0,2.0,306399600.0,2114.0,83.0,11100.0,82.0,2352400.0,0.0,0.0
571,20230113,OPMS,82.0,0.0,87.0,82.0,83.0,727700.0,1.0,60300900.0,148.0,84.0,52400.0,83.0,7809300.0,35000.0,0.0
571,20230116,OPMS,83.0,0.0,86.0,83.0,86.0,700200.0,3.0,59166200.0,170.0,86.0,240200.0,85.0,94100.0,0.0,0.0
571,20230117,OPMS,86.0,0.0,87.0,83.0,84.0,765100.0,-2.0,64522900.0,144.0,85.0,132100.0,84.0,1300.0,0.0,0.0
571,20230118,OPMS,84.0,0.0,87.0,83.0,85.0,1561200.0,1.0,132518800.0,263.0,85.0,231300.0,84.0,10000.0,0.0,0.0
571,20230119,OPMS,85.0,0.0,90.0,84.0,85.0,614800.0,0.0,52088100.0,120.0,85.0,184500.0,84.0,186400.0,0.0,0.0
571,20230120,OPMS,85.0,0.0,89.0,84.0,85.0,580400.0,0.0,49199100.0,111.0,85.0,302600.0,84.0,401200.0,0.0,0.0
571,20230124,OPMS,85.0,0.0,89.0,82.0,83.0,1256800.0,-2.0,104666300.0,137.0,85.0,105700.0,83.0,138600.0,0.0,0.0
571,20230125,OPMS,83.0,0.0,89.0,83.0,83.0,3174600.0,0.0,269791400.0,580.0,84.0,65000.0,83.0,308200.0,0.0,0.0
571,20230126,OPMS,83.0,0.0,88.0,82.0,84.0,2784400.0,1.0,232187600.0,1095.0,84.0,111300.0,83.0,544000.0,0.0,0.0
572,20230127,OPMS,84.0,0.0,89.0,83.0,83.0,834900.0,-1.0,69864100.0,701.0,85.0,88700.0,83.0,3947000.0,0.0,0.0
572,20230130,OPMS,83.0,0.0,90.0,81.0,83.0,1949500.0,0.0,161349500.0,225.0,84.0,144900.0,83.0,500000.0,0.0,36000.0
572,20230131,OPMS,83.0,0.0,88.0,82.0,85.0,13103600.0,2.0,1121494000.0,16630.0,86.0,249000.0,85.0,3537600.0,0.0,500000.0
573,20230201,OPMS,85.0,0.0,90.0,84.0,85.0,1213500.0,0.0,102433600.0,249.0,85.0,400200.0,84.0,98600.0,0.0,0.0
573,20230202,OPMS,85.0,0.0,94.0,83.0,85.0,24092000.0,0.0,2113685300.0,1592.0,85.0,97700.0,84.0,453400.0,0.0,0.0
573,20230203,OPMS,85.0,0.0,89.0,83.0,84.0,4517000.0,-1.0,378409900.0,281.0,84.0,101100.0,83.0,249200.0,0.0,0.0
574,20230206,OPMS,84.0,0.0,85.0,82.0,84.0,952600.0,0.0,79436100.0,163.0,84.0,52300.0,82.0,222200.0,0.0,0.0
575,20230207,OPMS,84.0,0.0,85.0,82.0,83.0,1101400.0,-1.0,91250900.0,142.0,84.0,297800.0,83.0,192100.0,0.0,0.0
577,20230208,OPMS,83.0,0.0,86.0,81.0,83.0,1056000.0,0.0,86978500.0,149.0,83.0,147900.0,82.0,70500.0,0.0,0.0
577,20230209,OPMS,83.0,0.0,87.0,81.0,83.0,850700.0,0.0,69653600.0,176.0,83.0,304900.0,82.0,36000.0,0.0,0.0
577,20230210,OPMS,83.0,0.0,88.0,80.0,82.0,1019600.0,-1.0,82640400.0,157.0,82.0,120100.0,81.0,361900.0,0.0,0.0
577,20230213,OPMS,82.0,0.0,84.0,78.0,81.0,1415400.0,-1.0,112791500.0,212.0,81.0,62400.0,80.0,24500.0,0.0,0.0
577,20230214,OPMS,81.0,0.0,84.0,77.0,80.0,872000.0,-1.0,69564500.0,173.0,81.0,12000.0,80.0,1768000.0,0.0,20000.0
577,20230215,OPMS,80.0,0.0,84.0,79.0,81.0,2887100.0,1.0,233524000.0,1191.0,81.0,114700.0,80.0,331300.0,0.0,20000.0
578,20230216,OPMS,81.0,0.0,85.0,77.0,78.0,9126400.0,-3.0,713637800.0,406.0,78.0,20000.0,77.0,1170700.0,0.0,0.0
578,20230217,OPMS,78.0,0.0,81.0,77.0,78.0,11474500.0,0.0,907786900.0,4522.0,79.0,529600.0,78.0,33200.0,0.0,150000.0
578,20230220,OPMS,78.0,0.0,79.0,76.0,76.0,2597000.0,-2.0,199219900.0,779.0,77.0,45500.0,76.0,37300.0,0.0,100.0
578,20230221,OPMS,76.0,0.0,79.0,74.0,76.0,873800.0,0.0,66037400.0,163.0,76.0,2700.0,75.0,158600.0,0.0,0.0
578,20230222,OPMS,76.0,0.0,79.0,71.0,73.0,5569500.0,-3.0,403050500.0,410.0,73.0,259200.0,72.0,243700.0,0.0,0.0
578,20230223,OPMS,73.0,0.0,75.0,70.0,73.0,1157000.0,0.0,84269500.0,768.0,73.0,161200.0,72.0,109100.0,0.0,100.0
578,20230224,OPMS,73.0,0.0,76.0,69.0,72.0,1222000.0,-1.0,86474600.0,200.0,72.0,21300.0,70.0,156900.0,0.0,0.0
579,20230227,OPMS,72.0,0.0,76.0,70.0,72.0,323400.0,0.0,22958000.0,120.0,72.0,61700.0,71.0,140000.0,0.0,0.0
579,20230228,OPMS,72.0,0.0,73.0,69.0,71.0,634300.0,-1.0,44487700.0,135.0,71.0,144600.0,70.0,121000.0,0.0,0.0
580,20230301,OPMS,71.0,0.0,75.0,69.0,71.0,749200.0,0.0,52774600.0,119.0,71.0,109100.0,70.0,129700.0,0.0,0.0
580,20230302,OPMS,71.0,0.0,74.0,68.0,71.0,1054700.0,0.0,73857600.0,164.0,71.0,59900.0,70.0,100.0,0.0,0.0
581,20230303,OPMS,71.0,0.0,74.0,69.0,70.0,679600.0,-1.0,47477000.0,107.0,70.0,86900.0,69.0,181200.0,0.0,0.0
581,20230306,OPMS,70.0,0.0,70.0,69.0,70.0,394600.0,0.0,27386900.0,101.0,71.0,41200.0,70.0,375000.0,0.0,0.0
581,20230307,OPMS,70.0,0.0,75.0,69.0,70.0,347500.0,0.0,24200500.0,88.0,70.0,212000.0,69.0,85100.0,0.0,0.0
582,20230308,OPMS,70.0,0.0,73.0,68.0,70.0,1443600.0,0.0,102032000.0,282.0,70.0,78700.0,69.0,138200.0,0.0,0.0
582,20230309,OPMS,70.0,0.0,74.0,69.0,70.0,285100.0,0.0,19830600.0,79.0,70.0,38700.0,69.0,145400.0,0.0,0.0
583,20230310,OPMS,70.0,0.0,74.0,68.0,70.0,588500.0,0.0,41059000.0,126.0,70.0,65700.0,68.0,141600.0,0.0,0.0
583,20230313,OPMS,70.0,0.0,70.0,66.0,68.0,1099500.0,-2.0,74204100.0,169.0,68.0,161900.0,67.0,180400.0,100000.0,0.0
583,20230314,OPMS,68.0,0.0,72.0,64.0,64.0,2136400.0,-4.0,138980400.0,326.0,64.0,226600.0,0.0,0.0,0.0,0.0
