No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
570,20221230,PAMG,68.0,0.0,68.0,66.0,67.0,146100.0,-1.0,9739400.0,27.0,68.0,174700.0,67.0,78900.0,0.0,0.0
570,20230102,PAMG,67.0,0.0,69.0,63.0,67.0,120400.0,0.0,7724100.0,49.0,67.0,5400.0,66.0,100.0,0.0,0.0
570,20230103,PAMG,67.0,0.0,68.0,65.0,67.0,148400.0,0.0,9836700.0,37.0,67.0,35000.0,66.0,51900.0,0.0,0.0
570,20230104,PAMG,67.0,0.0,72.0,66.0,68.0,4252100.0,1.0,293303300.0,94.0,69.0,75200.0,68.0,103100.0,0.0,0.0
570,20230105,PAMG,68.0,0.0,74.0,67.0,71.0,18186100.0,3.0,1260689200.0,687.0,71.0,14900.0,70.0,266000.0,0.0,0.0
573,20230106,PAMG,71.0,0.0,72.0,67.0,68.0,2609200.0,-3.0,178157000.0,364.0,69.0,151400.0,68.0,21200.0,0.0,0.0
574,20230109,PAMG,68.0,0.0,68.0,65.0,65.0,620800.0,-3.0,40566200.0,84.0,66.0,14300.0,65.0,51100.0,0.0,0.0
574,20230110,PAMG,65.0,0.0,67.0,61.0,61.0,557600.0,-4.0,34607500.0,121.0,62.0,400.0,0.0,0.0,0.0,0.0
575,20230111,PAMG,61.0,0.0,61.0,59.0,60.0,554700.0,-1.0,33254300.0,53.0,61.0,9300.0,60.0,374800.0,0.0,0.0
575,20230112,PAMG,60.0,0.0,63.0,57.0,60.0,129800.0,0.0,7832400.0,52.0,61.0,36700.0,60.0,223400.0,0.0,0.0
575,20230113,PAMG,60.0,0.0,62.0,56.0,61.0,658500.0,1.0,39683000.0,50.0,62.0,2600.0,61.0,614000.0,0.0,0.0
575,20230116,PAMG,61.0,0.0,73.0,63.0,63.0,8295000.0,2.0,567876700.0,1223.0,64.0,30000.0,63.0,8800.0,0.0,0.0
575,20230117,PAMG,63.0,0.0,64.0,60.0,63.0,620200.0,0.0,38409500.0,110.0,63.0,57800.0,62.0,13400.0,0.0,0.0
575,20230118,PAMG,63.0,0.0,65.0,62.0,64.0,279000.0,1.0,17575600.0,79.0,64.0,114700.0,63.0,26400.0,0.0,0.0
575,20230119,PAMG,64.0,0.0,65.0,62.0,63.0,192700.0,-1.0,12097000.0,50.0,63.0,307600.0,62.0,123500.0,147600.0,0.0
575,20230120,PAMG,63.0,0.0,64.0,61.0,63.0,149500.0,0.0,9193000.0,34.0,63.0,67500.0,61.0,150100.0,0.0,0.0
575,20230124,PAMG,63.0,0.0,64.0,61.0,61.0,211800.0,-2.0,12966600.0,52.0,61.0,96900.0,60.0,279800.0,0.0,0.0
575,20230125,PAMG,61.0,0.0,63.0,61.0,62.0,108500.0,1.0,6697600.0,38.0,62.0,107700.0,61.0,13400.0,0.0,0.0
575,20230126,PAMG,62.0,0.0,62.0,60.0,62.0,166700.0,0.0,10161500.0,34.0,62.0,103300.0,60.0,203100.0,0.0,0.0
576,20230127,PAMG,62.0,0.0,62.0,58.0,60.0,561300.0,-2.0,33433600.0,79.0,61.0,115900.0,60.0,1700.0,0.0,0.0
576,20230130,PAMG,60.0,0.0,62.0,59.0,60.0,87900.0,0.0,5252500.0,55.0,61.0,144400.0,60.0,12500.0,0.0,0.0
576,20230131,PAMG,60.0,0.0,62.0,60.0,61.0,29600.0,1.0,1822000.0,13.0,61.0,5400.0,60.0,9400.0,0.0,0.0
577,20230201,PAMG,61.0,0.0,62.0,59.0,61.0,240600.0,0.0,14332000.0,52.0,61.0,64900.0,60.0,35000.0,0.0,0.0
577,20230202,PAMG,61.0,0.0,62.0,60.0,60.0,74700.0,-1.0,4541900.0,29.0,62.0,176000.0,60.0,71500.0,0.0,0.0
577,20230203,PAMG,60.0,0.0,62.0,59.0,61.0,134700.0,1.0,8136800.0,47.0,61.0,33000.0,60.0,53900.0,0.0,0.0
578,20230206,PAMG,61.0,0.0,62.0,60.0,61.0,261200.0,0.0,16010200.0,40.0,61.0,60700.0,60.0,127200.0,0.0,0.0
579,20230207,PAMG,61.0,0.0,63.0,60.0,62.0,236700.0,1.0,14506600.0,46.0,62.0,147600.0,61.0,100.0,0.0,0.0
582,20230208,PAMG,62.0,0.0,62.0,61.0,61.0,65800.0,-1.0,4024300.0,23.0,62.0,106100.0,61.0,23500.0,0.0,0.0
582,20230209,PAMG,61.0,0.0,63.0,60.0,61.0,55500.0,0.0,3396600.0,27.0,62.0,102100.0,61.0,26400.0,0.0,0.0
582,20230210,PAMG,61.0,0.0,61.0,60.0,61.0,103600.0,0.0,6222700.0,20.0,61.0,20600.0,60.0,63700.0,0.0,0.0
