No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
571,20221230,PANI,940.0,0.0,985.0,930.0,950.0,1040400.0,10.0,989988500.0,408.0,950.0,67800.0,945.0,4400.0,94000.0,2000.0
571,20230102,PANI,950.0,0.0,985.0,950.0,955.0,1077600.0,5.0,1037848500.0,268.0,965.0,4600.0,955.0,100.0,84900.0,15700.0
571,20230103,PANI,955.0,0.0,1085.0,965.0,1020.0,7386400.0,65.0,7526282500.0,1914.0,1020.0,174800.0,1015.0,54700.0,93000.0,822900.0
571,20230104,PANI,1020.0,0.0,1040.0,980.0,995.0,3218900.0,-25.0,3260434500.0,769.0,995.0,95900.0,990.0,677800.0,494400.0,21300.0
571,20230105,PANI,995.0,0.0,1025.0,950.0,985.0,3757000.0,-10.0,3705629000.0,786.0,990.0,37800.0,985.0,1400.0,448100.0,81600.0
574,20230106,PANI,985.0,0.0,1015.0,960.0,990.0,1594700.0,5.0,1587959500.0,440.0,995.0,25200.0,990.0,6900.0,142200.0,16800.0
575,20230109,PANI,990.0,0.0,1005.0,985.0,985.0,1414100.0,-5.0,1402988500.0,332.0,995.0,15200.0,985.0,67000.0,84200.0,3000.0
575,20230110,PANI,985.0,0.0,1000.0,955.0,960.0,3112500.0,-25.0,3010961500.0,536.0,965.0,7500.0,960.0,326200.0,142700.0,72300.0
576,20230111,PANI,960.0,0.0,985.0,960.0,965.0,1270200.0,5.0,1227353000.0,317.0,970.0,1500.0,965.0,23700.0,67000.0,41700.0
576,20230112,PANI,965.0,0.0,1000.0,965.0,985.0,1396700.0,20.0,1370643000.0,370.0,985.0,200.0,980.0,250000.0,45400.0,19300.0
576,20230113,PANI,985.0,0.0,995.0,975.0,985.0,676000.0,0.0,664476000.0,236.0,990.0,7100.0,985.0,23800.0,3000.0,10800.0
576,20230116,PANI,985.0,0.0,1000.0,970.0,980.0,1095600.0,-5.0,1073824500.0,351.0,980.0,280800.0,975.0,32900.0,23900.0,21600.0
576,20230117,PANI,980.0,0.0,990.0,965.0,970.0,1364000.0,-10.0,1327502500.0,378.0,975.0,3200.0,970.0,1000.0,41800.0,400.0
576,20230118,PANI,970.0,0.0,1020.0,970.0,1005.0,2457400.0,35.0,2446273000.0,509.0,1010.0,16100.0,1005.0,107200.0,75000.0,43600.0
576,20230119,PANI,1005.0,0.0,1035.0,995.0,1005.0,1642100.0,0.0,1663809500.0,429.0,1010.0,14500.0,1005.0,6400.0,69800.0,44300.0
576,20230120,PANI,1005.0,0.0,1020.0,990.0,1005.0,1518500.0,0.0,1524141000.0,320.0,1005.0,60500.0,995.0,36300.0,22700.0,43000.0
576,20230124,PANI,1005.0,0.0,1045.0,1000.0,1040.0,2525800.0,35.0,2599631000.0,600.0,1045.0,78900.0,1040.0,11100.0,68400.0,85900.0
576,20230125,PANI,1040.0,0.0,1115.0,1040.0,1075.0,5094300.0,35.0,5502192000.0,1463.0,1080.0,130800.0,1075.0,56900.0,48100.0,80200.0
576,20230126,PANI,1075.0,0.0,1105.0,1050.0,1075.0,1892400.0,0.0,2043163500.0,564.0,1075.0,342100.0,1070.0,91300.0,62900.0,21300.0
577,20230127,PANI,1075.0,0.0,1095.0,1050.0,1075.0,1488600.0,0.0,1600235000.0,396.0,1075.0,749900.0,1070.0,15300.0,20000.0,12400.0
577,20230130,PANI,1075.0,0.0,1095.0,1070.0,1090.0,1568000.0,15.0,1696146500.0,468.0,1095.0,141500.0,1090.0,55400.0,7400.0,17400.0
577,20230131,PANI,1090.0,0.0,1095.0,1055.0,1060.0,2386200.0,-30.0,2542563500.0,549.0,1065.0,154700.0,1060.0,48100.0,12600.0,36800.0
578,20230201,PANI,1060.0,0.0,1215.0,1055.0,1160.0,14771800.0,100.0,17303611000.0,3266.0,1165.0,251300.0,1160.0,263800.0,21600.0,258400.0
578,20230202,PANI,1160.0,0.0,1200.0,1140.0,1185.0,3956900.0,25.0,4637347500.0,1125.0,1185.0,210500.0,1180.0,5100.0,50800.0,151900.0
578,20230203,PANI,1185.0,0.0,1240.0,1165.0,1190.0,6082400.0,5.0,7307565000.0,1303.0,1190.0,166100.0,1185.0,200000.0,2900.0,56500.0
579,20230206,PANI,1190.0,0.0,1215.0,1185.0,1190.0,2572400.0,0.0,3086832500.0,620.0,1190.0,11300.0,1185.0,501300.0,3100.0,21600.0
580,20230207,PANI,1190.0,0.0,1210.0,1180.0,1195.0,1632600.0,5.0,1952090500.0,409.0,1195.0,329200.0,1190.0,47100.0,2000.0,115500.0
583,20230208,PANI,1195.0,0.0,1200.0,1175.0,1180.0,1271100.0,-15.0,1507040000.0,411.0,1180.0,28000.0,1175.0,99100.0,4000.0,15700.0
583,20230209,PANI,1180.0,0.0,1225.0,1155.0,1175.0,3104600.0,-5.0,3637609500.0,567.0,1175.0,342200.0,1165.0,20000.0,66000.0,10800.0
583,20230210,PANI,1175.0,0.0,1190.0,1100.0,1140.0,3417000.0,-35.0,3861188000.0,728.0,1140.0,390300.0,1135.0,515900.0,29500.0,4600.0
583,20230213,PANI,1140.0,0.0,1140.0,1105.0,1120.0,1190500.0,-20.0,1330456500.0,386.0,1120.0,279400.0,1115.0,59800.0,61700.0,63800.0
583,20230214,PANI,1120.0,0.0,1175.0,1125.0,1150.0,1429000.0,30.0,1647943000.0,386.0,1155.0,36700.0,1150.0,148900.0,15200.0,35300.0
583,20230215,PANI,1150.0,0.0,1175.0,1140.0,1140.0,633200.0,-10.0,726035500.0,270.0,1145.0,35000.0,1140.0,10200.0,12500.0,22100.0
584,20230216,PANI,1140.0,0.0,1185.0,1135.0,1175.0,1399900.0,35.0,1619456000.0,382.0,1175.0,39700.0,1170.0,104000.0,0.0,69200.0
584,20230217,PANI,1175.0,0.0,1200.0,1165.0,1175.0,2293500.0,0.0,2694155500.0,484.0,1180.0,178700.0,1175.0,14300.0,39900.0,15000.0
584,20230220,PANI,1175.0,0.0,1195.0,1165.0,1165.0,625400.0,-10.0,734432000.0,310.0,1170.0,8100.0,1165.0,8200.0,18900.0,900.0
584,20230221,PANI,1165.0,0.0,1180.0,1145.0,1165.0,1023000.0,0.0,1186743500.0,377.0,1170.0,48000.0,1165.0,50000.0,40700.0,1700.0
584,20230222,PANI,1165.0,0.0,1180.0,1105.0,1130.0,2781700.0,-35.0,3188434000.0,663.0,1135.0,200.0,1130.0,24600.0,119000.0,35500.0
584,20230223,PANI,1130.0,0.0,1180.0,1055.0,1055.0,3976300.0,-75.0,4299872000.0,933.0,1055.0,50900.0,0.0,0.0,27600.0,3000.0
584,20230224,PANI,1055.0,0.0,1080.0,1030.0,1050.0,2802900.0,-5.0,2922773000.0,798.0,1055.0,19100.0,1050.0,8300.0,2300.0,47700.0
585,20230227,PANI,1050.0,0.0,1195.0,1050.0,1170.0,7958100.0,120.0,9133970000.0,1503.0,1170.0,21800.0,1165.0,104600.0,23100.0,122400.0
585,20230228,PANI,1170.0,0.0,1210.0,1160.0,1190.0,5634500.0,20.0,6703547000.0,1326.0,1195.0,153000.0,1190.0,20700.0,34400.0,98000.0
586,20230301,PANI,1190.0,0.0,1235.0,1180.0,1190.0,5806300.0,0.0,7036196000.0,2313.0,1195.0,165000.0,1190.0,31500.0,0.0,159700.0
586,20230302,PANI,1190.0,0.0,1220.0,1175.0,1195.0,1658000.0,5.0,1980497000.0,348.0,1200.0,90400.0,1190.0,244600.0,15900.0,66200.0
587,20230303,PANI,1195.0,0.0,1215.0,1165.0,1185.0,2211300.0,-10.0,2618867500.0,327.0,1185.0,188400.0,1180.0,21600.0,6300.0,43300.0
587,20230306,PANI,1185.0,0.0,1195.0,1165.0,1190.0,1930700.0,5.0,2284680500.0,311.0,1190.0,110200.0,1185.0,120400.0,1200.0,75900.0
587,20230307,PANI,1190.0,0.0,1205.0,1175.0,1175.0,2275000.0,-15.0,2711074500.0,343.0,1175.0,243400.0,1170.0,76900.0,1000.0,46700.0
588,20230308,PANI,1175.0,0.0,1385.0,1145.0,1295.0,13422200.0,120.0,16955643500.0,3065.0,1300.0,31500.0,1295.0,988400.0,32300.0,324300.0
588,20230309,PANI,1295.0,0.0,1365.0,1280.0,1325.0,7084200.0,30.0,9328891500.0,1923.0,1325.0,120200.0,1320.0,3046800.0,3600.0,169300.0
589,20230310,PANI,1325.0,0.0,1330.0,1290.0,1305.0,4290900.0,-20.0,5619740500.0,898.0,1305.0,18700.0,1300.0,355300.0,1200.0,282400.0
589,20230313,PANI,1305.0,0.0,1320.0,1275.0,1300.0,3119400.0,-5.0,4061735500.0,618.0,1300.0,40100.0,1295.0,73800.0,109500.0,152500.0
589,20230314,PANI,1300.0,0.0,1305.0,1210.0,1210.0,12991700.0,-90.0,16132114000.0,1935.0,1210.0,385000.0,0.0,0.0,91900.0,38600.0
589,20230315,PANI,1210.0,0.0,1305.0,1200.0,1235.0,6958800.0,25.0,8658416500.0,1463.0,1240.0,281200.0,1235.0,28100.0,61300.0,176100.0
589,20230316,PANI,1235.0,0.0,1265.0,1150.0,1155.0,5294700.0,-80.0,6247720500.0,1314.0,1165.0,26400.0,1155.0,36100.0,128700.0,60300.0
589,20230317,PANI,1155.0,0.0,1180.0,1100.0,1180.0,2801600.0,25.0,3186196000.0,858.0,1185.0,14100.0,1180.0,1900.0,79300.0,48900.0
589,20230320,PANI,1180.0,0.0,1210.0,1135.0,1180.0,1629100.0,0.0,1935677000.0,515.0,1190.0,5000.0,1180.0,200600.0,124800.0,9900.0
589,20230321,PANI,1180.0,0.0,1210.0,1170.0,1190.0,2684300.0,10.0,3182287500.0,574.0,1195.0,10500.0,1190.0,18888900.0,74200.0,30000.0
589,20230324,PANI,1190.0,0.0,1245.0,1190.0,1220.0,1428200.0,30.0,1747000000.0,539.0,1220.0,226600.0,1215.0,500.0,7500.0,121200.0
589,20230327,PANI,1220.0,0.0,1230.0,1175.0,1220.0,967800.0,0.0,1172347500.0,370.0,1220.0,38400.0,1215.0,4700.0,49100.0,76900.0
589,20230328,PANI,1220.0,0.0,1235.0,1175.0,1230.0,2171200.0,10.0,2622426500.0,426.0,1230.0,178400.0,1215.0,2800.0,111900.0,254200.0
589,20230329,PANI,1230.0,0.0,1245.0,1200.0,1220.0,1567100.0,-10.0,1906469000.0,348.0,1220.0,62400.0,1215.0,3000.0,49600.0,213000.0
590,20230330,PANI,1220.0,0.0,1240.0,1210.0,1220.0,1602000.0,0.0,1949634000.0,216.0,1220.0,43800.0,1215.0,5000.0,139000.0,1400.0
590,20230331,PANI,1220.0,0.0,1280.0,1205.0,1275.0,2478200.0,55.0,3114035500.0,752.0,1280.0,126700.0,1275.0,28400.0,107400.0,108500.0
590,20230403,PANI,1275.0,0.0,1355.0,1265.0,1270.0,5803000.0,-5.0,7615366500.0,1349.0,1275.0,10000.0,1265.0,34100.0,518700.0,277800.0
590,20230404,PANI,1270.0,0.0,1290.0,1245.0,1265.0,1521000.0,-5.0,1920769000.0,433.0,1265.0,80900.0,1260.0,5100.0,101300.0,2900.0
591,20230405,PANI,1265.0,0.0,1280.0,1215.0,1235.0,2253200.0,-30.0,2784326500.0,628.0,1235.0,25300.0,1230.0,100000.0,79300.0,5800.0
591,20230406,PANI,1235.0,0.0,1255.0,1190.0,1200.0,3554600.0,-35.0,4324872500.0,761.0,1200.0,2300.0,1195.0,25000.0,200500.0,112700.0
591,20230410,PANI,1200.0,0.0,1235.0,1180.0,1205.0,1167700.0,5.0,1411921000.0,411.0,1205.0,54000.0,1200.0,114500.0,50700.0,13400.0
591,20230411,PANI,1205.0,0.0,1235.0,1200.0,1210.0,1551000.0,5.0,1892610500.0,341.0,1210.0,30300.0,1205.0,159100.0,52400.0,0.0
592,20230412,PANI,1210.0,0.0,1225.0,1190.0,1190.0,2067100.0,-20.0,2485117000.0,468.0,1200.0,100.0,1190.0,2300.0,170800.0,0.0
592,20230413,PANI,1190.0,0.0,1230.0,1190.0,1200.0,1231900.0,10.0,1488139500.0,278.0,1200.0,40300.0,1195.0,168700.0,127300.0,0.0
592,20230414,PANI,1200.0,0.0,1210.0,1190.0,1200.0,1511900.0,0.0,1808026000.0,304.0,1200.0,114500.0,1195.0,1600.0,118200.0,20200.0
592,20230417,PANI,1200.0,0.0,1200.0,1180.0,1180.0,1095200.0,-20.0,1301488500.0,296.0,1180.0,55200.0,1175.0,57200.0,145400.0,0.0
595,20230418,PANI,1180.0,0.0,1180.0,1135.0,1165.0,3117000.0,-15.0,3600649000.0,654.0,1170.0,30400.0,1165.0,600.0,76200.0,1800.0
595,20230426,PANI,1165.0,0.0,1180.0,1120.0,1155.0,2672300.0,-10.0,3072696000.0,602.0,1155.0,49900.0,1150.0,42200.0,118100.0,122000.0
595,20230427,PANI,1155.0,0.0,1180.0,1135.0,1170.0,1423600.0,15.0,1652638000.0,367.0,1170.0,47800.0,1165.0,200.0,153200.0,59500.0
595,20230428,PANI,1170.0,0.0,1180.0,1155.0,1170.0,1283000.0,0.0,1501964500.0,197.0,1170.0,4100.0,1165.0,45200.0,100100.0,134800.0
595,20230502,PANI,1170.0,0.0,1195.0,1145.0,1155.0,1939800.0,-15.0,2246098000.0,418.0,1160.0,112000.0,1155.0,31200.0,174900.0,47100.0
