No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
574,20221230,PBID,1575.0,0.0,1580.0,1570.0,1575.0,362300.0,0.0,570983000.0,46.0,1575.0,5000.0,1570.0,33000.0,4100.0,0.0
574,20230102,PBID,1575.0,0.0,1585.0,1570.0,1570.0,235000.0,-5.0,370649500.0,62.0,1575.0,3500.0,1570.0,6800.0,5300.0,0.0
574,20230103,PBID,1570.0,0.0,1575.0,1570.0,1570.0,360500.0,0.0,567689000.0,76.0,1575.0,2400.0,1570.0,2400.0,5300.0,4400.0
574,20230104,PBID,1570.0,0.0,1580.0,1570.0,1575.0,412300.0,5.0,649648000.0,118.0,1575.0,19800.0,1570.0,6700.0,500.0,73700.0
574,20230105,PBID,1575.0,0.0,1570.0,1540.0,1550.0,449100.0,-25.0,697332500.0,161.0,1550.0,291800.0,1545.0,22400.0,5000.0,0.0
577,20230106,PBID,1550.0,0.0,1575.0,1550.0,1575.0,440800.0,25.0,690301500.0,67.0,1580.0,3600.0,1575.0,8900.0,0.0,0.0
578,20230109,PBID,1575.0,0.0,1580.0,1550.0,1550.0,329600.0,-25.0,513677000.0,119.0,1550.0,300.0,1545.0,6200.0,8400.0,0.0
578,20230110,PBID,1550.0,0.0,1565.0,1540.0,1545.0,269600.0,-5.0,419191000.0,64.0,1545.0,1500.0,1540.0,18700.0,0.0,0.0
579,20230111,PBID,1545.0,0.0,1560.0,1540.0,1555.0,493600.0,10.0,768115000.0,35.0,1555.0,2300.0,1545.0,2400.0,0.0,0.0
579,20230112,PBID,1555.0,0.0,1565.0,1550.0,1555.0,493000.0,0.0,767941000.0,29.0,1555.0,25100.0,1550.0,1700.0,200.0,0.0
579,20230113,PBID,1555.0,0.0,1555.0,1545.0,1545.0,582000.0,-10.0,903496500.0,67.0,1560.0,3300.0,1545.0,11300.0,9300.0,0.0
579,20230116,PBID,1545.0,0.0,1555.0,1540.0,1545.0,572100.0,0.0,887731000.0,105.0,1545.0,25900.0,1540.0,6500.0,6100.0,0.0
579,20230117,PBID,1545.0,0.0,1555.0,1540.0,1550.0,254100.0,5.0,393229500.0,62.0,1555.0,3100.0,1550.0,200.0,8200.0,0.0
579,20230118,PBID,1550.0,0.0,1555.0,1540.0,1550.0,232800.0,0.0,360827000.0,53.0,1550.0,39900.0,1545.0,9300.0,5200.0,0.0
579,20230119,PBID,1550.0,0.0,1570.0,1545.0,1555.0,448200.0,5.0,697025500.0,36.0,1555.0,15300.0,1545.0,39900.0,0.0,0.0
579,20230120,PBID,1555.0,0.0,1555.0,1545.0,1550.0,60100.0,-5.0,93162000.0,25.0,1555.0,16200.0,1550.0,31100.0,0.0,0.0
579,20230124,PBID,1550.0,0.0,1570.0,1545.0,1560.0,166500.0,10.0,258794000.0,58.0,1560.0,3500.0,1550.0,4000.0,700.0,0.0
579,20230125,PBID,1560.0,0.0,1565.0,1545.0,1545.0,160700.0,-15.0,250119500.0,65.0,1550.0,1200.0,1545.0,22600.0,7200.0,0.0
579,20230126,PBID,1545.0,0.0,1555.0,1535.0,1540.0,309100.0,-5.0,478453000.0,146.0,1545.0,191700.0,1540.0,2000.0,4500.0,0.0
580,20230127,PBID,1540.0,0.0,1550.0,1540.0,1550.0,78900.0,10.0,121957500.0,50.0,1550.0,29000.0,1545.0,400.0,3900.0,0.0
580,20230130,PBID,1550.0,0.0,1550.0,1540.0,1545.0,213400.0,-5.0,329752500.0,74.0,1550.0,26100.0,1545.0,600.0,8600.0,0.0
580,20230131,PBID,1545.0,0.0,1550.0,1540.0,1550.0,149900.0,5.0,231879000.0,54.0,1555.0,2300.0,1550.0,10300.0,2500.0,0.0
581,20230201,PBID,1550.0,0.0,1570.0,1550.0,1560.0,130200.0,10.0,202534000.0,38.0,1560.0,14500.0,1555.0,1100.0,100.0,0.0
581,20230202,PBID,1560.0,0.0,1560.0,1550.0,1555.0,120500.0,-5.0,187924500.0,52.0,1560.0,9600.0,1555.0,900.0,4700.0,0.0
581,20230203,PBID,1555.0,0.0,1580.0,1565.0,1570.0,257800.0,15.0,405338000.0,72.0,1575.0,1500.0,1570.0,71700.0,4600.0,100.0
582,20230206,PBID,1570.0,0.0,1580.0,1570.0,1575.0,158200.0,5.0,248997500.0,57.0,1580.0,50600.0,1575.0,27900.0,2800.0,0.0
583,20230207,PBID,1575.0,0.0,1580.0,1575.0,1580.0,134100.0,5.0,211239500.0,64.0,1580.0,21100.0,1575.0,10300.0,3900.0,0.0
586,20230208,PBID,1580.0,0.0,1580.0,1575.0,1575.0,113700.0,-5.0,179141500.0,44.0,1580.0,8000.0,1575.0,30400.0,4000.0,0.0
586,20230209,PBID,1575.0,0.0,1590.0,1575.0,1590.0,27100.0,15.0,42940500.0,42.0,1590.0,36700.0,1585.0,76000.0,1500.0,4500.0
586,20230210,PBID,1590.0,0.0,1590.0,1575.0,1575.0,160200.0,-15.0,254243000.0,66.0,1585.0,3100.0,1575.0,22700.0,5100.0,0.0
586,20230213,PBID,1575.0,0.0,1590.0,1580.0,1585.0,173000.0,10.0,274439500.0,53.0,1590.0,7000.0,1585.0,4500.0,2100.0,3700.0
586,20230214,PBID,1585.0,0.0,1590.0,1585.0,1585.0,112700.0,0.0,178650500.0,21.0,1590.0,27300.0,1580.0,1600.0,0.0,0.0
586,20230215,PBID,1585.0,0.0,1590.0,1580.0,1585.0,155000.0,0.0,245585500.0,43.0,1585.0,700.0,1580.0,800.0,800.0,0.0
587,20230216,PBID,1585.0,0.0,1585.0,1580.0,1580.0,123200.0,-5.0,195165500.0,47.0,1585.0,22700.0,1580.0,33600.0,1700.0,0.0
587,20230217,PBID,1580.0,0.0,1590.0,1580.0,1590.0,115800.0,10.0,183556000.0,32.0,1590.0,5600.0,1580.0,10200.0,0.0,0.0
587,20230220,PBID,1590.0,0.0,1580.0,1560.0,1580.0,118500.0,-10.0,186048000.0,73.0,1580.0,600.0,1575.0,500.0,3200.0,0.0
587,20230221,PBID,1580.0,0.0,1590.0,1570.0,1575.0,126000.0,-5.0,198612000.0,39.0,1590.0,29300.0,1575.0,7300.0,0.0,400.0
587,20230222,PBID,1575.0,0.0,1580.0,1575.0,1580.0,107000.0,5.0,169023000.0,21.0,1580.0,6600.0,1575.0,9100.0,0.0,900.0
587,20230223,PBID,1580.0,0.0,1590.0,1580.0,1590.0,125700.0,10.0,199189000.0,28.0,1590.0,24400.0,1585.0,8100.0,0.0,0.0
587,20230224,PBID,1590.0,0.0,1590.0,1580.0,1590.0,121600.0,0.0,192813000.0,29.0,1590.0,25000.0,1585.0,9900.0,900.0,0.0
588,20230227,PBID,1590.0,0.0,1595.0,1580.0,1590.0,116400.0,0.0,185078000.0,33.0,1590.0,20700.0,1585.0,34100.0,1400.0,0.0
588,20230228,PBID,1590.0,0.0,1600.0,1580.0,1580.0,154900.0,-10.0,246752000.0,59.0,1585.0,800.0,1580.0,6000.0,1700.0,0.0
589,20230301,PBID,1580.0,0.0,1580.0,1560.0,1580.0,175600.0,0.0,276176000.0,89.0,1580.0,23400.0,1570.0,600.0,0.0,900.0
589,20230302,PBID,1580.0,0.0,1585.0,1570.0,1580.0,126400.0,0.0,199125000.0,53.0,1585.0,4100.0,1580.0,7200.0,1300.0,0.0
590,20230303,PBID,1580.0,0.0,1595.0,1575.0,1585.0,116600.0,5.0,184763000.0,45.0,1580.0,1000.0,1575.0,11900.0,0.0,0.0
590,20230306,PBID,1585.0,0.0,1585.0,1575.0,1580.0,42300.0,-5.0,66735000.0,40.0,1580.0,14300.0,1575.0,7700.0,900.0,0.0
590,20230307,PBID,1580.0,0.0,1590.0,1565.0,1590.0,159700.0,10.0,251865000.0,56.0,1590.0,3000.0,1580.0,8000.0,1200.0,0.0
591,20230308,PBID,1590.0,0.0,1585.0,1580.0,1580.0,98200.0,-10.0,155156500.0,23.0,1585.0,13600.0,1580.0,11000.0,1000.0,0.0
591,20230309,PBID,1580.0,0.0,1590.0,1575.0,1575.0,143100.0,-5.0,226723500.0,51.0,1585.0,15100.0,1575.0,2300.0,1200.0,1500.0
592,20230310,PBID,1575.0,0.0,1585.0,1570.0,1580.0,156600.0,5.0,247424500.0,61.0,1580.0,13000.0,1575.0,8100.0,3000.0,0.0
592,20230313,PBID,1580.0,0.0,1580.0,1550.0,1560.0,114600.0,-20.0,180191500.0,72.0,1560.0,1600.0,1555.0,3500.0,0.0,0.0
