No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
575,20221230,PBRX,107.0,0.0,113.0,105.0,108.0,79555600.0,1.0,8623291600.0,4935.0,108.0,1153900.0,107.0,406800.0,719400.0,689200.0
575,20230102,PBRX,108.0,0.0,114.0,105.0,109.0,60696800.0,1.0,6706566700.0,5850.0,110.0,540300.0,109.0,38400.0,127500.0,182800.0
575,20230103,PBRX,109.0,0.0,118.0,107.0,110.0,193468600.0,1.0,21947535700.0,15727.0,111.0,799200.0,110.0,5534200.0,962600.0,595200.0
575,20230104,PBRX,110.0,0.0,112.0,103.0,104.0,56385900.0,-6.0,6021140200.0,3965.0,105.0,386500.0,104.0,1481600.0,148800.0,124600.0
575,20230105,PBRX,104.0,0.0,107.0,97.0,98.0,36483800.0,-6.0,3667519100.0,2895.0,99.0,935700.0,98.0,658800.0,63600.0,448600.0
578,20230106,PBRX,98.0,0.0,102.0,97.0,100.0,22569600.0,2.0,2252718300.0,1704.0,100.0,422500.0,99.0,205200.0,78800.0,109900.0
579,20230109,PBRX,100.0,0.0,111.0,102.0,105.0,75800500.0,5.0,8088352400.0,5359.0,106.0,628800.0,105.0,1242400.0,89900.0,107800.0
579,20230110,PBRX,105.0,0.0,116.0,106.0,110.0,186116600.0,5.0,20922642100.0,7938.0,111.0,93300.0,110.0,241500.0,50661700.0,746900.0
580,20230111,PBRX,110.0,0.0,112.0,103.0,103.0,39524200.0,-7.0,4151386500.0,2490.0,103.0,30781100.0,0.0,0.0,164800.0,24000.0
580,20230112,PBRX,103.0,0.0,100.0,96.0,96.0,60828000.0,-7.0,5865749900.0,2337.0,96.0,13256800.0,0.0,0.0,10018200.0,590000.0
580,20230113,PBRX,96.0,0.0,96.0,90.0,90.0,246904500.0,-6.0,22565508800.0,7049.0,91.0,40200.0,90.0,62000.0,74099900.0,524600.0
580,20230116,PBRX,62.0,0.0,83.0,60.0,76.0,414032300.0,14.0,31665021600.0,20531.0,76.0,21239500.0,75.0,1772200.0,25000.0,1102900.0
580,20230117,PBRX,76.0,0.0,81.0,71.0,74.0,203809200.0,-2.0,15115918000.0,9423.0,75.0,1635100.0,74.0,1391300.0,3079700.0,574800.0
580,20230118,PBRX,74.0,0.0,76.0,72.0,74.0,53313000.0,0.0,3977987500.0,3283.0,74.0,726400.0,73.0,3210300.0,611700.0,2449200.0
580,20230119,PBRX,74.0,0.0,74.0,69.0,69.0,78783800.0,-5.0,5472364100.0,3007.0,69.0,51238900.0,0.0,0.0,521400.0,234900.0
580,20230120,PBRX,69.0,0.0,65.0,65.0,65.0,19076500.0,-4.0,1239972500.0,1107.0,65.0,231157800.0,0.0,0.0,0.0,83000.0
580,20230124,PBRX,65.0,0.0,61.0,61.0,61.0,25559600.0,-4.0,1559135600.0,3867.0,61.0,232358500.0,0.0,0.0,0.0,35000.0
580,20230125,PBRX,61.0,0.0,60.0,57.0,57.0,841136700.0,-4.0,48489266400.0,18149.0,57.0,73404500.0,0.0,0.0,1246900.0,3974300.0
