No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
582,20221230,PGAS,1775.0,1775.0,1780.0,1760.0,1760.0,15749300.0,-15.0,27802423000.0,2931.0,1760.0,129400.0,1755.0,1107600.0,5714100.0,1464400.0
582,20230102,PGAS,1760.0,1760.0,1770.0,1740.0,1740.0,7772000.0,-20.0,13602376500.0,2913.0,1745.0,25100.0,1740.0,221500.0,663900.0,804000.0
582,20230103,PGAS,1740.0,1735.0,1765.0,1730.0,1735.0,19110700.0,-5.0,33302482000.0,4665.0,1740.0,20000.0,1735.0,468600.0,8847800.0,4829000.0
582,20230104,PGAS,1735.0,1735.0,1740.0,1650.0,1660.0,65112200.0,-75.0,109875958000.0,12543.0,1665.0,49800.0,1660.0,189300.0,8577700.0,7517800.0
582,20230105,PGAS,1660.0,1660.0,1660.0,1550.0,1555.0,89781500.0,-105.0,142433142500.0,13332.0,1560.0,25100.0,1555.0,233400.0,5732400.0,29664300.0
585,20230106,PGAS,1555.0,1555.0,1610.0,1555.0,1585.0,35592100.0,30.0,56636964000.0,6146.0,1590.0,9900.0,1585.0,651800.0,3816300.0,9845200.0
586,20230109,PGAS,1585.0,1585.0,1610.0,1505.0,1535.0,49929200.0,-50.0,77040400500.0,10919.0,1540.0,739300.0,1535.0,477500.0,15480900.0,11580100.0
586,20230110,PGAS,1535.0,1535.0,1570.0,1520.0,1570.0,38238100.0,35.0,59051160000.0,6596.0,1570.0,307300.0,1565.0,6500.0,15450100.0,13050700.0
587,20230111,PGAS,1570.0,1570.0,1575.0,1520.0,1530.0,39524900.0,-40.0,60644527000.0,6530.0,1535.0,173000.0,1530.0,357300.0,14872100.0,10934300.0
587,20230112,PGAS,1530.0,1535.0,1570.0,1520.0,1525.0,42994300.0,-5.0,66294828500.0,6744.0,1530.0,68900.0,1525.0,670300.0,15828500.0,8009900.0
587,20230113,PGAS,1525.0,1530.0,1550.0,1525.0,1540.0,22290300.0,15.0,34296524500.0,3722.0,1545.0,116600.0,1540.0,574700.0,1419700.0,6550500.0
587,20230116,PGAS,1540.0,1540.0,1555.0,1525.0,1540.0,19498200.0,0.0,29947817500.0,4354.0,1540.0,15900.0,1535.0,1306700.0,5151700.0,5059500.0
587,20230117,PGAS,1540.0,1550.0,1565.0,1535.0,1535.0,48147500.0,-5.0,74639312500.0,6275.0,1540.0,607800.0,1535.0,3698300.0,4424500.0,9627600.0
587,20230118,PGAS,1535.0,1545.0,1585.0,1540.0,1570.0,63196200.0,35.0,99318256500.0,7842.0,1575.0,98900.0,1570.0,220500.0,8301300.0,7791400.0
587,20230119,PGAS,1570.0,1560.0,1595.0,1555.0,1585.0,34356900.0,15.0,54310346000.0,4486.0,1590.0,921800.0,1585.0,57700.0,12298900.0,3693300.0
587,20230120,PGAS,1585.0,1595.0,1630.0,1585.0,1620.0,49388600.0,35.0,79638254500.0,7203.0,1620.0,956200.0,1615.0,1250300.0,15000200.0,7189700.0
588,20230124,PGAS,1620.0,1635.0,1650.0,1585.0,1595.0,50817100.0,-25.0,81911455500.0,8960.0,1600.0,333500.0,1595.0,129200.0,13993400.0,1603100.0
588,20230125,PGAS,1595.0,1600.0,1605.0,1575.0,1575.0,15624600.0,-20.0,24710090500.0,4677.0,1580.0,111800.0,1575.0,815300.0,4000100.0,604100.0
588,20230126,PGAS,1575.0,1575.0,1600.0,1555.0,1560.0,44306800.0,-15.0,69481463000.0,8183.0,1565.0,518000.0,1560.0,49300.0,10250800.0,6729200.0
589,20230127,PGAS,1560.0,1565.0,1590.0,1560.0,1565.0,32154900.0,5.0,50635559000.0,5164.0,1570.0,42300.0,1565.0,395700.0,4007500.0,8639100.0
589,20230130,PGAS,1565.0,1570.0,1590.0,1560.0,1565.0,19099700.0,0.0,30004770000.0,3895.0,1565.0,607100.0,1560.0,929800.0,3280900.0,4579700.0
589,20230131,PGAS,1565.0,1570.0,1580.0,1545.0,1545.0,44702300.0,-20.0,69697473500.0,6735.0,1555.0,43000.0,1545.0,1081300.0,15561600.0,17164200.0
590,20230201,PGAS,1545.0,1550.0,1615.0,1545.0,1570.0,61630900.0,25.0,97312600500.0,8906.0,1575.0,208300.0,1570.0,357200.0,25829500.0,22910000.0
590,20230202,PGAS,1570.0,1590.0,1635.0,1585.0,1605.0,92966800.0,35.0,150131059000.0,11780.0,1610.0,40500.0,1605.0,361500.0,30341900.0,31836000.0
590,20230203,PGAS,1605.0,1610.0,1615.0,1565.0,1565.0,47212100.0,-40.0,74614171500.0,8859.0,1570.0,118000.0,1565.0,946800.0,17283400.0,4294300.0
591,20230206,PGAS,1565.0,1565.0,1595.0,1560.0,1580.0,53560900.0,15.0,84542881000.0,7089.0,1580.0,188200.0,1575.0,19300.0,9293900.0,19858700.0
592,20230207,PGAS,1580.0,1595.0,1615.0,1580.0,1605.0,49152500.0,25.0,78511550000.0,5729.0,1605.0,36000.0,1600.0,777800.0,10111800.0,22283600.0
595,20230208,PGAS,1605.0,1620.0,1625.0,1595.0,1595.0,54335100.0,-10.0,87259958500.0,6108.0,1600.0,39000.0,1595.0,1032200.0,11524800.0,11714600.0
595,20230209,PGAS,1595.0,1595.0,1625.0,1590.0,1605.0,35951800.0,10.0,57917455000.0,4505.0,1610.0,170200.0,1605.0,5648000.0,3922300.0,16674700.0
595,20230210,PGAS,1605.0,1605.0,1615.0,1580.0,1605.0,34863900.0,0.0,55595950500.0,5777.0,1605.0,19800.0,1600.0,144000.0,4573500.0,14050400.0
595,20230213,PGAS,1605.0,1610.0,1640.0,1610.0,1625.0,46679700.0,20.0,75989133000.0,6047.0,1625.0,993000.0,1620.0,229900.0,2717500.0,24817800.0
595,20230214,PGAS,1625.0,1625.0,1640.0,1615.0,1615.0,32673900.0,-10.0,53104403000.0,5867.0,1615.0,71800.0,1610.0,1282800.0,8260100.0,11616700.0
595,20230215,PGAS,1615.0,1620.0,1630.0,1600.0,1615.0,23019100.0,0.0,37070771500.0,5285.0,1615.0,432800.0,1610.0,1200.0,10980200.0,5238200.0
596,20230216,PGAS,1615.0,1620.0,1625.0,1575.0,1575.0,45553900.0,-40.0,72331580000.0,8805.0,1580.0,126800.0,1575.0,1146600.0,11363400.0,4464100.0
596,20230217,PGAS,1575.0,1580.0,1610.0,1575.0,1590.0,28837900.0,15.0,45902653500.0,7831.0,1590.0,363600.0,1585.0,870400.0,2001500.0,13298500.0
596,20230220,PGAS,1590.0,1590.0,1600.0,1580.0,1585.0,17405600.0,-5.0,27592330500.0,4187.0,1585.0,232400.0,1580.0,661100.0,3983800.0,3463500.0
596,20230221,PGAS,1585.0,1585.0,1600.0,1565.0,1570.0,17657700.0,-15.0,27860128000.0,5359.0,1570.0,104300.0,1565.0,622700.0,2244700.0,2373100.0
596,20230222,PGAS,1570.0,1565.0,1575.0,1540.0,1540.0,44209300.0,-30.0,68544263500.0,7871.0,1545.0,22100.0,1540.0,112800.0,16908100.0,11467900.0
