No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
597,20230224,PGEO,875.0,0.0,925.0,815.0,875.0,585536300.0,0.0,488820311500.0,45095.0,875.0,15440800.0,855.0,100.0,130100300.0,38731600.0
598,20230227,PGEO,875.0,0.0,875.0,830.0,830.0,90970400.0,-45.0,76737229000.0,14851.0,830.0,5055700.0,825.0,1261600.0,14594300.0,3773700.0
598,20230228,PGEO,830.0,0.0,840.0,800.0,800.0,65393800.0,-30.0,53584266000.0,13070.0,800.0,4380000.0,795.0,2010000.0,15432800.0,5061700.0
599,20230301,PGEO,800.0,0.0,840.0,800.0,835.0,43259400.0,35.0,35676253500.0,9511.0,840.0,1743100.0,835.0,302300.0,5526200.0,3594200.0
599,20230302,PGEO,835.0,0.0,875.0,820.0,870.0,55337700.0,35.0,47188929000.0,11196.0,875.0,9462400.0,870.0,194400.0,6615800.0,1770600.0
600,20230303,PGEO,870.0,0.0,875.0,855.0,875.0,34181600.0,5.0,29704152500.0,5842.0,875.0,9612400.0,870.0,1774700.0,6617200.0,8921700.0
600,20230306,PGEO,875.0,0.0,880.0,845.0,860.0,30524000.0,-15.0,26276713500.0,5116.0,860.0,313800.0,855.0,1600.0,6278100.0,9601800.0
600,20230307,PGEO,860.0,0.0,875.0,855.0,860.0,14101000.0,0.0,12212124000.0,3198.0,860.0,157000.0,855.0,159500.0,3400500.0,10186300.0
601,20230308,PGEO,860.0,0.0,865.0,850.0,860.0,8592300.0,0.0,7372161000.0,2023.0,860.0,2002300.0,855.0,8200.0,864000.0,5029000.0
601,20230309,PGEO,860.0,0.0,865.0,850.0,855.0,11006800.0,-5.0,9416093500.0,2396.0,855.0,567500.0,850.0,383000.0,1596000.0,5262900.0
602,20230310,PGEO,855.0,0.0,860.0,830.0,860.0,10085300.0,5.0,8538670500.0,2653.0,860.0,687100.0,855.0,200.0,2412800.0,1016800.0
602,20230313,PGEO,860.0,0.0,860.0,830.0,840.0,4519100.0,-20.0,3791861500.0,2066.0,845.0,344700.0,840.0,234000.0,947200.0,731300.0
602,20230314,PGEO,840.0,0.0,840.0,810.0,825.0,8470400.0,-15.0,6964321500.0,3757.0,825.0,384900.0,820.0,173800.0,2986500.0,151400.0
602,20230315,PGEO,825.0,0.0,835.0,805.0,810.0,10441400.0,-15.0,8489506000.0,3870.0,810.0,837800.0,805.0,3450200.0,4841700.0,4388900.0
602,20230316,PGEO,810.0,0.0,815.0,775.0,790.0,32080800.0,-20.0,25347100500.0,4988.0,790.0,264400.0,785.0,81300.0,13697200.0,11396800.0
602,20230317,PGEO,790.0,0.0,820.0,785.0,805.0,11384600.0,15.0,9136572500.0,2778.0,810.0,273200.0,805.0,35200.0,6634100.0,6295000.0
602,20230320,PGEO,805.0,0.0,820.0,795.0,800.0,11095700.0,-5.0,8876396500.0,1877.0,800.0,250500.0,795.0,1123300.0,2695700.0,9161100.0
602,20230321,PGEO,800.0,0.0,800.0,790.0,800.0,2940900.0,0.0,2340686000.0,1351.0,800.0,512700.0,795.0,164000.0,489800.0,760500.0
602,20230324,PGEO,800.0,0.0,805.0,785.0,795.0,5176400.0,-5.0,4100415500.0,2013.0,795.0,104200.0,790.0,417300.0,621000.0,660800.0
602,20230327,PGEO,795.0,0.0,800.0,740.0,740.0,19395200.0,-55.0,14626242000.0,7247.0,740.0,1036700.0,0.0,0.0,2352800.0,1828400.0
602,20230328,PGEO,740.0,0.0,740.0,690.0,695.0,27506500.0,-45.0,19251600500.0,6097.0,700.0,128700.0,695.0,3467000.0,8039000.0,830600.0
602,20230329,PGEO,695.0,0.0,720.0,675.0,710.0,12954900.0,15.0,9158255000.0,3302.0,710.0,444100.0,705.0,468700.0,1558400.0,681500.0
603,20230330,PGEO,710.0,0.0,720.0,695.0,705.0,5918700.0,-5.0,4161492000.0,2313.0,705.0,144200.0,700.0,1694800.0,1286100.0,395600.0
603,20230331,PGEO,705.0,0.0,720.0,690.0,695.0,14946200.0,-10.0,10440476000.0,4643.0,695.0,847700.0,690.0,926400.0,2445300.0,762200.0
603,20230403,PGEO,695.0,0.0,700.0,655.0,655.0,19570300.0,-40.0,12963669500.0,6145.0,660.0,84400.0,655.0,806400.0,3898200.0,2026800.0
603,20230404,PGEO,655.0,0.0,665.0,620.0,660.0,11002700.0,5.0,7233762000.0,2957.0,665.0,284800.0,660.0,57500.0,4695700.0,2005000.0
604,20230405,PGEO,660.0,0.0,675.0,650.0,665.0,7589400.0,5.0,5054683000.0,1823.0,670.0,321100.0,665.0,191300.0,1734300.0,339300.0
604,20230406,PGEO,665.0,0.0,670.0,650.0,650.0,8406500.0,-15.0,5512070500.0,1738.0,655.0,26500.0,650.0,3125100.0,1464500.0,1743200.0
604,20230410,PGEO,650.0,0.0,655.0,610.0,615.0,18456000.0,-35.0,11449578500.0,3954.0,625.0,40900.0,615.0,10246100.0,3777100.0,1622200.0
604,20230411,PGEO,615.0,0.0,715.0,595.0,695.0,37998100.0,80.0,25942593500.0,7595.0,695.0,213200.0,690.0,36800.0,3193600.0,7234700.0
605,20230412,PGEO,695.0,0.0,710.0,660.0,685.0,29931000.0,-10.0,20303990500.0,3821.0,690.0,81900.0,685.0,3100.0,4683000.0,167000.0
605,20230413,PGEO,685.0,0.0,730.0,670.0,720.0,23506000.0,35.0,16650764500.0,4069.0,725.0,245500.0,720.0,529300.0,2432300.0,3007300.0
605,20230414,PGEO,720.0,0.0,735.0,705.0,720.0,19831100.0,0.0,14289591500.0,2203.0,725.0,709000.0,720.0,937400.0,1668100.0,2579200.0
605,20230417,PGEO,720.0,0.0,760.0,715.0,750.0,24153900.0,30.0,17916509000.0,3142.0,755.0,208700.0,750.0,808500.0,2206800.0,2166000.0
608,20230418,PGEO,750.0,0.0,760.0,735.0,750.0,12665100.0,0.0,9479717000.0,1926.0,755.0,178900.0,750.0,812500.0,1616000.0,980900.0
608,20230426,PGEO,750.0,0.0,775.0,720.0,765.0,8322100.0,15.0,6268316500.0,2477.0,765.0,721600.0,760.0,43400.0,1689900.0,3375600.0
608,20230427,PGEO,765.0,0.0,765.0,740.0,760.0,12986300.0,-5.0,9785490000.0,2056.0,765.0,346600.0,760.0,300000.0,3844800.0,3241900.0
608,20230428,PGEO,760.0,0.0,770.0,745.0,755.0,9437800.0,-5.0,7109528000.0,1168.0,760.0,2686500.0,755.0,1138800.0,950900.0,453800.0
