No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
583,20221230,PGJO,78.0,0.0,83.0,76.0,76.0,1128300.0,-2.0,90894900.0,62.0,76.0,88300.0,75.0,5300.0,0.0,0.0
583,20230102,PGJO,76.0,0.0,83.0,77.0,81.0,129000.0,5.0,10162700.0,93.0,81.0,28900.0,80.0,2000.0,0.0,0.0
583,20230103,PGJO,81.0,0.0,83.0,76.0,80.0,933300.0,-1.0,74981500.0,65.0,80.0,74400.0,77.0,2900.0,0.0,0.0
583,20230104,PGJO,80.0,0.0,79.0,78.0,78.0,405900.0,-2.0,31860600.0,39.0,78.0,66600.0,76.0,24900.0,0.0,0.0
583,20230105,PGJO,78.0,0.0,80.0,71.0,76.0,122300.0,-2.0,9358700.0,25.0,76.0,37300.0,72.0,8100.0,0.0,0.0
586,20230106,PGJO,76.0,0.0,76.0,69.0,76.0,417700.0,0.0,29463800.0,69.0,77.0,23000.0,76.0,14400.0,0.0,0.0
587,20230109,PGJO,76.0,0.0,79.0,69.0,76.0,710000.0,0.0,54909000.0,75.0,77.0,35000.0,71.0,7400.0,0.0,0.0
587,20230110,PGJO,76.0,0.0,76.0,72.0,76.0,496300.0,0.0,36463900.0,65.0,76.0,42900.0,73.0,200.0,0.0,0.0
588,20230111,PGJO,76.0,0.0,76.0,73.0,76.0,1002100.0,0.0,74838400.0,62.0,76.0,65600.0,74.0,400.0,0.0,0.0
588,20230112,PGJO,76.0,0.0,76.0,75.0,76.0,642900.0,0.0,48560400.0,25.0,76.0,42200.0,73.0,5700.0,0.0,0.0
588,20230113,PGJO,76.0,0.0,78.0,74.0,78.0,406400.0,2.0,31087800.0,58.0,78.0,1300.0,75.0,200.0,0.0,0.0
588,20230116,PGJO,78.0,0.0,78.0,75.0,77.0,253800.0,-1.0,19539700.0,22.0,77.0,400.0,75.0,5900.0,0.0,0.0
588,20230117,PGJO,77.0,0.0,78.0,75.0,78.0,213900.0,1.0,16243000.0,17.0,77.0,2700.0,76.0,2400.0,0.0,0.0
588,20230118,PGJO,78.0,0.0,78.0,75.0,78.0,212600.0,0.0,16269300.0,26.0,78.0,73800.0,76.0,1800.0,0.0,0.0
588,20230119,PGJO,78.0,0.0,77.0,76.0,77.0,344600.0,-1.0,26384200.0,30.0,77.0,18400.0,75.0,5300.0,0.0,0.0
588,20230120,PGJO,77.0,0.0,77.0,74.0,75.0,879600.0,-2.0,66797100.0,45.0,77.0,17500.0,74.0,7500.0,0.0,0.0
589,20230124,PGJO,75.0,0.0,77.0,74.0,77.0,1045700.0,2.0,79289000.0,71.0,77.0,22300.0,74.0,9400.0,0.0,0.0
589,20230125,PGJO,77.0,0.0,77.0,76.0,77.0,1244700.0,0.0,94597500.0,41.0,77.0,37800.0,74.0,8300.0,0.0,0.0
589,20230126,PGJO,77.0,0.0,77.0,74.0,77.0,1378300.0,0.0,104772400.0,52.0,77.0,42000.0,74.0,11100.0,0.0,0.0
590,20230127,PGJO,77.0,0.0,77.0,74.0,77.0,1135800.0,0.0,86061800.0,60.0,77.0,37800.0,76.0,600.0,0.0,0.0
590,20230130,PGJO,77.0,0.0,77.0,74.0,75.0,302200.0,-2.0,22666900.0,13.0,75.0,1700.0,74.0,18900.0,0.0,0.0
590,20230131,PGJO,75.0,0.0,76.0,74.0,76.0,944800.0,1.0,70860200.0,58.0,76.0,34500.0,74.0,8000.0,0.0,0.0
591,20230201,PGJO,76.0,0.0,76.0,74.0,76.0,1446200.0,0.0,108465000.0,48.0,76.0,37800.0,74.0,13700.0,0.0,0.0
591,20230202,PGJO,76.0,0.0,77.0,74.0,77.0,1388500.0,1.0,105525600.0,51.0,77.0,35400.0,76.0,100.0,0.0,0.0
591,20230203,PGJO,77.0,0.0,76.0,75.0,76.0,1064000.0,-1.0,79800200.0,41.0,76.0,3200.0,75.0,300.0,0.0,0.0
592,20230206,PGJO,76.0,0.0,76.0,74.0,76.0,1242000.0,0.0,93150600.0,47.0,76.0,4500.0,74.0,6600.0,0.0,0.0
593,20230207,PGJO,76.0,0.0,78.0,74.0,75.0,704600.0,-1.0,52853000.0,45.0,76.0,2300.0,75.0,400.0,0.0,0.0
596,20230208,PGJO,75.0,0.0,75.0,74.0,75.0,468300.0,0.0,35116300.0,25.0,75.0,1700.0,74.0,2300.0,0.0,0.0
596,20230209,PGJO,75.0,0.0,75.0,74.0,75.0,1343900.0,0.0,100392400.0,71.0,75.0,4000.0,74.0,2200.0,0.0,0.0
596,20230210,PGJO,75.0,0.0,77.0,75.0,77.0,1038100.0,2.0,78699900.0,72.0,77.0,5800.0,75.0,600.0,0.0,0.0
596,20230213,PGJO,77.0,0.0,76.0,74.0,76.0,1203600.0,-1.0,90270300.0,42.0,76.0,16100.0,75.0,100.0,0.0,0.0
596,20230214,PGJO,76.0,0.0,72.0,69.0,69.0,506700.0,-7.0,35445300.0,32.0,69.0,42600.0,0.0,0.0,0.0,0.0
596,20230215,PGJO,69.0,0.0,72.0,66.0,72.0,490500.0,3.0,33157600.0,45.0,72.0,5400.0,68.0,6000.0,0.0,0.0
597,20230216,PGJO,72.0,0.0,70.0,67.0,69.0,573900.0,-3.0,39351400.0,35.0,70.0,500.0,69.0,500.0,0.0,0.0
597,20230217,PGJO,69.0,0.0,71.0,68.0,71.0,974700.0,2.0,66773600.0,33.0,71.0,25200.0,68.0,100.0,0.0,0.0
597,20230220,PGJO,71.0,0.0,73.0,68.0,72.0,332600.0,1.0,23283500.0,15.0,72.0,800.0,70.0,1000.0,0.0,0.0
597,20230221,PGJO,72.0,0.0,71.0,70.0,71.0,1021900.0,-1.0,72554200.0,27.0,71.0,4200.0,70.0,300.0,0.0,0.0
597,20230222,PGJO,71.0,0.0,72.0,70.0,72.0,1013300.0,1.0,70931400.0,24.0,72.0,7400.0,69.0,200.0,0.0,0.0
597,20230223,PGJO,72.0,0.0,72.0,70.0,71.0,555500.0,-1.0,39168500.0,21.0,71.0,3200.0,69.0,100.0,0.0,100.0
598,20230224,PGJO,71.0,0.0,71.0,69.0,71.0,530900.0,0.0,37162900.0,27.0,71.0,3100.0,69.0,100.0,0.0,0.0
599,20230227,PGJO,71.0,0.0,71.0,67.0,71.0,720700.0,0.0,49708500.0,43.0,71.0,3000.0,67.0,1900.0,0.0,0.0
599,20230228,PGJO,71.0,0.0,70.0,68.0,70.0,844700.0,-1.0,59128800.0,18.0,70.0,3000.0,69.0,100.0,0.0,0.0
600,20230301,PGJO,70.0,0.0,73.0,70.0,70.0,726000.0,0.0,51550700.0,28.0,70.0,500.0,68.0,200.0,0.0,0.0
600,20230302,PGJO,70.0,0.0,72.0,68.0,72.0,1592700.0,2.0,111057100.0,68.0,72.0,8900.0,71.0,300.0,0.0,0.0
601,20230303,PGJO,72.0,0.0,72.0,68.0,71.0,1526200.0,-1.0,108359200.0,54.0,71.0,300.0,69.0,200.0,0.0,0.0
