No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
585,20221230,PGUN,850.0,0.0,900.0,805.0,805.0,333600.0,-45.0,280589500.0,248.0,805.0,635000.0,800.0,3800.0,0.0,125200.0
585,20230102,PGUN,805.0,0.0,870.0,800.0,830.0,203100.0,25.0,173448500.0,115.0,830.0,3800.0,825.0,100.0,0.0,0.0
585,20230103,PGUN,830.0,0.0,870.0,810.0,820.0,106400.0,-10.0,89189000.0,195.0,820.0,712100.0,815.0,300.0,500.0,0.0
585,20230104,PGUN,820.0,0.0,900.0,800.0,900.0,120200.0,80.0,104756500.0,119.0,900.0,32600.0,795.0,100.0,3800.0,0.0
585,20230105,PGUN,900.0,0.0,900.0,840.0,840.0,65000.0,-60.0,55515500.0,62.0,840.0,1400.0,0.0,0.0,0.0,1600.0
588,20230106,PGUN,840.0,0.0,1050.0,820.0,950.0,713400.0,110.0,625900500.0,783.0,950.0,19400.0,905.0,400.0,2400.0,2200.0
589,20230109,PGUN,950.0,0.0,1185.0,945.0,1125.0,657700.0,175.0,714758500.0,665.0,1130.0,20500.0,1125.0,3482600.0,0.0,2600.0
589,20230110,PGUN,1125.0,0.0,1135.0,1050.0,1050.0,202100.0,-75.0,215172500.0,351.0,1050.0,125800.0,0.0,0.0,0.0,0.0
590,20230111,PGUN,1050.0,0.0,1115.0,980.0,980.0,216400.0,-70.0,216613500.0,357.0,980.0,148000.0,0.0,0.0,11200.0,3100.0
590,20230112,PGUN,980.0,0.0,1200.0,915.0,970.0,483900.0,-10.0,479171500.0,708.0,970.0,3600.0,965.0,200.0,29100.0,5800.0
590,20230113,PGUN,970.0,0.0,1070.0,920.0,985.0,167600.0,15.0,164277000.0,252.0,985.0,9000.0,970.0,200.0,21100.0,0.0
590,20230116,PGUN,985.0,0.0,1100.0,940.0,1080.0,326700.0,95.0,326558000.0,559.0,1080.0,6500.0,1025.0,2100.0,0.0,1000.0
590,20230117,PGUN,1080.0,0.0,1350.0,1020.0,1350.0,720800.0,270.0,790081000.0,648.0,1350.0,21800.0,1250.0,100.0,23800.0,0.0
590,20230118,PGUN,1350.0,0.0,1685.0,1260.0,1260.0,782000.0,-90.0,1084279000.0,1271.0,1260.0,34600.0,0.0,0.0,25700.0,0.0
590,20230119,PGUN,1260.0,0.0,1260.0,1175.0,1175.0,284800.0,-85.0,338605000.0,375.0,1175.0,259000.0,0.0,0.0,0.0,0.0
590,20230120,PGUN,1175.0,0.0,1130.0,1095.0,1095.0,39100.0,-80.0,42929000.0,66.0,1095.0,324500.0,0.0,0.0,0.0,400.0
591,20230124,PGUN,1095.0,0.0,1095.0,1020.0,1020.0,40900.0,-75.0,41883000.0,59.0,1020.0,893500.0,0.0,0.0,0.0,300.0
591,20230125,PGUN,1020.0,0.0,1015.0,950.0,950.0,219700.0,-70.0,210873500.0,197.0,950.0,185200.0,0.0,0.0,3300.0,0.0
591,20230126,PGUN,950.0,0.0,905.0,885.0,885.0,85800.0,-65.0,75937500.0,63.0,885.0,239200.0,0.0,0.0,0.0,0.0
592,20230127,PGUN,885.0,0.0,825.0,825.0,825.0,121100.0,-60.0,99907500.0,58.0,825.0,300100.0,0.0,0.0,0.0,0.0
592,20230130,PGUN,825.0,0.0,995.0,770.0,965.0,1445300.0,140.0,1258455000.0,877.0,965.0,16000.0,945.0,1600.0,29600.0,10600.0
592,20230131,PGUN,965.0,0.0,1100.0,945.0,965.0,634800.0,0.0,619990000.0,814.0,965.0,16500.0,955.0,1100.0,0.0,11800.0
593,20230201,PGUN,965.0,0.0,1050.0,945.0,955.0,209300.0,-10.0,204700500.0,392.0,955.0,887000.0,950.0,1700.0,0.0,100.0
593,20230202,PGUN,955.0,0.0,950.0,890.0,910.0,321900.0,-45.0,288936500.0,363.0,910.0,18000.0,0.0,0.0,0.0,0.0
593,20230203,PGUN,910.0,0.0,1135.0,900.0,1005.0,583300.0,95.0,608329500.0,274.0,1005.0,72300.0,995.0,100.0,0.0,0.0
594,20230206,PGUN,1005.0,0.0,1100.0,935.0,1010.0,700900.0,5.0,671937500.0,369.0,1010.0,8200.0,980.0,1600.0,0.0,0.0
595,20230207,PGUN,1010.0,0.0,1010.0,940.0,940.0,275600.0,-70.0,261404500.0,437.0,940.0,10500.0,0.0,0.0,4800.0,0.0
598,20230208,PGUN,940.0,0.0,985.0,875.0,975.0,208100.0,35.0,194617000.0,305.0,970.0,900.0,955.0,100.0,11800.0,11900.0
598,20230209,PGUN,975.0,0.0,1000.0,940.0,990.0,106900.0,15.0,103788000.0,212.0,990.0,36100.0,985.0,5000.0,3000.0,0.0
598,20230210,PGUN,990.0,0.0,1000.0,950.0,985.0,74100.0,-5.0,72665500.0,90.0,975.0,100.0,960.0,200.0,2300.0,0.0
598,20230213,PGUN,985.0,0.0,985.0,950.0,980.0,40800.0,-5.0,39343000.0,75.0,975.0,1100.0,965.0,100.0,0.0,100.0
598,20230214,PGUN,980.0,0.0,980.0,920.0,980.0,52500.0,0.0,50265500.0,70.0,975.0,2900.0,970.0,5000.0,0.0,0.0
598,20230215,PGUN,980.0,0.0,1150.0,950.0,1015.0,307600.0,35.0,308001500.0,373.0,1015.0,112800.0,1005.0,200.0,0.0,0.0
599,20230216,PGUN,1015.0,0.0,1100.0,995.0,1025.0,85100.0,10.0,87633500.0,187.0,1025.0,882500.0,1000.0,700.0,2500.0,0.0
599,20230217,PGUN,1025.0,0.0,1245.0,1030.0,1110.0,439500.0,85.0,489275000.0,802.0,1110.0,4700.0,1095.0,100.0,0.0,0.0
599,20230220,PGUN,1110.0,0.0,1200.0,1095.0,1180.0,137500.0,70.0,158627500.0,232.0,1180.0,24000.0,1160.0,200.0,0.0,0.0
599,20230221,PGUN,1180.0,0.0,1300.0,1100.0,1140.0,473500.0,-40.0,574850000.0,723.0,1140.0,122800.0,1135.0,100.0,0.0,20000.0
