No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
587,20221230,PJAA,715.0,0.0,735.0,710.0,720.0,41400.0,5.0,29502500.0,41.0,720.0,2600.0,715.0,1900.0,0.0,0.0
587,20230102,PJAA,720.0,0.0,720.0,705.0,710.0,35800.0,-10.0,25342500.0,32.0,715.0,15000.0,710.0,10700.0,0.0,0.0
587,20230103,PJAA,710.0,0.0,715.0,675.0,710.0,109100.0,0.0,76260500.0,80.0,715.0,21000.0,710.0,200.0,0.0,0.0
587,20230104,PJAA,710.0,0.0,710.0,690.0,700.0,80400.0,-10.0,56362000.0,94.0,700.0,4800.0,695.0,113000.0,0.0,0.0
587,20230105,PJAA,700.0,0.0,705.0,685.0,695.0,197400.0,-5.0,136940000.0,99.0,695.0,30100.0,685.0,39000.0,0.0,0.0
590,20230106,PJAA,695.0,0.0,695.0,685.0,695.0,246700.0,0.0,170226000.0,85.0,695.0,14300.0,690.0,30100.0,0.0,195500.0
591,20230109,PJAA,695.0,0.0,705.0,690.0,700.0,86400.0,5.0,60005500.0,55.0,700.0,47800.0,695.0,200.0,0.0,31700.0
591,20230110,PJAA,700.0,0.0,700.0,685.0,690.0,229400.0,-10.0,158186000.0,93.0,695.0,30500.0,690.0,27700.0,0.0,146600.0
592,20230111,PJAA,690.0,0.0,695.0,685.0,695.0,330300.0,5.0,227885500.0,41.0,695.0,15600.0,690.0,18300.0,0.0,299100.0
592,20230112,PJAA,695.0,0.0,705.0,690.0,690.0,161800.0,-5.0,111756500.0,63.0,695.0,19400.0,690.0,21900.0,0.0,84700.0
592,20230113,PJAA,690.0,0.0,700.0,685.0,695.0,8000.0,5.0,5522000.0,6.0,695.0,51800.0,690.0,13200.0,0.0,0.0
592,20230116,PJAA,695.0,0.0,690.0,685.0,690.0,88600.0,-5.0,60880500.0,30.0,690.0,72700.0,685.0,49400.0,0.0,0.0
592,20230117,PJAA,690.0,0.0,695.0,680.0,690.0,176300.0,0.0,120470000.0,56.0,690.0,4800.0,685.0,20100.0,0.0,0.0
592,20230118,PJAA,690.0,0.0,695.0,685.0,695.0,13600.0,5.0,9368000.0,28.0,695.0,18900.0,690.0,5500.0,0.0,0.0
592,20230119,PJAA,695.0,0.0,695.0,680.0,695.0,31800.0,0.0,21826500.0,38.0,695.0,9700.0,685.0,18300.0,0.0,0.0
592,20230120,PJAA,695.0,0.0,695.0,685.0,690.0,43400.0,-5.0,29798500.0,22.0,690.0,149100.0,685.0,9800.0,0.0,0.0
593,20230124,PJAA,690.0,0.0,695.0,675.0,690.0,227700.0,0.0,155082000.0,90.0,690.0,21300.0,685.0,30800.0,0.0,0.0
593,20230125,PJAA,690.0,0.0,695.0,680.0,695.0,17100.0,5.0,11838500.0,26.0,695.0,89200.0,690.0,11000.0,0.0,0.0
593,20230126,PJAA,695.0,0.0,695.0,685.0,695.0,27300.0,0.0,18823500.0,29.0,695.0,16000.0,690.0,2500.0,0.0,0.0
594,20230127,PJAA,695.0,0.0,700.0,690.0,695.0,172300.0,0.0,120172500.0,31.0,700.0,202200.0,695.0,27100.0,0.0,0.0
594,20230130,PJAA,695.0,0.0,700.0,690.0,695.0,105100.0,0.0,73020500.0,54.0,695.0,5100.0,690.0,2400.0,0.0,0.0
594,20230131,PJAA,695.0,0.0,695.0,685.0,690.0,166400.0,-5.0,114853000.0,52.0,695.0,7400.0,685.0,102800.0,153800.0,0.0
595,20230201,PJAA,690.0,0.0,690.0,685.0,690.0,127000.0,0.0,87563500.0,50.0,695.0,6200.0,685.0,49500.0,100300.0,0.0
595,20230202,PJAA,690.0,0.0,700.0,690.0,695.0,66900.0,5.0,46384000.0,46.0,700.0,77000.0,695.0,17800.0,0.0,0.0
