No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
589,20221230,PLAN,29.0,0.0,29.0,27.0,27.0,544000.0,-2.0,15066700.0,70.0,29.0,767800.0,27.0,930500.0,0.0,0.0
589,20230102,PLAN,27.0,0.0,29.0,27.0,29.0,112600.0,2.0,3134500.0,46.0,29.0,1758900.0,28.0,10000.0,0.0,0.0
589,20230103,PLAN,29.0,0.0,29.0,27.0,28.0,3501700.0,-1.0,94646400.0,143.0,28.0,880300.0,27.0,202500.0,0.0,0.0
589,20230104,PLAN,28.0,0.0,28.0,27.0,27.0,271500.0,-1.0,7363800.0,35.0,28.0,924500.0,27.0,190200.0,0.0,0.0
589,20230105,PLAN,27.0,0.0,28.0,27.0,27.0,424500.0,0.0,11659000.0,56.0,27.0,15900.0,26.0,643500.0,0.0,20000.0
592,20230106,PLAN,27.0,0.0,28.0,27.0,28.0,215200.0,1.0,5811800.0,41.0,28.0,816600.0,27.0,934900.0,0.0,0.0
593,20230109,PLAN,28.0,0.0,28.0,27.0,27.0,342400.0,-1.0,9246900.0,41.0,27.0,342900.0,26.0,633400.0,0.0,0.0
593,20230110,PLAN,27.0,0.0,28.0,26.0,27.0,409300.0,0.0,10695800.0,39.0,27.0,55200.0,26.0,371100.0,0.0,0.0
594,20230111,PLAN,27.0,0.0,28.0,26.0,26.0,2367000.0,-1.0,62909900.0,50.0,27.0,769800.0,26.0,21600.0,0.0,30100.0
594,20230112,PLAN,26.0,0.0,27.0,24.0,27.0,902000.0,1.0,22473600.0,62.0,27.0,340800.0,26.0,100.0,50000.0,50000.0
594,20230113,PLAN,27.0,0.0,27.0,26.0,26.0,155900.0,-1.0,4126200.0,35.0,27.0,478200.0,26.0,131800.0,50100.0,0.0
594,20230116,PLAN,26.0,0.0,27.0,26.0,27.0,162400.0,1.0,4283900.0,38.0,27.0,1165000.0,26.0,103600.0,0.0,0.0
594,20230117,PLAN,27.0,0.0,27.0,25.0,25.0,5640400.0,-2.0,141312900.0,246.0,26.0,573200.0,25.0,28800.0,0.0,50100.0
594,20230118,PLAN,25.0,0.0,26.0,25.0,26.0,2794900.0,1.0,70093700.0,82.0,26.0,2277200.0,25.0,2462100.0,50100.0,0.0
594,20230119,PLAN,26.0,0.0,26.0,25.0,25.0,590700.0,-1.0,14781200.0,77.0,26.0,1513200.0,25.0,337100.0,0.0,75100.0
594,20230120,PLAN,25.0,0.0,26.0,24.0,25.0,546200.0,0.0,13665300.0,68.0,25.0,68900.0,24.0,1297200.0,0.0,0.0
595,20230124,PLAN,25.0,0.0,26.0,24.0,26.0,1699300.0,1.0,43965600.0,82.0,26.0,55600.0,25.0,709600.0,75100.0,0.0
595,20230125,PLAN,26.0,0.0,26.0,25.0,26.0,914000.0,0.0,23352400.0,50.0,26.0,350200.0,25.0,541300.0,0.0,278300.0
595,20230126,PLAN,26.0,0.0,26.0,25.0,25.0,399000.0,-1.0,10350700.0,32.0,26.0,600.0,25.0,623500.0,278300.0,0.0
596,20230127,PLAN,25.0,0.0,26.0,25.0,26.0,913600.0,1.0,23631100.0,68.0,27.0,843200.0,26.0,1800.0,0.0,0.0
596,20230130,PLAN,26.0,0.0,27.0,25.0,27.0,828800.0,1.0,21450400.0,63.0,26.0,2400.0,25.0,1479400.0,0.0,0.0
596,20230131,PLAN,27.0,0.0,27.0,26.0,27.0,100800.0,0.0,2640200.0,40.0,27.0,860000.0,26.0,34000.0,0.0,18000.0
597,20230201,PLAN,27.0,0.0,27.0,25.0,27.0,701000.0,0.0,17948700.0,56.0,27.0,885800.0,26.0,21000.0,0.0,0.0
