No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
594,20221230,PNBN,1545.0,0.0,1560.0,1525.0,1540.0,1312000.0,-5.0,2022103500.0,455.0,1550.0,17700.0,1540.0,11800.0,330600.0,540300.0
594,20230102,PNBN,1540.0,0.0,1575.0,1455.0,1470.0,6824200.0,-70.0,10212140500.0,756.0,1485.0,3100.0,1470.0,138900.0,127600.0,987800.0
594,20230103,PNBN,1470.0,0.0,1475.0,1400.0,1410.0,6106200.0,-60.0,8741953000.0,1136.0,1420.0,6300.0,1410.0,122600.0,632800.0,1931600.0
594,20230104,PNBN,1410.0,0.0,1460.0,1395.0,1400.0,5841900.0,-10.0,8291736500.0,1154.0,1410.0,8700.0,1400.0,66400.0,620100.0,1252400.0
594,20230105,PNBN,1400.0,0.0,1415.0,1305.0,1305.0,9304100.0,-95.0,12281783000.0,1334.0,1305.0,2275300.0,0.0,0.0,251900.0,1585000.0
597,20230106,PNBN,1305.0,0.0,1305.0,1230.0,1255.0,10582000.0,-50.0,13408018000.0,1375.0,1270.0,25700.0,1255.0,66200.0,880800.0,5889000.0
598,20230109,PNBN,1255.0,0.0,1335.0,1260.0,1315.0,4926900.0,60.0,6427324000.0,1125.0,1315.0,300.0,1305.0,50000.0,660000.0,2846900.0
598,20230110,PNBN,1315.0,0.0,1315.0,1225.0,1230.0,2970000.0,-85.0,3755267500.0,787.0,1235.0,26000.0,1230.0,187800.0,444000.0,784600.0
599,20230111,PNBN,1230.0,0.0,1275.0,1225.0,1250.0,2426700.0,20.0,3051490500.0,1271.0,1260.0,5000.0,1250.0,325400.0,246500.0,939300.0
599,20230112,PNBN,1250.0,0.0,1345.0,1260.0,1340.0,4019900.0,90.0,5332148000.0,1454.0,1340.0,85900.0,1320.0,14600.0,770400.0,1087600.0
599,20230113,PNBN,1340.0,0.0,1365.0,1310.0,1320.0,2418700.0,-20.0,3234464000.0,693.0,1325.0,200.0,1315.0,77300.0,913700.0,380700.0
599,20230116,PNBN,1320.0,0.0,1325.0,1300.0,1305.0,654100.0,-15.0,857632000.0,444.0,1315.0,900.0,1305.0,66800.0,291700.0,117900.0
599,20230117,PNBN,1305.0,0.0,1360.0,1305.0,1340.0,1931500.0,35.0,2573412000.0,734.0,1345.0,100.0,1340.0,108500.0,1053000.0,416800.0
599,20230118,PNBN,1340.0,0.0,1405.0,1330.0,1365.0,1228100.0,25.0,1682767500.0,521.0,1380.0,6900.0,1365.0,36400.0,489800.0,121700.0
599,20230119,PNBN,1365.0,0.0,1395.0,1350.0,1375.0,1472400.0,10.0,2021058500.0,890.0,1385.0,7000.0,1375.0,519400.0,478600.0,424200.0
599,20230120,PNBN,1375.0,0.0,1395.0,1365.0,1390.0,1551900.0,15.0,2145049000.0,403.0,1390.0,208700.0,1385.0,66700.0,801700.0,222200.0
600,20230124,PNBN,1390.0,0.0,1430.0,1375.0,1395.0,2249500.0,5.0,3136117500.0,853.0,1400.0,200.0,1385.0,31000.0,1266100.0,278600.0
600,20230125,PNBN,1395.0,0.0,1540.0,1395.0,1525.0,7497900.0,130.0,11215994500.0,2066.0,1525.0,15300.0,1520.0,12600.0,1628600.0,2335100.0
600,20230126,PNBN,1525.0,0.0,1620.0,1505.0,1610.0,21020900.0,85.0,33395237000.0,3789.0,1610.0,56100.0,1605.0,112200.0,3409700.0,4769600.0
601,20230127,PNBN,1610.0,0.0,1695.0,1590.0,1625.0,9205200.0,15.0,15129386000.0,2393.0,1630.0,127100.0,1615.0,50100.0,2095700.0,1925000.0
601,20230130,PNBN,1625.0,0.0,1670.0,1600.0,1600.0,6190400.0,-25.0,10121399000.0,1293.0,1620.0,300.0,1600.0,14000.0,1472500.0,1897100.0
601,20230131,PNBN,1600.0,0.0,1625.0,1575.0,1580.0,2584500.0,-20.0,4123473500.0,762.0,1580.0,200.0,1575.0,67600.0,776000.0,679400.0
602,20230201,PNBN,1580.0,0.0,1650.0,1580.0,1585.0,3131800.0,5.0,5037080500.0,1050.0,1585.0,153400.0,1580.0,32500.0,911600.0,982900.0
602,20230202,PNBN,1585.0,0.0,1650.0,1520.0,1640.0,4709500.0,55.0,7561509500.0,1303.0,1640.0,100.0,1630.0,22600.0,832300.0,2078700.0
602,20230203,PNBN,1640.0,0.0,1665.0,1585.0,1585.0,3256900.0,-55.0,5302580000.0,1170.0,1590.0,1000.0,1585.0,44400.0,1227300.0,1071000.0
603,20230206,PNBN,1585.0,0.0,1625.0,1545.0,1545.0,2296600.0,-40.0,3655176500.0,988.0,1550.0,100.0,1545.0,6900.0,685600.0,484100.0
604,20230207,PNBN,1545.0,0.0,1610.0,1495.0,1500.0,9294300.0,-45.0,14176168500.0,2167.0,1505.0,8400.0,1500.0,28100.0,452900.0,3786000.0
607,20230208,PNBN,1500.0,0.0,1540.0,1475.0,1500.0,2916100.0,0.0,4373795500.0,1322.0,1510.0,11400.0,1500.0,124300.0,952000.0,1403000.0
607,20230209,PNBN,1500.0,0.0,1535.0,1475.0,1500.0,2447900.0,0.0,3680848500.0,1125.0,1500.0,3100.0,1495.0,200.0,150700.0,833500.0
607,20230210,PNBN,1500.0,0.0,1500.0,1420.0,1445.0,6824700.0,-55.0,9941082000.0,1569.0,1455.0,14300.0,1445.0,1700.0,4314200.0,1260000.0
607,20230213,PNBN,1445.0,0.0,1530.0,1420.0,1465.0,5075500.0,20.0,7591761000.0,2205.0,1465.0,114000.0,1460.0,23900.0,1805700.0,1395100.0
607,20230214,PNBN,1465.0,0.0,1510.0,1465.0,1480.0,1472700.0,15.0,2186280500.0,973.0,1480.0,110900.0,1475.0,1000.0,700800.0,240100.0
607,20230215,PNBN,1480.0,0.0,1485.0,1405.0,1420.0,2663900.0,-60.0,3824951000.0,1276.0,1435.0,12900.0,1415.0,13700.0,1269600.0,483200.0
608,20230216,PNBN,1420.0,0.0,1450.0,1400.0,1405.0,1534400.0,-15.0,2183239000.0,846.0,1420.0,20000.0,1405.0,36200.0,1225600.0,165800.0
608,20230217,PNBN,1405.0,0.0,1435.0,1410.0,1425.0,830000.0,20.0,1180351500.0,457.0,1425.0,500.0,1420.0,8800.0,268500.0,61500.0
608,20230220,PNBN,1425.0,0.0,1575.0,1445.0,1555.0,17384000.0,130.0,26725826500.0,3438.0,1555.0,137500.0,1550.0,157900.0,4484400.0,2823300.0
608,20230221,PNBN,1555.0,0.0,1575.0,1470.0,1470.0,8703300.0,-85.0,13232128000.0,2064.0,1470.0,60100.0,1465.0,40700.0,2988900.0,618500.0
608,20230222,PNBN,1470.0,0.0,1495.0,1425.0,1440.0,4701700.0,-30.0,6829168000.0,982.0,1440.0,190700.0,1435.0,12500.0,1256400.0,533400.0
608,20230223,PNBN,1440.0,0.0,1450.0,1370.0,1395.0,4480300.0,-45.0,6276548000.0,872.0,1400.0,143600.0,1395.0,48500.0,1591000.0,522600.0
609,20230224,PNBN,1395.0,0.0,1440.0,1395.0,1415.0,2428500.0,20.0,3435589000.0,664.0,1415.0,72800.0,1410.0,200.0,455500.0,456500.0
610,20230227,PNBN,1415.0,0.0,1430.0,1350.0,1395.0,3170900.0,-20.0,4374295000.0,649.0,1400.0,6000.0,1395.0,57900.0,258700.0,520800.0
610,20230228,PNBN,1395.0,0.0,1445.0,1340.0,1445.0,8566300.0,50.0,12054719500.0,1904.0,1445.0,475700.0,1390.0,200.0,698100.0,5339200.0
611,20230301,PNBN,1445.0,0.0,1510.0,1420.0,1475.0,4835700.0,30.0,7097501000.0,1193.0,1475.0,36600.0,1470.0,113700.0,1292100.0,893700.0
611,20230302,PNBN,1475.0,0.0,1520.0,1425.0,1430.0,3919200.0,-45.0,5768350500.0,959.0,1440.0,10000.0,1430.0,18400.0,573500.0,550000.0
612,20230303,PNBN,1430.0,0.0,1460.0,1410.0,1455.0,2313500.0,25.0,3334878500.0,556.0,1460.0,7900.0,1455.0,23500.0,294300.0,569500.0
612,20230306,PNBN,1455.0,0.0,1530.0,1445.0,1525.0,5697200.0,70.0,8539347000.0,1209.0,1530.0,172900.0,1525.0,70500.0,943800.0,1839100.0
