No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
595,20221230,PNBS,64.0,0.0,65.0,63.0,63.0,12961800.0,-1.0,820853500.0,757.0,64.0,367900.0,63.0,9225600.0,0.0,1197000.0
595,20230102,PNBS,63.0,0.0,68.0,63.0,66.0,86018600.0,3.0,5700782400.0,23722.0,66.0,533600.0,65.0,4332400.0,2663300.0,151800.0
595,20230103,PNBS,66.0,0.0,67.0,65.0,65.0,24663300.0,-1.0,1615293200.0,1275.0,66.0,3143600.0,65.0,5234300.0,2545600.0,863400.0
595,20230104,PNBS,65.0,0.0,67.0,65.0,65.0,23788600.0,0.0,1556456700.0,1237.0,65.0,2255100.0,64.0,16520400.0,3940900.0,100000.0
595,20230105,PNBS,65.0,0.0,65.0,62.0,63.0,31468000.0,-2.0,1999967400.0,1282.0,63.0,1507100.0,62.0,6335100.0,975000.0,1656000.0
598,20230106,PNBS,63.0,0.0,64.0,62.0,64.0,10438800.0,1.0,656085000.0,688.0,64.0,6492200.0,63.0,2308000.0,1232500.0,0.0
599,20230109,PNBS,64.0,0.0,65.0,63.0,63.0,19289200.0,-1.0,1227593400.0,730.0,64.0,3894400.0,63.0,6285600.0,420400.0,537700.0
599,20230110,PNBS,63.0,0.0,64.0,62.0,62.0,12528600.0,-1.0,783858800.0,820.0,63.0,3153700.0,62.0,7977100.0,261400.0,750300.0
600,20230111,PNBS,62.0,0.0,63.0,61.0,62.0,12568800.0,0.0,780132100.0,765.0,63.0,3805600.0,62.0,445600.0,1046300.0,1879300.0
600,20230112,PNBS,62.0,0.0,64.0,62.0,63.0,16818100.0,1.0,1060880700.0,654.0,64.0,5445300.0,63.0,4442500.0,1759500.0,351200.0
600,20230113,PNBS,63.0,0.0,64.0,62.0,62.0,14171900.0,-1.0,884099000.0,616.0,63.0,2466800.0,62.0,3211400.0,771500.0,979100.0
600,20230116,PNBS,62.0,0.0,63.0,61.0,63.0,12818700.0,1.0,796015900.0,614.0,63.0,5841800.0,62.0,5327900.0,591900.0,44900.0
600,20230117,PNBS,63.0,0.0,64.0,62.0,64.0,18542600.0,1.0,1168800200.0,653.0,64.0,9136900.0,63.0,1678000.0,1000.0,878000.0
600,20230118,PNBS,64.0,0.0,65.0,62.0,64.0,20954000.0,0.0,1337193700.0,1001.0,64.0,882600.0,63.0,5137600.0,275000.0,200.0
600,20230119,PNBS,64.0,0.0,65.0,63.0,65.0,9933300.0,1.0,633383100.0,665.0,65.0,9890100.0,64.0,2798700.0,500100.0,1553800.0
600,20230120,PNBS,65.0,0.0,66.0,64.0,66.0,15533500.0,1.0,1011849700.0,747.0,66.0,5599900.0,65.0,3821800.0,0.0,1443500.0
601,20230124,PNBS,66.0,0.0,67.0,64.0,66.0,18146900.0,0.0,1183903500.0,1085.0,66.0,5217900.0,65.0,411300.0,1472200.0,1206000.0
601,20230125,PNBS,66.0,0.0,70.0,65.0,68.0,123728600.0,2.0,8399231400.0,26040.0,69.0,4832900.0,68.0,4219900.0,1656400.0,2090000.0
601,20230126,PNBS,68.0,0.0,70.0,67.0,69.0,94638100.0,1.0,6493344700.0,2456.0,69.0,1631200.0,68.0,20225800.0,755200.0,3283200.0
602,20230127,PNBS,69.0,0.0,71.0,68.0,68.0,73785700.0,-1.0,5123024000.0,2761.0,69.0,34823800.0,68.0,9333500.0,2092600.0,1124000.0
602,20230130,PNBS,68.0,0.0,69.0,67.0,68.0,23461200.0,0.0,1598658400.0,996.0,68.0,22300.0,67.0,12013800.0,286700.0,415100.0
602,20230131,PNBS,68.0,0.0,69.0,67.0,67.0,13998100.0,-1.0,939780900.0,709.0,68.0,2215000.0,67.0,1129400.0,289000.0,268300.0
603,20230201,PNBS,67.0,0.0,69.0,67.0,67.0,14137700.0,0.0,959155200.0,686.0,68.0,1453200.0,67.0,11194900.0,821000.0,400.0
603,20230202,PNBS,67.0,0.0,69.0,67.0,68.0,10497400.0,1.0,711794300.0,623.0,68.0,2519200.0,67.0,15486700.0,707100.0,1071300.0
603,20230203,PNBS,68.0,0.0,68.0,67.0,67.0,8930000.0,-1.0,603466300.0,561.0,68.0,9937000.0,67.0,11836200.0,27500.0,1303200.0
604,20230206,PNBS,67.0,0.0,68.0,66.0,66.0,18706800.0,-1.0,1241723800.0,1175.0,67.0,7498900.0,66.0,354500.0,1685200.0,2433500.0
605,20230207,PNBS,66.0,0.0,67.0,65.0,66.0,17614400.0,0.0,1158331900.0,913.0,66.0,460700.0,65.0,3885500.0,1222700.0,1688200.0
608,20230208,PNBS,66.0,0.0,67.0,65.0,66.0,9917000.0,0.0,655823000.0,591.0,67.0,2454200.0,66.0,1538100.0,91300.0,372600.0
608,20230209,PNBS,66.0,0.0,67.0,65.0,66.0,9490200.0,0.0,627249000.0,716.0,66.0,569400.0,65.0,6521300.0,861000.0,792100.0
608,20230210,PNBS,66.0,0.0,66.0,64.0,65.0,17104700.0,-1.0,1109396300.0,919.0,66.0,3956400.0,65.0,402400.0,1430700.0,1424600.0
608,20230213,PNBS,65.0,0.0,66.0,64.0,65.0,10627100.0,0.0,689709700.0,732.0,66.0,5720000.0,65.0,426000.0,571500.0,316100.0
608,20230214,PNBS,65.0,0.0,66.0,64.0,65.0,14344500.0,0.0,935607200.0,653.0,66.0,3608300.0,65.0,2110600.0,1516900.0,1162900.0
608,20230215,PNBS,65.0,0.0,66.0,64.0,65.0,12809800.0,0.0,830563200.0,729.0,66.0,5660200.0,65.0,200400.0,195300.0,316900.0
609,20230216,PNBS,65.0,0.0,69.0,65.0,68.0,84058100.0,3.0,5676182600.0,33995.0,68.0,5066200.0,67.0,138500.0,3083400.0,357600.0
609,20230217,PNBS,68.0,0.0,68.0,66.0,66.0,17461000.0,-2.0,1165275200.0,956.0,67.0,290300.0,66.0,5889100.0,100.0,316100.0
609,20230220,PNBS,66.0,0.0,70.0,66.0,69.0,72407000.0,3.0,4951470700.0,2740.0,69.0,3195100.0,68.0,1590500.0,77500.0,346000.0
609,20230221,PNBS,69.0,0.0,71.0,67.0,67.0,56645200.0,-2.0,3890688600.0,1920.0,68.0,2367600.0,67.0,7213700.0,200100.0,466600.0
609,20230222,PNBS,67.0,0.0,68.0,66.0,66.0,13255500.0,-1.0,880838300.0,911.0,67.0,2143700.0,66.0,2979600.0,30100.0,135200.0
609,20230223,PNBS,66.0,0.0,67.0,65.0,66.0,10468500.0,0.0,690061000.0,557.0,66.0,1410700.0,65.0,7328200.0,0.0,0.0
610,20230224,PNBS,66.0,0.0,67.0,65.0,67.0,14750600.0,1.0,978959800.0,757.0,67.0,1870200.0,66.0,1690000.0,0.0,437400.0
611,20230227,PNBS,67.0,0.0,67.0,65.0,65.0,15205700.0,-2.0,1003211000.0,868.0,66.0,197900.0,65.0,14611700.0,1278900.0,738000.0
611,20230228,PNBS,65.0,0.0,66.0,64.0,65.0,19831800.0,0.0,1291308700.0,893.0,66.0,3748400.0,65.0,2625800.0,0.0,710600.0
612,20230301,PNBS,65.0,0.0,68.0,65.0,66.0,48325600.0,1.0,3213402800.0,14975.0,66.0,2830800.0,65.0,10341000.0,3252600.0,308300.0
