No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
596,20221230,PNGO,1275.0,0.0,1400.0,1275.0,1400.0,14700.0,125.0,20036000.0,45.0,1400.0,1100.0,1300.0,600.0,0.0,0.0
596,20230102,PNGO,1400.0,0.0,1400.0,1305.0,1350.0,16700.0,-50.0,21842500.0,19.0,1350.0,5600.0,1310.0,500.0,0.0,0.0
596,20230103,PNGO,1350.0,0.0,1350.0,1285.0,1315.0,6700.0,-35.0,8810000.0,19.0,1320.0,6200.0,1315.0,900.0,0.0,0.0
596,20230104,PNGO,1315.0,0.0,1300.0,1270.0,1300.0,8600.0,-15.0,10964000.0,14.0,1300.0,700.0,1275.0,100.0,0.0,0.0
596,20230105,PNGO,1300.0,0.0,1295.0,1295.0,1295.0,400.0,-5.0,518000.0,4.0,1295.0,1100.0,1260.0,10100.0,0.0,0.0
599,20230106,PNGO,1295.0,0.0,1300.0,1210.0,1295.0,1300.0,0.0,1669000.0,7.0,1300.0,1200.0,1295.0,100.0,0.0,0.0
600,20230109,PNGO,1295.0,0.0,1295.0,1295.0,1295.0,700.0,0.0,906500.0,2.0,1295.0,400.0,1260.0,10000.0,0.0,0.0
600,20230110,PNGO,1295.0,0.0,1295.0,1260.0,1270.0,1200.0,-25.0,1525500.0,10.0,1290.0,200.0,1270.0,1700.0,0.0,0.0
601,20230111,PNGO,1270.0,0.0,1295.0,1270.0,1280.0,10500.0,10.0,13342000.0,6.0,1285.0,3600.0,1280.0,100.0,0.0,0.0
601,20230112,PNGO,1280.0,0.0,1300.0,1265.0,1300.0,3400.0,20.0,4343000.0,13.0,1300.0,10000.0,1265.0,9800.0,0.0,0.0
601,20230113,PNGO,1300.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,1300.0,500.0,1275.0,100.0,0.0,0.0
601,20230116,PNGO,1300.0,0.0,1285.0,1285.0,1285.0,1300.0,-15.0,1670500.0,7.0,1285.0,600.0,1280.0,200.0,0.0,0.0
601,20230117,PNGO,1285.0,0.0,1280.0,1280.0,1280.0,500.0,-5.0,640000.0,4.0,1300.0,4600.0,1280.0,800.0,0.0,0.0
