No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
615,20221230,PRIM,175.0,0.0,181.0,167.0,173.0,118100.0,-2.0,20722200.0,52.0,177.0,10900.0,173.0,7400.0,0.0,0.0
615,20230102,PRIM,173.0,0.0,185.0,171.0,177.0,99600.0,4.0,17993500.0,76.0,182.0,2000.0,179.0,800.0,0.0,0.0
615,20230103,PRIM,177.0,0.0,187.0,178.0,186.0,177700.0,9.0,32628700.0,79.0,186.0,45600.0,180.0,100.0,0.0,0.0
615,20230104,PRIM,186.0,0.0,186.0,176.0,183.0,588500.0,-3.0,107381300.0,43.0,183.0,88900.0,181.0,2500.0,0.0,0.0
615,20230105,PRIM,183.0,0.0,186.0,178.0,178.0,291300.0,-5.0,52147300.0,41.0,179.0,9400.0,178.0,107600.0,0.0,0.0
618,20230106,PRIM,178.0,0.0,180.0,175.0,177.0,142900.0,-1.0,25193600.0,32.0,179.0,1100.0,177.0,26100.0,0.0,0.0
619,20230109,PRIM,177.0,0.0,184.0,175.0,176.0,70500.0,-1.0,12463800.0,31.0,180.0,65700.0,176.0,2100.0,0.0,0.0
619,20230110,PRIM,176.0,0.0,181.0,172.0,173.0,217800.0,-3.0,37646100.0,69.0,174.0,10000.0,171.0,37800.0,0.0,0.0
620,20230111,PRIM,173.0,0.0,177.0,172.0,173.0,174000.0,0.0,30385900.0,34.0,173.0,151600.0,172.0,28900.0,0.0,0.0
620,20230112,PRIM,173.0,0.0,178.0,173.0,176.0,21900.0,3.0,3797400.0,14.0,176.0,28100.0,174.0,7500.0,0.0,0.0
620,20230113,PRIM,176.0,0.0,180.0,173.0,176.0,19000.0,0.0,3333400.0,20.0,176.0,5300.0,174.0,500.0,0.0,0.0
620,20230116,PRIM,176.0,0.0,179.0,175.0,176.0,37000.0,0.0,6513500.0,35.0,176.0,1600.0,175.0,39500.0,0.0,0.0
620,20230117,PRIM,176.0,0.0,178.0,174.0,178.0,51000.0,2.0,8939100.0,41.0,179.0,6100.0,175.0,500.0,0.0,0.0
620,20230118,PRIM,178.0,0.0,178.0,175.0,176.0,39800.0,-2.0,7029700.0,34.0,176.0,163000.0,175.0,1400.0,0.0,0.0
620,20230119,PRIM,176.0,0.0,175.0,172.0,175.0,56700.0,-1.0,9845000.0,36.0,175.0,265600.0,173.0,1300.0,0.0,0.0
620,20230120,PRIM,175.0,0.0,180.0,172.0,174.0,120500.0,-1.0,20881900.0,56.0,174.0,224200.0,173.0,339900.0,0.0,0.0
621,20230124,PRIM,174.0,0.0,177.0,172.0,174.0,70300.0,0.0,12260300.0,30.0,175.0,38400.0,174.0,9000.0,0.0,0.0
621,20230125,PRIM,174.0,0.0,174.0,170.0,173.0,363100.0,-1.0,62162400.0,42.0,174.0,3200.0,173.0,14900.0,0.0,0.0
