No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
719,20250708,PSAT,900.0,1125.0,1125.0,1125.0,1125.0,363400.0,225.0,408825000.0,1573.0,0.0,0.0,1125.0,152425100.0,300.0,0.0
721,20250709,PSAT,1125.0,1405.0,1405.0,1405.0,1405.0,462600.0,280.0,649953000.0,2284.0,0.0,0.0,1405.0,73796500.0,700.0,0.0
725,20250710,PSAT,1405.0,1755.0,1755.0,1755.0,1755.0,4385400.0,350.0,7696377000.0,9959.0,0.0,0.0,1755.0,32367400.0,500.0,1549500.0
725,20250711,PSAT,1755.0,2190.0,2190.0,1755.0,2190.0,78046100.0,435.0,166068098000.0,103596.0,0.0,0.0,2190.0,3911900.0,2184000.0,1857000.0
725,20250714,PSAT,2190.0,2200.0,2730.0,2200.0,2730.0,42940800.0,540.0,110308535000.0,35609.0,0.0,0.0,2730.0,3553700.0,262100.0,114400.0
725,20250715,PSAT,2730.0,2890.0,3410.0,2550.0,2640.0,87639700.0,-90.0,267968530000.0,63689.0,2640.0,274200.0,2630.0,36900.0,388700.0,661000.0
725,20250716,PSAT,2640.0,2640.0,2650.0,2270.0,2440.0,35718600.0,-200.0,88656303000.0,32709.0,2440.0,275300.0,2430.0,25400.0,136300.0,356600.0
725,20250717,PSAT,2440.0,2450.0,2950.0,2450.0,2610.0,53768700.0,170.0,146809396000.0,33065.0,2610.0,63600.0,2600.0,90600.0,470300.0,1367500.0
725,20250718,PSAT,2610.0,2620.0,2730.0,2440.0,2480.0,21105300.0,-130.0,54391528000.0,16703.0,2480.0,148200.0,2470.0,220500.0,1107700.0,28500.0
713,20250721,PSAT,2480.0,2480.0,2480.0,2160.0,2190.0,15078500.0,-290.0,33889114000.0,16161.0,2200.0,71500.0,2190.0,2300.0,403300.0,784200.0
713,20250722,PSAT,2190.0,2180.0,2180.0,1905.0,1945.0,18105800.0,-245.0,36067162500.0,14980.0,1945.0,206900.0,1940.0,53400.0,784000.0,1686700.0
713,20250723,PSAT,1945.0,1945.0,2060.0,1865.0,1950.0,15149000.0,5.0,29729580500.0,9755.0,1950.0,16200.0,1945.0,41400.0,606400.0,318100.0
713,20250724,PSAT,1950.0,1950.0,2030.0,1890.0,1990.0,6791800.0,40.0,13437417500.0,4743.0,1990.0,13500.0,1985.0,700.0,317900.0,59700.0
713,20250725,PSAT,1990.0,2030.0,2100.0,1870.0,1880.0,13676500.0,-110.0,26920781000.0,8242.0,1885.0,100.0,1880.0,40400.0,456100.0,501700.0
