No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
618,20221230,PSGO,147.0,0.0,146.0,143.0,146.0,54700.0,-1.0,7942100.0,39.0,146.0,11200.0,143.0,5400.0,0.0,0.0
618,20230102,PSGO,146.0,0.0,147.0,143.0,147.0,87600.0,1.0,12831300.0,32.0,147.0,42800.0,145.0,300.0,0.0,0.0
618,20230103,PSGO,147.0,0.0,155.0,143.0,155.0,378300.0,8.0,56873600.0,70.0,155.0,71900.0,154.0,2800.0,0.0,0.0
618,20230104,PSGO,155.0,0.0,157.0,150.0,157.0,102100.0,2.0,15810400.0,36.0,157.0,29900.0,156.0,900.0,0.0,0.0
618,20230105,PSGO,157.0,0.0,157.0,151.0,154.0,20800.0,-3.0,3241600.0,28.0,154.0,113000.0,153.0,500.0,0.0,0.0
621,20230106,PSGO,154.0,0.0,156.0,150.0,156.0,86000.0,2.0,13287200.0,44.0,156.0,28900.0,155.0,25000.0,100.0,0.0
622,20230109,PSGO,156.0,0.0,156.0,150.0,155.0,149700.0,-1.0,22765700.0,51.0,155.0,72200.0,154.0,4500.0,0.0,100.0
622,20230110,PSGO,155.0,0.0,157.0,151.0,151.0,128200.0,-4.0,19541500.0,58.0,154.0,7600.0,151.0,2600.0,0.0,0.0
623,20230111,PSGO,151.0,0.0,153.0,148.0,152.0,6000.0,1.0,905200.0,13.0,152.0,1700.0,151.0,400.0,0.0,0.0
623,20230112,PSGO,152.0,0.0,152.0,149.0,152.0,34500.0,0.0,5198400.0,21.0,152.0,64800.0,149.0,900.0,0.0,0.0
623,20230113,PSGO,152.0,0.0,154.0,149.0,153.0,15800.0,1.0,2392200.0,18.0,152.0,1100.0,149.0,4300.0,0.0,0.0
623,20230116,PSGO,153.0,0.0,153.0,147.0,153.0,544800.0,0.0,82049700.0,32.0,153.0,9200.0,148.0,700.0,0.0,0.0
623,20230117,PSGO,153.0,0.0,153.0,149.0,150.0,31900.0,-3.0,4754800.0,12.0,152.0,600.0,149.0,3000.0,100.0,0.0
623,20230118,PSGO,150.0,0.0,150.0,148.0,150.0,2600.0,0.0,389800.0,8.0,151.0,1700.0,149.0,400.0,0.0,0.0
623,20230119,PSGO,150.0,0.0,150.0,148.0,148.0,34100.0,-2.0,5053000.0,15.0,149.0,60700.0,148.0,7300.0,0.0,0.0
623,20230120,PSGO,148.0,0.0,164.0,145.0,164.0,259700.0,16.0,39367600.0,73.0,164.0,197800.0,154.0,5000.0,0.0,0.0
624,20230124,PSGO,164.0,0.0,165.0,153.0,160.0,442700.0,-4.0,69917500.0,109.0,160.0,183000.0,159.0,1300.0,0.0,0.0
624,20230125,PSGO,160.0,0.0,157.0,153.0,154.0,64900.0,-6.0,10024700.0,20.0,154.0,1200.0,153.0,36700.0,0.0,0.0
624,20230126,PSGO,154.0,0.0,157.0,150.0,152.0,52500.0,-2.0,7996900.0,39.0,152.0,23700.0,150.0,26700.0,0.0,0.0
625,20230127,PSGO,152.0,0.0,155.0,149.0,149.0,115900.0,-3.0,17372800.0,39.0,149.0,64700.0,148.0,68900.0,0.0,0.0
625,20230130,PSGO,149.0,0.0,150.0,147.0,147.0,19600.0,-2.0,2920200.0,26.0,147.0,21200.0,146.0,3900.0,0.0,0.0
625,20230131,PSGO,147.0,0.0,150.0,144.0,149.0,115400.0,2.0,17008100.0,46.0,149.0,38100.0,148.0,200.0,0.0,0.0
626,20230201,PSGO,149.0,0.0,149.0,147.0,149.0,13600.0,0.0,2014600.0,8.0,149.0,11800.0,147.0,1300.0,0.0,0.0
626,20230202,PSGO,149.0,0.0,149.0,146.0,149.0,15000.0,0.0,2212400.0,25.0,149.0,24400.0,146.0,9800.0,2300.0,0.0
626,20230203,PSGO,149.0,0.0,149.0,146.0,149.0,79900.0,0.0,11855800.0,34.0,149.0,3000.0,147.0,1000.0,21300.0,100.0
627,20230206,PSGO,149.0,0.0,152.0,147.0,152.0,138100.0,3.0,20552200.0,34.0,152.0,68500.0,151.0,900.0,0.0,0.0
628,20230207,PSGO,152.0,0.0,155.0,147.0,154.0,107900.0,2.0,16359400.0,43.0,154.0,60500.0,152.0,2500.0,0.0,0.0
631,20230208,PSGO,154.0,0.0,154.0,148.0,149.0,36500.0,-5.0,5417000.0,25.0,149.0,15800.0,148.0,58800.0,0.0,0.0
631,20230209,PSGO,149.0,0.0,150.0,146.0,149.0,40900.0,0.0,6015100.0,44.0,149.0,600.0,147.0,10000.0,0.0,0.0
631,20230210,PSGO,149.0,0.0,149.0,147.0,148.0,16000.0,-1.0,2352500.0,15.0,148.0,34600.0,147.0,2300.0,0.0,0.0
631,20230213,PSGO,148.0,0.0,150.0,145.0,150.0,121900.0,2.0,17926500.0,34.0,151.0,1600.0,150.0,3300.0,0.0,0.0
631,20230214,PSGO,150.0,0.0,152.0,145.0,152.0,94800.0,2.0,14003800.0,50.0,152.0,36800.0,145.0,900.0,0.0,0.0
631,20230215,PSGO,152.0,0.0,153.0,147.0,147.0,8600.0,-5.0,1290200.0,22.0,149.0,100.0,147.0,20500.0,0.0,0.0
632,20230216,PSGO,147.0,0.0,150.0,146.0,146.0,12000.0,-1.0,1760000.0,19.0,149.0,70500.0,146.0,6200.0,0.0,0.0
632,20230217,PSGO,146.0,0.0,149.0,144.0,147.0,21700.0,1.0,3147000.0,20.0,147.0,10100.0,145.0,3900.0,0.0,0.0
632,20230220,PSGO,147.0,0.0,147.0,144.0,147.0,112900.0,0.0,16296900.0,21.0,147.0,84400.0,144.0,15600.0,0.0,0.0
632,20230221,PSGO,147.0,0.0,152.0,144.0,152.0,77000.0,5.0,11539400.0,42.0,152.0,19200.0,144.0,4300.0,0.0,0.0
632,20230222,PSGO,152.0,0.0,151.0,144.0,144.0,52100.0,-8.0,7601400.0,25.0,149.0,133000.0,144.0,5200.0,0.0,0.0
632,20230223,PSGO,144.0,0.0,150.0,141.0,141.0,348900.0,-3.0,49289500.0,60.0,147.0,61700.0,141.0,10900.0,0.0,0.0
633,20230224,PSGO,141.0,0.0,152.0,141.0,150.0,277700.0,9.0,40576100.0,151.0,150.0,111500.0,148.0,7000.0,0.0,0.0
634,20230227,PSGO,150.0,0.0,152.0,145.0,152.0,82700.0,2.0,12334200.0,32.0,152.0,87300.0,151.0,20000.0,0.0,0.0
634,20230228,PSGO,152.0,0.0,150.0,147.0,147.0,29200.0,-5.0,4312900.0,18.0,149.0,700.0,147.0,5700.0,0.0,0.0
635,20230301,PSGO,147.0,0.0,150.0,146.0,150.0,500.0,3.0,73600.0,5.0,150.0,15600.0,147.0,2400.0,0.0,0.0
635,20230302,PSGO,150.0,0.0,150.0,146.0,146.0,24200.0,-4.0,3556400.0,17.0,148.0,26000.0,146.0,24600.0,0.0,0.0
636,20230303,PSGO,146.0,0.0,149.0,143.0,148.0,115100.0,2.0,16706800.0,27.0,148.0,20100.0,144.0,8800.0,0.0,0.0
636,20230306,PSGO,148.0,0.0,150.0,145.0,150.0,72300.0,2.0,10726000.0,40.0,150.0,74000.0,146.0,1300.0,0.0,0.0
636,20230307,PSGO,150.0,0.0,150.0,145.0,150.0,66800.0,0.0,9872000.0,33.0,151.0,34200.0,150.0,4000.0,0.0,0.0
637,20230308,PSGO,150.0,0.0,150.0,145.0,150.0,51900.0,0.0,7708300.0,38.0,150.0,12500.0,149.0,2400.0,0.0,0.0
637,20230309,PSGO,150.0,0.0,152.0,146.0,152.0,147200.0,2.0,21893800.0,30.0,152.0,36300.0,151.0,400.0,0.0,0.0
638,20230310,PSGO,152.0,0.0,152.0,145.0,145.0,111100.0,-7.0,16253000.0,37.0,148.0,98900.0,145.0,10500.0,0.0,0.0
638,20230313,PSGO,145.0,0.0,150.0,143.0,150.0,147600.0,5.0,21435600.0,65.0,150.0,64200.0,148.0,2000.0,0.0,0.0
638,20230314,PSGO,150.0,0.0,150.0,144.0,144.0,123300.0,-6.0,17840000.0,23.0,147.0,39800.0,144.0,1600.0,0.0,0.0
638,20230315,PSGO,144.0,0.0,149.0,137.0,149.0,225700.0,5.0,32441000.0,39.0,149.0,55700.0,148.0,1000.0,0.0,0.0
638,20230316,PSGO,149.0,0.0,147.0,142.0,147.0,27400.0,-2.0,3902100.0,9.0,146.0,800.0,142.0,11100.0,0.0,0.0
638,20230317,PSGO,147.0,0.0,147.0,143.0,147.0,9300.0,0.0,1338100.0,9.0,147.0,33400.0,143.0,3300.0,0.0,0.0
638,20230320,PSGO,147.0,0.0,149.0,145.0,148.0,2400.0,1.0,351800.0,13.0,148.0,53600.0,145.0,5400.0,0.0,0.0
638,20230321,PSGO,148.0,0.0,148.0,145.0,147.0,31600.0,-1.0,4625300.0,13.0,147.0,60200.0,145.0,1200.0,0.0,0.0
638,20230324,PSGO,147.0,0.0,147.0,140.0,144.0,13900.0,-3.0,2016600.0,17.0,144.0,46700.0,142.0,2600.0,0.0,0.0
638,20230327,PSGO,144.0,0.0,146.0,141.0,145.0,8400.0,1.0,1207300.0,17.0,144.0,46700.0,142.0,300.0,0.0,0.0
638,20230328,PSGO,145.0,0.0,145.0,140.0,141.0,47800.0,-4.0,6750100.0,31.0,141.0,66700.0,140.0,16400.0,0.0,0.0
638,20230329,PSGO,141.0,0.0,143.0,142.0,142.0,50500.0,1.0,7208000.0,20.0,143.0,32000.0,142.0,500.0,0.0,0.0
639,20230330,PSGO,142.0,0.0,146.0,142.0,142.0,7400.0,0.0,1060700.0,14.0,143.0,700.0,142.0,200.0,0.0,0.0
639,20230331,PSGO,142.0,0.0,146.0,143.0,144.0,9500.0,2.0,1360100.0,14.0,144.0,14100.0,143.0,200.0,0.0,0.0
639,20230403,PSGO,144.0,0.0,144.0,142.0,143.0,600.0,-1.0,85700.0,5.0,143.0,14000.0,142.0,200.0,0.0,0.0
639,20230404,PSGO,143.0,0.0,146.0,135.0,142.0,56800.0,-1.0,7853500.0,25.0,141.0,500.0,138.0,100.0,0.0,6000.0
640,20230405,PSGO,142.0,0.0,144.0,143.0,144.0,400.0,2.0,57300.0,4.0,144.0,23000.0,138.0,100.0,0.0,0.0
640,20230406,PSGO,144.0,0.0,144.0,137.0,142.0,94000.0,-2.0,13072500.0,44.0,141.0,1700.0,138.0,10000.0,0.0,0.0
641,20230410,PSGO,142.0,0.0,145.0,138.0,144.0,39400.0,2.0,5523000.0,36.0,144.0,43800.0,142.0,800.0,5500.0,0.0
641,20230411,PSGO,144.0,0.0,148.0,138.0,144.0,172700.0,0.0,24829100.0,26.0,144.0,8100.0,141.0,18800.0,0.0,0.0
642,20230412,PSGO,144.0,0.0,144.0,138.0,139.0,169800.0,-5.0,23902900.0,36.0,139.0,130300.0,138.0,4800.0,0.0,1300.0
642,20230413,PSGO,139.0,0.0,145.0,139.0,142.0,8500.0,3.0,1227100.0,13.0,142.0,300.0,139.0,1100.0,0.0,0.0
642,20230414,PSGO,142.0,0.0,142.0,138.0,138.0,15800.0,-4.0,2193400.0,13.0,139.0,1000.0,138.0,27400.0,0.0,0.0
