No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
621,20221230,PTBA,3670.0,3670.0,3700.0,3650.0,3690.0,9279800.0,20.0,34068737000.0,2652.0,3690.0,697000.0,3680.0,7200.0,5028300.0,1694300.0
621,20230102,PTBA,3690.0,3690.0,3740.0,3680.0,3690.0,3875700.0,0.0,14362898000.0,2021.0,3690.0,231900.0,3680.0,531300.0,489400.0,125300.0
621,20230103,PTBA,3690.0,3690.0,3740.0,3680.0,3730.0,8603300.0,40.0,31976257000.0,2243.0,3730.0,346400.0,3720.0,24100.0,1766400.0,365700.0
621,20230104,PTBA,3730.0,3730.0,3730.0,3620.0,3620.0,14383800.0,-110.0,52678325000.0,5666.0,3630.0,26600.0,3620.0,16000.0,3476300.0,125100.0
621,20230105,PTBA,3620.0,3620.0,3630.0,3390.0,3410.0,29603400.0,-210.0,103274789000.0,9566.0,3420.0,25300.0,3410.0,267100.0,6252100.0,1952600.0
624,20230106,PTBA,3410.0,3400.0,3500.0,3380.0,3430.0,17087900.0,20.0,58907509000.0,4581.0,3440.0,100300.0,3430.0,181600.0,3425600.0,1447600.0
625,20230109,PTBA,3430.0,3430.0,3450.0,3260.0,3280.0,33045500.0,-150.0,109675599000.0,10800.0,3280.0,29900.0,3270.0,355200.0,4111900.0,1789100.0
625,20230110,PTBA,3280.0,3280.0,3370.0,3240.0,3360.0,16647900.0,80.0,55087235000.0,5193.0,3370.0,355200.0,3360.0,5300.0,2583200.0,3618500.0
626,20230111,PTBA,3360.0,3380.0,3410.0,3310.0,3400.0,11686700.0,40.0,39401447000.0,5015.0,3400.0,229400.0,3390.0,7800.0,3614200.0,1706500.0
626,20230112,PTBA,3400.0,3360.0,3380.0,3330.0,3330.0,10536100.0,-70.0,35277908000.0,5169.0,3340.0,49300.0,3330.0,101400.0,2431600.0,1523800.0
626,20230113,PTBA,3330.0,3330.0,3360.0,3320.0,3330.0,6923500.0,0.0,23079308000.0,3448.0,3340.0,12900.0,3330.0,121900.0,1297000.0,569700.0
626,20230116,PTBA,3330.0,3320.0,3350.0,3300.0,3320.0,6263500.0,-10.0,20809596000.0,2933.0,3330.0,1000.0,3320.0,198800.0,1038600.0,2167900.0
626,20230117,PTBA,3320.0,3310.0,3390.0,3300.0,3350.0,8112900.0,30.0,27223034000.0,4356.0,3360.0,10800.0,3350.0,308800.0,1899400.0,3528500.0
626,20230118,PTBA,3350.0,3360.0,3460.0,3360.0,3410.0,10347100.0,60.0,35403499000.0,4417.0,3420.0,18600.0,3410.0,155900.0,3749500.0,2415700.0
626,20230119,PTBA,3410.0,3410.0,3490.0,3410.0,3490.0,9291100.0,80.0,32172202000.0,4729.0,3500.0,532800.0,3490.0,5800.0,1756300.0,2439900.0
626,20230120,PTBA,3490.0,3500.0,3570.0,3480.0,3570.0,11504700.0,80.0,40540224000.0,4581.0,3570.0,132900.0,3560.0,128400.0,2303000.0,4642800.0
627,20230124,PTBA,3570.0,3560.0,3560.0,3510.0,3540.0,11922700.0,-30.0,42068177000.0,6142.0,3540.0,296600.0,3530.0,279700.0,3303900.0,2277300.0
627,20230125,PTBA,3540.0,3540.0,3540.0,3480.0,3480.0,8719100.0,-60.0,30534185000.0,4088.0,3480.0,1475600.0,3470.0,362300.0,2562200.0,1895100.0
627,20230126,PTBA,3480.0,3440.0,3440.0,3360.0,3390.0,16961500.0,-90.0,57415388000.0,7403.0,3390.0,65400.0,3380.0,404700.0,893900.0,3246500.0
