No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
642,20230306,PTMP,120.0,0.0,145.0,125.0,143.0,579599600.0,23.0,80336383500.0,50835.0,143.0,13382400.0,142.0,241100.0,1446900.0,1809800.0
642,20230307,PTMP,143.0,0.0,149.0,140.0,140.0,229551900.0,-3.0,33221090800.0,27718.0,140.0,8537600.0,139.0,827600.0,1227900.0,674800.0
643,20230308,PTMP,140.0,0.0,144.0,131.0,137.0,113285900.0,-3.0,15691381300.0,21473.0,137.0,843400.0,136.0,522800.0,489400.0,527700.0
643,20230309,PTMP,137.0,0.0,140.0,133.0,139.0,48810300.0,2.0,6661133100.0,15615.0,139.0,1180700.0,138.0,633000.0,146100.0,335700.0
644,20230310,PTMP,139.0,0.0,145.0,135.0,136.0,99104200.0,-3.0,13894091800.0,24775.0,136.0,1064400.0,135.0,454100.0,646700.0,1000.0
644,20230313,PTMP,136.0,0.0,140.0,131.0,131.0,58246900.0,-5.0,7895242100.0,10426.0,131.0,720000.0,130.0,2839100.0,687700.0,113200.0
644,20230314,PTMP,131.0,0.0,134.0,127.0,129.0,49127400.0,-2.0,6452095500.0,11768.0,129.0,719400.0,128.0,1163500.0,889700.0,1100.0
644,20230315,PTMP,129.0,0.0,133.0,127.0,131.0,35402900.0,2.0,4622761100.0,8902.0,131.0,475400.0,130.0,236300.0,326900.0,357600.0
644,20230316,PTMP,131.0,0.0,133.0,128.0,128.0,38816200.0,-3.0,5053032100.0,11637.0,129.0,188200.0,128.0,240400.0,1074900.0,80900.0
644,20230317,PTMP,128.0,0.0,139.0,127.0,136.0,74280700.0,8.0,9964426600.0,15222.0,136.0,3416100.0,135.0,5500.0,88900.0,633300.0
644,20230320,PTMP,136.0,0.0,143.0,135.0,140.0,107807600.0,4.0,15066542700.0,16085.0,140.0,2030100.0,139.0,187000.0,1961200.0,169100.0
644,20230321,PTMP,140.0,0.0,145.0,139.0,143.0,55039300.0,3.0,7832001500.0,9366.0,143.0,1376100.0,142.0,41500.0,1444700.0,503100.0
644,20230324,PTMP,143.0,0.0,150.0,141.0,149.0,84003800.0,6.0,12280769100.0,16347.0,149.0,2760100.0,148.0,76200.0,840000.0,246300.0
644,20230327,PTMP,149.0,0.0,166.0,147.0,165.0,181305800.0,16.0,28685809300.0,30681.0,165.0,2268600.0,164.0,519400.0,2303600.0,141600.0
644,20230328,PTMP,165.0,0.0,185.0,162.0,179.0,274703200.0,14.0,48518926200.0,35678.0,179.0,1464700.0,178.0,170100.0,836400.0,188900.0
644,20230329,PTMP,179.0,0.0,192.0,176.0,188.0,262358800.0,9.0,49038872400.0,38147.0,188.0,583600.0,187.0,358900.0,290600.0,143200.0
645,20230330,PTMP,188.0,0.0,202.0,175.0,188.0,302136800.0,0.0,57686909100.0,39145.0,188.0,3350000.0,187.0,3500.0,1110500.0,315600.0
645,20230331,PTMP,188.0,0.0,192.0,179.0,185.0,110277800.0,-3.0,20746998000.0,23347.0,185.0,2109600.0,184.0,82300.0,287700.0,104300.0
645,20230403,PTMP,185.0,0.0,190.0,182.0,190.0,82945800.0,5.0,15562108900.0,29860.0,190.0,4448100.0,189.0,481800.0,538400.0,635800.0
645,20230404,PTMP,190.0,0.0,196.0,188.0,196.0,90818500.0,6.0,17530087400.0,44668.0,196.0,5509300.0,195.0,19500.0,389100.0,868000.0
646,20230405,PTMP,196.0,0.0,212.0,195.0,212.0,160284900.0,16.0,32692136800.0,48148.0,212.0,1842600.0,210.0,645400.0,804600.0,8136800.0
646,20230406,PTMP,212.0,0.0,224.0,198.0,210.0,180006300.0,-2.0,38488616700.0,41009.0,210.0,4394300.0,208.0,189900.0,3015400.0,1172000.0
647,20230410,PTMP,210.0,0.0,214.0,196.0,196.0,126704900.0,-14.0,25514472200.0,31953.0,196.0,4020200.0,0.0,0.0,1568200.0,19508400.0
647,20230411,PTMP,196.0,0.0,194.0,183.0,194.0,96307200.0,-2.0,18283727400.0,35784.0,194.0,2014700.0,192.0,109000.0,104700.0,88900.0
648,20230412,PTMP,194.0,0.0,208.0,192.0,208.0,153078600.0,14.0,30784116200.0,38101.0,208.0,7927200.0,206.0,25400.0,376300.0,131500.0
648,20230413,PTMP,208.0,0.0,214.0,194.0,194.0,55682600.0,-14.0,11447944400.0,8733.0,194.0,9237000.0,0.0,0.0,3108700.0,0.0
648,20230414,PTMP,194.0,0.0,194.0,181.0,181.0,6675800.0,-13.0,1222553300.0,480.0,181.0,8721800.0,0.0,0.0,30000.0,824400.0
648,20230417,PTMP,181.0,0.0,169.0,169.0,169.0,1311900.0,-12.0,221711100.0,203.0,169.0,10199600.0,0.0,0.0,27500.0,0.0
651,20230418,PTMP,169.0,0.0,180.0,158.0,158.0,188994200.0,-11.0,32876068600.0,34665.0,158.0,12164200.0,0.0,0.0,3231400.0,14336200.0
651,20230426,PTMP,158.0,0.0,170.0,150.0,170.0,148995400.0,12.0,24400973300.0,30421.0,170.0,2046000.0,169.0,5100.0,2004000.0,367800.0
651,20230427,PTMP,170.0,0.0,177.0,159.0,159.0,96142000.0,-11.0,16570359000.0,17257.0,159.0,5437600.0,0.0,0.0,2672100.0,396000.0
651,20230428,PTMP,159.0,0.0,168.0,148.0,165.0,124166000.0,6.0,20392660700.0,39807.0,165.0,3023500.0,164.0,139500.0,1227200.0,20225200.0
651,20230502,PTMP,165.0,0.0,175.0,154.0,175.0,234444100.0,10.0,39216934600.0,47433.0,175.0,6494100.0,174.0,121200.0,4437100.0,474500.0
651,20230503,PTMP,175.0,0.0,186.0,171.0,186.0,183673000.0,11.0,33095600800.0,43207.0,187.0,7616400.0,186.0,192400.0,125200.0,423100.0
651,20230504,PTMP,186.0,0.0,197.0,185.0,197.0,167140000.0,11.0,32091581200.0,29440.0,197.0,1011900.0,196.0,97700.0,380000.0,996800.0
651,20230505,PTMP,197.0,0.0,202.0,184.0,187.0,137209000.0,-10.0,26661351600.0,18381.0,187.0,1673700.0,186.0,62100.0,6666900.0,1377100.0
653,20230508,PTMP,187.0,0.0,212.0,186.0,212.0,295369200.0,25.0,58821509800.0,58348.0,212.0,8973000.0,210.0,622000.0,1984600.0,29580000.0
654,20230509,PTMP,212.0,0.0,216.0,198.0,198.0,123301500.0,-14.0,25407683500.0,22336.0,198.0,2397400.0,0.0,0.0,3988400.0,480900.0
654,20230510,PTMP,198.0,0.0,212.0,185.0,185.0,221698700.0,-13.0,44752564000.0,27028.0,185.0,6778800.0,0.0,0.0,3138200.0,462500.0
654,20230511,PTMP,185.0,0.0,185.0,173.0,173.0,96389000.0,-12.0,17082301900.0,12094.0,173.0,3040300.0,0.0,0.0,571900.0,20000.0
654,20230512,PTMP,173.0,0.0,189.0,164.0,187.0,249559400.0,14.0,45215798800.0,52217.0,187.0,1212500.0,186.0,255200.0,672200.0,463800.0
654,20230515,PTMP,187.0,0.0,200.0,174.0,174.0,208882100.0,-13.0,40169389500.0,42920.0,174.0,6120100.0,0.0,0.0,1999800.0,278000.0
