No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
634,20221230,PYFA,865.0,0.0,880.0,845.0,865.0,11400.0,0.0,9841000.0,41.0,865.0,5300.0,860.0,200.0,0.0,0.0
634,20230102,PYFA,865.0,0.0,865.0,840.0,860.0,22100.0,-5.0,18733500.0,25.0,860.0,38700.0,855.0,2400.0,0.0,0.0
634,20230103,PYFA,860.0,0.0,870.0,850.0,855.0,38000.0,-5.0,32855500.0,20.0,860.0,1000.0,850.0,3200.0,0.0,0.0
634,20230104,PYFA,855.0,0.0,880.0,855.0,855.0,5900.0,0.0,5064000.0,16.0,870.0,2500.0,855.0,500.0,0.0,0.0
634,20230105,PYFA,855.0,0.0,885.0,850.0,875.0,6800.0,20.0,5898000.0,20.0,875.0,2300.0,860.0,100.0,0.0,0.0
637,20230106,PYFA,875.0,0.0,875.0,855.0,855.0,1400.0,-20.0,1201000.0,6.0,865.0,15200.0,860.0,100.0,0.0,0.0
638,20230109,PYFA,855.0,0.0,860.0,855.0,855.0,2100.0,0.0,1796000.0,7.0,860.0,4500.0,850.0,500.0,0.0,0.0
638,20230110,PYFA,855.0,0.0,860.0,840.0,840.0,15500.0,-15.0,13304500.0,23.0,855.0,500.0,840.0,1800.0,0.0,0.0
639,20230111,PYFA,840.0,0.0,850.0,825.0,830.0,9700.0,-10.0,8154000.0,25.0,835.0,2600.0,825.0,400.0,0.0,0.0
639,20230112,PYFA,830.0,0.0,885.0,835.0,840.0,7900.0,10.0,6639000.0,31.0,840.0,200.0,835.0,300.0,0.0,0.0
639,20230113,PYFA,840.0,0.0,880.0,840.0,855.0,5600.0,15.0,4779000.0,22.0,855.0,2400.0,850.0,200.0,0.0,0.0
639,20230116,PYFA,855.0,0.0,870.0,830.0,865.0,24700.0,10.0,20705500.0,26.0,865.0,100.0,830.0,9900.0,0.0,0.0
639,20230117,PYFA,865.0,0.0,895.0,855.0,870.0,5200.0,5.0,4550500.0,24.0,880.0,200.0,865.0,100.0,0.0,0.0
639,20230118,PYFA,870.0,0.0,895.0,865.0,885.0,4700.0,15.0,4141500.0,7.0,885.0,3200.0,860.0,100.0,0.0,0.0
639,20230119,PYFA,885.0,0.0,900.0,880.0,900.0,5700.0,15.0,5066500.0,13.0,905.0,32500.0,875.0,100.0,0.0,0.0
639,20230120,PYFA,900.0,0.0,910.0,900.0,900.0,13100.0,0.0,11840000.0,8.0,900.0,15900.0,895.0,1000.0,0.0,0.0
640,20230124,PYFA,900.0,0.0,910.0,880.0,880.0,6200.0,-20.0,5581000.0,11.0,900.0,1000.0,885.0,100.0,0.0,0.0
640,20230125,PYFA,880.0,0.0,880.0,860.0,880.0,4900.0,0.0,4270500.0,11.0,890.0,100.0,870.0,300.0,0.0,0.0
640,20230126,PYFA,880.0,0.0,855.0,830.0,850.0,10000.0,-30.0,8408000.0,13.0,850.0,13100.0,845.0,400.0,0.0,0.0
641,20230127,PYFA,850.0,0.0,850.0,840.0,850.0,173300.0,0.0,145804500.0,19.0,850.0,115600.0,845.0,6000.0,20000.0,0.0
641,20230130,PYFA,850.0,0.0,845.0,830.0,840.0,63500.0,-10.0,53099000.0,17.0,845.0,2000.0,840.0,1000.0,0.0,0.0
641,20230131,PYFA,840.0,0.0,860.0,830.0,860.0,121600.0,20.0,101029000.0,20.0,860.0,3000.0,830.0,19500.0,24800.0,0.0
642,20230201,PYFA,860.0,0.0,880.0,855.0,880.0,9600.0,20.0,8284000.0,15.0,880.0,13100.0,870.0,1000.0,0.0,0.0
642,20230202,PYFA,880.0,0.0,880.0,850.0,855.0,203800.0,-25.0,173301000.0,21.0,870.0,200.0,855.0,1100.0,0.0,0.0
642,20230203,PYFA,855.0,0.0,875.0,870.0,870.0,8200.0,15.0,7134500.0,6.0,865.0,2100.0,860.0,1100.0,0.0,0.0
643,20230206,PYFA,870.0,0.0,855.0,840.0,845.0,3300.0,-25.0,2783500.0,11.0,845.0,22300.0,840.0,1600.0,0.0,0.0
644,20230207,PYFA,845.0,0.0,875.0,840.0,850.0,411700.0,5.0,347977000.0,26.0,865.0,200.0,855.0,100.0,407100.0,0.0
647,20230208,PYFA,850.0,0.0,865.0,850.0,865.0,1000.0,15.0,853000.0,5.0,870.0,20000.0,850.0,100.0,0.0,0.0
647,20230209,PYFA,865.0,0.0,870.0,860.0,870.0,36300.0,5.0,31572000.0,13.0,870.0,14100.0,865.0,2000.0,0.0,100.0
647,20230210,PYFA,870.0,0.0,870.0,870.0,870.0,100.0,0.0,87000.0,1.0,865.0,300.0,850.0,100.0,0.0,0.0
647,20230213,PYFA,870.0,0.0,870.0,830.0,860.0,53200.0,-10.0,46243000.0,9.0,865.0,800.0,850.0,100.0,0.0,0.0
647,20230214,PYFA,860.0,0.0,855.0,845.0,845.0,1900.0,-15.0,1617000.0,10.0,855.0,4700.0,845.0,900.0,0.0,0.0
647,20230215,PYFA,845.0,0.0,870.0,845.0,870.0,4800.0,25.0,4163500.0,9.0,870.0,20900.0,860.0,400.0,0.0,0.0
648,20230216,PYFA,870.0,0.0,870.0,855.0,870.0,3800.0,0.0,3304500.0,6.0,870.0,28600.0,855.0,800.0,0.0,0.0
648,20230217,PYFA,870.0,0.0,870.0,855.0,870.0,1200.0,0.0,1040000.0,8.0,870.0,29700.0,855.0,1200.0,0.0,0.0
648,20230220,PYFA,870.0,0.0,910.0,880.0,910.0,74300.0,40.0,66473500.0,16.0,905.0,500.0,900.0,1200.0,0.0,0.0
648,20230221,PYFA,910.0,0.0,900.0,870.0,890.0,14900.0,-20.0,13201000.0,18.0,890.0,900.0,880.0,700.0,0.0,0.0
648,20230222,PYFA,890.0,0.0,890.0,875.0,890.0,1000.0,0.0,877500.0,5.0,890.0,61900.0,875.0,100.0,0.0,0.0
648,20230223,PYFA,890.0,0.0,910.0,890.0,910.0,66400.0,20.0,59972500.0,25.0,910.0,3200.0,890.0,1300.0,0.0,0.0
649,20230224,PYFA,910.0,0.0,900.0,890.0,900.0,7900.0,-10.0,7054000.0,15.0,900.0,14900.0,885.0,3800.0,0.0,0.0
650,20230227,PYFA,900.0,0.0,950.0,895.0,895.0,5500.0,-5.0,4936000.0,14.0,895.0,100.0,890.0,1800.0,0.0,0.0
650,20230228,PYFA,895.0,0.0,1020.0,875.0,900.0,33500.0,5.0,30505000.0,36.0,900.0,9200.0,890.0,6800.0,0.0,0.0
651,20230301,PYFA,900.0,0.0,905.0,875.0,905.0,3400.0,5.0,3051000.0,11.0,900.0,100.0,895.0,1900.0,0.0,0.0
651,20230302,PYFA,905.0,0.0,900.0,885.0,890.0,11600.0,-15.0,10334000.0,13.0,890.0,12400.0,880.0,1200.0,7600.0,0.0
652,20230303,PYFA,890.0,0.0,890.0,870.0,885.0,1100.0,-5.0,972500.0,8.0,885.0,4100.0,880.0,1000.0,0.0,0.0
653,20230306,PYFA,885.0,0.0,905.0,870.0,905.0,1000.0,20.0,889500.0,7.0,905.0,9700.0,895.0,1100.0,0.0,0.0
653,20230307,PYFA,905.0,0.0,905.0,890.0,895.0,4900.0,-10.0,4390500.0,9.0,900.0,13700.0,895.0,600.0,0.0,1000.0
654,20230308,PYFA,895.0,0.0,895.0,870.0,895.0,2500.0,0.0,2190500.0,7.0,895.0,16000.0,870.0,100.0,0.0,0.0
654,20230309,PYFA,895.0,0.0,895.0,865.0,890.0,2600.0,-5.0,2268500.0,9.0,890.0,2500.0,875.0,100.0,0.0,0.0
655,20230310,PYFA,890.0,0.0,900.0,885.0,900.0,1300.0,10.0,1158000.0,6.0,900.0,15900.0,885.0,100.0,0.0,0.0
655,20230313,PYFA,900.0,0.0,900.0,880.0,880.0,2400.0,-20.0,2118500.0,7.0,880.0,7700.0,875.0,1000.0,0.0,0.0
655,20230314,PYFA,880.0,0.0,880.0,865.0,875.0,8300.0,-5.0,7271500.0,10.0,875.0,3100.0,865.0,800.0,3800.0,0.0
655,20230315,PYFA,875.0,0.0,885.0,835.0,850.0,13000.0,-25.0,11164000.0,28.0,850.0,400.0,845.0,300.0,0.0,0.0
655,20230316,PYFA,850.0,0.0,845.0,825.0,825.0,13500.0,-25.0,11282500.0,28.0,870.0,200.0,820.0,500.0,0.0,0.0
655,20230317,PYFA,825.0,0.0,830.0,820.0,825.0,4000.0,0.0,3300000.0,10.0,825.0,1200.0,820.0,2100.0,3800.0,0.0
655,20230320,PYFA,825.0,0.0,825.0,810.0,820.0,8400.0,-5.0,6826000.0,16.0,820.0,1500.0,810.0,800.0,0.0,0.0
655,20230321,PYFA,820.0,0.0,850.0,805.0,850.0,2600.0,30.0,2135500.0,18.0,840.0,7600.0,805.0,200.0,0.0,0.0
655,20230324,PYFA,850.0,0.0,845.0,800.0,840.0,7900.0,-10.0,6568500.0,23.0,840.0,13100.0,810.0,600.0,5100.0,0.0
655,20230327,PYFA,840.0,0.0,810.0,800.0,805.0,6200.0,-35.0,4995000.0,17.0,810.0,55600.0,805.0,1100.0,0.0,0.0
655,20230328,PYFA,805.0,0.0,815.0,795.0,805.0,12000.0,0.0,9647000.0,28.0,805.0,50700.0,800.0,2500.0,0.0,0.0
655,20230329,PYFA,805.0,0.0,805.0,790.0,790.0,26200.0,-15.0,20959000.0,25.0,805.0,48500.0,790.0,500.0,0.0,6900.0
656,20230330,PYFA,790.0,0.0,795.0,790.0,795.0,1500.0,5.0,1187000.0,12.0,800.0,2400.0,795.0,2500.0,0.0,0.0
656,20230331,PYFA,795.0,0.0,810.0,780.0,805.0,20900.0,10.0,16516500.0,26.0,810.0,300.0,805.0,5000.0,0.0,0.0
656,20230403,PYFA,805.0,0.0,830.0,805.0,805.0,2800.0,0.0,2303000.0,11.0,835.0,200.0,790.0,1300.0,0.0,0.0
656,20230404,PYFA,805.0,0.0,800.0,775.0,785.0,158400.0,-20.0,124983000.0,27.0,785.0,100.0,780.0,17300.0,133600.0,0.0
657,20230405,PYFA,785.0,0.0,980.0,775.0,805.0,32700.0,20.0,26744500.0,67.0,850.0,1400.0,820.0,100.0,600.0,0.0
657,20230406,PYFA,805.0,0.0,805.0,790.0,800.0,4400.0,-5.0,3510000.0,14.0,805.0,33200.0,790.0,1300.0,200.0,0.0
658,20230410,PYFA,800.0,0.0,895.0,800.0,840.0,48000.0,40.0,39375000.0,60.0,840.0,6800.0,805.0,200.0,2500.0,400.0
658,20230411,PYFA,840.0,0.0,890.0,835.0,865.0,39100.0,25.0,34136000.0,64.0,865.0,5900.0,835.0,300.0,4000.0,0.0
659,20230412,PYFA,865.0,0.0,835.0,825.0,830.0,153900.0,-35.0,128484000.0,13.0,840.0,100.0,835.0,200.0,150000.0,1500.0
659,20230413,PYFA,830.0,0.0,875.0,830.0,835.0,11300.0,5.0,9629500.0,18.0,865.0,100.0,835.0,300.0,800.0,1100.0
659,20230414,PYFA,835.0,0.0,880.0,840.0,860.0,203100.0,25.0,172706500.0,10.0,855.0,100.0,845.0,500.0,200000.0,0.0
659,20230417,PYFA,860.0,0.0,860.0,835.0,850.0,1200.0,-10.0,1023500.0,6.0,860.0,2700.0,855.0,1000.0,600.0,0.0
662,20230418,PYFA,850.0,0.0,870.0,835.0,860.0,1900.0,10.0,1637000.0,6.0,855.0,100.0,840.0,200.0,1100.0,0.0
662,20230426,PYFA,860.0,0.0,875.0,860.0,865.0,16800.0,5.0,14497000.0,16.0,865.0,3800.0,860.0,1000.0,100.0,7800.0
662,20230427,PYFA,865.0,0.0,865.0,830.0,860.0,3100.0,-5.0,2667500.0,6.0,865.0,51400.0,840.0,100.0,0.0,900.0
662,20230428,PYFA,860.0,0.0,860.0,830.0,835.0,213500.0,-25.0,178274500.0,15.0,835.0,37300.0,830.0,4300.0,200000.0,0.0
662,20230502,PYFA,835.0,0.0,835.0,830.0,835.0,1000.0,0.0,830500.0,3.0,835.0,12200.0,830.0,2200.0,0.0,0.0
662,20230503,PYFA,835.0,0.0,820.0,785.0,790.0,42000.0,-45.0,33349000.0,56.0,790.0,2000.0,785.0,2800.0,0.0,3000.0
662,20230504,PYFA,790.0,0.0,820.0,795.0,810.0,6400.0,20.0,5172500.0,22.0,805.0,100.0,800.0,100.0,0.0,0.0
662,20230505,PYFA,810.0,0.0,855.0,785.0,785.0,9700.0,-25.0,7709500.0,20.0,785.0,5900.0,780.0,3400.0,0.0,0.0
664,20230508,PYFA,785.0,0.0,785.0,775.0,775.0,40300.0,-10.0,31303000.0,41.0,785.0,148300.0,775.0,900.0,0.0,0.0
665,20230509,PYFA,775.0,0.0,805.0,765.0,770.0,50800.0,-5.0,39153000.0,51.0,770.0,563600.0,765.0,300.0,0.0,0.0
665,20230510,PYFA,770.0,0.0,770.0,755.0,755.0,28600.0,-15.0,21711000.0,31.0,755.0,499500.0,750.0,4500.0,0.0,400.0
665,20230511,PYFA,755.0,0.0,790.0,750.0,755.0,7500.0,0.0,5657000.0,21.0,755.0,30600.0,750.0,500.0,0.0,0.0
665,20230512,PYFA,755.0,0.0,755.0,745.0,750.0,23100.0,-5.0,17366500.0,14.0,750.0,39100.0,745.0,100.0,0.0,0.0
665,20230515,PYFA,750.0,0.0,750.0,730.0,735.0,43700.0,-15.0,32102000.0,24.0,735.0,2200.0,730.0,4600.0,0.0,300.0
665,20230516,PYFA,735.0,0.0,730.0,720.0,725.0,6500.0,-10.0,4697500.0,13.0,725.0,17500.0,720.0,100.0,200.0,0.0
665,20230517,PYFA,725.0,0.0,725.0,720.0,725.0,3600.0,0.0,2603000.0,10.0,725.0,38000.0,720.0,1400.0,0.0,0.0
665,20230519,PYFA,725.0,0.0,755.0,720.0,745.0,36000.0,20.0,26218000.0,36.0,735.0,600.0,720.0,10000.0,800.0,700.0
665,20230522,PYFA,745.0,0.0,745.0,720.0,740.0,2500.0,-5.0,1825000.0,10.0,745.0,11400.0,740.0,300.0,0.0,0.0
665,20230523,PYFA,740.0,0.0,735.0,735.0,735.0,400.0,-5.0,294000.0,2.0,740.0,26400.0,735.0,100.0,0.0,0.0
665,20230524,PYFA,735.0,0.0,735.0,700.0,705.0,5800.0,-30.0,4124000.0,22.0,740.0,18900.0,700.0,200.0,0.0,0.0
665,20230525,PYFA,705.0,0.0,725.0,700.0,700.0,21000.0,-5.0,14805000.0,9.0,710.0,1000.0,700.0,1800.0,0.0,0.0
665,20230526,PYFA,700.0,0.0,750.0,685.0,685.0,13000.0,-15.0,9475500.0,28.0,700.0,100.0,685.0,100.0,0.0,0.0
665,20230529,PYFA,685.0,0.0,710.0,685.0,710.0,22900.0,25.0,15851000.0,19.0,710.0,8000.0,695.0,700.0,0.0,0.0
665,20230530,PYFA,710.0,0.0,710.0,690.0,700.0,33500.0,-10.0,23529500.0,19.0,705.0,900.0,700.0,600.0,0.0,28500.0
665,20230531,PYFA,700.0,0.0,695.0,690.0,690.0,300.0,-10.0,208000.0,3.0,705.0,100.0,695.0,1500.0,0.0,0.0
665,20230605,PYFA,690.0,0.0,745.0,710.0,710.0,3100.0,20.0,2261500.0,10.0,725.0,300.0,710.0,100.0,0.0,0.0
665,20230606,PYFA,710.0,0.0,760.0,700.0,705.0,13200.0,-5.0,9369000.0,20.0,705.0,100.0,695.0,200.0,0.0,300.0
665,20230607,PYFA,705.0,0.0,725.0,665.0,690.0,66000.0,-15.0,45740000.0,55.0,690.0,102700.0,670.0,2500.0,1300.0,30800.0
665,20230608,PYFA,690.0,0.0,700.0,675.0,690.0,7700.0,0.0,5298500.0,21.0,690.0,400.0,680.0,100.0,0.0,0.0
665,20230609,PYFA,690.0,0.0,705.0,675.0,685.0,27600.0,-5.0,18938500.0,19.0,685.0,17400.0,680.0,800.0,0.0,2400.0
667,20230612,PYFA,685.0,0.0,685.0,670.0,685.0,11600.0,0.0,7846500.0,20.0,685.0,219800.0,675.0,100.0,0.0,0.0
667,20230613,PYFA,685.0,0.0,690.0,640.0,650.0,151700.0,-35.0,99197500.0,30.0,650.0,366300.0,645.0,100.0,400.0,62000.0
667,20230614,PYFA,650.0,0.0,650.0,645.0,645.0,10500.0,-5.0,6775500.0,19.0,650.0,17600.0,645.0,2100.0,8700.0,0.0
667,20230615,PYFA,645.0,0.0,705.0,640.0,680.0,6200.0,35.0,4171000.0,36.0,680.0,9500.0,665.0,300.0,0.0,0.0
667,20230616,PYFA,680.0,0.0,685.0,595.0,645.0,949300.0,-35.0,611698000.0,76.0,650.0,2500.0,645.0,2444300.0,0.0,881700.0
667,20230619,PYFA,645.0,0.0,805.0,660.0,805.0,499000.0,160.0,396071000.0,194.0,0.0,0.0,805.0,10400.0,5000.0,336300.0
667,20230620,PYFA,805.0,0.0,975.0,780.0,855.0,893300.0,50.0,812547500.0,835.0,855.0,9800.0,840.0,500.0,54100.0,216800.0
667,20230621,PYFA,855.0,0.0,860.0,780.0,820.0,97100.0,-35.0,79098000.0,112.0,820.0,2500.0,815.0,700.0,3000.0,22400.0
667,20230622,PYFA,820.0,0.0,840.0,790.0,790.0,26700.0,-30.0,21767000.0,75.0,840.0,1500.0,815.0,98800.0,2000.0,13900.0
667,20230623,PYFA,790.0,0.0,835.0,795.0,825.0,13800.0,35.0,11281000.0,42.0,825.0,3700.0,820.0,91900.0,1300.0,8400.0
667,20230626,PYFA,825.0,0.0,835.0,790.0,835.0,21200.0,10.0,17063000.0,47.0,830.0,1300.0,810.0,500.0,0.0,10600.0
667,20230627,PYFA,835.0,0.0,855.0,805.0,830.0,16500.0,-5.0,13622500.0,32.0,830.0,3000.0,810.0,500.0,100.0,6500.0
667,20230703,PYFA,830.0,0.0,830.0,780.0,800.0,19300.0,-30.0,15212000.0,22.0,800.0,15100.0,795.0,300.0,0.0,0.0
667,20230704,PYFA,800.0,0.0,825.0,790.0,790.0,2300.0,-10.0,1848000.0,6.0,820.0,16100.0,790.0,300.0,100.0,0.0
667,20230705,PYFA,790.0,0.0,820.0,775.0,820.0,6200.0,30.0,4894500.0,23.0,820.0,18500.0,795.0,200.0,0.0,0.0
667,20230706,PYFA,820.0,0.0,805.0,790.0,805.0,29300.0,-15.0,23277500.0,38.0,815.0,1000.0,805.0,100.0,1500.0,0.0
668,20230707,PYFA,805.0,0.0,800.0,800.0,800.0,5400.0,-5.0,4320000.0,3.0,800.0,3000.0,795.0,1000.0,0.0,0.0
670,20230710,PYFA,800.0,0.0,815.0,790.0,795.0,12200.0,-5.0,9753000.0,18.0,795.0,48700.0,790.0,11600.0,0.0,0.0
670,20230711,PYFA,795.0,0.0,800.0,790.0,800.0,31600.0,5.0,25082000.0,19.0,800.0,100.0,795.0,1400.0,0.0,0.0
670,20230712,PYFA,800.0,0.0,805.0,785.0,805.0,5900.0,5.0,4679500.0,10.0,800.0,45100.0,790.0,6600.0,500.0,0.0
670,20230713,PYFA,805.0,0.0,805.0,790.0,805.0,52100.0,0.0,41890500.0,8.0,805.0,100.0,790.0,1000.0,2000.0,0.0
670,20230714,PYFA,805.0,0.0,805.0,805.0,805.0,800.0,0.0,644000.0,2.0,805.0,3200.0,790.0,2000.0,0.0,0.0
670,20230717,PYFA,805.0,0.0,810.0,795.0,805.0,4100.0,0.0,3286500.0,11.0,815.0,100.0,800.0,500.0,0.0,1900.0
670,20230718,PYFA,805.0,0.0,800.0,785.0,795.0,78600.0,-10.0,62757000.0,11.0,800.0,53700.0,795.0,1300.0,0.0,0.0
670,20230720,PYFA,795.0,0.0,800.0,790.0,800.0,8100.0,5.0,6427000.0,13.0,800.0,3500.0,795.0,500.0,1600.0,0.0
670,20230721,PYFA,800.0,0.0,810.0,785.0,785.0,9200.0,-15.0,7261000.0,12.0,800.0,1200.0,785.0,400.0,0.0,3900.0
671,20230724,PYFA,785.0,0.0,800.0,785.0,785.0,3400.0,0.0,2680500.0,14.0,800.0,1500.0,785.0,1000.0,0.0,0.0
672,20230725,PYFA,785.0,0.0,800.0,755.0,795.0,20200.0,10.0,15653500.0,20.0,790.0,200.0,765.0,900.0,0.0,0.0
672,20230726,PYFA,795.0,0.0,790.0,745.0,745.0,4400.0,-50.0,3402000.0,12.0,795.0,13400.0,765.0,400.0,800.0,0.0
672,20230727,PYFA,745.0,0.0,800.0,750.0,775.0,4600.0,30.0,3517000.0,13.0,800.0,4000.0,775.0,200.0,0.0,500.0
672,20230728,PYFA,775.0,0.0,800.0,765.0,765.0,3700.0,-10.0,2915500.0,13.0,800.0,45800.0,770.0,200.0,0.0,0.0
672,20230731,PYFA,765.0,0.0,785.0,775.0,775.0,11100.0,10.0,8656000.0,18.0,775.0,1100.0,770.0,2900.0,0.0,2000.0
672,20230801,PYFA,775.0,0.0,775.0,760.0,775.0,19600.0,0.0,15037500.0,16.0,795.0,100.0,775.0,500.0,0.0,0.0
673,20230802,PYFA,775.0,0.0,780.0,745.0,750.0,1500.0,-25.0,1126000.0,4.0,780.0,4500.0,755.0,2500.0,0.0,0.0
673,20230803,PYFA,750.0,0.0,760.0,730.0,760.0,20800.0,10.0,15787000.0,9.0,760.0,2700.0,735.0,300.0,0.0,0.0
673,20230804,PYFA,760.0,0.0,760.0,760.0,760.0,2700.0,0.0,2052000.0,2.0,760.0,900.0,745.0,2500.0,0.0,0.0
