No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
635,20221230,PZZA,540.0,0.0,550.0,535.0,540.0,89400.0,0.0,48596500.0,79.0,545.0,30000.0,540.0,31100.0,0.0,32000.0
635,20230102,PZZA,540.0,0.0,540.0,540.0,540.0,52800.0,0.0,28512000.0,10.0,540.0,6100.0,535.0,31000.0,0.0,0.0
635,20230103,PZZA,540.0,0.0,550.0,535.0,540.0,68400.0,0.0,36740500.0,30.0,545.0,258000.0,540.0,1100.0,0.0,7000.0
635,20230104,PZZA,540.0,0.0,540.0,535.0,535.0,48000.0,-5.0,25743500.0,31.0,535.0,2100.0,530.0,19600.0,0.0,0.0
635,20230105,PZZA,535.0,0.0,540.0,530.0,535.0,104000.0,0.0,55614500.0,30.0,535.0,14700.0,530.0,10500.0,300.0,1000.0
638,20230106,PZZA,535.0,0.0,535.0,515.0,530.0,426700.0,-5.0,222132500.0,59.0,535.0,12500.0,530.0,3000.0,404300.0,400.0
639,20230109,PZZA,530.0,0.0,535.0,530.0,530.0,15000.0,0.0,7956500.0,15.0,535.0,21900.0,530.0,6000.0,3200.0,0.0
639,20230110,PZZA,530.0,0.0,530.0,520.0,525.0,74000.0,-5.0,38770000.0,43.0,530.0,18100.0,525.0,3100.0,10200.0,5500.0
640,20230111,PZZA,525.0,0.0,530.0,520.0,530.0,66000.0,5.0,34612500.0,67.0,530.0,50300.0,525.0,300.0,12500.0,800.0
640,20230112,PZZA,530.0,0.0,530.0,520.0,525.0,88800.0,-5.0,46606000.0,46.0,530.0,9000.0,525.0,48400.0,16900.0,300.0
640,20230113,PZZA,525.0,0.0,530.0,525.0,525.0,56200.0,0.0,29719000.0,29.0,530.0,800.0,525.0,217000.0,12400.0,15000.0
640,20230116,PZZA,525.0,0.0,530.0,525.0,530.0,108900.0,5.0,57298500.0,19.0,535.0,2500.0,525.0,163600.0,0.0,83700.0
640,20230117,PZZA,530.0,0.0,535.0,525.0,530.0,37300.0,0.0,19767500.0,36.0,535.0,50100.0,530.0,20500.0,6000.0,1600.0
640,20230118,PZZA,530.0,0.0,540.0,530.0,535.0,119400.0,5.0,63844500.0,29.0,540.0,91300.0,530.0,79800.0,1900.0,1000.0
640,20230119,PZZA,535.0,0.0,540.0,530.0,535.0,220400.0,0.0,118280500.0,30.0,540.0,8700.0,535.0,88200.0,19300.0,111900.0
640,20230120,PZZA,535.0,0.0,545.0,535.0,535.0,38400.0,0.0,20740500.0,35.0,545.0,51500.0,535.0,67100.0,6700.0,0.0
641,20230124,PZZA,535.0,0.0,545.0,535.0,535.0,90200.0,0.0,48567500.0,36.0,545.0,406400.0,535.0,405000.0,10900.0,33900.0
641,20230125,PZZA,535.0,0.0,545.0,535.0,540.0,65400.0,5.0,35307500.0,63.0,545.0,75900.0,540.0,51500.0,7600.0,4500.0
641,20230126,PZZA,540.0,0.0,545.0,535.0,545.0,90400.0,5.0,48749500.0,21.0,545.0,83700.0,540.0,35400.0,1900.0,10500.0
642,20230127,PZZA,545.0,0.0,545.0,545.0,545.0,156200.0,0.0,85129000.0,19.0,545.0,51300.0,540.0,45700.0,2400.0,70000.0
642,20230130,PZZA,545.0,0.0,550.0,535.0,545.0,175200.0,0.0,95773000.0,44.0,545.0,3000.0,540.0,129500.0,0.0,9000.0
642,20230131,PZZA,545.0,0.0,545.0,540.0,540.0,64900.0,-5.0,35062000.0,22.0,545.0,97400.0,540.0,125800.0,0.0,3100.0
643,20230201,PZZA,540.0,0.0,545.0,540.0,540.0,95300.0,0.0,51692500.0,21.0,545.0,14600.0,540.0,31500.0,100.0,0.0
643,20230202,PZZA,540.0,0.0,550.0,535.0,540.0,93900.0,0.0,50731500.0,42.0,540.0,19400.0,535.0,41000.0,0.0,3000.0
643,20230203,PZZA,540.0,0.0,550.0,535.0,550.0,133800.0,10.0,72641000.0,74.0,550.0,580000.0,535.0,36400.0,0.0,50500.0
644,20230206,PZZA,550.0,0.0,550.0,525.0,550.0,282100.0,0.0,150369500.0,158.0,550.0,301600.0,535.0,17000.0,2000.0,71700.0
645,20230207,PZZA,550.0,0.0,550.0,540.0,545.0,78300.0,-5.0,42652500.0,20.0,545.0,8600.0,540.0,63600.0,0.0,1900.0
648,20230208,PZZA,545.0,0.0,545.0,530.0,535.0,193300.0,-10.0,103809500.0,62.0,535.0,66000.0,530.0,364300.0,0.0,2600.0
648,20230209,PZZA,535.0,0.0,545.0,535.0,535.0,29100.0,0.0,15638000.0,27.0,540.0,500.0,535.0,63900.0,0.0,0.0
648,20230210,PZZA,535.0,0.0,540.0,535.0,535.0,62900.0,0.0,33761500.0,29.0,540.0,25000.0,535.0,5200.0,300.0,0.0
648,20230213,PZZA,535.0,0.0,545.0,530.0,535.0,127900.0,0.0,68279500.0,34.0,545.0,134000.0,535.0,31300.0,500.0,0.0
648,20230214,PZZA,535.0,0.0,550.0,535.0,550.0,207600.0,15.0,113027500.0,158.0,550.0,18500.0,545.0,29400.0,0.0,180600.0
648,20230215,PZZA,550.0,0.0,550.0,540.0,540.0,14400.0,-10.0,7829500.0,24.0,550.0,125800.0,545.0,93700.0,700.0,6300.0
649,20230216,PZZA,540.0,0.0,550.0,540.0,545.0,30900.0,5.0,16779000.0,25.0,550.0,3400.0,545.0,86200.0,1500.0,11900.0
649,20230217,PZZA,545.0,0.0,575.0,540.0,550.0,289100.0,5.0,160883000.0,94.0,550.0,19200.0,545.0,13500.0,0.0,1900.0
649,20230220,PZZA,550.0,0.0,575.0,540.0,550.0,405100.0,0.0,225842000.0,114.0,555.0,20000.0,550.0,11300.0,2500.0,43400.0
649,20230221,PZZA,550.0,0.0,575.0,545.0,550.0,366400.0,0.0,207103000.0,69.0,550.0,2100.0,545.0,8100.0,0.0,800.0
649,20230222,PZZA,550.0,0.0,555.0,540.0,550.0,378000.0,0.0,206690000.0,179.0,550.0,26600.0,545.0,200.0,0.0,243400.0
649,20230223,PZZA,550.0,0.0,555.0,545.0,550.0,187300.0,0.0,103053000.0,29.0,550.0,11000.0,545.0,9100.0,0.0,3900.0
650,20230224,PZZA,550.0,0.0,550.0,545.0,545.0,50700.0,-5.0,27659000.0,56.0,545.0,72700.0,540.0,42900.0,0.0,22800.0
651,20230227,PZZA,545.0,0.0,550.0,540.0,545.0,14400.0,0.0,7846500.0,37.0,545.0,94800.0,540.0,5600.0,0.0,200.0
651,20230228,PZZA,545.0,0.0,550.0,540.0,550.0,125300.0,5.0,68742500.0,187.0,550.0,56500.0,545.0,79500.0,0.0,111200.0
652,20230301,PZZA,550.0,0.0,550.0,545.0,550.0,25900.0,0.0,14128000.0,18.0,550.0,45100.0,545.0,99300.0,0.0,0.0
652,20230302,PZZA,550.0,0.0,550.0,540.0,545.0,62200.0,-5.0,33905500.0,28.0,545.0,103900.0,540.0,53000.0,200.0,0.0
653,20230303,PZZA,545.0,0.0,545.0,540.0,545.0,79700.0,0.0,43042000.0,54.0,545.0,9200.0,540.0,100.0,0.0,36400.0
654,20230306,PZZA,545.0,0.0,550.0,540.0,545.0,14600.0,0.0,7909500.0,30.0,545.0,11200.0,540.0,200.0,0.0,4900.0
654,20230307,PZZA,545.0,0.0,545.0,530.0,530.0,917700.0,-15.0,487111000.0,109.0,530.0,398100.0,525.0,39700.0,802300.0,270200.0
655,20230308,PZZA,530.0,0.0,535.0,515.0,515.0,371200.0,-15.0,192088000.0,246.0,515.0,95300.0,510.0,50500.0,135500.0,500.0
655,20230309,PZZA,515.0,0.0,525.0,510.0,520.0,146100.0,5.0,75458500.0,62.0,520.0,6300.0,515.0,107500.0,3100.0,0.0
656,20230310,PZZA,520.0,0.0,525.0,515.0,525.0,36100.0,5.0,18703000.0,24.0,525.0,11900.0,515.0,122800.0,200.0,0.0
656,20230313,PZZA,525.0,0.0,525.0,520.0,520.0,13400.0,-5.0,7014000.0,27.0,525.0,3000.0,520.0,8700.0,1500.0,0.0
656,20230314,PZZA,520.0,0.0,540.0,520.0,520.0,102400.0,0.0,54508500.0,33.0,525.0,50400.0,515.0,81700.0,50300.0,100000.0
656,20230315,PZZA,520.0,0.0,520.0,515.0,515.0,74500.0,-5.0,38589000.0,46.0,520.0,34800.0,515.0,2200.0,2500.0,0.0
656,20230316,PZZA,515.0,0.0,520.0,500.0,505.0,555400.0,-10.0,281451500.0,89.0,505.0,2200.0,500.0,24700.0,116900.0,0.0
656,20230317,PZZA,505.0,0.0,510.0,500.0,505.0,576100.0,0.0,290871000.0,63.0,510.0,50600.0,500.0,198400.0,411000.0,0.0
656,20230320,PZZA,505.0,0.0,505.0,500.0,500.0,441100.0,-5.0,222521500.0,44.0,510.0,4100.0,500.0,245700.0,395000.0,0.0
656,20230321,PZZA,500.0,0.0,505.0,498.0,505.0,143300.0,5.0,71662700.0,78.0,505.0,1300.0,500.0,6100.0,6500.0,0.0
656,20230324,PZZA,505.0,0.0,520.0,500.0,505.0,414700.0,0.0,210616000.0,93.0,505.0,100.0,500.0,77700.0,349100.0,152100.0
656,20230327,PZZA,505.0,0.0,505.0,500.0,500.0,415300.0,-5.0,207884500.0,80.0,505.0,21600.0,500.0,21500.0,45900.0,6600.0
656,20230328,PZZA,500.0,0.0,505.0,500.0,505.0,177300.0,5.0,88650500.0,53.0,505.0,400.0,500.0,19100.0,100.0,0.0
656,20230329,PZZA,505.0,0.0,505.0,494.0,498.0,772500.0,-7.0,382899400.0,142.0,500.0,11200.0,498.0,23700.0,624500.0,13600.0
657,20230330,PZZA,498.0,0.0,505.0,494.0,496.0,168700.0,-2.0,83928100.0,100.0,496.0,600.0,494.0,48100.0,4300.0,10500.0
657,20230331,PZZA,496.0,0.0,500.0,496.0,496.0,179800.0,0.0,89435800.0,96.0,496.0,5500.0,494.0,35800.0,9600.0,300.0
657,20230403,PZZA,496.0,0.0,500.0,494.0,496.0,151100.0,0.0,75074200.0,91.0,496.0,29600.0,494.0,86300.0,0.0,0.0
657,20230404,PZZA,496.0,0.0,500.0,494.0,496.0,27500.0,0.0,13641200.0,33.0,498.0,10200.0,496.0,700.0,0.0,0.0
658,20230405,PZZA,496.0,0.0,500.0,488.0,494.0,668000.0,-2.0,329293000.0,143.0,496.0,100.0,494.0,11700.0,285600.0,7700.0
658,20230406,PZZA,494.0,0.0,498.0,492.0,494.0,188000.0,0.0,92892000.0,84.0,494.0,37500.0,492.0,148500.0,6900.0,3100.0
659,20230410,PZZA,494.0,0.0,496.0,490.0,494.0,109100.0,0.0,53651800.0,51.0,496.0,13300.0,492.0,2200.0,0.0,0.0
659,20230411,PZZA,494.0,0.0,496.0,490.0,490.0,143400.0,-4.0,70394400.0,92.0,490.0,2900.0,488.0,31600.0,1800.0,0.0
660,20230412,PZZA,490.0,0.0,494.0,488.0,490.0,155700.0,0.0,76471000.0,58.0,492.0,22200.0,490.0,92100.0,19400.0,0.0
660,20230413,PZZA,490.0,0.0,494.0,490.0,490.0,180100.0,0.0,88425200.0,53.0,494.0,400.0,490.0,45000.0,151100.0,3300.0
660,20230414,PZZA,490.0,0.0,496.0,490.0,494.0,66000.0,4.0,32486400.0,34.0,494.0,3700.0,492.0,2500.0,0.0,0.0
660,20230417,PZZA,494.0,0.0,494.0,480.0,488.0,313800.0,-6.0,152782400.0,116.0,492.0,2600.0,488.0,1800.0,130700.0,1500.0
663,20230418,PZZA,488.0,0.0,494.0,488.0,490.0,42800.0,2.0,20934600.0,45.0,492.0,300.0,490.0,6300.0,3300.0,300.0
663,20230426,PZZA,490.0,0.0,494.0,488.0,488.0,118400.0,-2.0,57931000.0,51.0,494.0,2800.0,488.0,65100.0,67700.0,22300.0
663,20230427,PZZA,488.0,0.0,494.0,488.0,488.0,177600.0,0.0,86813800.0,80.0,490.0,16200.0,488.0,2000.0,167300.0,11700.0
663,20230428,PZZA,488.0,0.0,490.0,470.0,470.0,1105600.0,-18.0,526674000.0,309.0,474.0,600.0,470.0,700.0,1039000.0,35100.0
663,20230502,PZZA,470.0,0.0,478.0,468.0,470.0,441500.0,0.0,207913200.0,132.0,470.0,36400.0,468.0,1500.0,260300.0,300.0
663,20230503,PZZA,470.0,0.0,470.0,450.0,460.0,619600.0,-10.0,285455000.0,183.0,460.0,2900.0,458.0,100.0,10000.0,23800.0
663,20230504,PZZA,460.0,0.0,468.0,438.0,444.0,696400.0,-16.0,312388800.0,283.0,444.0,19000.0,442.0,11000.0,404900.0,20100.0
663,20230505,PZZA,444.0,0.0,450.0,436.0,444.0,252800.0,0.0,112695400.0,80.0,446.0,190000.0,444.0,6000.0,7400.0,17500.0
665,20230508,PZZA,444.0,0.0,452.0,438.0,444.0,111000.0,0.0,49000200.0,92.0,446.0,500.0,444.0,51500.0,200.0,33100.0
666,20230509,PZZA,444.0,0.0,460.0,442.0,452.0,546100.0,8.0,245133800.0,90.0,454.0,800.0,452.0,300.0,15100.0,69000.0
666,20230510,PZZA,452.0,0.0,462.0,448.0,452.0,48000.0,0.0,21813600.0,56.0,454.0,1100.0,452.0,8600.0,12400.0,0.0
