No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
636,20221230,RAFI,143.0,0.0,148.0,140.0,140.0,75363500.0,-3.0,10831174600.0,10153.0,140.0,67600.0,139.0,1126800.0,1011600.0,103400.0
636,20230102,RAFI,140.0,0.0,145.0,139.0,144.0,114736000.0,4.0,16508257100.0,6733.0,145.0,1371500.0,144.0,195700.0,1081600.0,1138700.0
636,20230103,RAFI,144.0,0.0,147.0,140.0,142.0,21912900.0,-2.0,3122158700.0,3801.0,142.0,356900.0,141.0,312100.0,1006000.0,191600.0
636,20230104,RAFI,142.0,0.0,151.0,141.0,142.0,152978200.0,0.0,22589123300.0,16078.0,143.0,1086900.0,142.0,1101500.0,2572500.0,225800.0
636,20230105,RAFI,142.0,0.0,145.0,133.0,133.0,180672000.0,-9.0,24919620400.0,15209.0,133.0,5149700.0,0.0,0.0,3473100.0,3343000.0
639,20230106,RAFI,133.0,0.0,130.0,124.0,124.0,37685600.0,-9.0,4803897100.0,3559.0,124.0,1354600.0,0.0,0.0,390600.0,50700.0
640,20230109,RAFI,124.0,0.0,124.0,116.0,116.0,32992600.0,-8.0,3904418600.0,4564.0,116.0,1127600.0,0.0,0.0,791800.0,528700.0
640,20230110,RAFI,116.0,0.0,125.0,113.0,118.0,126380900.0,2.0,15287831500.0,12960.0,119.0,245800.0,118.0,10700.0,3487100.0,4146000.0
641,20230111,RAFI,118.0,0.0,120.0,115.0,117.0,9777700.0,-1.0,1141138500.0,1135.0,118.0,162700.0,117.0,312500.0,182400.0,32300.0
641,20230112,RAFI,117.0,0.0,121.0,114.0,115.0,80205000.0,-2.0,9460898000.0,12017.0,115.0,83800.0,114.0,908400.0,2386100.0,279600.0
641,20230113,RAFI,115.0,0.0,118.0,115.0,116.0,6820600.0,1.0,794290800.0,831.0,117.0,618400.0,116.0,37100.0,1097100.0,34300.0
641,20230116,RAFI,116.0,0.0,117.0,114.0,115.0,5950500.0,-1.0,685013500.0,732.0,116.0,337400.0,115.0,4208100.0,338600.0,28700.0
641,20230117,RAFI,115.0,0.0,116.0,114.0,115.0,5584200.0,0.0,642412900.0,738.0,116.0,339500.0,115.0,1000.0,19500.0,13100.0
641,20230118,RAFI,115.0,0.0,119.0,113.0,114.0,46970500.0,-1.0,5446445900.0,5443.0,115.0,33000.0,114.0,34000.0,1672300.0,40900.0
641,20230119,RAFI,114.0,0.0,116.0,111.0,112.0,18277600.0,-2.0,2074686000.0,1112.0,113.0,8000.0,112.0,132700.0,40900.0,381200.0
641,20230120,RAFI,112.0,0.0,114.0,109.0,111.0,16134900.0,-1.0,1789190600.0,1325.0,112.0,86800.0,111.0,15000.0,17000.0,66800.0
642,20230124,RAFI,111.0,0.0,128.0,110.0,123.0,56929200.0,12.0,6600357900.0,2618.0,124.0,52800.0,123.0,393700.0,362100.0,275000.0
642,20230125,RAFI,123.0,0.0,132.0,115.0,115.0,172347100.0,-8.0,21084884700.0,21085.0,115.0,2093300.0,0.0,0.0,639000.0,8000.0
642,20230126,RAFI,115.0,0.0,116.0,109.0,112.0,13621500.0,-3.0,1524086100.0,1759.0,112.0,1293500.0,111.0,2521000.0,209300.0,46300.0
643,20230127,RAFI,112.0,0.0,117.0,109.0,114.0,37174100.0,2.0,4201289500.0,2389.0,115.0,382000.0,114.0,596600.0,130800.0,105700.0
643,20230130,RAFI,114.0,0.0,115.0,112.0,113.0,5571000.0,-1.0,631369100.0,816.0,114.0,627000.0,113.0,274500.0,13200.0,9700.0
643,20230131,RAFI,113.0,0.0,115.0,111.0,114.0,41587600.0,1.0,4760768600.0,1014.0,115.0,234000.0,114.0,30900.0,14400.0,14300.0
644,20230201,RAFI,114.0,0.0,116.0,112.0,113.0,67936400.0,-1.0,7803586600.0,1099.0,114.0,38600.0,113.0,392300.0,13200.0,23900.0
644,20230202,RAFI,113.0,0.0,118.0,112.0,115.0,85342300.0,2.0,9898368100.0,2603.0,115.0,360000.0,114.0,400000.0,49100.0,0.0
644,20230203,RAFI,115.0,0.0,118.0,112.0,116.0,176446900.0,1.0,20393395800.0,3853.0,116.0,1501000.0,115.0,10130400.0,25300.0,278100.0
645,20230206,RAFI,116.0,0.0,119.0,113.0,113.0,200832500.0,-3.0,23241330100.0,5410.0,113.0,563100.0,112.0,10565600.0,172400.0,275600.0
646,20230207,RAFI,113.0,0.0,115.0,109.0,110.0,100743900.0,-3.0,11398638200.0,8769.0,110.0,1031900.0,109.0,14822100.0,353000.0,59800.0
649,20230208,RAFI,110.0,0.0,110.0,103.0,103.0,113106000.0,-7.0,11679780400.0,2385.0,103.0,5754200.0,0.0,0.0,2400.0,0.0
649,20230209,RAFI,103.0,0.0,104.0,96.0,104.0,32462900.0,1.0,3185648400.0,3519.0,104.0,305000.0,103.0,1040500.0,36200.0,43700.0
649,20230210,RAFI,104.0,0.0,105.0,97.0,98.0,67599900.0,-6.0,6664447200.0,4546.0,98.0,58900.0,97.0,5883300.0,55500.0,8200.0
