No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
638,20221230,RALS,585.0,0.0,590.0,570.0,570.0,2939300.0,-15.0,1691977000.0,628.0,575.0,45300.0,570.0,226000.0,1241000.0,101100.0
638,20230102,RALS,570.0,0.0,595.0,570.0,585.0,6515100.0,15.0,3835770000.0,915.0,590.0,294900.0,585.0,15200.0,3000.0,550400.0
638,20230103,RALS,585.0,0.0,610.0,585.0,605.0,19497800.0,20.0,11757357500.0,1838.0,610.0,1304600.0,605.0,88200.0,5942000.0,504900.0
638,20230104,RALS,605.0,0.0,625.0,605.0,610.0,19491500.0,5.0,11987089500.0,1794.0,615.0,380000.0,610.0,746000.0,257000.0,515200.0
638,20230105,RALS,610.0,0.0,620.0,590.0,605.0,17178900.0,-5.0,10361144000.0,1512.0,605.0,321900.0,600.0,951700.0,273700.0,3903800.0
641,20230106,RALS,605.0,0.0,640.0,600.0,640.0,16408200.0,35.0,10271298000.0,1504.0,640.0,668500.0,635.0,4300.0,256300.0,53000.0
642,20230109,RALS,640.0,0.0,655.0,630.0,640.0,17529700.0,0.0,11235613000.0,1590.0,645.0,463500.0,640.0,361000.0,492100.0,111900.0
642,20230110,RALS,640.0,0.0,680.0,620.0,670.0,21288600.0,30.0,13808225500.0,2166.0,670.0,750800.0,665.0,711000.0,389700.0,79500.0
643,20230111,RALS,670.0,0.0,680.0,645.0,645.0,30232400.0,-25.0,20079583500.0,2037.0,645.0,323700.0,640.0,528100.0,5159000.0,35800.0
643,20230112,RALS,645.0,0.0,645.0,625.0,625.0,7927500.0,-20.0,5010300500.0,1336.0,630.0,12000.0,625.0,320900.0,663300.0,57600.0
643,20230113,RALS,625.0,0.0,645.0,620.0,640.0,4978500.0,15.0,3148221000.0,1103.0,645.0,581900.0,640.0,104100.0,461100.0,218900.0
643,20230116,RALS,640.0,0.0,660.0,630.0,650.0,7713700.0,10.0,4987656000.0,1402.0,655.0,130100.0,650.0,243800.0,257400.0,226100.0
643,20230117,RALS,650.0,0.0,685.0,645.0,685.0,26314100.0,35.0,17771248500.0,2271.0,690.0,4971900.0,685.0,275300.0,411200.0,188700.0
643,20230118,RALS,685.0,0.0,700.0,675.0,690.0,30295000.0,5.0,20911122500.0,2210.0,690.0,553900.0,685.0,231000.0,4074600.0,17037600.0
643,20230119,RALS,690.0,0.0,690.0,670.0,675.0,7272200.0,-15.0,4927575500.0,1147.0,680.0,131600.0,675.0,189800.0,964600.0,147100.0
643,20230120,RALS,675.0,0.0,685.0,665.0,665.0,5330700.0,-10.0,3579653500.0,1169.0,670.0,8600.0,665.0,322100.0,514100.0,325300.0
644,20230124,RALS,665.0,0.0,680.0,660.0,675.0,13717000.0,10.0,9193002500.0,1032.0,675.0,80100.0,670.0,10700.0,9191900.0,354200.0
644,20230125,RALS,675.0,0.0,690.0,670.0,680.0,6070800.0,5.0,4135447000.0,810.0,680.0,468700.0,675.0,460500.0,654500.0,71300.0
644,20230126,RALS,680.0,0.0,690.0,670.0,670.0,5404000.0,-10.0,3646690500.0,862.0,675.0,38600.0,670.0,280500.0,641900.0,45100.0
645,20230127,RALS,670.0,0.0,680.0,660.0,675.0,6147900.0,5.0,4124766500.0,601.0,680.0,271300.0,675.0,223000.0,117400.0,120800.0
645,20230130,RALS,675.0,0.0,720.0,675.0,705.0,59102500.0,30.0,41632950500.0,2845.0,710.0,44300.0,705.0,144900.0,1052800.0,629400.0
645,20230131,RALS,705.0,0.0,715.0,705.0,710.0,4383800.0,5.0,3110868500.0,915.0,715.0,1712600.0,710.0,107400.0,157000.0,570100.0
646,20230201,RALS,710.0,0.0,715.0,690.0,700.0,6978600.0,-10.0,4883251000.0,1373.0,700.0,259300.0,695.0,574400.0,211800.0,1501600.0
646,20230202,RALS,700.0,0.0,705.0,695.0,695.0,3296900.0,-5.0,2301810500.0,729.0,700.0,836800.0,695.0,316500.0,63200.0,1859400.0
646,20230203,RALS,695.0,0.0,700.0,685.0,695.0,3321300.0,0.0,2295231500.0,629.0,695.0,322800.0,690.0,227200.0,31700.0,72000.0
647,20230206,RALS,695.0,0.0,700.0,685.0,685.0,3313100.0,-10.0,2291007500.0,665.0,690.0,51600.0,685.0,735400.0,284900.0,316800.0
648,20230207,RALS,685.0,0.0,705.0,685.0,695.0,6943900.0,10.0,4839437000.0,803.0,700.0,64900.0,695.0,11000.0,84300.0,3157400.0
651,20230208,RALS,695.0,0.0,700.0,670.0,685.0,5990000.0,-10.0,4106863000.0,856.0,685.0,293400.0,680.0,153100.0,37000.0,1819700.0
651,20230209,RALS,685.0,0.0,695.0,680.0,690.0,4790000.0,5.0,3293061500.0,643.0,695.0,853400.0,690.0,4600.0,47500.0,2776900.0
651,20230210,RALS,690.0,0.0,705.0,685.0,695.0,5053000.0,5.0,3518291500.0,747.0,695.0,262700.0,690.0,102600.0,104500.0,1568700.0
651,20230213,RALS,695.0,0.0,710.0,690.0,695.0,8369000.0,0.0,5871199500.0,1014.0,695.0,94500.0,690.0,1023300.0,64200.0,2273700.0
651,20230214,RALS,695.0,0.0,710.0,695.0,705.0,4522900.0,10.0,3186134500.0,828.0,710.0,1876400.0,705.0,68200.0,18200.0,1301500.0
651,20230215,RALS,705.0,0.0,710.0,685.0,695.0,8302100.0,-10.0,5757104500.0,941.0,695.0,592100.0,690.0,420300.0,55300.0,1347000.0
652,20230216,RALS,695.0,0.0,700.0,690.0,690.0,4517400.0,-5.0,3136670500.0,778.0,690.0,98300.0,685.0,233400.0,1565000.0,1327900.0
652,20230217,RALS,690.0,0.0,700.0,660.0,690.0,9010900.0,0.0,6125489500.0,1223.0,695.0,318100.0,690.0,457900.0,273900.0,1469800.0
652,20230220,RALS,690.0,0.0,700.0,690.0,695.0,2761200.0,5.0,1918493000.0,479.0,695.0,46200.0,690.0,408100.0,188600.0,804700.0
652,20230221,RALS,695.0,0.0,700.0,685.0,685.0,1457400.0,-10.0,1001187000.0,419.0,690.0,18300.0,685.0,414600.0,327400.0,18800.0
652,20230222,RALS,685.0,0.0,690.0,665.0,670.0,3213600.0,-15.0,2163136500.0,805.0,675.0,211300.0,670.0,124200.0,571400.0,100200.0
652,20230223,RALS,670.0,0.0,675.0,665.0,665.0,4484300.0,-5.0,2997098000.0,729.0,665.0,28700.0,660.0,821700.0,16100.0,1467100.0
653,20230224,RALS,665.0,0.0,690.0,655.0,690.0,5889900.0,25.0,3967648000.0,1320.0,690.0,131400.0,685.0,71800.0,229100.0,2572400.0
654,20230227,RALS,690.0,0.0,695.0,675.0,675.0,1330200.0,-15.0,905752000.0,515.0,680.0,123500.0,675.0,279300.0,222800.0,242200.0
654,20230228,RALS,675.0,0.0,680.0,665.0,665.0,3039800.0,-10.0,2030960000.0,806.0,670.0,162500.0,665.0,6400.0,1426000.0,191800.0
655,20230301,RALS,665.0,0.0,675.0,660.0,665.0,1784600.0,0.0,1185329000.0,546.0,665.0,134000.0,660.0,521700.0,306400.0,54100.0
655,20230302,RALS,665.0,0.0,670.0,660.0,665.0,1598900.0,0.0,1063157000.0,360.0,670.0,202300.0,665.0,785900.0,259700.0,6600.0
656,20230303,RALS,665.0,0.0,675.0,655.0,660.0,1778300.0,-5.0,1178335500.0,529.0,665.0,348800.0,660.0,21200.0,272000.0,3600.0
657,20230306,RALS,660.0,0.0,660.0,640.0,640.0,5789000.0,-20.0,3736081500.0,1293.0,645.0,480400.0,640.0,37000.0,46500.0,171400.0
657,20230307,RALS,640.0,0.0,640.0,630.0,635.0,3190100.0,-5.0,2020814500.0,742.0,635.0,141700.0,630.0,840000.0,41700.0,130000.0
658,20230308,RALS,635.0,0.0,640.0,620.0,640.0,2624200.0,5.0,1655921000.0,792.0,640.0,118200.0,635.0,59600.0,32600.0,1259700.0
658,20230309,RALS,640.0,0.0,655.0,640.0,650.0,2453100.0,10.0,1589476000.0,659.0,655.0,552000.0,650.0,208500.0,301900.0,270000.0
659,20230310,RALS,650.0,0.0,655.0,635.0,645.0,1712500.0,-5.0,1099813500.0,578.0,650.0,118500.0,640.0,32100.0,362000.0,836900.0
659,20230313,RALS,645.0,0.0,645.0,630.0,635.0,1462800.0,-10.0,932744500.0,495.0,635.0,14100.0,630.0,457900.0,387200.0,3200.0
659,20230314,RALS,635.0,0.0,635.0,595.0,600.0,8575000.0,-35.0,5249475000.0,1437.0,605.0,182700.0,600.0,27000.0,378200.0,670300.0
659,20230315,RALS,600.0,0.0,635.0,600.0,630.0,4551400.0,30.0,2824019000.0,947.0,630.0,147800.0,625.0,387100.0,491300.0,66800.0
659,20230316,RALS,630.0,0.0,635.0,590.0,595.0,9998900.0,-35.0,6020190500.0,1420.0,600.0,177400.0,595.0,111900.0,372200.0,771200.0
659,20230317,RALS,595.0,0.0,615.0,595.0,610.0,2682300.0,15.0,1631791000.0,500.0,615.0,60400.0,610.0,5400.0,178100.0,954500.0
659,20230320,RALS,610.0,0.0,620.0,600.0,615.0,1190700.0,5.0,731208500.0,377.0,620.0,8500.0,615.0,2800.0,120600.0,1500.0
659,20230321,RALS,615.0,0.0,625.0,615.0,620.0,1390900.0,5.0,863473000.0,377.0,625.0,50200.0,620.0,420800.0,218000.0,111800.0
659,20230324,RALS,620.0,0.0,655.0,620.0,655.0,7145400.0,35.0,4593764000.0,1484.0,655.0,362400.0,650.0,38600.0,519100.0,2180700.0
659,20230327,RALS,655.0,0.0,665.0,645.0,650.0,2804200.0,-5.0,1821852500.0,1001.0,650.0,187300.0,645.0,362500.0,959300.0,2600.0
659,20230328,RALS,650.0,0.0,665.0,645.0,655.0,2297100.0,5.0,1500154500.0,553.0,655.0,4000.0,650.0,651400.0,174400.0,112400.0
659,20230329,RALS,655.0,0.0,660.0,645.0,650.0,1658200.0,-5.0,1075851000.0,463.0,650.0,50900.0,645.0,586800.0,111900.0,98400.0
660,20230330,RALS,650.0,0.0,655.0,645.0,650.0,1324000.0,0.0,860916500.0,428.0,655.0,367900.0,650.0,39200.0,38100.0,55500.0
660,20230331,RALS,650.0,0.0,660.0,640.0,645.0,2750300.0,-5.0,1783332000.0,737.0,645.0,192800.0,640.0,80900.0,1052000.0,555800.0
660,20230403,RALS,645.0,0.0,685.0,645.0,680.0,15384300.0,35.0,10342971500.0,2754.0,680.0,411200.0,675.0,147500.0,4372900.0,4756300.0
660,20230404,RALS,680.0,0.0,685.0,665.0,670.0,6151300.0,-10.0,4139652500.0,1322.0,675.0,111200.0,670.0,10800.0,2323700.0,1342200.0
661,20230405,RALS,670.0,0.0,685.0,665.0,670.0,4223400.0,0.0,2850588000.0,899.0,670.0,189800.0,665.0,411800.0,493900.0,1307200.0
661,20230406,RALS,670.0,0.0,675.0,655.0,665.0,3506900.0,-5.0,2334075000.0,944.0,670.0,333300.0,665.0,256200.0,181800.0,882800.0
662,20230410,RALS,665.0,0.0,675.0,650.0,660.0,5549500.0,-5.0,3674276000.0,1189.0,665.0,71500.0,660.0,505700.0,1796500.0,1548100.0
662,20230411,RALS,660.0,0.0,665.0,640.0,645.0,6296600.0,-15.0,4088932000.0,1421.0,645.0,444300.0,640.0,1269100.0,2606600.0,813600.0
663,20230412,RALS,645.0,0.0,665.0,640.0,660.0,6193000.0,15.0,4031561500.0,1216.0,660.0,8000.0,655.0,491800.0,1663400.0,312300.0
