No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
736,20250108,RATU,1150.0,1435.0,1435.0,1435.0,1435.0,632900.0,285.0,908211500.0,2772.0,0.0,0.0,1435.0,960328200.0,600.0,0.0
738,20250109,RATU,1435.0,1790.0,1790.0,1790.0,1790.0,411600.0,355.0,736764000.0,1823.0,0.0,0.0,1790.0,515737500.0,600.0,0.0
738,20250110,RATU,1790.0,2230.0,2230.0,2230.0,2230.0,1196800.0,440.0,2668864000.0,3746.0,0.0,0.0,2230.0,359371600.0,200.0,0.0
741,20250113,RATU,2230.0,2780.0,2780.0,2780.0,2780.0,2317400.0,550.0,6442372000.0,4452.0,0.0,0.0,2780.0,233397000.0,37900.0,0.0
741,20250114,RATU,2780.0,3470.0,3470.0,3470.0,3470.0,1552200.0,690.0,5386134000.0,6107.0,0.0,0.0,3470.0,175643100.0,10300.0,0.0
741,20250115,RATU,3470.0,4330.0,4330.0,4330.0,4330.0,4836600.0,860.0,20942478000.0,17873.0,0.0,0.0,4330.0,88399600.0,4500.0,0.0
741,20250116,RATU,4330.0,0.0,0.0,0.0,4330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
741,20250117,RATU,4330.0,5400.0,5400.0,5400.0,5400.0,20148800.0,1070.0,108803520000.0,36753.0,0.0,0.0,5400.0,40307100.0,56000.0,0.0
741,20250120,RATU,5400.0,0.0,0.0,0.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
741,20250121,RATU,5400.0,0.0,0.0,0.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
741,20250122,RATU,5400.0,0.0,5925.0,5925.0,5925.0,2369500.0,525.0,14039287500.0,8103.0,0.0,0.0,5925.0,43054200.0,2500.0,0.0
741,20250123,RATU,5925.0,0.0,6500.0,6500.0,6500.0,1059700.0,575.0,6888050000.0,3669.0,0.0,0.0,6500.0,31104000.0,700.0,21200.0
741,20250124,RATU,6500.0,0.0,7150.0,7150.0,7150.0,3328500.0,650.0,23798775000.0,4472.0,0.0,0.0,7150.0,20969500.0,22800.0,0.0
741,20250130,RATU,7150.0,0.0,7775.0,6450.0,7500.0,26406700.0,350.0,181064322500.0,15122.0,7575.0,500.0,7500.0,529600.0,5100.0,739600.0
741,20250131,RATU,7500.0,0.0,8250.0,7850.0,8200.0,10307300.0,700.0,82987735000.0,8215.0,8225.0,12800.0,8200.0,445200.0,6800.0,432600.0
741,20250203,RATU,8200.0,0.0,8400.0,7900.0,8400.0,9619600.0,200.0,77611365000.0,8028.0,8400.0,6000.0,8350.0,100.0,618300.0,117600.0
741,20250204,RATU,8400.0,0.0,8800.0,8600.0,8650.0,3781400.0,250.0,32871435000.0,3392.0,8675.0,1700.0,8650.0,828300.0,5200.0,7600.0
741,20250205,RATU,8650.0,8800.0,9900.0,8375.0,9200.0,49461200.0,550.0,450534210000.0,45583.0,9200.0,5000.0,9175.0,7300.0,181800.0,1507000.0
741,20250206,RATU,9200.0,9225.0,9425.0,8700.0,8850.0,19628500.0,-350.0,177335197500.0,17124.0,8850.0,117400.0,8825.0,700.0,331100.0,646100.0
741,20250207,RATU,8850.0,7500.0,8475.0,7100.0,7550.0,33749900.0,-1300.0,262230770000.0,21805.0,7575.0,12600.0,7550.0,28200.0,1549200.0,2017300.0
741,20250210,RATU,7550.0,7600.0,7900.0,6150.0,7725.0,20958400.0,175.0,147020912500.0,16959.0,7750.0,60000.0,7725.0,189300.0,754800.0,1465300.0
741,20250211,RATU,7725.0,7875.0,7925.0,6575.0,6575.0,13488200.0,-1150.0,96212195000.0,11106.0,6600.0,7100.0,6575.0,58000.0,1093000.0,1643300.0
741,20250212,RATU,6575.0,6650.0,7375.0,6575.0,7200.0,9055900.0,625.0,63276127500.0,7507.0,7200.0,83700.0,7175.0,24400.0,143600.0,903600.0
741,20250213,RATU,7200.0,7250.0,7475.0,6925.0,7300.0,5811800.0,100.0,41872097500.0,5594.0,7300.0,419500.0,7275.0,15400.0,469900.0,250900.0
741,20250214,RATU,7300.0,7375.0,7875.0,7150.0,7800.0,12895600.0,500.0,97118035000.0,9209.0,7825.0,127400.0,7800.0,32100.0,498600.0,1419900.0
741,20250217,RATU,7800.0,7825.0,9350.0,7725.0,9100.0,31239700.0,1300.0,279599690000.0,20949.0,9125.0,55500.0,9100.0,181400.0,376800.0,5516900.0
741,20250218,RATU,9100.0,9300.0,9700.0,8775.0,9000.0,21002800.0,-100.0,194078415000.0,19589.0,9025.0,5200.0,9000.0,9400.0,1998300.0,2276600.0
741,20250219,RATU,9000.0,9025.0,9375.0,8825.0,8950.0,8444600.0,-50.0,76700422500.0,7948.0,8975.0,600.0,8950.0,4300.0,838800.0,748500.0
741,20250220,RATU,8950.0,8975.0,9125.0,8650.0,8950.0,4792400.0,0.0,42723920000.0,5119.0,8950.0,88200.0,8925.0,1900.0,757100.0,357500.0
741,20250221,RATU,8950.0,8950.0,9000.0,8325.0,8600.0,8359300.0,-350.0,72202722500.0,7797.0,8625.0,600.0,8600.0,81700.0,1174900.0,1207200.0
741,20250224,RATU,8600.0,8600.0,8725.0,7725.0,8000.0,12123800.0,-600.0,98097992500.0,9556.0,8025.0,800.0,8000.0,325100.0,1498000.0,1276600.0
741,20250225,RATU,8000.0,8050.0,8175.0,7150.0,7400.0,10504900.0,-600.0,79358782500.0,7603.0,7400.0,80700.0,7375.0,2900.0,2124700.0,1982000.0
