No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
640,20221230,RBMS,50.0,0.0,50.0,50.0,50.0,45200.0,0.0,2260000.0,6.0,50.0,8067000.0,0.0,0.0,0.0,0.0
640,20230102,RBMS,50.0,0.0,50.0,50.0,50.0,43200.0,0.0,2160000.0,7.0,50.0,4284700.0,0.0,0.0,0.0,0.0
640,20230103,RBMS,50.0,0.0,50.0,50.0,50.0,17400.0,0.0,870000.0,8.0,50.0,27210200.0,0.0,0.0,0.0,0.0
640,20230104,RBMS,50.0,0.0,50.0,50.0,50.0,6200.0,0.0,310000.0,4.0,50.0,30128000.0,0.0,0.0,0.0,0.0
640,20230105,RBMS,50.0,0.0,50.0,50.0,50.0,201600.0,0.0,10080000.0,4.0,50.0,28189100.0,0.0,0.0,0.0,0.0
643,20230106,RBMS,50.0,0.0,50.0,50.0,50.0,2100.0,0.0,105000.0,2.0,50.0,29533600.0,0.0,0.0,0.0,0.0
644,20230109,RBMS,50.0,0.0,50.0,50.0,50.0,29900.0,0.0,1495000.0,8.0,50.0,38511400.0,0.0,0.0,0.0,0.0
644,20230110,RBMS,50.0,0.0,50.0,50.0,50.0,1212700.0,0.0,60635000.0,7.0,50.0,42596200.0,0.0,0.0,0.0,0.0
645,20230111,RBMS,50.0,0.0,50.0,50.0,50.0,4300.0,0.0,215000.0,3.0,50.0,42897400.0,0.0,0.0,0.0,0.0
645,20230112,RBMS,50.0,0.0,50.0,50.0,50.0,3900.0,0.0,195000.0,3.0,50.0,43647500.0,0.0,0.0,0.0,0.0
645,20230113,RBMS,50.0,0.0,50.0,50.0,50.0,25600.0,0.0,1280000.0,8.0,50.0,39624300.0,0.0,0.0,0.0,0.0
645,20230116,RBMS,50.0,0.0,50.0,50.0,50.0,3700.0,0.0,185000.0,7.0,50.0,30293000.0,0.0,0.0,0.0,0.0
645,20230117,RBMS,50.0,0.0,50.0,50.0,50.0,400.0,0.0,20000.0,3.0,50.0,36943000.0,0.0,0.0,0.0,0.0
645,20230118,RBMS,50.0,0.0,50.0,50.0,50.0,300.0,0.0,15000.0,3.0,50.0,39240100.0,0.0,0.0,0.0,0.0
645,20230119,RBMS,50.0,0.0,50.0,50.0,50.0,43500.0,0.0,2175000.0,1.0,50.0,33522500.0,0.0,0.0,0.0,0.0
645,20230120,RBMS,50.0,0.0,50.0,50.0,50.0,6400.0,0.0,320000.0,6.0,50.0,44056800.0,0.0,0.0,0.0,0.0
646,20230124,RBMS,50.0,0.0,50.0,50.0,50.0,1425600.0,0.0,71280000.0,18.0,50.0,42763000.0,0.0,0.0,0.0,0.0
646,20230125,RBMS,50.0,0.0,50.0,50.0,50.0,13200.0,0.0,660000.0,4.0,50.0,45698900.0,0.0,0.0,0.0,0.0
646,20230126,RBMS,50.0,0.0,50.0,50.0,50.0,2202000.0,0.0,110100000.0,14.0,50.0,44471600.0,0.0,0.0,0.0,0.0
647,20230127,RBMS,50.0,0.0,50.0,50.0,50.0,17900.0,0.0,895000.0,4.0,50.0,38985800.0,0.0,0.0,0.0,0.0
647,20230130,RBMS,50.0,0.0,50.0,50.0,50.0,23500.0,0.0,1175000.0,12.0,50.0,47032100.0,0.0,0.0,0.0,0.0
647,20230131,RBMS,50.0,0.0,50.0,50.0,50.0,7000.0,0.0,350000.0,4.0,50.0,40435300.0,0.0,0.0,0.0,0.0
648,20230201,RBMS,50.0,0.0,50.0,50.0,50.0,1464000.0,0.0,73200000.0,12.0,50.0,36896400.0,0.0,0.0,0.0,0.0
648,20230202,RBMS,50.0,0.0,50.0,50.0,50.0,1015800.0,0.0,50790000.0,15.0,50.0,42010600.0,0.0,0.0,0.0,0.0
648,20230203,RBMS,50.0,0.0,50.0,50.0,50.0,5700.0,0.0,285000.0,4.0,50.0,41612900.0,0.0,0.0,0.0,0.0
649,20230206,RBMS,50.0,0.0,50.0,50.0,50.0,1000.0,0.0,50000.0,1.0,50.0,31827600.0,0.0,0.0,0.0,0.0
650,20230207,RBMS,50.0,0.0,50.0,50.0,50.0,2400.0,0.0,120000.0,3.0,50.0,25920200.0,0.0,0.0,0.0,0.0
653,20230208,RBMS,50.0,0.0,50.0,50.0,50.0,17200.0,0.0,860000.0,6.0,50.0,25437900.0,0.0,0.0,0.0,0.0
653,20230209,RBMS,50.0,0.0,50.0,50.0,50.0,9400.0,0.0,470000.0,7.0,50.0,29225800.0,0.0,0.0,0.0,0.0
653,20230210,RBMS,50.0,0.0,50.0,50.0,50.0,2100.0,0.0,105000.0,3.0,50.0,30222200.0,0.0,0.0,0.0,0.0
653,20230213,RBMS,50.0,0.0,50.0,50.0,50.0,9600.0,0.0,480000.0,9.0,50.0,34885000.0,0.0,0.0,0.0,0.0
653,20230214,RBMS,50.0,0.0,50.0,50.0,50.0,1700.0,0.0,85000.0,5.0,50.0,31339300.0,0.0,0.0,0.0,0.0
653,20230215,RBMS,50.0,0.0,50.0,50.0,50.0,1300.0,0.0,65000.0,3.0,50.0,31342900.0,0.0,0.0,0.0,0.0
654,20230216,RBMS,50.0,0.0,50.0,50.0,50.0,2100.0,0.0,105000.0,2.0,50.0,30685300.0,0.0,0.0,0.0,100.0
654,20230217,RBMS,50.0,0.0,50.0,50.0,50.0,5700.0,0.0,285000.0,4.0,50.0,31010200.0,0.0,0.0,0.0,0.0
654,20230220,RBMS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,29035500.0,0.0,0.0,0.0,0.0
654,20230221,RBMS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,34065600.0,0.0,0.0,0.0,0.0
654,20230222,RBMS,50.0,0.0,50.0,50.0,50.0,1100.0,0.0,55000.0,2.0,50.0,30375500.0,0.0,0.0,0.0,0.0
654,20230223,RBMS,50.0,0.0,50.0,50.0,50.0,10200.0,0.0,510000.0,3.0,50.0,28708900.0,0.0,0.0,0.0,0.0
655,20230224,RBMS,50.0,0.0,50.0,50.0,50.0,3500.0,0.0,175000.0,3.0,50.0,29395100.0,0.0,0.0,0.0,0.0
656,20230227,RBMS,50.0,0.0,50.0,50.0,50.0,1100.0,0.0,55000.0,2.0,50.0,23715200.0,0.0,0.0,0.0,0.0
656,20230228,RBMS,50.0,0.0,50.0,50.0,50.0,655900.0,0.0,32795000.0,8.0,50.0,31271500.0,0.0,0.0,0.0,0.0
657,20230301,RBMS,50.0,0.0,50.0,50.0,50.0,6400.0,0.0,320000.0,7.0,50.0,32059800.0,0.0,0.0,0.0,0.0
657,20230302,RBMS,50.0,0.0,50.0,50.0,50.0,1600.0,0.0,80000.0,3.0,50.0,28113200.0,0.0,0.0,0.0,0.0
658,20230303,RBMS,50.0,0.0,50.0,50.0,50.0,2100.0,0.0,105000.0,3.0,50.0,26733200.0,0.0,0.0,0.0,0.0
659,20230306,RBMS,50.0,0.0,50.0,50.0,50.0,23300.0,0.0,1165000.0,7.0,50.0,23125800.0,0.0,0.0,0.0,0.0
659,20230307,RBMS,50.0,0.0,50.0,50.0,50.0,116100.0,0.0,5805000.0,4.0,50.0,27581600.0,0.0,0.0,0.0,0.0
660,20230308,RBMS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,28844800.0,0.0,0.0,0.0,0.0
660,20230309,RBMS,50.0,0.0,50.0,50.0,50.0,2100.0,0.0,105000.0,2.0,50.0,25875800.0,0.0,0.0,0.0,0.0
661,20230310,RBMS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,31823700.0,0.0,0.0,0.0,0.0
