No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
654,20221230,ROTI,1345.0,0.0,1345.0,1320.0,1320.0,47500.0,-25.0,62937000.0,21.0,1320.0,24000.0,1300.0,200.0,10900.0,0.0
654,20230102,ROTI,1320.0,0.0,1320.0,1300.0,1305.0,1200.0,-15.0,1569000.0,9.0,1300.0,4100.0,1290.0,600.0,400.0,0.0
654,20230103,ROTI,1305.0,0.0,1340.0,1275.0,1300.0,18900.0,-5.0,24424000.0,33.0,1300.0,1500.0,1275.0,5600.0,4200.0,0.0
654,20230104,ROTI,1300.0,0.0,1350.0,1290.0,1330.0,194800.0,30.0,257393500.0,92.0,1335.0,4500.0,1290.0,200.0,19600.0,0.0
654,20230105,ROTI,1330.0,0.0,1335.0,1310.0,1310.0,24700.0,-20.0,32582500.0,41.0,1315.0,5100.0,1300.0,600.0,6300.0,0.0
657,20230106,ROTI,1310.0,0.0,1300.0,1280.0,1300.0,5500.0,-10.0,7118000.0,19.0,1295.0,200.0,1290.0,100.0,0.0,0.0
658,20230109,ROTI,1300.0,0.0,1350.0,1300.0,1345.0,177600.0,45.0,238709500.0,122.0,1345.0,34400.0,1325.0,600.0,28900.0,600.0
658,20230110,ROTI,1345.0,0.0,1340.0,1300.0,1315.0,240900.0,-30.0,316425500.0,30.0,1325.0,3900.0,1315.0,354300.0,2300.0,0.0
659,20230111,ROTI,1315.0,0.0,1325.0,1285.0,1325.0,9200.0,10.0,11982000.0,16.0,1325.0,91300.0,1320.0,100.0,100.0,0.0
659,20230112,ROTI,1325.0,0.0,1360.0,1325.0,1325.0,91100.0,0.0,122834500.0,62.0,1340.0,16000.0,1325.0,8000.0,300.0,0.0
659,20230113,ROTI,1325.0,0.0,1375.0,1325.0,1340.0,124800.0,15.0,167102000.0,40.0,1340.0,14100.0,1335.0,193900.0,500.0,0.0
659,20230116,ROTI,1340.0,0.0,1350.0,1345.0,1345.0,124300.0,5.0,167201000.0,55.0,1350.0,19700.0,1345.0,37800.0,1800.0,1000.0
659,20230117,ROTI,1345.0,0.0,1370.0,1345.0,1360.0,107600.0,15.0,145720000.0,78.0,1360.0,100.0,1340.0,1200.0,4300.0,0.0
659,20230118,ROTI,1360.0,0.0,1360.0,1350.0,1360.0,6800.0,0.0,9189000.0,10.0,1360.0,90600.0,1335.0,100.0,1500.0,0.0
659,20230119,ROTI,1360.0,0.0,1345.0,1330.0,1330.0,1600.0,-30.0,2145000.0,13.0,1345.0,500.0,1330.0,36200.0,100.0,0.0
659,20230120,ROTI,1330.0,0.0,1370.0,1335.0,1360.0,131600.0,30.0,177202000.0,59.0,1360.0,2500.0,1330.0,1200.0,2800.0,300.0
660,20230124,ROTI,1360.0,0.0,1360.0,1320.0,1320.0,80400.0,-40.0,106947500.0,58.0,1325.0,900.0,1320.0,1000.0,1600.0,8100.0
660,20230125,ROTI,1320.0,0.0,1340.0,1300.0,1340.0,56500.0,20.0,74466000.0,45.0,1340.0,19700.0,1320.0,500.0,0.0,5200.0
660,20230126,ROTI,1340.0,0.0,1400.0,1315.0,1400.0,3064300.0,60.0,4281879000.0,230.0,1400.0,124800.0,1385.0,100.0,1905800.0,0.0
661,20230127,ROTI,1400.0,0.0,1400.0,1380.0,1400.0,1772400.0,0.0,2479223500.0,159.0,1400.0,59800.0,1395.0,1100.0,1159000.0,2700.0
661,20230130,ROTI,1400.0,0.0,1400.0,1345.0,1375.0,297700.0,-25.0,410087500.0,67.0,1390.0,2300.0,1370.0,700.0,0.0,0.0
661,20230131,ROTI,1375.0,0.0,1365.0,1350.0,1365.0,72300.0,-10.0,97648500.0,20.0,1365.0,1100.0,1350.0,13600.0,0.0,0.0
662,20230201,ROTI,1365.0,0.0,1365.0,1350.0,1365.0,46600.0,0.0,63060500.0,24.0,1365.0,200.0,1360.0,500.0,100.0,0.0
662,20230202,ROTI,1365.0,0.0,1380.0,1350.0,1365.0,26000.0,0.0,35787000.0,37.0,1370.0,200.0,1365.0,7900.0,0.0,100.0
662,20230203,ROTI,1365.0,0.0,1440.0,1370.0,1440.0,820900.0,75.0,1152625500.0,264.0,1445.0,17500.0,1440.0,96900.0,127500.0,12200.0
663,20230206,ROTI,1440.0,0.0,1460.0,1395.0,1400.0,513600.0,-40.0,726397500.0,253.0,1420.0,29300.0,1400.0,141100.0,66800.0,44300.0
664,20230207,ROTI,1400.0,0.0,1425.0,1400.0,1405.0,8300.0,5.0,11737500.0,26.0,1410.0,3900.0,1405.0,5700.0,1600.0,0.0
667,20230208,ROTI,1405.0,0.0,1410.0,1395.0,1400.0,140700.0,-5.0,196988000.0,59.0,1400.0,75400.0,1395.0,32400.0,126800.0,0.0
667,20230209,ROTI,1400.0,0.0,1420.0,1385.0,1390.0,82400.0,-10.0,115944500.0,45.0,1400.0,10200.0,1390.0,1900.0,52500.0,50000.0
667,20230210,ROTI,1390.0,0.0,1400.0,1375.0,1380.0,140800.0,-10.0,195036500.0,45.0,1380.0,43300.0,1375.0,10200.0,0.0,200.0
667,20230213,ROTI,1380.0,0.0,1420.0,1380.0,1395.0,18600.0,15.0,26003000.0,29.0,1395.0,43800.0,1390.0,33100.0,1000.0,100.0
667,20230214,ROTI,1395.0,0.0,1395.0,1385.0,1395.0,48400.0,0.0,67043500.0,24.0,1395.0,200.0,1390.0,2500.0,0.0,0.0
667,20230215,ROTI,1395.0,0.0,1400.0,1390.0,1390.0,33400.0,-5.0,46489000.0,22.0,1395.0,13900.0,1390.0,15300.0,1100.0,1100.0
668,20230216,ROTI,1390.0,0.0,1400.0,1375.0,1375.0,76300.0,-15.0,106044000.0,38.0,1390.0,100.0,1375.0,1800.0,61800.0,5000.0
668,20230217,ROTI,1375.0,0.0,1385.0,1375.0,1375.0,111500.0,0.0,154001500.0,26.0,1380.0,15000.0,1375.0,6100.0,45100.0,77700.0
668,20230220,ROTI,1375.0,0.0,1395.0,1375.0,1380.0,120700.0,5.0,166043500.0,32.0,1385.0,2300.0,1380.0,5300.0,101400.0,0.0
668,20230221,ROTI,1380.0,0.0,1390.0,1370.0,1375.0,35100.0,-5.0,48214000.0,23.0,1375.0,64000.0,1370.0,6900.0,10000.0,0.0
668,20230222,ROTI,1375.0,0.0,1400.0,1375.0,1395.0,57200.0,20.0,79237000.0,33.0,1400.0,48500.0,1390.0,3200.0,4500.0,0.0
668,20230223,ROTI,1395.0,0.0,1425.0,1340.0,1420.0,1036200.0,25.0,1457352000.0,182.0,1420.0,7300.0,1405.0,1100.0,312700.0,200.0
669,20230224,ROTI,1420.0,0.0,1565.0,1410.0,1470.0,1604600.0,50.0,2375359000.0,364.0,1470.0,2900.0,1450.0,100.0,181000.0,4000.0
670,20230227,ROTI,1470.0,0.0,1540.0,1470.0,1505.0,536500.0,35.0,810986500.0,191.0,1505.0,6600.0,1500.0,58900.0,200.0,100.0
670,20230228,ROTI,1505.0,0.0,1550.0,1505.0,1535.0,190600.0,30.0,292157500.0,125.0,1535.0,13200.0,1530.0,1200.0,20700.0,0.0
671,20230301,ROTI,1535.0,0.0,1550.0,1520.0,1525.0,597100.0,-10.0,919590000.0,161.0,1550.0,571900.0,1525.0,46900.0,52300.0,0.0
671,20230302,ROTI,1525.0,0.0,1560.0,1500.0,1500.0,1585700.0,-25.0,2436046500.0,194.0,1500.0,256300.0,1450.0,15000.0,346100.0,0.0
672,20230303,ROTI,1500.0,0.0,1550.0,1505.0,1540.0,71400.0,40.0,109598000.0,88.0,1540.0,9300.0,1530.0,600.0,0.0,0.0
673,20230306,ROTI,1540.0,0.0,1540.0,1495.0,1540.0,81900.0,0.0,124499500.0,74.0,1540.0,489800.0,1520.0,200.0,0.0,0.0
673,20230307,ROTI,1540.0,0.0,1545.0,1460.0,1460.0,327900.0,-80.0,483866500.0,227.0,1480.0,100.0,1460.0,2800.0,0.0,0.0
674,20230308,ROTI,1460.0,0.0,1520.0,1420.0,1430.0,700300.0,-30.0,1012886500.0,672.0,1440.0,1900.0,1430.0,13700.0,410400.0,0.0
674,20230309,ROTI,1430.0,0.0,1480.0,1405.0,1405.0,764200.0,-25.0,1081587000.0,616.0,1445.0,600.0,1405.0,391600.0,399600.0,500.0
675,20230310,ROTI,1405.0,0.0,1445.0,1405.0,1420.0,187700.0,15.0,266401000.0,141.0,1420.0,3100.0,1410.0,200.0,0.0,100.0
675,20230313,ROTI,1420.0,0.0,1490.0,1410.0,1490.0,282000.0,70.0,414255500.0,276.0,1490.0,103700.0,1485.0,900.0,100.0,0.0
675,20230314,ROTI,1490.0,0.0,1490.0,1450.0,1455.0,55700.0,-35.0,81732000.0,102.0,1455.0,5200.0,1450.0,14700.0,0.0,100.0
675,20230315,ROTI,1455.0,0.0,1480.0,1420.0,1435.0,129600.0,-20.0,188315500.0,309.0,1440.0,3300.0,1430.0,2400.0,200.0,0.0
675,20230316,ROTI,1435.0,0.0,1445.0,1410.0,1430.0,51100.0,-5.0,72942500.0,86.0,1430.0,5100.0,1425.0,3900.0,0.0,0.0
675,20230317,ROTI,1430.0,0.0,1430.0,1425.0,1425.0,49800.0,-5.0,71145000.0,55.0,1430.0,5000.0,1425.0,18700.0,0.0,0.0
675,20230320,ROTI,1425.0,0.0,1425.0,1390.0,1395.0,265200.0,-30.0,370290000.0,146.0,1400.0,63300.0,1395.0,10100.0,0.0,0.0
675,20230321,ROTI,1395.0,0.0,1410.0,1380.0,1390.0,79400.0,-5.0,110517500.0,70.0,1405.0,100.0,1390.0,17900.0,0.0,0.0
675,20230324,ROTI,1390.0,0.0,1460.0,1390.0,1460.0,67300.0,70.0,95695000.0,87.0,1460.0,10900.0,1445.0,500.0,0.0,22100.0
