No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
656,20221230,RUIS,232.0,0.0,248.0,224.0,224.0,11743000.0,-8.0,2769315200.0,3211.0,224.0,66300.0,222.0,104400.0,0.0,22100.0
656,20230102,RUIS,224.0,0.0,248.0,222.0,228.0,29653700.0,4.0,7028602600.0,5479.0,230.0,36800.0,228.0,63700.0,0.0,0.0
656,20230103,RUIS,228.0,0.0,280.0,222.0,272.0,146575700.0,44.0,38847929600.0,44243.0,272.0,1505300.0,270.0,89795800.0,533500.0,797200.0
656,20230104,RUIS,272.0,0.0,332.0,272.0,330.0,334836600.0,58.0,103809884800.0,130120.0,330.0,2634800.0,328.0,31869900.0,37500.0,939900.0
656,20230105,RUIS,330.0,0.0,334.0,308.0,308.0,70871100.0,-22.0,22412639400.0,47828.0,308.0,47413300.0,0.0,0.0,0.0,0.0
659,20230106,RUIS,308.0,0.0,308.0,288.0,308.0,39705700.0,0.0,11656224600.0,21372.0,308.0,2911800.0,306.0,47144200.0,661600.0,0.0
660,20230109,RUIS,308.0,0.0,338.0,308.0,332.0,56319400.0,24.0,17966771200.0,7090.0,332.0,16306700.0,330.0,47375300.0,0.0,35000.0
660,20230110,RUIS,332.0,0.0,334.0,310.0,310.0,62893800.0,-22.0,19733758200.0,55392.0,310.0,5102200.0,0.0,0.0,0.0,0.0
661,20230111,RUIS,310.0,0.0,310.0,290.0,296.0,74112800.0,-14.0,21772385400.0,45998.0,296.0,11203500.0,294.0,26003500.0,676600.0,0.0
661,20230112,RUIS,296.0,0.0,300.0,276.0,276.0,33746900.0,-20.0,9416950400.0,17799.0,276.0,4199900.0,0.0,0.0,0.0,0.0
661,20230113,RUIS,276.0,0.0,272.0,258.0,258.0,26918500.0,-18.0,7073268200.0,10317.0,258.0,7990800.0,0.0,0.0,0.0,90200.0
661,20230116,RUIS,258.0,0.0,284.0,240.0,240.0,190418900.0,-18.0,49485595000.0,102153.0,240.0,7857000.0,0.0,0.0,9657400.0,9641600.0
661,20230117,RUIS,240.0,0.0,240.0,224.0,224.0,12942600.0,-16.0,2915723800.0,2231.0,224.0,6861600.0,0.0,0.0,0.0,68200.0
661,20230118,RUIS,224.0,0.0,226.0,210.0,216.0,27517000.0,-8.0,5984037400.0,4176.0,218.0,169200.0,216.0,1130600.0,1993200.0,3169000.0
661,20230119,RUIS,216.0,0.0,224.0,202.0,202.0,32680400.0,-14.0,6851260000.0,4052.0,202.0,696200.0,0.0,0.0,1100800.0,1643900.0
661,20230120,RUIS,202.0,0.0,208.0,190.0,202.0,18867900.0,0.0,3723964400.0,3180.0,202.0,755700.0,200.0,11000.0,1042100.0,3657200.0
662,20230124,RUIS,202.0,0.0,214.0,188.0,191.0,57506400.0,-11.0,11357624400.0,6451.0,192.0,234000.0,191.0,49900.0,2239200.0,68700.0
662,20230125,RUIS,191.0,0.0,193.0,186.0,191.0,8813400.0,0.0,1663919400.0,1876.0,192.0,316100.0,191.0,24100.0,68700.0,266500.0
662,20230126,RUIS,191.0,0.0,193.0,182.0,190.0,7349800.0,-1.0,1403244600.0,1420.0,191.0,11600.0,190.0,321500.0,34100.0,485500.0
663,20230127,RUIS,190.0,0.0,194.0,189.0,193.0,9120700.0,3.0,1748979200.0,1753.0,193.0,174600.0,192.0,453500.0,39900.0,1026600.0
663,20230130,RUIS,193.0,0.0,197.0,187.0,193.0,11390400.0,0.0,2214237100.0,2346.0,194.0,130300.0,193.0,176000.0,337200.0,1666100.0
663,20230131,RUIS,193.0,0.0,206.0,193.0,200.0,16806200.0,7.0,3350712900.0,3095.0,202.0,293800.0,200.0,23500.0,1528000.0,1127300.0
664,20230201,RUIS,200.0,0.0,204.0,198.0,199.0,6525900.0,-1.0,1305901300.0,1250.0,200.0,63000.0,199.0,154600.0,106800.0,837100.0
664,20230202,RUIS,199.0,0.0,208.0,199.0,204.0,9425100.0,5.0,1923532500.0,1947.0,206.0,583600.0,204.0,46500.0,326200.0,2250300.0
664,20230203,RUIS,204.0,0.0,206.0,199.0,200.0,4746400.0,-4.0,953973300.0,934.0,202.0,146900.0,200.0,181400.0,259300.0,20200.0
665,20230206,RUIS,200.0,0.0,202.0,198.0,198.0,3264000.0,-2.0,649442700.0,663.0,198.0,19800.0,197.0,260700.0,57600.0,251000.0
666,20230207,RUIS,198.0,0.0,204.0,196.0,200.0,4085300.0,2.0,817358500.0,753.0,202.0,512700.0,200.0,43400.0,6900.0,953500.0
669,20230208,RUIS,200.0,0.0,214.0,199.0,210.0,16628700.0,10.0,3455343700.0,2264.0,212.0,1463800.0,210.0,980800.0,152700.0,1060900.0
669,20230209,RUIS,210.0,0.0,214.0,206.0,210.0,6435700.0,0.0,1352434000.0,1146.0,210.0,213100.0,208.0,259500.0,247200.0,217400.0
669,20230210,RUIS,210.0,0.0,212.0,200.0,202.0,6475300.0,-8.0,1318816000.0,764.0,204.0,10900.0,202.0,205200.0,1207400.0,429200.0
669,20230213,RUIS,202.0,0.0,208.0,202.0,206.0,3672600.0,4.0,757024600.0,569.0,208.0,467000.0,206.0,463600.0,0.0,1685600.0
669,20230214,RUIS,206.0,0.0,212.0,206.0,208.0,3512600.0,2.0,734506400.0,567.0,208.0,51100.0,206.0,378700.0,0.0,1503600.0
669,20230215,RUIS,208.0,0.0,222.0,206.0,210.0,21291000.0,2.0,4594629000.0,3520.0,212.0,136200.0,210.0,351600.0,1060200.0,2347600.0
670,20230216,RUIS,210.0,0.0,214.0,208.0,212.0,5180100.0,2.0,1096800800.0,1412.0,214.0,314900.0,212.0,81200.0,779300.0,100.0
670,20230217,RUIS,212.0,0.0,214.0,208.0,212.0,2848100.0,0.0,600785200.0,523.0,214.0,724300.0,212.0,120300.0,85000.0,0.0
670,20230220,RUIS,212.0,0.0,216.0,208.0,208.0,2558300.0,-4.0,537674800.0,346.0,210.0,2800.0,208.0,314800.0,680800.0,129700.0
670,20230221,RUIS,208.0,0.0,212.0,208.0,210.0,2531000.0,2.0,527468200.0,265.0,212.0,89100.0,210.0,152200.0,502700.0,300000.0
670,20230222,RUIS,210.0,0.0,212.0,202.0,208.0,3317300.0,-2.0,687839600.0,391.0,210.0,323400.0,208.0,198800.0,828700.0,197700.0
670,20230223,RUIS,208.0,0.0,210.0,204.0,208.0,2650600.0,0.0,545975800.0,376.0,208.0,102100.0,206.0,1424800.0,759500.0,285200.0
671,20230224,RUIS,208.0,0.0,208.0,202.0,202.0,3999200.0,-6.0,813990800.0,500.0,204.0,24700.0,202.0,445600.0,1131200.0,151100.0
672,20230227,RUIS,202.0,0.0,204.0,200.0,200.0,3356400.0,-2.0,676434800.0,417.0,204.0,158800.0,200.0,2436700.0,1033800.0,166000.0
672,20230228,RUIS,200.0,0.0,204.0,200.0,200.0,2725500.0,0.0,546816400.0,293.0,202.0,90100.0,200.0,759800.0,183800.0,0.0
673,20230301,RUIS,200.0,0.0,202.0,198.0,200.0,2454400.0,0.0,489314700.0,506.0,200.0,235000.0,199.0,17500.0,533000.0,102300.0
673,20230302,RUIS,200.0,0.0,206.0,198.0,200.0,2066000.0,0.0,416061800.0,560.0,202.0,169600.0,200.0,26800.0,164100.0,37600.0
674,20230303,RUIS,200.0,0.0,204.0,200.0,200.0,1315300.0,0.0,263169400.0,277.0,202.0,285800.0,200.0,388800.0,114800.0,14700.0
675,20230306,RUIS,200.0,0.0,202.0,199.0,200.0,909300.0,0.0,182320900.0,232.0,202.0,207000.0,200.0,297400.0,75900.0,49100.0
675,20230307,RUIS,200.0,0.0,200.0,190.0,190.0,3919000.0,-10.0,760869200.0,366.0,198.0,21100.0,190.0,6155700.0,57500.0,51200.0
676,20230308,RUIS,190.0,0.0,198.0,191.0,194.0,2044600.0,4.0,396258900.0,669.0,195.0,64200.0,194.0,19400.0,41600.0,96100.0
676,20230309,RUIS,194.0,0.0,198.0,193.0,196.0,1175400.0,2.0,229736500.0,364.0,196.0,251100.0,194.0,111200.0,9600.0,52400.0
