No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
679,20230308,SAGE,100.0,0.0,135.0,120.0,135.0,887296600.0,35.0,117488624600.0,20324.0,0.0,0.0,135.0,89858200.0,207024100.0,1600000.0
679,20230309,SAGE,135.0,0.0,180.0,151.0,173.0,657651100.0,38.0,109334168500.0,49881.0,173.0,4689500.0,172.0,135100.0,1011800.0,1166400.0
680,20230310,SAGE,173.0,0.0,177.0,161.0,161.0,429566500.0,-12.0,71854480200.0,9004.0,161.0,25362400.0,0.0,0.0,369400.0,600.0
680,20230313,SAGE,161.0,0.0,151.0,150.0,150.0,11316100.0,-11.0,1697416000.0,7099.0,150.0,69783900.0,0.0,0.0,0.0,27100.0
680,20230314,SAGE,150.0,0.0,140.0,140.0,140.0,3279300.0,-10.0,459102000.0,294.0,140.0,130779200.0,0.0,0.0,0.0,1000.0
680,20230315,SAGE,140.0,0.0,138.0,131.0,131.0,107334500.0,-9.0,14085721300.0,19469.0,131.0,41954100.0,0.0,0.0,0.0,0.0
680,20230316,SAGE,131.0,0.0,122.0,122.0,122.0,67243400.0,-9.0,8203694800.0,22080.0,122.0,43653800.0,0.0,0.0,0.0,17700.0
680,20230317,SAGE,122.0,0.0,114.0,114.0,114.0,80667800.0,-8.0,9196129200.0,51496.0,114.0,86339400.0,0.0,0.0,0.0,48900.0
680,20230320,SAGE,114.0,0.0,128.0,107.0,116.0,832210800.0,2.0,96990753800.0,65080.0,116.0,3131100.0,115.0,1427500.0,1089200.0,1113200.0
680,20230321,SAGE,116.0,0.0,122.0,108.0,113.0,482949900.0,-3.0,54500726500.0,33782.0,113.0,4804800.0,112.0,1607300.0,104000.0,196100.0
680,20230324,SAGE,113.0,0.0,152.0,110.0,152.0,799684200.0,39.0,106644363600.0,38424.0,0.0,0.0,152.0,41794800.0,33146000.0,2908200.0
680,20230327,SAGE,152.0,0.0,204.0,147.0,204.0,724512100.0,52.0,129589217100.0,46070.0,0.0,0.0,204.0,20481000.0,242200.0,367100.0
680,20230328,SAGE,204.0,0.0,254.0,208.0,254.0,402423400.0,50.0,96709983200.0,26464.0,0.0,0.0,254.0,32236800.0,454500.0,4135100.0
680,20230329,SAGE,254.0,0.0,316.0,268.0,316.0,548716500.0,62.0,164335315400.0,35046.0,0.0,0.0,316.0,50847100.0,20659300.0,22057900.0
