No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
660,20221230,SAMF,474.0,0.0,476.0,460.0,470.0,313700.0,-4.0,147486200.0,140.0,470.0,2700.0,468.0,39100.0,18500.0,0.0
660,20230102,SAMF,470.0,0.0,482.0,472.0,478.0,207300.0,8.0,98913200.0,75.0,478.0,1700.0,474.0,1400.0,0.0,0.0
660,20230103,SAMF,478.0,0.0,476.0,460.0,462.0,710600.0,-16.0,330279200.0,291.0,468.0,15000.0,462.0,21300.0,0.0,0.0
660,20230104,SAMF,462.0,0.0,468.0,454.0,458.0,196900.0,-4.0,90488200.0,125.0,460.0,500.0,458.0,19500.0,0.0,0.0
660,20230105,SAMF,458.0,0.0,460.0,426.0,426.0,866700.0,-32.0,381332000.0,300.0,430.0,123200.0,426.0,13000.0,0.0,0.0
663,20230106,SAMF,426.0,0.0,430.0,410.0,416.0,405200.0,-10.0,169663000.0,197.0,420.0,800.0,416.0,27600.0,12500.0,40000.0
664,20230109,SAMF,416.0,0.0,420.0,410.0,410.0,456200.0,-6.0,189011000.0,183.0,410.0,6000.0,408.0,19900.0,700.0,0.0
664,20230110,SAMF,410.0,0.0,416.0,408.0,408.0,190000.0,-2.0,78066200.0,115.0,408.0,111100.0,406.0,24800.0,200.0,0.0
665,20230111,SAMF,408.0,0.0,412.0,400.0,402.0,370300.0,-6.0,149900800.0,180.0,408.0,21000.0,402.0,87900.0,0.0,0.0
665,20230112,SAMF,402.0,0.0,430.0,400.0,418.0,126300.0,16.0,52076800.0,137.0,418.0,3300.0,416.0,700.0,0.0,0.0
665,20230113,SAMF,418.0,0.0,420.0,416.0,416.0,62200.0,-2.0,25960400.0,68.0,418.0,8800.0,416.0,49000.0,0.0,0.0
665,20230116,SAMF,416.0,0.0,420.0,410.0,410.0,67700.0,-6.0,28094000.0,98.0,418.0,10700.0,410.0,6000.0,0.0,600.0
665,20230117,SAMF,410.0,0.0,414.0,408.0,410.0,162200.0,0.0,66614800.0,120.0,410.0,9300.0,408.0,29100.0,0.0,41800.0
665,20230118,SAMF,410.0,0.0,414.0,406.0,414.0,196500.0,4.0,80532600.0,130.0,414.0,12800.0,410.0,1000.0,4800.0,0.0
665,20230119,SAMF,414.0,0.0,418.0,410.0,418.0,192800.0,4.0,79611000.0,121.0,418.0,6900.0,412.0,54400.0,0.0,0.0
665,20230120,SAMF,418.0,0.0,418.0,414.0,416.0,83700.0,-2.0,34858800.0,90.0,416.0,15200.0,414.0,30700.0,2400.0,0.0
666,20230124,SAMF,416.0,0.0,416.0,410.0,412.0,193300.0,-4.0,79746600.0,110.0,414.0,45900.0,412.0,800.0,0.0,0.0
666,20230125,SAMF,412.0,0.0,420.0,410.0,414.0,112900.0,2.0,47069600.0,49.0,418.0,4800.0,414.0,20200.0,0.0,0.0
666,20230126,SAMF,414.0,0.0,446.0,414.0,428.0,485000.0,14.0,207149400.0,218.0,434.0,23500.0,428.0,18600.0,2500.0,0.0
667,20230127,SAMF,428.0,0.0,442.0,428.0,438.0,142700.0,10.0,62455000.0,133.0,438.0,24300.0,436.0,6300.0,0.0,0.0
