No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
665,20221230,SCCO,8650.0,0.0,8650.0,8600.0,8650.0,1100.0,0.0,9510000.0,3.0,8650.0,1000.0,8450.0,300.0,0.0,0.0
665,20230102,SCCO,8650.0,0.0,8650.0,8500.0,8650.0,3200.0,0.0,27362500.0,10.0,8650.0,300.0,8500.0,100.0,0.0,0.0
665,20230103,SCCO,8650.0,0.0,8750.0,8500.0,8675.0,2600.0,25.0,22330000.0,14.0,8675.0,300.0,8450.0,200.0,0.0,0.0
665,20230104,SCCO,8675.0,0.0,8600.0,8325.0,8600.0,6600.0,-75.0,56110000.0,26.0,8600.0,300.0,8375.0,1000.0,0.0,0.0
665,20230105,SCCO,8600.0,0.0,8550.0,8300.0,8475.0,7000.0,-125.0,58645000.0,26.0,8475.0,300.0,8275.0,300.0,0.0,0.0
668,20230106,SCCO,8475.0,0.0,8500.0,8150.0,8425.0,3900.0,-50.0,32592500.0,21.0,8425.0,400.0,8200.0,600.0,0.0,0.0
669,20230109,SCCO,8425.0,0.0,8450.0,8200.0,8425.0,4700.0,0.0,39032500.0,18.0,8425.0,300.0,8200.0,200.0,0.0,0.0
669,20230110,SCCO,8425.0,0.0,8400.0,8275.0,8400.0,1000.0,-25.0,8362500.0,6.0,8400.0,400.0,8250.0,100.0,0.0,0.0
670,20230111,SCCO,8400.0,0.0,8400.0,8275.0,8350.0,1300.0,-50.0,10852500.0,10.0,8375.0,500.0,8275.0,200.0,0.0,0.0
670,20230112,SCCO,8350.0,0.0,8350.0,8200.0,8350.0,1800.0,0.0,14910000.0,11.0,8450.0,100.0,8225.0,100.0,0.0,0.0
670,20230113,SCCO,8350.0,0.0,8300.0,8200.0,8225.0,1900.0,-125.0,15645000.0,16.0,8300.0,300.0,8200.0,1300.0,0.0,0.0
