No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
667,20221230,SCNP,248.0,0.0,248.0,232.0,232.0,607700.0,-16.0,144762200.0,55.0,232.0,559900.0,0.0,0.0,0.0,0.0
667,20230102,SCNP,232.0,0.0,232.0,216.0,216.0,601700.0,-16.0,133607400.0,70.0,216.0,163700.0,0.0,0.0,0.0,0.0
667,20230103,SCNP,216.0,0.0,232.0,214.0,222.0,1515200.0,6.0,337496400.0,168.0,220.0,34500.0,218.0,12000.0,0.0,0.0
667,20230104,SCNP,222.0,0.0,226.0,220.0,226.0,216000.0,4.0,48182200.0,39.0,226.0,100700.0,224.0,5800.0,32100.0,0.0
667,20230105,SCNP,226.0,0.0,240.0,220.0,240.0,614100.0,14.0,141971800.0,129.0,240.0,40100.0,238.0,10100.0,0.0,0.0
670,20230106,SCNP,240.0,0.0,242.0,234.0,242.0,559700.0,2.0,133307600.0,116.0,242.0,212600.0,238.0,13100.0,0.0,0.0
671,20230109,SCNP,242.0,0.0,248.0,238.0,248.0,302100.0,6.0,73181200.0,79.0,246.0,10000.0,244.0,14400.0,0.0,0.0
671,20230110,SCNP,248.0,0.0,250.0,244.0,250.0,321800.0,2.0,79602800.0,80.0,250.0,157800.0,248.0,11000.0,0.0,31400.0
672,20230111,SCNP,250.0,0.0,252.0,246.0,248.0,188700.0,-2.0,47010400.0,22.0,248.0,29900.0,246.0,15300.0,0.0,0.0
672,20230112,SCNP,248.0,0.0,250.0,248.0,250.0,348300.0,2.0,86439200.0,123.0,250.0,158500.0,248.0,14100.0,0.0,0.0
672,20230113,SCNP,250.0,0.0,250.0,248.0,248.0,141300.0,-2.0,35282800.0,10.0,248.0,36100.0,246.0,21300.0,0.0,0.0
672,20230116,SCNP,248.0,0.0,252.0,246.0,252.0,377100.0,4.0,93998200.0,78.0,250.0,64700.0,248.0,20500.0,0.0,0.0
672,20230117,SCNP,252.0,0.0,252.0,248.0,248.0,71700.0,-4.0,17947400.0,13.0,250.0,10000.0,246.0,20300.0,0.0,0.0
672,20230118,SCNP,248.0,0.0,248.0,246.0,248.0,19900.0,0.0,4918000.0,19.0,248.0,44200.0,246.0,11500.0,0.0,0.0
672,20230119,SCNP,248.0,0.0,248.0,244.0,248.0,73800.0,0.0,18191600.0,15.0,248.0,37400.0,246.0,10700.0,0.0,0.0
672,20230120,SCNP,248.0,0.0,248.0,246.0,248.0,39700.0,0.0,9813600.0,12.0,248.0,31400.0,246.0,4100.0,0.0,0.0
673,20230124,SCNP,248.0,0.0,248.0,246.0,248.0,17800.0,0.0,4408800.0,21.0,248.0,55400.0,246.0,17300.0,0.0,0.0
673,20230125,SCNP,248.0,0.0,248.0,244.0,246.0,27500.0,-2.0,6759200.0,12.0,246.0,80200.0,244.0,15200.0,0.0,0.0
673,20230126,SCNP,246.0,0.0,248.0,244.0,248.0,82500.0,2.0,20291400.0,44.0,248.0,29400.0,246.0,4200.0,0.0,0.0
674,20230127,SCNP,248.0,0.0,248.0,246.0,248.0,52100.0,0.0,12876800.0,15.0,248.0,1200.0,246.0,108300.0,0.0,0.0
674,20230130,SCNP,248.0,0.0,248.0,246.0,248.0,141000.0,0.0,34928000.0,12.0,248.0,40300.0,246.0,1400.0,0.0,0.0
674,20230131,SCNP,248.0,0.0,248.0,246.0,248.0,53700.0,0.0,13224200.0,29.0,248.0,33100.0,246.0,14800.0,0.0,0.0
675,20230201,SCNP,248.0,0.0,248.0,244.0,248.0,72900.0,0.0,17950600.0,9.0,248.0,19800.0,246.0,11200.0,0.0,0.0
675,20230202,SCNP,248.0,0.0,248.0,244.0,248.0,51200.0,0.0,12649000.0,32.0,246.0,42000.0,244.0,20200.0,0.0,0.0
675,20230203,SCNP,248.0,0.0,252.0,246.0,248.0,221200.0,0.0,55083800.0,30.0,248.0,29400.0,246.0,4900.0,0.0,0.0
676,20230206,SCNP,248.0,0.0,248.0,244.0,248.0,55100.0,0.0,13565400.0,13.0,248.0,15200.0,244.0,12000.0,0.0,0.0
677,20230207,SCNP,248.0,0.0,248.0,244.0,246.0,23900.0,-2.0,5885400.0,8.0,246.0,18600.0,244.0,21600.0,0.0,0.0
