No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
673,20221230,SFAN,1910.0,0.0,1905.0,1870.0,1880.0,579900.0,-30.0,1092329000.0,193.0,1885.0,75800.0,1880.0,8900.0,74000.0,0.0
673,20230102,SFAN,1880.0,0.0,1885.0,1875.0,1880.0,517400.0,0.0,973335000.0,157.0,1885.0,400.0,1875.0,1200.0,0.0,5900.0
673,20230103,SFAN,1880.0,0.0,1880.0,1860.0,1865.0,631100.0,-15.0,1178966500.0,170.0,1880.0,9800.0,1865.0,4200.0,26700.0,17200.0
673,20230104,SFAN,1865.0,0.0,1875.0,1865.0,1875.0,600400.0,10.0,1121581500.0,161.0,1875.0,10100.0,1870.0,14400.0,1300.0,0.0
673,20230105,SFAN,1875.0,0.0,1875.0,1865.0,1870.0,406800.0,-5.0,760665000.0,157.0,1870.0,13500.0,1865.0,6400.0,43300.0,0.0
676,20230106,SFAN,1870.0,0.0,1880.0,1865.0,1880.0,597200.0,10.0,1118352000.0,153.0,1880.0,12000.0,1875.0,6400.0,8000.0,1500.0
677,20230109,SFAN,1880.0,0.0,1880.0,1870.0,1875.0,605200.0,-5.0,1136338000.0,143.0,1875.0,20400.0,1870.0,20700.0,3500.0,6400.0
677,20230110,SFAN,1875.0,0.0,1880.0,1860.0,1870.0,783500.0,-5.0,1466891500.0,213.0,1870.0,6400.0,1865.0,9500.0,2200.0,4400.0
678,20230111,SFAN,1870.0,0.0,1880.0,1865.0,1880.0,778900.0,10.0,1458715000.0,197.0,1880.0,12200.0,1875.0,900.0,101400.0,800.0
678,20230112,SFAN,1880.0,0.0,1885.0,1880.0,1885.0,790800.0,5.0,1488011500.0,164.0,1885.0,16700.0,1880.0,17700.0,400.0,0.0
678,20230113,SFAN,1885.0,0.0,1885.0,1880.0,1885.0,840000.0,0.0,1579312500.0,230.0,1885.0,24400.0,1880.0,10600.0,7400.0,0.0
678,20230116,SFAN,1885.0,0.0,1885.0,1865.0,1880.0,495700.0,-5.0,930233000.0,138.0,1880.0,27900.0,1870.0,24500.0,56500.0,400.0
678,20230117,SFAN,1880.0,0.0,1885.0,1875.0,1885.0,732600.0,5.0,1377273000.0,178.0,1885.0,17600.0,1880.0,16500.0,10100.0,0.0
678,20230118,SFAN,1885.0,0.0,1880.0,1870.0,1880.0,739300.0,-5.0,1386496500.0,168.0,1880.0,15200.0,1875.0,13400.0,18400.0,0.0
678,20230119,SFAN,1880.0,0.0,1880.0,1855.0,1870.0,533100.0,-10.0,994976500.0,137.0,1870.0,4100.0,1865.0,7100.0,47500.0,0.0
678,20230120,SFAN,1870.0,0.0,1870.0,1830.0,1840.0,439000.0,-30.0,809305000.0,149.0,1840.0,25600.0,1835.0,2900.0,54100.0,2600.0
679,20230124,SFAN,1840.0,0.0,1840.0,1825.0,1835.0,548500.0,-5.0,1005325000.0,173.0,1835.0,8700.0,1830.0,9200.0,83000.0,13300.0
679,20230125,SFAN,1835.0,0.0,1835.0,1800.0,1810.0,564900.0,-25.0,1022121500.0,144.0,1810.0,23100.0,1805.0,100.0,74800.0,0.0
679,20230126,SFAN,1810.0,0.0,1815.0,1800.0,1810.0,592200.0,0.0,1071154500.0,119.0,1810.0,27000.0,1805.0,4500.0,5400.0,0.0
680,20230127,SFAN,1810.0,0.0,1820.0,1810.0,1820.0,510300.0,10.0,925225500.0,168.0,1820.0,15700.0,1815.0,14100.0,3800.0,0.0
680,20230130,SFAN,1820.0,0.0,1830.0,1820.0,1825.0,539600.0,5.0,983777500.0,128.0,1825.0,18500.0,1820.0,13600.0,0.0,2500.0
680,20230131,SFAN,1825.0,0.0,1825.0,1820.0,1825.0,698900.0,0.0,1272456500.0,151.0,1825.0,13700.0,1820.0,22000.0,17100.0,0.0
681,20230201,SFAN,1825.0,0.0,1825.0,1820.0,1825.0,649300.0,0.0,1183624500.0,153.0,1825.0,20200.0,1820.0,8100.0,11200.0,0.0
681,20230202,SFAN,1825.0,0.0,1825.0,1820.0,1825.0,685900.0,0.0,1249272500.0,159.0,1825.0,12500.0,1820.0,5300.0,0.0,100.0
681,20230203,SFAN,1825.0,0.0,1825.0,1820.0,1820.0,648600.0,-5.0,1181782000.0,116.0,1825.0,21100.0,1820.0,25800.0,0.0,0.0
682,20230206,SFAN,1820.0,0.0,1825.0,1815.0,1820.0,608300.0,0.0,1105240000.0,178.0,1820.0,16200.0,1815.0,20900.0,2800.0,0.0
683,20230207,SFAN,1820.0,0.0,1825.0,1815.0,1825.0,642700.0,5.0,1169373500.0,157.0,1825.0,14200.0,1820.0,5800.0,1600.0,0.0
686,20230208,SFAN,1825.0,0.0,1825.0,1820.0,1825.0,654200.0,0.0,1190644500.0,133.0,1825.0,14200.0,1820.0,10300.0,3400.0,0.0
686,20230209,SFAN,1825.0,0.0,1825.0,1810.0,1815.0,779800.0,-10.0,1419586000.0,149.0,1815.0,16000.0,1810.0,17100.0,3800.0,0.0
686,20230210,SFAN,1815.0,0.0,1815.0,1805.0,1815.0,656200.0,0.0,1188033000.0,193.0,1815.0,13400.0,1810.0,21600.0,300.0,3900.0
686,20230213,SFAN,1815.0,0.0,1825.0,1810.0,1815.0,722000.0,0.0,1313006000.0,155.0,1820.0,16400.0,1815.0,5200.0,1000.0,0.0
686,20230214,SFAN,1815.0,0.0,1820.0,1815.0,1820.0,648500.0,5.0,1177028000.0,155.0,1820.0,16800.0,1815.0,2500.0,200.0,15200.0
686,20230215,SFAN,1820.0,0.0,1815.0,1795.0,1815.0,577300.0,-5.0,1042360500.0,133.0,1815.0,19400.0,1810.0,2800.0,0.0,200.0
687,20230216,SFAN,1815.0,0.0,1815.0,1805.0,1810.0,625400.0,-5.0,1131430000.0,117.0,1810.0,28500.0,1805.0,6100.0,900.0,5600.0
687,20230217,SFAN,1810.0,0.0,1815.0,1795.0,1805.0,775400.0,-5.0,1399132000.0,151.0,1805.0,32800.0,1800.0,14400.0,6100.0,7300.0
687,20230220,SFAN,1805.0,0.0,1810.0,1800.0,1805.0,711300.0,0.0,1282943500.0,164.0,1805.0,13300.0,1800.0,14500.0,3100.0,0.0
