No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
676,20221230,SHID,2300.0,0.0,2360.0,2300.0,2300.0,4588400.0,0.0,10723760000.0,605.0,2310.0,35800.0,2300.0,147300.0,483300.0,46600.0
676,20230102,SHID,2300.0,0.0,2340.0,2260.0,2340.0,3465100.0,40.0,7866534000.0,430.0,2340.0,9100.0,2280.0,88800.0,23900.0,194900.0
676,20230103,SHID,2340.0,0.0,2390.0,2340.0,2390.0,3321600.0,50.0,7809252000.0,476.0,2390.0,12700.0,2380.0,21800.0,225200.0,316100.0
676,20230104,SHID,2390.0,0.0,2720.0,2380.0,2650.0,2412400.0,260.0,5931886000.0,701.0,2650.0,1600.0,2640.0,1000.0,21900.0,822500.0
676,20230105,SHID,2650.0,0.0,2680.0,2500.0,2530.0,2437300.0,-120.0,6339557000.0,597.0,2530.0,33300.0,2510.0,1000.0,481800.0,71600.0
679,20230106,SHID,2530.0,0.0,2550.0,2440.0,2440.0,3076800.0,-90.0,7730309000.0,529.0,2440.0,1300.0,2430.0,72600.0,334000.0,59900.0
680,20230109,SHID,2440.0,0.0,2450.0,2340.0,2340.0,3633500.0,-100.0,8807942000.0,659.0,2340.0,9200.0,2330.0,75000.0,396900.0,12100.0
680,20230110,SHID,2340.0,0.0,2440.0,2310.0,2440.0,5418700.0,100.0,12839345000.0,892.0,2450.0,50000.0,2440.0,500.0,144100.0,223200.0
681,20230111,SHID,2440.0,0.0,2900.0,2460.0,2460.0,3406800.0,20.0,8742408000.0,1294.0,2480.0,5300.0,2460.0,3000.0,19900.0,863000.0
681,20230112,SHID,2460.0,0.0,2570.0,2430.0,2560.0,3718700.0,100.0,9314163000.0,667.0,2570.0,51400.0,2560.0,97500.0,18100.0,350100.0
681,20230113,SHID,2560.0,0.0,2590.0,2470.0,2470.0,3964700.0,-90.0,10036010000.0,654.0,2480.0,61900.0,2470.0,8900.0,115900.0,56400.0
681,20230116,SHID,2470.0,0.0,2520.0,2350.0,2500.0,4005800.0,30.0,9730001000.0,714.0,2500.0,33900.0,2490.0,100.0,864900.0,37200.0
681,20230117,SHID,2500.0,0.0,2500.0,2370.0,2370.0,3262200.0,-130.0,8017261000.0,595.0,2390.0,4100.0,2370.0,16500.0,400100.0,1100.0
681,20230118,SHID,2370.0,0.0,2380.0,2300.0,2300.0,2077900.0,-70.0,4878620000.0,491.0,2310.0,20000.0,2300.0,66400.0,252600.0,200.0
681,20230119,SHID,2300.0,0.0,2300.0,2270.0,2280.0,3345700.0,-20.0,7661103000.0,582.0,2280.0,2000.0,2270.0,1700.0,41500.0,4100.0
681,20230120,SHID,2280.0,0.0,2500.0,2290.0,2500.0,3689100.0,220.0,8644921000.0,882.0,2500.0,8600.0,2490.0,7600.0,17600.0,305800.0
682,20230124,SHID,2500.0,0.0,2580.0,2460.0,2550.0,2322700.0,50.0,5811806000.0,655.0,2560.0,1000.0,2540.0,10000.0,42000.0,429200.0
682,20230125,SHID,2550.0,0.0,2820.0,2550.0,2670.0,2014700.0,120.0,5228760000.0,542.0,2750.0,100.0,2670.0,188400.0,400.0,509700.0
682,20230126,SHID,2670.0,0.0,2880.0,2660.0,2810.0,579700.0,140.0,1587109000.0,258.0,2810.0,3100.0,2780.0,4000.0,100.0,285200.0
