No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
677,20221230,SHIP,875.0,0.0,905.0,855.0,880.0,23800.0,5.0,20838500.0,25.0,885.0,246500.0,880.0,29500.0,0.0,0.0
677,20230102,SHIP,880.0,0.0,900.0,865.0,885.0,25600.0,5.0,22570000.0,22.0,890.0,152100.0,885.0,36100.0,0.0,0.0
677,20230103,SHIP,885.0,0.0,940.0,865.0,940.0,122300.0,55.0,113625000.0,60.0,940.0,20000.0,910.0,6600.0,0.0,0.0
677,20230104,SHIP,940.0,0.0,940.0,915.0,925.0,118100.0,-15.0,109466000.0,60.0,935.0,11600.0,925.0,30000.0,200.0,0.0
677,20230105,SHIP,925.0,0.0,950.0,905.0,915.0,465700.0,-10.0,430504000.0,71.0,935.0,13800.0,915.0,42000.0,3200.0,0.0
680,20230106,SHIP,915.0,0.0,930.0,915.0,920.0,960700.0,5.0,883646000.0,78.0,925.0,700.0,920.0,44300.0,101900.0,0.0
681,20230109,SHIP,920.0,0.0,950.0,920.0,935.0,30900.0,15.0,28787500.0,45.0,940.0,156900.0,935.0,53700.0,0.0,0.0
681,20230110,SHIP,935.0,0.0,940.0,930.0,935.0,92900.0,0.0,86883500.0,44.0,940.0,11600.0,935.0,18100.0,100.0,0.0
682,20230111,SHIP,935.0,0.0,995.0,955.0,960.0,488400.0,25.0,476892000.0,271.0,970.0,45100.0,960.0,233500.0,300.0,0.0
682,20230112,SHIP,960.0,0.0,975.0,960.0,970.0,80300.0,10.0,77726500.0,54.0,970.0,16400.0,965.0,33700.0,0.0,0.0
682,20230113,SHIP,970.0,0.0,970.0,945.0,945.0,127700.0,-25.0,122488000.0,65.0,945.0,19600.0,940.0,8000.0,0.0,0.0
682,20230116,SHIP,945.0,0.0,975.0,905.0,905.0,520500.0,-40.0,479457000.0,275.0,915.0,45300.0,905.0,17700.0,0.0,0.0
682,20230117,SHIP,905.0,0.0,920.0,870.0,895.0,1008000.0,-10.0,901948000.0,246.0,900.0,100000.0,895.0,20700.0,0.0,0.0
682,20230118,SHIP,895.0,0.0,930.0,895.0,915.0,55100.0,20.0,50454000.0,55.0,915.0,200.0,910.0,300.0,0.0,0.0
682,20230119,SHIP,915.0,0.0,920.0,900.0,920.0,16700.0,5.0,15302000.0,41.0,925.0,1500.0,920.0,3200.0,0.0,0.0
682,20230120,SHIP,920.0,0.0,940.0,890.0,920.0,74900.0,0.0,68711500.0,71.0,935.0,1900.0,920.0,36700.0,0.0,0.0
683,20230124,SHIP,920.0,0.0,935.0,920.0,925.0,27900.0,5.0,25802500.0,27.0,930.0,400.0,925.0,20900.0,200.0,0.0
683,20230125,SHIP,925.0,0.0,935.0,900.0,930.0,64400.0,5.0,59081000.0,49.0,930.0,500.0,925.0,3100.0,1000.0,0.0
683,20230126,SHIP,930.0,0.0,940.0,930.0,935.0,101800.0,5.0,95039000.0,41.0,940.0,1100.0,935.0,24100.0,46700.0,0.0
684,20230127,SHIP,935.0,0.0,995.0,935.0,975.0,271800.0,40.0,262008000.0,110.0,985.0,10700.0,975.0,3100.0,0.0,100300.0
684,20230130,SHIP,975.0,0.0,1050.0,975.0,995.0,1395300.0,20.0,1390065500.0,237.0,1000.0,90700.0,995.0,73300.0,354800.0,0.0
684,20230131,SHIP,995.0,0.0,1025.0,975.0,1000.0,1754500.0,5.0,1754835000.0,128.0,1005.0,1000.0,1000.0,112500.0,1500100.0,50000.0
685,20230201,SHIP,1000.0,0.0,1015.0,990.0,1000.0,101600.0,0.0,102378000.0,71.0,1005.0,223100.0,1000.0,50900.0,0.0,0.0
685,20230202,SHIP,1000.0,0.0,1000.0,985.0,1000.0,63600.0,0.0,62938500.0,44.0,1000.0,5000.0,995.0,19500.0,0.0,1800.0
685,20230203,SHIP,1000.0,0.0,1100.0,1010.0,1075.0,666900.0,75.0,716538500.0,336.0,1075.0,6700.0,1070.0,300.0,150200.0,100.0
686,20230206,SHIP,1075.0,0.0,1090.0,1020.0,1070.0,200800.0,-5.0,211309500.0,144.0,1070.0,32400.0,1065.0,9500.0,0.0,0.0
687,20230207,SHIP,1070.0,0.0,1070.0,1015.0,1025.0,127300.0,-45.0,131272000.0,77.0,1050.0,2500.0,1025.0,10000.0,0.0,54600.0
690,20230208,SHIP,1025.0,0.0,1090.0,1025.0,1085.0,113300.0,60.0,121501500.0,110.0,1085.0,144500.0,1080.0,300.0,0.0,0.0
690,20230209,SHIP,1085.0,0.0,1090.0,1040.0,1075.0,53500.0,-10.0,56214500.0,68.0,1070.0,100.0,1060.0,21000.0,0.0,30000.0
690,20230210,SHIP,1075.0,0.0,1085.0,1040.0,1080.0,245200.0,5.0,261785500.0,72.0,1080.0,21500.0,1055.0,19000.0,0.0,168600.0
690,20230213,SHIP,1080.0,0.0,1100.0,1055.0,1060.0,365300.0,-20.0,393287000.0,85.0,1070.0,100.0,1060.0,11300.0,0.0,39400.0
690,20230214,SHIP,1060.0,0.0,1090.0,1060.0,1075.0,157800.0,15.0,168352500.0,42.0,1085.0,22800.0,1075.0,76900.0,0.0,104900.0
