No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
682,20221230,SIMP,414.0,0.0,416.0,414.0,414.0,1383300.0,0.0,572746200.0,216.0,416.0,58700.0,414.0,140500.0,0.0,50000.0
682,20230102,SIMP,414.0,0.0,418.0,412.0,418.0,143700.0,4.0,59604800.0,89.0,418.0,62600.0,416.0,4000.0,0.0,0.0
682,20230103,SIMP,418.0,0.0,420.0,416.0,418.0,619000.0,0.0,259077400.0,119.0,418.0,2300.0,416.0,133600.0,0.0,0.0
682,20230104,SIMP,418.0,0.0,422.0,416.0,416.0,1484000.0,-2.0,620583800.0,194.0,418.0,10000.0,416.0,29700.0,1000.0,0.0
682,20230105,SIMP,416.0,0.0,418.0,410.0,412.0,1924900.0,-4.0,793860600.0,221.0,412.0,130500.0,410.0,182900.0,0.0,0.0
685,20230106,SIMP,412.0,0.0,412.0,406.0,410.0,535400.0,-2.0,219286800.0,194.0,412.0,14400.0,410.0,168300.0,0.0,0.0
686,20230109,SIMP,410.0,0.0,420.0,410.0,410.0,413200.0,0.0,171380400.0,121.0,412.0,145900.0,410.0,158800.0,0.0,0.0
686,20230110,SIMP,410.0,0.0,410.0,400.0,408.0,1226300.0,-2.0,496383600.0,342.0,408.0,20100.0,406.0,401100.0,6900.0,0.0
687,20230111,SIMP,408.0,0.0,410.0,406.0,410.0,642900.0,2.0,262355400.0,130.0,410.0,78400.0,408.0,162700.0,6800.0,0.0
687,20230112,SIMP,410.0,0.0,414.0,408.0,412.0,487500.0,2.0,200593800.0,139.0,414.0,24000.0,412.0,30600.0,5600.0,0.0
687,20230113,SIMP,412.0,0.0,412.0,406.0,410.0,646700.0,-2.0,263982400.0,82.0,412.0,126900.0,410.0,10500.0,230000.0,0.0
687,20230116,SIMP,410.0,0.0,412.0,406.0,408.0,424600.0,-2.0,173093800.0,132.0,410.0,41800.0,408.0,60900.0,0.0,0.0
687,20230117,SIMP,408.0,0.0,414.0,408.0,410.0,566100.0,2.0,232630000.0,209.0,412.0,127200.0,410.0,151500.0,6000.0,0.0
687,20230118,SIMP,410.0,0.0,416.0,410.0,414.0,525200.0,4.0,216523400.0,117.0,416.0,123100.0,414.0,80400.0,0.0,0.0
687,20230119,SIMP,414.0,0.0,420.0,414.0,420.0,1361800.0,6.0,568417000.0,292.0,420.0,93300.0,418.0,1300.0,0.0,11700.0
687,20230120,SIMP,420.0,0.0,422.0,418.0,420.0,1318600.0,0.0,552850600.0,175.0,420.0,20900.0,418.0,90300.0,6300.0,0.0
688,20230124,SIMP,420.0,0.0,422.0,416.0,420.0,457400.0,0.0,191679600.0,142.0,420.0,15700.0,418.0,42900.0,10000.0,0.0
688,20230125,SIMP,420.0,0.0,420.0,416.0,418.0,584700.0,-2.0,244796600.0,173.0,420.0,134800.0,418.0,200.0,7400.0,0.0
688,20230126,SIMP,418.0,0.0,424.0,416.0,422.0,1100700.0,4.0,461700800.0,194.0,422.0,84400.0,420.0,78000.0,7500.0,0.0
689,20230127,SIMP,422.0,0.0,424.0,420.0,422.0,1373200.0,0.0,579350400.0,194.0,424.0,507600.0,422.0,5000.0,7700.0,0.0
689,20230130,SIMP,422.0,0.0,426.0,422.0,422.0,1043000.0,0.0,442194800.0,168.0,424.0,388600.0,422.0,1081000.0,0.0,0.0
689,20230131,SIMP,422.0,0.0,424.0,420.0,424.0,1225600.0,2.0,518577200.0,153.0,424.0,804400.0,422.0,22200.0,0.0,0.0
690,20230201,SIMP,424.0,0.0,424.0,420.0,420.0,2429700.0,-4.0,1023503800.0,335.0,422.0,4400.0,420.0,3800.0,8400.0,100.0
690,20230202,SIMP,420.0,0.0,424.0,420.0,420.0,938100.0,0.0,394420800.0,159.0,422.0,195900.0,420.0,31800.0,0.0,13200.0
690,20230203,SIMP,420.0,0.0,424.0,420.0,424.0,1312400.0,4.0,554580400.0,179.0,424.0,138300.0,422.0,108100.0,0.0,10000.0
691,20230206,SIMP,424.0,0.0,424.0,422.0,422.0,307000.0,-2.0,129702600.0,124.0,422.0,674900.0,420.0,415200.0,0.0,0.0
692,20230207,SIMP,422.0,0.0,424.0,420.0,422.0,1262200.0,0.0,530949000.0,160.0,424.0,795900.0,422.0,61100.0,22500.0,0.0
695,20230208,SIMP,422.0,0.0,422.0,418.0,420.0,714600.0,-2.0,300074800.0,158.0,422.0,237700.0,420.0,272400.0,0.0,0.0
695,20230209,SIMP,420.0,0.0,422.0,418.0,422.0,1490500.0,2.0,625940400.0,115.0,422.0,284600.0,420.0,6000.0,31600.0,0.0
695,20230210,SIMP,422.0,0.0,422.0,416.0,416.0,944700.0,-6.0,394449600.0,261.0,416.0,222700.0,414.0,52600.0,9300.0,0.0
695,20230213,SIMP,416.0,0.0,416.0,410.0,410.0,2571500.0,-6.0,1060093600.0,475.0,412.0,1200.0,410.0,1236000.0,10000.0,15900.0
695,20230214,SIMP,410.0,0.0,416.0,410.0,414.0,1393500.0,4.0,576269600.0,144.0,414.0,241500.0,412.0,694100.0,0.0,6200.0
695,20230215,SIMP,414.0,0.0,416.0,412.0,414.0,602000.0,0.0,249225400.0,210.0,414.0,51900.0,412.0,125200.0,17600.0,0.0
696,20230216,SIMP,414.0,0.0,420.0,412.0,420.0,1915700.0,6.0,797535600.0,360.0,420.0,51700.0,418.0,4400.0,293600.0,0.0
696,20230217,SIMP,420.0,0.0,422.0,416.0,416.0,783700.0,-4.0,327754600.0,155.0,420.0,558500.0,416.0,466200.0,37600.0,0.0
696,20230220,SIMP,416.0,0.0,420.0,416.0,420.0,995900.0,4.0,416591800.0,156.0,420.0,1680600.0,418.0,102300.0,0.0,0.0
696,20230221,SIMP,420.0,0.0,424.0,420.0,420.0,2586200.0,0.0,1089092600.0,219.0,422.0,654100.0,420.0,335800.0,11800.0,0.0
696,20230222,SIMP,420.0,0.0,422.0,416.0,420.0,2658300.0,0.0,1110579000.0,304.0,422.0,703700.0,420.0,18600.0,11700.0,0.0
696,20230223,SIMP,420.0,0.0,424.0,420.0,422.0,2011200.0,2.0,846877000.0,265.0,422.0,187900.0,420.0,297800.0,12700.0,223000.0
697,20230224,SIMP,422.0,0.0,432.0,422.0,430.0,7992400.0,8.0,3423370800.0,750.0,430.0,156700.0,428.0,52500.0,0.0,0.0
698,20230227,SIMP,430.0,0.0,434.0,426.0,430.0,2905900.0,0.0,1246518400.0,449.0,430.0,65200.0,428.0,2100.0,36200.0,0.0
698,20230228,SIMP,430.0,0.0,430.0,424.0,426.0,3439000.0,-4.0,1467731400.0,371.0,426.0,41100.0,424.0,562300.0,0.0,25000.0
699,20230301,SIMP,426.0,0.0,432.0,424.0,426.0,3544500.0,0.0,1511998800.0,416.0,428.0,304200.0,424.0,108500.0,0.0,265000.0
699,20230302,SIMP,426.0,0.0,430.0,418.0,418.0,5082500.0,-8.0,2142578600.0,745.0,420.0,194200.0,418.0,75800.0,925300.0,270000.0
700,20230303,SIMP,418.0,0.0,424.0,418.0,422.0,2795500.0,4.0,1175934400.0,339.0,422.0,127100.0,420.0,216500.0,0.0,5600.0
701,20230306,SIMP,422.0,0.0,424.0,420.0,420.0,1852900.0,-2.0,780608200.0,271.0,422.0,257600.0,420.0,2419700.0,0.0,440900.0
701,20230307,SIMP,420.0,0.0,424.0,420.0,420.0,3011100.0,0.0,1265786400.0,239.0,422.0,214900.0,420.0,183100.0,0.0,2403600.0
703,20230308,SIMP,420.0,0.0,420.0,410.0,416.0,1820900.0,-4.0,753533200.0,532.0,416.0,30500.0,414.0,13400.0,107000.0,11500.0
703,20230309,SIMP,416.0,0.0,416.0,412.0,412.0,1301700.0,-4.0,537169200.0,416.0,414.0,12500.0,412.0,78600.0,105200.0,11800.0
704,20230310,SIMP,412.0,0.0,414.0,410.0,412.0,1148700.0,0.0,473663800.0,283.0,412.0,348400.0,410.0,663300.0,23700.0,464000.0
704,20230313,SIMP,412.0,0.0,412.0,404.0,406.0,1283600.0,-6.0,524017200.0,512.0,410.0,5000.0,406.0,255300.0,191100.0,5700.0
704,20230314,SIMP,406.0,0.0,406.0,390.0,396.0,5044500.0,-10.0,1991929000.0,906.0,398.0,152800.0,396.0,10400.0,3300.0,7300.0
704,20230315,SIMP,396.0,0.0,400.0,392.0,396.0,1242200.0,0.0,492538200.0,351.0,396.0,81600.0,394.0,114700.0,5500.0,35100.0
704,20230316,SIMP,396.0,0.0,398.0,380.0,384.0,1868700.0,-12.0,722510000.0,513.0,384.0,126500.0,382.0,254000.0,16500.0,5700.0
704,20230317,SIMP,384.0,0.0,390.0,384.0,388.0,2497100.0,4.0,965532800.0,266.0,388.0,5700.0,386.0,219700.0,0.0,10000.0
704,20230320,SIMP,388.0,0.0,388.0,382.0,384.0,1796000.0,-4.0,689285200.0,236.0,386.0,90300.0,384.0,65900.0,0.0,0.0
704,20230321,SIMP,384.0,0.0,388.0,384.0,388.0,1596700.0,4.0,615389400.0,228.0,390.0,35200.0,388.0,20300.0,0.0,0.0
704,20230324,SIMP,388.0,0.0,394.0,388.0,390.0,924700.0,2.0,361288400.0,224.0,392.0,35400.0,390.0,72800.0,0.0,0.0
704,20230327,SIMP,390.0,0.0,400.0,392.0,396.0,917700.0,6.0,363726600.0,278.0,396.0,107400.0,394.0,130600.0,0.0,0.0
704,20230328,SIMP,396.0,0.0,400.0,390.0,390.0,1557700.0,-6.0,611185000.0,573.0,392.0,500.0,390.0,865300.0,710500.0,200.0
704,20230329,SIMP,390.0,0.0,400.0,394.0,400.0,1225100.0,10.0,486728400.0,274.0,402.0,95500.0,400.0,61300.0,0.0,0.0
705,20230330,SIMP,400.0,0.0,404.0,398.0,400.0,769800.0,0.0,309043800.0,317.0,400.0,85500.0,398.0,90600.0,43500.0,26200.0
705,20230331,SIMP,400.0,0.0,402.0,396.0,400.0,619200.0,0.0,246610200.0,284.0,400.0,134300.0,398.0,390400.0,21900.0,0.0
705,20230403,SIMP,400.0,0.0,400.0,386.0,398.0,1378400.0,-2.0,544396600.0,376.0,398.0,75000.0,396.0,75600.0,50000.0,0.0
705,20230404,SIMP,398.0,0.0,400.0,394.0,396.0,1129400.0,-2.0,447730800.0,240.0,398.0,25100.0,394.0,216200.0,453800.0,150900.0
706,20230405,SIMP,396.0,0.0,400.0,394.0,398.0,683500.0,2.0,271823600.0,200.0,398.0,255300.0,396.0,32700.0,0.0,20400.0
706,20230406,SIMP,398.0,0.0,400.0,396.0,396.0,366800.0,-2.0,145434600.0,182.0,398.0,182700.0,396.0,209400.0,0.0,27500.0
707,20230410,SIMP,396.0,0.0,400.0,394.0,396.0,543200.0,0.0,214587600.0,171.0,396.0,68900.0,394.0,114100.0,10200.0,1600.0
707,20230411,SIMP,396.0,0.0,398.0,394.0,396.0,553100.0,0.0,218521600.0,201.0,396.0,1100.0,394.0,30900.0,10700.0,1600.0
708,20230412,SIMP,396.0,0.0,398.0,394.0,396.0,1307200.0,0.0,517679600.0,196.0,398.0,241600.0,394.0,74500.0,300.0,1600.0
708,20230413,SIMP,396.0,0.0,398.0,394.0,396.0,919700.0,0.0,363853600.0,209.0,396.0,40100.0,394.0,31900.0,42000.0,1600.0
708,20230414,SIMP,396.0,0.0,398.0,390.0,396.0,493400.0,0.0,194752200.0,141.0,396.0,10000.0,394.0,177900.0,100.0,1600.0
708,20230417,SIMP,396.0,0.0,398.0,394.0,394.0,1696200.0,-2.0,672315200.0,209.0,396.0,29900.0,394.0,124800.0,8300.0,1600.0
711,20230418,SIMP,394.0,0.0,398.0,394.0,398.0,647600.0,4.0,256907000.0,175.0,398.0,17900.0,396.0,209600.0,5500.0,1600.0
711,20230426,SIMP,398.0,0.0,400.0,396.0,396.0,1368600.0,-2.0,543975600.0,253.0,398.0,86600.0,396.0,97500.0,0.0,1700.0
711,20230427,SIMP,396.0,0.0,400.0,396.0,398.0,2318800.0,2.0,920884200.0,283.0,398.0,459400.0,396.0,51900.0,50700.0,247200.0
711,20230428,SIMP,398.0,0.0,404.0,394.0,398.0,5205500.0,0.0,2067225400.0,322.0,398.0,375800.0,396.0,98400.0,47000.0,0.0
711,20230502,SIMP,398.0,0.0,402.0,386.0,388.0,2766800.0,-10.0,1084387800.0,665.0,390.0,54900.0,388.0,122600.0,41100.0,0.0
711,20230503,SIMP,388.0,0.0,388.0,362.0,366.0,11729000.0,-22.0,4308809400.0,1357.0,368.0,201200.0,366.0,664400.0,167600.0,225100.0
711,20230504,SIMP,366.0,0.0,370.0,364.0,370.0,2972200.0,4.0,1094066600.0,387.0,370.0,578100.0,368.0,603200.0,83400.0,0.0
