No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
683,20221230,SINI,885.0,0.0,1105.0,885.0,1105.0,9749600.0,220.0,10268671500.0,3878.0,0.0,0.0,1105.0,1078200.0,0.0,0.0
683,20230102,SINI,1105.0,0.0,1375.0,1125.0,1340.0,13163200.0,235.0,16773537000.0,7686.0,1345.0,4000.0,1340.0,242200.0,28900.0,53000.0
683,20230103,SINI,1340.0,0.0,1510.0,1250.0,1385.0,11626500.0,45.0,16459304000.0,7543.0,1390.0,5100.0,1385.0,720500.0,32100.0,8000.0
683,20230104,SINI,1385.0,0.0,1440.0,1290.0,1310.0,2696200.0,-75.0,3648301500.0,2260.0,1315.0,3600.0,1310.0,178200.0,1300.0,102300.0
683,20230105,SINI,1310.0,0.0,1385.0,1225.0,1225.0,2198300.0,-85.0,2847473500.0,1642.0,1245.0,2500.0,1225.0,15000.0,29900.0,28300.0
686,20230106,SINI,1225.0,0.0,1365.0,1140.0,1325.0,2725600.0,100.0,3412294000.0,2160.0,1330.0,500.0,1325.0,81600.0,13000.0,58500.0
687,20230109,SINI,1325.0,0.0,1655.0,1325.0,1655.0,8360700.0,330.0,13064552500.0,5343.0,0.0,0.0,1655.0,1256300.0,52900.0,170900.0
687,20230110,SINI,1655.0,0.0,1735.0,1540.0,1540.0,4308000.0,-115.0,6813731500.0,2828.0,1540.0,80200.0,0.0,0.0,17400.0,83400.0
688,20230111,SINI,1540.0,0.0,1775.0,1435.0,1490.0,5409600.0,-50.0,8631463500.0,4722.0,1495.0,800.0,1490.0,25900.0,210500.0,40000.0
688,20230112,SINI,1490.0,0.0,1575.0,1490.0,1530.0,1109700.0,40.0,1698758500.0,1267.0,1535.0,300.0,1530.0,53500.0,15700.0,10100.0
688,20230113,SINI,1530.0,0.0,1575.0,1465.0,1500.0,962900.0,-30.0,1455394500.0,1055.0,1500.0,1000.0,1495.0,12300.0,37800.0,0.0
688,20230116,SINI,1500.0,0.0,1545.0,1455.0,1460.0,756300.0,-40.0,1121044500.0,974.0,1460.0,1000.0,1455.0,14300.0,8900.0,0.0
688,20230117,SINI,1460.0,0.0,1490.0,1360.0,1360.0,1684700.0,-100.0,2325200000.0,1246.0,1360.0,140200.0,0.0,0.0,800.0,0.0
688,20230118,SINI,1360.0,0.0,1390.0,1270.0,1355.0,2313300.0,-5.0,3053643000.0,1279.0,1360.0,11900.0,1355.0,140300.0,9700.0,35300.0
688,20230119,SINI,1355.0,0.0,1490.0,1355.0,1465.0,2088000.0,110.0,2992281500.0,2317.0,1470.0,10800.0,1465.0,81500.0,25600.0,0.0
688,20230120,SINI,1465.0,0.0,1485.0,1365.0,1365.0,1163700.0,-100.0,1629645000.0,1263.0,1365.0,132300.0,0.0,0.0,10000.0,0.0
689,20230124,SINI,1365.0,0.0,1400.0,1300.0,1345.0,612800.0,-20.0,826004500.0,480.0,1355.0,15800.0,1345.0,41300.0,0.0,0.0
689,20230125,SINI,1345.0,0.0,1365.0,1310.0,1340.0,606200.0,-5.0,808274500.0,423.0,1345.0,600.0,1340.0,9800.0,0.0,0.0
689,20230126,SINI,1340.0,0.0,1395.0,1300.0,1370.0,1661300.0,30.0,2253200500.0,826.0,1380.0,5400.0,1370.0,3400.0,1300.0,3400.0
690,20230127,SINI,1370.0,0.0,1460.0,1365.0,1390.0,820800.0,20.0,1153279500.0,843.0,1395.0,28400.0,1390.0,500.0,2000.0,0.0
690,20230130,SINI,1390.0,0.0,1400.0,1310.0,1350.0,487400.0,-40.0,652406000.0,593.0,1350.0,3600.0,1330.0,7100.0,9500.0,12300.0
690,20230131,SINI,1350.0,0.0,1350.0,1275.0,1325.0,851900.0,-25.0,1108265500.0,544.0,1325.0,5500.0,1320.0,10900.0,8500.0,5700.0
691,20230201,SINI,1325.0,0.0,1465.0,1295.0,1465.0,2325600.0,140.0,3240939500.0,1469.0,1470.0,37700.0,1465.0,4700.0,10800.0,18900.0
691,20230202,SINI,1465.0,0.0,1530.0,1395.0,1395.0,1941300.0,-70.0,2853220500.0,1467.0,1400.0,5000.0,1395.0,23500.0,9700.0,1600.0
691,20230203,SINI,1395.0,0.0,1500.0,1400.0,1470.0,1246300.0,75.0,1791882500.0,763.0,1470.0,56000.0,1465.0,21000.0,0.0,0.0
692,20230206,SINI,1470.0,0.0,1655.0,1460.0,1655.0,5129800.0,185.0,8099583500.0,3462.0,1660.0,5000.0,1655.0,331200.0,26000.0,26000.0
693,20230207,SINI,1655.0,0.0,1690.0,1575.0,1605.0,1755900.0,-50.0,2855749500.0,1280.0,1610.0,2600.0,1605.0,2800.0,8200.0,38300.0
696,20230208,SINI,1605.0,0.0,1635.0,1565.0,1580.0,834500.0,-25.0,1329216500.0,877.0,1590.0,300.0,1580.0,3300.0,3000.0,0.0
696,20230209,SINI,1580.0,0.0,1620.0,1570.0,1605.0,980100.0,25.0,1564476000.0,957.0,1610.0,21800.0,1605.0,11100.0,0.0,0.0
696,20230210,SINI,1605.0,0.0,1915.0,1575.0,1915.0,7243400.0,310.0,12901427000.0,5297.0,1915.0,64700.0,1910.0,8000.0,93700.0,61700.0
696,20230213,SINI,1915.0,0.0,1930.0,1805.0,1810.0,1030300.0,-105.0,1900562500.0,1059.0,1810.0,13700.0,1805.0,16800.0,7100.0,7100.0
696,20230214,SINI,1810.0,0.0,2130.0,1805.0,2070.0,5392900.0,260.0,10706132000.0,2755.0,2070.0,22900.0,2060.0,31700.0,66100.0,35000.0
