No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
686,20221230,SKLT,1950.0,0.0,1950.0,1950.0,1950.0,100.0,0.0,195000.0,1.0,2040.0,300.0,1950.0,3300.0,0.0,100.0
686,20230102,SKLT,1950.0,0.0,0.0,0.0,1950.0,0.0,0.0,0.0,0.0,2040.0,300.0,1950.0,3300.0,0.0,0.0
686,20230103,SKLT,1950.0,0.0,1950.0,1950.0,1950.0,43300.0,0.0,84435000.0,2.0,1950.0,31700.0,1920.0,400.0,0.0,3300.0
686,20230104,SKLT,1950.0,0.0,0.0,0.0,1950.0,0.0,0.0,0.0,0.0,1950.0,31700.0,1900.0,400.0,0.0,0.0
686,20230105,SKLT,1950.0,0.0,0.0,0.0,1950.0,0.0,0.0,0.0,0.0,1950.0,31700.0,1830.0,800.0,0.0,0.0
689,20230106,SKLT,1950.0,0.0,0.0,0.0,1950.0,0.0,0.0,0.0,0.0,1950.0,31700.0,1820.0,100.0,0.0,0.0
690,20230109,SKLT,1950.0,0.0,0.0,0.0,1950.0,0.0,0.0,0.0,0.0,1950.0,31700.0,1850.0,200.0,0.0,0.0
690,20230110,SKLT,1950.0,0.0,0.0,0.0,1950.0,0.0,0.0,0.0,0.0,1950.0,31700.0,1820.0,300.0,0.0,0.0
691,20230111,SKLT,1950.0,0.0,0.0,0.0,1950.0,0.0,0.0,0.0,0.0,1950.0,32900.0,1900.0,300.0,0.0,0.0
691,20230112,SKLT,1950.0,0.0,0.0,0.0,1950.0,0.0,0.0,0.0,0.0,1950.0,31700.0,1900.0,400.0,0.0,0.0
691,20230113,SKLT,1950.0,0.0,0.0,0.0,1950.0,0.0,0.0,0.0,0.0,1950.0,31900.0,1900.0,300.0,0.0,0.0
691,20230116,SKLT,1950.0,0.0,1950.0,1950.0,1950.0,300.0,0.0,585000.0,1.0,1950.0,32700.0,1905.0,300.0,0.0,0.0
691,20230117,SKLT,1950.0,0.0,0.0,0.0,1950.0,0.0,0.0,0.0,0.0,1950.0,32600.0,1895.0,200.0,0.0,0.0
691,20230118,SKLT,1950.0,0.0,0.0,0.0,1950.0,0.0,0.0,0.0,0.0,1950.0,32600.0,1875.0,300.0,0.0,0.0
691,20230119,SKLT,1950.0,0.0,0.0,0.0,1950.0,0.0,0.0,0.0,0.0,1950.0,32700.0,1820.0,900.0,0.0,0.0
691,20230120,SKLT,1950.0,0.0,0.0,0.0,1950.0,0.0,0.0,0.0,0.0,1950.0,32600.0,1860.0,300.0,0.0,0.0
692,20230124,SKLT,1950.0,0.0,0.0,0.0,1950.0,0.0,0.0,0.0,0.0,1950.0,31800.0,1830.0,600.0,0.0,0.0
692,20230125,SKLT,1950.0,0.0,0.0,0.0,1950.0,0.0,0.0,0.0,0.0,1950.0,31700.0,1820.0,400.0,0.0,0.0
692,20230126,SKLT,1950.0,0.0,1940.0,1940.0,1940.0,100.0,-10.0,194000.0,1.0,1940.0,900.0,1875.0,600.0,0.0,0.0
693,20230127,SKLT,1940.0,0.0,0.0,0.0,1940.0,0.0,0.0,0.0,0.0,1940.0,200.0,1870.0,300.0,0.0,0.0
693,20230130,SKLT,1940.0,0.0,1940.0,1940.0,1940.0,100.0,0.0,194000.0,1.0,1940.0,31700.0,1900.0,200.0,0.0,0.0
693,20230131,SKLT,1940.0,0.0,1940.0,1900.0,1900.0,300.0,-40.0,578000.0,2.0,1940.0,31500.0,1905.0,5000.0,0.0,0.0
694,20230201,SKLT,1900.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,0.0,1940.0,31500.0,1815.0,700.0,0.0,0.0
694,20230202,SKLT,1900.0,0.0,1850.0,1850.0,1850.0,1000.0,-50.0,1850000.0,4.0,1940.0,31500.0,1840.0,600.0,0.0,0.0
694,20230203,SKLT,1850.0,0.0,1940.0,1810.0,1940.0,1400.0,90.0,2578500.0,4.0,1940.0,31400.0,1815.0,100.0,0.0,0.0
