No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
767,20240130,SMGA,105.0,0.0,141.0,112.0,141.0,2140472700.0,36.0,291719584400.0,98327.0,0.0,0.0,141.0,47294900.0,18801600.0,27554100.0
767,20240131,SMGA,141.0,0.0,170.0,127.0,129.0,1175796900.0,-12.0,162984762200.0,82293.0,129.0,943800.0,128.0,2892400.0,70380200.0,67473100.0
767,20240201,SMGA,129.0,0.0,129.0,114.0,116.0,481001200.0,-13.0,57604665300.0,35735.0,116.0,9300.0,115.0,4624300.0,42485700.0,35334600.0
767,20240202,SMGA,116.0,0.0,130.0,109.0,117.0,382535400.0,1.0,45950414200.0,25553.0,118.0,885200.0,117.0,5268400.0,46134500.0,46114000.0
767,20240205,SMGA,117.0,0.0,121.0,114.0,115.0,137887900.0,-2.0,16176918000.0,10158.0,116.0,1542200.0,115.0,914400.0,19622100.0,19483600.0
767,20240206,SMGA,115.0,0.0,117.0,111.0,115.0,149181800.0,0.0,16894000200.0,9594.0,115.0,3829100.0,114.0,72800.0,20216400.0,20532000.0
769,20240207,SMGA,115.0,0.0,115.0,104.0,104.0,155736200.0,-11.0,16873239700.0,12518.0,105.0,292200.0,104.0,246400.0,1097100.0,842000.0
772,20240212,SMGA,104.0,0.0,105.0,88.0,92.0,268911400.0,-12.0,25231728700.0,15049.0,92.0,3045100.0,91.0,4475400.0,7212700.0,8775000.0
773,20240213,SMGA,92.0,0.0,93.0,61.0,83.0,254123600.0,-9.0,21701527500.0,14236.0,83.0,1878700.0,82.0,1209100.0,5881600.0,5536300.0
774,20240215,SMGA,83.0,0.0,89.0,77.0,79.0,154441300.0,-4.0,12701468100.0,8800.0,80.0,762000.0,79.0,1054700.0,1121000.0,1294300.0
774,20240216,SMGA,79.0,0.0,81.0,71.0,80.0,147043600.0,1.0,10968463700.0,11499.0,80.0,3043500.0,79.0,1000.0,7131200.0,7057400.0
774,20240219,SMGA,80.0,0.0,88.0,79.0,86.0,189075500.0,6.0,16006612000.0,10561.0,87.0,4467600.0,86.0,3356100.0,7920900.0,16605600.0
774,20240220,SMGA,86.0,0.0,88.0,82.0,83.0,69805600.0,-3.0,5864748800.0,6016.0,84.0,2469300.0,83.0,113800.0,7718700.0,2614100.0
774,20240221,SMGA,83.0,0.0,84.0,80.0,81.0,43577200.0,-2.0,3564104500.0,3579.0,82.0,33700.0,81.0,162300.0,4741300.0,2564400.0
774,20240222,SMGA,81.0,0.0,86.0,79.0,85.0,80814300.0,4.0,6735871200.0,4993.0,85.0,381500.0,84.0,2876500.0,1209000.0,6666500.0
774,20240223,SMGA,85.0,0.0,102.0,85.0,101.0,498028400.0,16.0,47640847300.0,24605.0,102.0,7622600.0,101.0,9199800.0,23056700.0,23280100.0
774,20240226,SMGA,101.0,0.0,104.0,93.0,97.0,288329300.0,-4.0,28579499700.0,16928.0,97.0,75300.0,96.0,3783900.0,14107100.0,11967400.0
774,20240227,SMGA,97.0,0.0,110.0,93.0,103.0,353496900.0,6.0,36645532800.0,18842.0,104.0,3150700.0,103.0,2766400.0,12645300.0,13321200.0
774,20240228,SMGA,103.0,0.0,109.0,101.0,102.0,253110600.0,-1.0,26747203500.0,13394.0,103.0,268200.0,102.0,208400.0,9936400.0,8917100.0
774,20240229,SMGA,102.0,0.0,105.0,97.0,97.0,76740600.0,-5.0,7691492700.0,5808.0,97.0,143500.0,96.0,1081000.0,1597000.0,1957600.0
774,20240301,SMGA,97.0,0.0,103.0,95.0,95.0,67550500.0,-2.0,6637016700.0,5053.0,95.0,601800.0,94.0,3253600.0,1154200.0,1327900.0
774,20240304,SMGA,95.0,0.0,96.0,90.0,90.0,66750000.0,-5.0,6118747300.0,4809.0,90.0,325700.0,89.0,1051100.0,1561500.0,2421400.0
774,20240305,SMGA,90.0,0.0,97.0,86.0,93.0,88572200.0,3.0,8169798800.0,6294.0,94.0,1332200.0,93.0,1651600.0,6302300.0,5307200.0
774,20240306,SMGA,93.0,0.0,101.0,93.0,99.0,129652900.0,6.0,12697756900.0,8198.0,99.0,1311500.0,98.0,450200.0,5239100.0,4314400.0
774,20240307,SMGA,99.0,0.0,101.0,94.0,94.0,54459700.0,-5.0,5297011100.0,4751.0,95.0,152300.0,94.0,856400.0,1510500.0,191600.0
774,20240308,SMGA,94.0,0.0,97.0,93.0,94.0,21738700.0,0.0,2062131400.0,2258.0,94.0,196100.0,93.0,425000.0,181400.0,1941100.0
774,20240313,SMGA,94.0,0.0,96.0,89.0,90.0,45447300.0,-4.0,4160826800.0,3938.0,91.0,667600.0,90.0,1805100.0,2378700.0,854600.0
774,20240314,SMGA,90.0,0.0,94.0,87.0,89.0,31666500.0,-1.0,2863314900.0,2562.0,90.0,495100.0,89.0,2264800.0,661200.0,328600.0
774,20240315,SMGA,89.0,0.0,92.0,87.0,88.0,39692000.0,-1.0,3520220900.0,3816.0,89.0,422000.0,88.0,1347300.0,1227600.0,1497700.0
774,20240318,SMGA,88.0,0.0,90.0,86.0,88.0,26051200.0,0.0,2289963300.0,1968.0,89.0,1366800.0,88.0,3289300.0,639700.0,3486600.0
774,20240319,SMGA,88.0,0.0,89.0,86.0,88.0,22207800.0,0.0,1943826900.0,1688.0,88.0,1630600.0,87.0,1003400.0,723100.0,570400.0
774,20240320,SMGA,88.0,0.0,89.0,84.0,86.0,45972200.0,-2.0,3951867600.0,2486.0,87.0,2093300.0,86.0,309200.0,2130400.0,613100.0
774,20240321,SMGA,86.0,0.0,95.0,84.0,92.0,74380100.0,6.0,6698004400.0,3660.0,93.0,1603900.0,92.0,6000.0,2624300.0,9918300.0
774,20240322,SMGA,92.0,0.0,94.0,88.0,89.0,28060100.0,-3.0,2536116400.0,2240.0,89.0,560300.0,88.0,2903800.0,1722800.0,634300.0
774,20240325,SMGA,89.0,0.0,90.0,86.0,88.0,23532300.0,-1.0,2055041700.0,1694.0,88.0,1462300.0,87.0,413900.0,883600.0,948000.0
774,20240326,SMGA,88.0,0.0,89.0,86.0,89.0,31148800.0,1.0,2727498100.0,1307.0,89.0,2324200.0,88.0,200600.0,1733600.0,459200.0
774,20240327,SMGA,89.0,0.0,92.0,87.0,91.0,55608500.0,2.0,4987592400.0,1926.0,91.0,1978400.0,90.0,124300.0,1731900.0,4796000.0
774,20240328,SMGA,91.0,0.0,92.0,88.0,89.0,35268700.0,-2.0,3146319300.0,1234.0,89.0,8294300.0,88.0,5284400.0,453900.0,184200.0
775,20240401,SMGA,89.0,0.0,90.0,85.0,85.0,39042400.0,-4.0,3383106000.0,1878.0,86.0,1772800.0,85.0,3078500.0,1808500.0,832300.0
775,20240402,SMGA,85.0,0.0,86.0,82.0,83.0,61485000.0,-2.0,5149769000.0,1960.0,83.0,2535900.0,82.0,6739300.0,4877000.0,1934700.0
775,20240403,SMGA,83.0,0.0,83.0,78.0,78.0,50782600.0,-5.0,4054693400.0,2508.0,79.0,700200.0,78.0,2199900.0,4111700.0,790500.0
775,20240404,SMGA,78.0,0.0,82.0,77.0,80.0,38994600.0,2.0,3102498200.0,1955.0,80.0,1842700.0,79.0,115700.0,3341700.0,3087300.0
775,20240405,SMGA,80.0,0.0,83.0,79.0,82.0,41184800.0,2.0,3350467100.0,1252.0,82.0,2914700.0,81.0,1014600.0,372500.0,4269900.0
777,20240416,SMGA,82.0,0.0,82.0,78.0,81.0,34237000.0,-1.0,2714031900.0,1619.0,81.0,3897500.0,80.0,141200.0,4411700.0,2375700.0
777,20240417,SMGA,81.0,0.0,85.0,72.0,83.0,71899200.0,2.0,5935610900.0,1997.0,83.0,3643200.0,82.0,4169100.0,2115000.0,8625900.0
777,20240418,SMGA,83.0,0.0,84.0,80.0,82.0,53847000.0,-1.0,4395978400.0,1440.0,82.0,3168500.0,81.0,2570800.0,1996000.0,958100.0
777,20240419,SMGA,82.0,0.0,82.0,78.0,80.0,40258700.0,-2.0,3194093900.0,1231.0,81.0,980300.0,80.0,2313900.0,4548500.0,4127700.0
777,20240422,SMGA,80.0,0.0,83.0,80.0,83.0,24934100.0,3.0,2016320000.0,1092.0,83.0,2776700.0,82.0,11400.0,127200.0,6384700.0
777,20240423,SMGA,83.0,0.0,84.0,80.0,82.0,24636200.0,-1.0,2023066800.0,1815.0,82.0,5829100.0,81.0,120200.0,103000.0,2945900.0
777,20240424,SMGA,82.0,0.0,83.0,80.0,83.0,48367900.0,1.0,3941676200.0,1520.0,83.0,1367100.0,82.0,4500.0,74500.0,4475600.0
777,20240425,SMGA,83.0,0.0,83.0,80.0,82.0,32401100.0,-1.0,2648381500.0,1103.0,82.0,1767600.0,81.0,2900800.0,920200.0,2169900.0
777,20240426,SMGA,82.0,0.0,82.0,77.0,79.0,35301000.0,-3.0,2810374400.0,1297.0,79.0,1011500.0,78.0,1154800.0,2638600.0,144300.0
777,20240429,SMGA,79.0,0.0,80.0,75.0,78.0,56348000.0,-1.0,4338212800.0,1712.0,78.0,2747800.0,77.0,50000.0,13924200.0,2319200.0
777,20240430,SMGA,78.0,0.0,85.0,77.0,81.0,149859300.0,3.0,12249904700.0,3811.0,81.0,2451600.0,80.0,4155300.0,489500.0,13933800.0
777,20240502,SMGA,81.0,0.0,83.0,79.0,81.0,59431900.0,0.0,4786967900.0,1911.0,81.0,1494400.0,80.0,1363200.0,452200.0,2750900.0
777,20240503,SMGA,81.0,0.0,84.0,78.0,80.0,69455200.0,-1.0,5627432500.0,2139.0,80.0,2983900.0,79.0,3408800.0,5942700.0,3184400.0
777,20240506,SMGA,80.0,0.0,84.0,79.0,81.0,115851000.0,1.0,9457740400.0,2808.0,81.0,197200.0,80.0,5054900.0,4604000.0,7796900.0
778,20240507,SMGA,81.0,0.0,86.0,80.0,82.0,97599500.0,1.0,8065961300.0,2460.0,82.0,1260500.0,81.0,3263000.0,3967000.0,4972400.0
778,20240508,SMGA,82.0,0.0,82.0,79.0,80.0,33346200.0,-2.0,2682653100.0,1226.0,80.0,1782100.0,79.0,7590900.0,1168700.0,42600.0
778,20240513,SMGA,80.0,0.0,80.0,78.0,80.0,20358300.0,0.0,1611635900.0,1006.0,80.0,805800.0,79.0,272800.0,8069400.0,41100.0
778,20240514,SMGA,80.0,0.0,81.0,79.0,80.0,15752700.0,0.0,1256688900.0,945.0,80.0,2187500.0,79.0,2519700.0,23300.0,2287300.0
778,20240515,SMGA,80.0,0.0,82.0,79.0,81.0,36370300.0,1.0,2931078300.0,1307.0,81.0,2851800.0,80.0,2797900.0,42900.0,1330300.0
778,20240516,SMGA,81.0,0.0,86.0,80.0,84.0,164989800.0,3.0,13791954600.0,2901.0,84.0,848100.0,83.0,222100.0,50400.0,20406300.0
778,20240517,SMGA,84.0,0.0,90.0,83.0,89.0,106125400.0,5.0,9248425500.0,3312.0,90.0,1275500.0,89.0,3337200.0,3509400.0,6402300.0
778,20240520,SMGA,89.0,0.0,93.0,88.0,90.0,122257200.0,1.0,11032615400.0,3283.0,90.0,873900.0,89.0,2832100.0,12588300.0,7854800.0
778,20240521,SMGA,90.0,0.0,90.0,86.0,89.0,62902100.0,-1.0,5559536400.0,1762.0,89.0,1844200.0,88.0,1754300.0,5394300.0,8910400.0
778,20240522,SMGA,89.0,0.0,97.0,87.0,94.0,253209200.0,5.0,23636494300.0,6665.0,94.0,2832500.0,93.0,2945100.0,56300.0,12972900.0
778,20240527,SMGA,94.0,0.0,101.0,93.0,95.0,283398500.0,1.0,27568862700.0,8455.0,95.0,2312300.0,94.0,8376400.0,42511700.0,8108300.0
778,20240528,SMGA,95.0,0.0,95.0,89.0,89.0,158781600.0,-6.0,14441802700.0,4925.0,89.0,3009000.0,88.0,5337900.0,8099700.0,3452700.0
778,20240529,SMGA,89.0,0.0,92.0,88.0,90.0,66711600.0,1.0,5975946400.0,1693.0,90.0,1798600.0,89.0,76900.0,4677700.0,4301800.0
778,20240530,SMGA,90.0,0.0,90.0,84.0,87.0,84539100.0,-3.0,7333614800.0,1993.0,87.0,820100.0,86.0,4049300.0,6975000.0,3848300.0
778,20240531,SMGA,87.0,0.0,89.0,86.0,86.0,38300700.0,-1.0,3335503800.0,1041.0,86.0,5703700.0,85.0,7486000.0,18900.0,1577600.0
778,20240603,SMGA,86.0,0.0,90.0,85.0,89.0,126065000.0,3.0,11104149000.0,2469.0,89.0,3480300.0,88.0,2747900.0,3106200.0,9540300.0
778,20240604,SMGA,89.0,0.0,93.0,88.0,93.0,85207300.0,4.0,7794052700.0,2712.0,93.0,4109400.0,92.0,249300.0,2374200.0,12775400.0
778,20240605,SMGA,93.0,0.0,95.0,90.0,92.0,115986100.0,-1.0,10697993600.0,2451.0,92.0,2947800.0,91.0,102400.0,11005000.0,3854900.0
778,20240606,SMGA,92.0,0.0,93.0,91.0,92.0,45594900.0,0.0,4199829200.0,1475.0,92.0,1833200.0,91.0,3622200.0,3106000.0,1014200.0
778,20240607,SMGA,92.0,0.0,94.0,91.0,92.0,54936500.0,0.0,5076078800.0,1421.0,92.0,1123600.0,91.0,368100.0,225900.0,5985800.0
779,20240610,SMGA,92.0,0.0,92.0,87.0,87.0,107565900.0,-5.0,9538897600.0,2057.0,87.0,13612200.0,86.0,3721800.0,7408800.0,1840600.0
779,20240611,SMGA,87.0,0.0,91.0,86.0,89.0,52161700.0,2.0,4629300100.0,1335.0,89.0,389500.0,88.0,2819500.0,749800.0,10607300.0
779,20240612,SMGA,89.0,0.0,90.0,86.0,88.0,60415900.0,-1.0,5330374500.0,1193.0,88.0,3379800.0,87.0,309900.0,4423900.0,1206100.0
779,20240613,SMGA,88.0,0.0,89.0,85.0,88.0,57694100.0,0.0,5015261100.0,965.0,88.0,6566400.0,87.0,175000.0,4300000.0,794900.0
779,20240614,SMGA,88.0,0.0,88.0,85.0,85.0,44339000.0,-3.0,3814117800.0,996.0,86.0,842600.0,85.0,2600.0,2191100.0,510500.0
779,20240619,SMGA,85.0,0.0,86.0,77.0,77.0,152612400.0,-8.0,12358138800.0,2521.0,77.0,3298800.0,76.0,5441500.0,16317000.0,2273000.0
779,20240620,SMGA,77.0,0.0,85.0,76.0,82.0,124599000.0,5.0,10231812000.0,2685.0,83.0,2178000.0,82.0,5407200.0,3514400.0,7275500.0
779,20240621,SMGA,82.0,0.0,91.0,80.0,89.0,280346200.0,7.0,24104031400.0,4236.0,89.0,4097000.0,88.0,2471900.0,1752700.0,6224300.0
779,20240624,SMGA,89.0,0.0,91.0,86.0,86.0,86464300.0,-3.0,7630077200.0,2566.0,88.0,5000.0,86.0,6810500.0,4255200.0,5596700.0
779,20240625,SMGA,86.0,0.0,90.0,86.0,88.0,61736400.0,2.0,5414406500.0,1682.0,88.0,1882200.0,87.0,115600.0,588300.0,5089700.0
779,20240626,SMGA,88.0,0.0,90.0,85.0,88.0,95180000.0,0.0,8316759100.0,2174.0,88.0,3950900.0,87.0,193100.0,6140800.0,1423700.0
779,20240627,SMGA,88.0,0.0,90.0,86.0,86.0,34327700.0,-2.0,2984540100.0,1658.0,87.0,1774200.0,86.0,1170700.0,1803700.0,4700.0
779,20240628,SMGA,86.0,0.0,88.0,85.0,87.0,26512400.0,1.0,2301857800.0,1075.0,87.0,4086700.0,86.0,149500.0,421100.0,1796200.0
779,20240701,SMGA,87.0,0.0,88.0,84.0,85.0,39395900.0,-2.0,3391430700.0,1666.0,85.0,3751300.0,84.0,7037800.0,1551800.0,490900.0
779,20240702,SMGA,85.0,0.0,87.0,84.0,85.0,35073300.0,0.0,3004131600.0,1560.0,85.0,2554300.0,84.0,5333200.0,2782800.0,370400.0
779,20240703,SMGA,85.0,0.0,87.0,84.0,86.0,35510400.0,1.0,3049297900.0,920.0,86.0,2792100.0,85.0,3453800.0,524800.0,3147100.0
779,20240704,SMGA,86.0,0.0,88.0,85.0,87.0,44655800.0,1.0,3857866800.0,1276.0,87.0,2088400.0,86.0,867100.0,17500.0,6748200.0
780,20240705,SMGA,87.0,0.0,88.0,85.0,87.0,41239200.0,0.0,3579959800.0,1086.0,87.0,1901900.0,86.0,246700.0,3976300.0,4083600.0
783,20240708,SMGA,87.0,0.0,87.0,85.0,87.0,29495000.0,0.0,2538532700.0,1584.0,87.0,5617200.0,86.0,107300.0,1351900.0,122800.0
784,20240709,SMGA,87.0,0.0,88.0,85.0,87.0,38999300.0,0.0,3368555100.0,1417.0,87.0,5229300.0,86.0,125200.0,147800.0,996500.0
785,20240710,SMGA,87.0,0.0,91.0,85.0,88.0,89474200.0,1.0,7908095000.0,2721.0,89.0,162100.0,88.0,3784500.0,1472000.0,18776300.0
785,20240711,SMGA,88.0,0.0,91.0,88.0,90.0,62682500.0,2.0,5633629400.0,1945.0,90.0,555500.0,89.0,5821000.0,3100.0,9422500.0
785,20240712,SMGA,90.0,0.0,91.0,88.0,90.0,27414900.0,0.0,2445680100.0,1007.0,90.0,2609000.0,89.0,3005900.0,551900.0,1831600.0
785,20240715,SMGA,90.0,0.0,91.0,89.0,90.0,42962400.0,0.0,3869475200.0,1110.0,91.0,7062400.0,90.0,170900.0,48500.0,4765100.0
