No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
695,20221230,SMGR,6675.0,6675.0,6675.0,6550.0,6575.0,9125300.0,-100.0,60241350000.0,3257.0,6600.0,300400.0,6575.0,77100.0,5045800.0,2315100.0
695,20230102,SMGR,6575.0,6600.0,6650.0,6600.0,6625.0,4570000.0,50.0,30255917500.0,1214.0,6625.0,695600.0,6600.0,748400.0,1462300.0,95400.0
695,20230103,SMGR,6625.0,6625.0,6700.0,6600.0,6700.0,15558100.0,75.0,103999887500.0,2676.0,6700.0,235500.0,6675.0,328800.0,4317900.0,4268500.0
695,20230104,SMGR,6700.0,6700.0,6875.0,6675.0,6775.0,16059000.0,75.0,109325830000.0,5065.0,6800.0,66300.0,6775.0,2500.0,6797600.0,3539000.0
695,20230105,SMGR,6775.0,6800.0,6875.0,6650.0,6700.0,14572400.0,-75.0,98655852500.0,4925.0,6725.0,71100.0,6700.0,2300.0,4980000.0,3747300.0
698,20230106,SMGR,6700.0,6700.0,7150.0,6700.0,7075.0,21832100.0,375.0,152934035000.0,9428.0,7100.0,82300.0,7075.0,12300.0,5482400.0,6518400.0
699,20230109,SMGR,7075.0,7100.0,7200.0,7050.0,7175.0,12906600.0,100.0,91954687500.0,4329.0,7175.0,450300.0,7150.0,2700.0,6800800.0,3582400.0
699,20230110,SMGR,7175.0,7175.0,7175.0,6950.0,7050.0,9400300.0,-125.0,66316287500.0,3619.0,7075.0,1100.0,7050.0,93900.0,4584900.0,3276000.0
700,20230111,SMGR,7050.0,7050.0,7150.0,6925.0,7000.0,11409500.0,-50.0,79991212500.0,3178.0,7000.0,225300.0,6975.0,55100.0,6851900.0,2703800.0
700,20230112,SMGR,7000.0,7075.0,7425.0,7050.0,7400.0,25425000.0,400.0,185162757500.0,6543.0,7400.0,192100.0,7375.0,23400.0,10336700.0,7179300.0
700,20230113,SMGR,7400.0,7350.0,7400.0,7200.0,7200.0,11071400.0,-200.0,80289345000.0,3991.0,7225.0,37900.0,7200.0,300000.0,7059700.0,2212200.0
700,20230116,SMGR,7200.0,7225.0,7475.0,7225.0,7400.0,10860200.0,200.0,80296832500.0,3279.0,7400.0,1765300.0,7375.0,1300.0,2272900.0,6499400.0
700,20230117,SMGR,7400.0,7375.0,7400.0,7175.0,7225.0,12056600.0,-175.0,87558867500.0,4726.0,7250.0,228600.0,7225.0,234400.0,8127500.0,4210800.0
700,20230118,SMGR,7225.0,7200.0,7200.0,6950.0,7000.0,18171500.0,-225.0,127728330000.0,6850.0,7000.0,15200.0,6975.0,459300.0,11538000.0,5989100.0
700,20230119,SMGR,7000.0,7000.0,7175.0,6975.0,7125.0,8699200.0,125.0,61811315000.0,5191.0,7125.0,114000.0,7100.0,134600.0,3667500.0,4683600.0
