No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
699,20221230,SMMT,665.0,0.0,665.0,650.0,650.0,754700.0,-15.0,494933000.0,232.0,655.0,15500.0,650.0,221500.0,100.0,700.0
699,20230102,SMMT,650.0,0.0,665.0,625.0,650.0,609300.0,0.0,394432500.0,252.0,655.0,10600.0,645.0,55300.0,0.0,11500.0
699,20230103,SMMT,650.0,0.0,665.0,650.0,655.0,436100.0,5.0,284964000.0,248.0,660.0,10500.0,655.0,100.0,29800.0,28700.0
699,20230104,SMMT,655.0,0.0,695.0,650.0,665.0,1213200.0,10.0,822445000.0,574.0,670.0,103700.0,665.0,25500.0,98900.0,0.0
699,20230105,SMMT,665.0,0.0,665.0,625.0,630.0,1186700.0,-35.0,754873500.0,391.0,630.0,3400.0,625.0,24400.0,37400.0,0.0
702,20230106,SMMT,630.0,0.0,655.0,625.0,640.0,586000.0,10.0,372325000.0,198.0,645.0,110900.0,635.0,5300.0,0.0,12700.0
703,20230109,SMMT,640.0,0.0,640.0,605.0,615.0,1263300.0,-25.0,782831500.0,352.0,615.0,38900.0,610.0,98700.0,500.0,1000.0
703,20230110,SMMT,615.0,0.0,620.0,580.0,605.0,1134300.0,-10.0,678082000.0,426.0,605.0,277300.0,600.0,1800.0,100.0,3300.0
704,20230111,SMMT,605.0,0.0,615.0,590.0,600.0,699200.0,-5.0,419924000.0,242.0,605.0,8900.0,600.0,126800.0,800.0,27000.0
704,20230112,SMMT,600.0,0.0,620.0,590.0,610.0,375500.0,10.0,228124500.0,191.0,615.0,33900.0,610.0,3900.0,0.0,12700.0
704,20230113,SMMT,610.0,0.0,620.0,600.0,605.0,463300.0,-5.0,282444500.0,160.0,610.0,1600.0,605.0,272500.0,10100.0,9300.0
704,20230116,SMMT,605.0,0.0,645.0,610.0,635.0,630500.0,30.0,398693000.0,339.0,635.0,18600.0,630.0,17600.0,0.0,0.0
704,20230117,SMMT,635.0,0.0,635.0,605.0,635.0,641600.0,0.0,399437000.0,271.0,640.0,24600.0,635.0,400.0,38400.0,0.0
704,20230118,SMMT,635.0,0.0,665.0,630.0,660.0,1635000.0,25.0,1062488000.0,389.0,660.0,17900.0,655.0,17600.0,8500.0,0.0
704,20230119,SMMT,660.0,0.0,690.0,660.0,690.0,877800.0,30.0,599557500.0,433.0,690.0,35100.0,680.0,296200.0,9200.0,0.0
704,20230120,SMMT,690.0,0.0,725.0,690.0,715.0,2661700.0,25.0,1895583000.0,627.0,720.0,14900.0,715.0,22500.0,0.0,34000.0
705,20230124,SMMT,715.0,0.0,720.0,690.0,705.0,773100.0,-10.0,539725500.0,342.0,705.0,48400.0,700.0,92200.0,0.0,0.0
705,20230125,SMMT,705.0,0.0,705.0,690.0,700.0,791100.0,-5.0,552587000.0,178.0,705.0,82200.0,700.0,86800.0,0.0,0.0
705,20230126,SMMT,700.0,0.0,705.0,680.0,695.0,815400.0,-5.0,568048500.0,166.0,700.0,13500.0,695.0,305100.0,0.0,4300.0
