No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
703,20221230,SNLK,665.0,0.0,655.0,620.0,620.0,2888200.0,-45.0,1797336500.0,925.0,620.0,250600.0,0.0,0.0,236100.0,33000.0
703,20230102,SNLK,620.0,0.0,625.0,580.0,620.0,9379800.0,0.0,5600873000.0,1569.0,620.0,18500.0,615.0,141500.0,758100.0,166900.0
703,20230103,SNLK,620.0,0.0,720.0,620.0,700.0,17509500.0,80.0,11841696500.0,3097.0,705.0,29700.0,700.0,528700.0,785300.0,1652300.0
703,20230104,SNLK,700.0,0.0,705.0,655.0,655.0,7491200.0,-45.0,5009095500.0,1491.0,655.0,118100.0,0.0,0.0,1703000.0,117200.0
703,20230105,SNLK,655.0,0.0,680.0,625.0,655.0,10791400.0,0.0,7084225500.0,1723.0,660.0,41600.0,655.0,3900.0,460700.0,569600.0
706,20230106,SNLK,655.0,0.0,715.0,655.0,695.0,20086900.0,40.0,13797911500.0,3406.0,700.0,18500.0,695.0,2900.0,779100.0,1151500.0
707,20230109,SNLK,695.0,0.0,710.0,680.0,700.0,7464900.0,5.0,5208047000.0,1512.0,700.0,129500.0,695.0,189200.0,234900.0,266700.0
707,20230110,SNLK,700.0,0.0,715.0,670.0,680.0,8225200.0,-20.0,5711672000.0,1476.0,680.0,13300.0,675.0,142500.0,754600.0,744800.0
708,20230111,SNLK,680.0,0.0,690.0,640.0,665.0,7497800.0,-15.0,4982797500.0,1429.0,665.0,50500.0,660.0,185400.0,1192900.0,258100.0
708,20230112,SNLK,665.0,0.0,700.0,660.0,670.0,7493600.0,5.0,5086317000.0,1169.0,670.0,54200.0,665.0,12900.0,330500.0,136600.0
708,20230113,SNLK,670.0,0.0,685.0,635.0,635.0,3067300.0,-35.0,2015896500.0,570.0,635.0,27000.0,630.0,80400.0,439300.0,180600.0
708,20230116,SNLK,635.0,0.0,680.0,620.0,675.0,11184800.0,40.0,7310425000.0,1800.0,675.0,21800.0,670.0,103900.0,1664700.0,219000.0
708,20230117,SNLK,675.0,0.0,700.0,670.0,690.0,8409200.0,15.0,5742298000.0,755.0,690.0,700.0,685.0,121000.0,270400.0,500300.0
708,20230118,SNLK,690.0,0.0,840.0,690.0,830.0,19645700.0,140.0,15086222000.0,3644.0,830.0,73700.0,825.0,135700.0,119400.0,2461700.0
708,20230119,SNLK,830.0,0.0,835.0,775.0,775.0,548100.0,-55.0,429757000.0,425.0,775.0,204900.0,0.0,0.0,22100.0,0.0
708,20230120,SNLK,775.0,0.0,770.0,725.0,725.0,4730100.0,-50.0,3438589500.0,841.0,725.0,267700.0,0.0,0.0,435900.0,20600.0
709,20230124,SNLK,725.0,0.0,730.0,705.0,715.0,4301400.0,-10.0,3112883000.0,527.0,720.0,20000.0,715.0,536200.0,80500.0,445300.0
709,20230125,SNLK,715.0,0.0,745.0,705.0,725.0,5601100.0,10.0,4079442500.0,889.0,730.0,85500.0,725.0,495400.0,383100.0,113500.0
709,20230126,SNLK,725.0,0.0,770.0,730.0,765.0,8313200.0,40.0,6252147500.0,1219.0,765.0,40400.0,760.0,141600.0,238900.0,784400.0
710,20230127,SNLK,765.0,0.0,785.0,745.0,750.0,5479000.0,-15.0,4198909500.0,936.0,750.0,9800.0,745.0,170300.0,413600.0,296900.0
710,20230130,SNLK,750.0,0.0,810.0,745.0,805.0,11185700.0,55.0,8735127500.0,1795.0,810.0,99000.0,805.0,554300.0,567400.0,2099400.0
710,20230131,SNLK,805.0,0.0,820.0,760.0,765.0,6554200.0,-40.0,5213431500.0,1172.0,765.0,53400.0,760.0,273300.0,392100.0,67200.0
711,20230201,SNLK,765.0,0.0,790.0,755.0,785.0,4340200.0,20.0,3372982500.0,647.0,785.0,51500.0,780.0,204300.0,359500.0,137000.0
711,20230202,SNLK,785.0,0.0,850.0,780.0,845.0,11706000.0,60.0,9535701500.0,1581.0,850.0,345700.0,845.0,495500.0,237000.0,1299100.0
711,20230203,SNLK,845.0,0.0,865.0,830.0,865.0,5733100.0,20.0,4847546500.0,874.0,865.0,168800.0,860.0,121800.0,101200.0,641300.0
712,20230206,SNLK,865.0,0.0,870.0,830.0,845.0,4579100.0,-20.0,3873082000.0,639.0,845.0,2500.0,840.0,108000.0,776500.0,337900.0
713,20230207,SNLK,845.0,0.0,850.0,820.0,825.0,1602800.0,-20.0,1336756000.0,246.0,830.0,6000.0,825.0,86300.0,189800.0,2300.0
716,20230208,SNLK,825.0,0.0,855.0,825.0,840.0,4455500.0,15.0,3744194000.0,665.0,840.0,67100.0,835.0,149200.0,529700.0,162600.0
716,20230209,SNLK,840.0,0.0,855.0,835.0,855.0,3575400.0,15.0,3028823000.0,474.0,855.0,122600.0,850.0,116600.0,134000.0,278600.0
716,20230210,SNLK,855.0,0.0,855.0,840.0,845.0,3245000.0,-10.0,2748535500.0,324.0,845.0,52800.0,840.0,164000.0,75200.0,62700.0
716,20230213,SNLK,845.0,0.0,900.0,835.0,900.0,5928000.0,55.0,5133787000.0,929.0,900.0,53200.0,895.0,14000.0,249400.0,645400.0
716,20230214,SNLK,900.0,0.0,915.0,895.0,905.0,4175500.0,5.0,3773333500.0,661.0,905.0,105800.0,900.0,320600.0,6700.0,354800.0
716,20230215,SNLK,905.0,0.0,920.0,900.0,910.0,4753900.0,5.0,4324547000.0,632.0,910.0,16800.0,905.0,207000.0,145400.0,136900.0
717,20230216,SNLK,910.0,0.0,910.0,880.0,900.0,4059700.0,-10.0,3643375500.0,455.0,900.0,22100.0,895.0,132600.0,400400.0,302600.0
717,20230217,SNLK,900.0,0.0,915.0,890.0,910.0,4614700.0,10.0,4153079000.0,368.0,910.0,44300.0,905.0,200000.0,368600.0,820700.0
717,20230220,SNLK,910.0,0.0,945.0,905.0,940.0,5559500.0,30.0,5135950000.0,937.0,945.0,68500.0,940.0,519900.0,48000.0,311500.0
717,20230221,SNLK,940.0,0.0,945.0,930.0,940.0,1935000.0,0.0,1816807500.0,201.0,935.0,62200.0,930.0,146400.0,149300.0,227000.0
717,20230222,SNLK,940.0,0.0,945.0,930.0,935.0,4452700.0,-5.0,4176165500.0,463.0,940.0,7600.0,935.0,588300.0,120600.0,328200.0
717,20230223,SNLK,935.0,0.0,940.0,910.0,925.0,5074000.0,-10.0,4711983000.0,393.0,925.0,26500.0,920.0,173900.0,807600.0,216900.0
718,20230224,SNLK,925.0,0.0,975.0,920.0,965.0,9110500.0,40.0,8633683500.0,969.0,970.0,61200.0,965.0,546800.0,480100.0,1164100.0
719,20230227,SNLK,965.0,0.0,975.0,935.0,955.0,4501500.0,-10.0,4314306500.0,713.0,955.0,37500.0,950.0,233300.0,1052100.0,90600.0
719,20230228,SNLK,955.0,0.0,1000.0,950.0,985.0,7374900.0,30.0,7216541000.0,1046.0,985.0,42300.0,980.0,317100.0,212500.0,418100.0
720,20230301,SNLK,985.0,0.0,1015.0,985.0,1010.0,6633400.0,25.0,6628120000.0,719.0,1010.0,92500.0,1005.0,144300.0,442700.0,429000.0
720,20230302,SNLK,1010.0,0.0,1025.0,1005.0,1010.0,3905000.0,0.0,3966614500.0,513.0,1010.0,72000.0,1005.0,235200.0,230200.0,421500.0
721,20230303,SNLK,1010.0,0.0,1015.0,1000.0,1010.0,2709800.0,0.0,2735888000.0,375.0,1010.0,90100.0,1005.0,63200.0,77500.0,146500.0
722,20230306,SNLK,1010.0,0.0,1025.0,1005.0,1005.0,3454000.0,-5.0,3506351000.0,406.0,1010.0,54200.0,1005.0,6500.0,79200.0,418200.0
722,20230307,SNLK,1005.0,0.0,1035.0,1005.0,1035.0,3882100.0,30.0,3964574500.0,476.0,1035.0,81600.0,1030.0,123700.0,254400.0,379900.0
724,20230308,SNLK,1035.0,0.0,1075.0,1035.0,1070.0,5997700.0,35.0,6310316500.0,735.0,1075.0,135700.0,1070.0,336200.0,168900.0,989200.0
724,20230309,SNLK,1070.0,0.0,1090.0,1070.0,1090.0,4424100.0,20.0,4789357000.0,515.0,1090.0,27200.0,1085.0,204300.0,3000.0,212600.0
