No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
705,20221230,SOFA,28.0,0.0,28.0,27.0,28.0,295400.0,0.0,8009300.0,28.0,28.0,899200.0,27.0,279400.0,0.0,0.0
705,20230102,SOFA,28.0,0.0,28.0,27.0,28.0,97200.0,0.0,2699500.0,23.0,28.0,707400.0,27.0,405300.0,0.0,0.0
705,20230103,SOFA,28.0,0.0,29.0,27.0,28.0,665900.0,0.0,18618700.0,27.0,28.0,413300.0,27.0,557200.0,0.0,478500.0
705,20230104,SOFA,28.0,0.0,28.0,27.0,28.0,449700.0,0.0,12145300.0,28.0,28.0,424200.0,27.0,287200.0,3400.0,0.0
705,20230105,SOFA,28.0,0.0,28.0,27.0,28.0,800200.0,0.0,21607900.0,44.0,28.0,959300.0,27.0,321400.0,0.0,0.0
708,20230106,SOFA,28.0,0.0,28.0,27.0,28.0,140500.0,0.0,3794600.0,33.0,28.0,1083600.0,27.0,95500.0,0.0,0.0
709,20230109,SOFA,28.0,0.0,28.0,27.0,28.0,124500.0,0.0,3369000.0,24.0,28.0,608000.0,27.0,264200.0,0.0,0.0
709,20230110,SOFA,28.0,0.0,28.0,27.0,28.0,16100.0,0.0,436100.0,16.0,28.0,813600.0,27.0,356000.0,0.0,0.0
710,20230111,SOFA,28.0,0.0,28.0,26.0,27.0,532100.0,-1.0,14279300.0,54.0,28.0,693500.0,27.0,15900.0,0.0,34100.0
710,20230112,SOFA,27.0,0.0,28.0,26.0,27.0,402200.0,0.0,10684400.0,35.0,27.0,268900.0,26.0,680300.0,0.0,0.0
710,20230113,SOFA,27.0,0.0,28.0,26.0,28.0,24000.0,1.0,653200.0,30.0,28.0,1118900.0,27.0,600.0,0.0,0.0
710,20230116,SOFA,28.0,0.0,28.0,26.0,28.0,287000.0,0.0,7654000.0,32.0,28.0,536600.0,26.0,751600.0,0.0,0.0
710,20230117,SOFA,28.0,0.0,28.0,26.0,26.0,1131800.0,-2.0,29694700.0,79.0,27.0,2000.0,26.0,512700.0,0.0,0.0
710,20230118,SOFA,26.0,0.0,28.0,25.0,27.0,1092300.0,1.0,29233800.0,92.0,27.0,1617400.0,26.0,108300.0,0.0,0.0
710,20230119,SOFA,27.0,0.0,27.0,26.0,27.0,114900.0,0.0,2991800.0,17.0,27.0,381900.0,26.0,187300.0,0.0,0.0
710,20230120,SOFA,27.0,0.0,27.0,26.0,27.0,492200.0,0.0,12802800.0,36.0,27.0,1289800.0,26.0,305000.0,0.0,0.0
711,20230124,SOFA,27.0,0.0,27.0,26.0,27.0,73100.0,0.0,1923600.0,23.0,27.0,388800.0,26.0,672700.0,0.0,0.0
711,20230125,SOFA,27.0,0.0,27.0,25.0,27.0,492200.0,0.0,12803000.0,87.0,27.0,732000.0,26.0,44300.0,0.0,0.0
711,20230126,SOFA,27.0,0.0,27.0,26.0,27.0,23200.0,0.0,626000.0,8.0,27.0,625000.0,26.0,101400.0,0.0,0.0
712,20230127,SOFA,27.0,0.0,27.0,26.0,27.0,3700.0,0.0,99000.0,12.0,27.0,588700.0,26.0,208400.0,0.0,0.0
712,20230130,SOFA,27.0,0.0,27.0,25.0,26.0,410500.0,-1.0,10673700.0,55.0,26.0,15500.0,25.0,1162000.0,0.0,0.0
712,20230131,SOFA,26.0,0.0,27.0,25.0,25.0,1834000.0,-1.0,45933000.0,117.0,26.0,686100.0,25.0,512300.0,0.0,0.0
713,20230201,SOFA,25.0,0.0,26.0,24.0,26.0,532800.0,1.0,13290400.0,81.0,26.0,2090600.0,25.0,43400.0,0.0,0.0
