No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
707,20221230,SONA,4400.0,0.0,0.0,0.0,4400.0,0.0,0.0,0.0,0.0,4400.0,600.0,4100.0,100.0,0.0,0.0
707,20230102,SONA,4400.0,0.0,0.0,0.0,4400.0,0.0,0.0,0.0,0.0,4400.0,2600.0,4100.0,100.0,0.0,0.0
707,20230103,SONA,4400.0,0.0,0.0,0.0,4400.0,0.0,0.0,0.0,0.0,4400.0,2600.0,4100.0,100.0,0.0,0.0
707,20230104,SONA,4400.0,0.0,0.0,0.0,4400.0,0.0,0.0,0.0,0.0,4390.0,100.0,4100.0,100.0,0.0,0.0
707,20230105,SONA,4400.0,0.0,0.0,0.0,4400.0,0.0,0.0,0.0,0.0,4400.0,2600.0,4100.0,100.0,0.0,0.0
710,20230106,SONA,4400.0,0.0,0.0,0.0,4400.0,0.0,0.0,0.0,0.0,4390.0,100.0,4300.0,100.0,0.0,0.0
711,20230109,SONA,4400.0,0.0,0.0,0.0,4400.0,0.0,0.0,0.0,0.0,4400.0,2600.0,4100.0,100.0,0.0,0.0
711,20230110,SONA,4400.0,0.0,0.0,0.0,4400.0,0.0,0.0,0.0,0.0,4400.0,2600.0,4100.0,100.0,0.0,0.0
712,20230111,SONA,4400.0,0.0,0.0,0.0,4400.0,0.0,0.0,0.0,0.0,4400.0,2600.0,4100.0,100.0,0.0,0.0
712,20230112,SONA,4400.0,0.0,0.0,0.0,4400.0,0.0,0.0,0.0,0.0,4400.0,500.0,4100.0,100.0,0.0,0.0
712,20230113,SONA,4400.0,0.0,4100.0,4100.0,4100.0,100.0,-300.0,410000.0,1.0,4100.0,100.0,0.0,0.0,0.0,0.0
712,20230116,SONA,4100.0,0.0,3950.0,3950.0,3950.0,100.0,-150.0,395000.0,1.0,4000.0,5000.0,3950.0,100.0,0.0,0.0
712,20230117,SONA,3950.0,0.0,0.0,0.0,3950.0,0.0,0.0,0.0,0.0,4100.0,102000.0,3900.0,100.0,0.0,0.0
712,20230118,SONA,3950.0,0.0,0.0,0.0,3950.0,0.0,0.0,0.0,0.0,4100.0,102000.0,3900.0,100.0,0.0,0.0
712,20230119,SONA,3950.0,0.0,0.0,0.0,3950.0,0.0,0.0,0.0,0.0,4100.0,102000.0,3900.0,100.0,0.0,0.0
712,20230120,SONA,3950.0,0.0,0.0,0.0,3950.0,0.0,0.0,0.0,0.0,4100.0,102000.0,3900.0,100.0,0.0,0.0
713,20230124,SONA,3950.0,0.0,3950.0,3950.0,3950.0,1000.0,0.0,3950000.0,1.0,3950.0,101000.0,3900.0,100.0,0.0,0.0
713,20230125,SONA,3950.0,0.0,0.0,0.0,3950.0,0.0,0.0,0.0,0.0,3950.0,101000.0,3900.0,100.0,0.0,0.0
713,20230126,SONA,3950.0,0.0,3900.0,3900.0,3900.0,100.0,-50.0,390000.0,1.0,3900.0,1400.0,3850.0,100.0,0.0,0.0
714,20230127,SONA,3900.0,0.0,0.0,0.0,3900.0,0.0,0.0,0.0,0.0,3900.0,5000.0,3800.0,100.0,0.0,0.0
714,20230130,SONA,3900.0,0.0,3900.0,3900.0,3900.0,500.0,0.0,1950000.0,2.0,3900.0,100900.0,3800.0,100.0,0.0,0.0
714,20230131,SONA,3900.0,0.0,0.0,0.0,3900.0,0.0,0.0,0.0,0.0,3900.0,105900.0,3800.0,500.0,0.0,0.0
715,20230201,SONA,3900.0,0.0,3800.0,3800.0,3800.0,100.0,-100.0,380000.0,1.0,3850.0,5000.0,3800.0,400.0,0.0,0.0
715,20230202,SONA,3800.0,0.0,0.0,0.0,3800.0,0.0,0.0,0.0,0.0,3850.0,5000.0,3700.0,100.0,0.0,0.0
715,20230203,SONA,3800.0,0.0,0.0,0.0,3800.0,0.0,0.0,0.0,0.0,3850.0,5000.0,3700.0,100.0,0.0,0.0
716,20230206,SONA,3800.0,0.0,3800.0,3800.0,3800.0,300.0,0.0,1140000.0,3.0,3800.0,50600.0,3700.0,100.0,0.0,0.0
717,20230207,SONA,3800.0,0.0,3800.0,3800.0,3800.0,600.0,0.0,2280000.0,2.0,3800.0,50000.0,3700.0,100.0,0.0,0.0
720,20230208,SONA,3800.0,0.0,0.0,0.0,3800.0,0.0,0.0,0.0,0.0,3800.0,50000.0,3700.0,100.0,0.0,0.0
720,20230209,SONA,3800.0,0.0,3800.0,3650.0,3650.0,800.0,-150.0,2940000.0,4.0,3650.0,400.0,3540.0,100.0,0.0,100.0
720,20230210,SONA,3650.0,0.0,3650.0,3650.0,3650.0,100.0,0.0,365000.0,1.0,3650.0,100.0,3410.0,100.0,0.0,0.0
720,20230213,SONA,3650.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,3650.0,99900.0,3410.0,100.0,0.0,0.0
