No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
800,20240703,SPRE,125.0,0.0,137.0,127.0,137.0,102716300.0,12.0,13628623700.0,13641.0,0.0,0.0,137.0,12836900.0,3015800.0,300000.0
800,20240704,SPRE,137.0,0.0,150.0,135.0,150.0,40651300.0,13.0,5966819900.0,4621.0,150.0,597500.0,149.0,222500.0,1413600.0,648000.0
801,20240705,SPRE,150.0,0.0,152.0,135.0,146.0,34303900.0,-4.0,4880514600.0,3133.0,147.0,1044100.0,146.0,14600.0,274000.0,0.0
804,20240708,SPRE,146.0,0.0,160.0,144.0,160.0,10218600.0,14.0,1584178700.0,1701.0,0.0,0.0,160.0,304000.0,70000.0,11800.0
805,20240709,SPRE,160.0,0.0,176.0,153.0,176.0,6640500.0,16.0,1109863300.0,1262.0,0.0,0.0,176.0,523700.0,0.0,0.0
806,20240710,SPRE,176.0,0.0,193.0,177.0,193.0,10098500.0,17.0,1923198900.0,864.0,0.0,0.0,193.0,794000.0,0.0,0.0
806,20240711,SPRE,193.0,0.0,212.0,187.0,212.0,30324000.0,19.0,6040990600.0,1576.0,0.0,0.0,212.0,1272700.0,10000.0,0.0
806,20240712,SPRE,212.0,0.0,232.0,197.0,208.0,21118600.0,-4.0,4629268800.0,2601.0,208.0,31800.0,206.0,44000.0,799200.0,13600.0
806,20240715,SPRE,208.0,0.0,224.0,208.0,222.0,25860000.0,14.0,5672880000.0,1386.0,224.0,98700.0,222.0,58000.0,13600.0,34500.0
806,20240716,SPRE,222.0,0.0,244.0,220.0,244.0,18548700.0,22.0,4332477800.0,1572.0,244.0,454600.0,242.0,20400.0,14500.0,33200.0
806,20240717,SPRE,244.0,0.0,266.0,244.0,262.0,25844000.0,18.0,6701082600.0,2278.0,264.0,319300.0,262.0,126600.0,13200.0,11900.0
806,20240718,SPRE,262.0,0.0,280.0,246.0,252.0,19478800.0,-10.0,5213993600.0,2364.0,254.0,9100.0,252.0,31200.0,70600.0,50800.0
806,20240719,SPRE,252.0,0.0,276.0,240.0,276.0,14181900.0,24.0,3676817600.0,1794.0,0.0,0.0,276.0,467800.0,226300.0,882300.0
806,20240722,SPRE,276.0,0.0,296.0,268.0,274.0,33990200.0,-2.0,9549878400.0,3055.0,276.0,100.0,274.0,36400.0,707400.0,1005200.0
806,20240723,SPRE,274.0,0.0,296.0,276.0,296.0,25646100.0,22.0,7329028400.0,2066.0,296.0,29200.0,294.0,5000.0,49400.0,1836200.0
806,20240724,SPRE,296.0,0.0,320.0,296.0,316.0,31513800.0,20.0,9791293000.0,3646.0,316.0,247800.0,314.0,110500.0,567400.0,1055400.0
806,20240725,SPRE,316.0,0.0,344.0,316.0,340.0,36737900.0,24.0,12157786200.0,3464.0,342.0,285100.0,340.0,147800.0,1318000.0,613600.0
806,20240726,SPRE,340.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
806,20240729,SPRE,340.0,0.0,342.0,306.0,336.0,58680500.0,-4.0,19393705200.0,3547.0,336.0,224500.0,334.0,93400.0,1652900.0,2457700.0
806,20240730,SPRE,336.0,0.0,346.0,326.0,328.0,26548900.0,-8.0,8928471000.0,2454.0,332.0,16600.0,328.0,1452600.0,1316000.0,168400.0
806,20240731,SPRE,328.0,0.0,344.0,320.0,320.0,43523500.0,-8.0,14588790400.0,2870.0,328.0,200000.0,320.0,1112600.0,88200.0,3649400.0
806,20240801,SPRE,320.0,0.0,350.0,320.0,338.0,47114300.0,18.0,15724407400.0,2810.0,338.0,35700.0,336.0,133100.0,1416500.0,1512300.0
806,20240802,SPRE,338.0,0.0,354.0,338.0,352.0,46311200.0,14.0,15938623600.0,1975.0,352.0,52400.0,350.0,507400.0,280100.0,2430000.0
806,20240805,SPRE,352.0,0.0,364.0,336.0,346.0,34494700.0,-6.0,12299370200.0,2633.0,348.0,9500.0,346.0,4191400.0,518300.0,441700.0
806,20240806,SPRE,346.0,0.0,360.0,344.0,356.0,26411400.0,10.0,9334431600.0,2078.0,356.0,182600.0,354.0,53000.0,310400.0,346400.0
807,20240807,SPRE,356.0,0.0,364.0,352.0,358.0,45453300.0,2.0,16321164200.0,1961.0,360.0,80800.0,358.0,93700.0,132500.0,147100.0
808,20240808,SPRE,358.0,0.0,366.0,350.0,358.0,50942000.0,0.0,18238238400.0,1986.0,358.0,138400.0,356.0,502000.0,1404600.0,739100.0
808,20240809,SPRE,358.0,0.0,370.0,356.0,370.0,23857300.0,12.0,8674397400.0,2400.0,370.0,51000.0,368.0,35200.0,24300.0,264900.0
808,20240812,SPRE,370.0,0.0,378.0,368.0,378.0,25111000.0,8.0,9404872600.0,2010.0,378.0,45100.0,376.0,1800.0,21100.0,221200.0
808,20240813,SPRE,378.0,0.0,384.0,348.0,354.0,27172800.0,-24.0,10083377200.0,2268.0,360.0,1300.0,354.0,7026600.0,1631500.0,40700.0
