No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
712,20221230,SQMI,66.0,0.0,74.0,66.0,68.0,33403900.0,2.0,2341356900.0,5935.0,69.0,164200.0,68.0,844000.0,1317900.0,378000.0
712,20230102,SQMI,68.0,0.0,74.0,67.0,73.0,14787400.0,5.0,1036162700.0,848.0,73.0,1219400.0,72.0,500.0,1405000.0,0.0
712,20230103,SQMI,73.0,0.0,77.0,70.0,72.0,110401100.0,-1.0,8146945000.0,30583.0,73.0,608800.0,72.0,1949200.0,26169100.0,0.0
712,20230104,SQMI,72.0,0.0,73.0,67.0,67.0,48396700.0,-5.0,3314379700.0,1547.0,67.0,5384500.0,0.0,0.0,9970800.0,0.0
712,20230105,SQMI,67.0,0.0,67.0,63.0,63.0,60678400.0,-4.0,3840241000.0,1141.0,63.0,3859800.0,0.0,0.0,33872600.0,0.0
716,20230106,SQMI,63.0,0.0,63.0,59.0,59.0,27779100.0,-4.0,1657362800.0,817.0,59.0,8082700.0,0.0,0.0,10129400.0,0.0
717,20230109,SQMI,59.0,0.0,59.0,55.0,55.0,36042200.0,-4.0,2003964800.0,1313.0,56.0,10000.0,55.0,6945600.0,400000.0,41400.0
717,20230110,SQMI,55.0,0.0,64.0,55.0,61.0,40993700.0,6.0,2479806600.0,2597.0,62.0,1042600.0,61.0,771400.0,3589400.0,46400.0
718,20230111,SQMI,61.0,0.0,64.0,59.0,63.0,14411000.0,2.0,887333800.0,1017.0,64.0,1267800.0,63.0,609100.0,396400.0,14000.0
718,20230112,SQMI,63.0,0.0,67.0,61.0,65.0,16266400.0,2.0,1058567200.0,862.0,66.0,606000.0,65.0,1636400.0,14000.0,2162100.0
718,20230113,SQMI,65.0,0.0,67.0,64.0,64.0,3376200.0,-1.0,219354200.0,533.0,64.0,34000.0,63.0,956400.0,64200.0,7100.0
718,20230116,SQMI,64.0,0.0,74.0,65.0,70.0,101373000.0,6.0,7167103900.0,4331.0,71.0,614800.0,70.0,314600.0,10014900.0,39600.0
718,20230117,SQMI,70.0,0.0,73.0,67.0,69.0,37491000.0,-1.0,2630408800.0,1827.0,70.0,250100.0,69.0,1016300.0,1932100.0,45900.0
718,20230118,SQMI,69.0,0.0,73.0,68.0,69.0,47324100.0,0.0,3327431600.0,17986.0,70.0,486500.0,69.0,1384900.0,2840400.0,49800.0
718,20230119,SQMI,69.0,0.0,73.0,69.0,71.0,34883200.0,2.0,2492124500.0,8268.0,71.0,1051000.0,70.0,266600.0,2163300.0,0.0
718,20230120,SQMI,71.0,0.0,73.0,68.0,68.0,27487100.0,-3.0,1915794900.0,1243.0,69.0,240100.0,68.0,1024100.0,1425000.0,52500.0
719,20230124,SQMI,68.0,0.0,70.0,67.0,68.0,13563200.0,0.0,928378600.0,788.0,69.0,1758600.0,68.0,418200.0,2168500.0,17500.0
719,20230125,SQMI,68.0,0.0,70.0,68.0,68.0,8157000.0,0.0,558078200.0,465.0,69.0,794500.0,68.0,66300.0,19500.0,0.0
719,20230126,SQMI,68.0,0.0,70.0,67.0,68.0,9413800.0,0.0,643344200.0,518.0,69.0,1562500.0,68.0,108900.0,0.0,34100.0
720,20230127,SQMI,68.0,0.0,69.0,66.0,68.0,9413600.0,0.0,630899200.0,585.0,68.0,1147900.0,67.0,311400.0,34100.0,22000.0
720,20230130,SQMI,68.0,0.0,68.0,64.0,64.0,19958200.0,-4.0,1303069600.0,760.0,64.0,1241500.0,0.0,0.0,22000.0,5017100.0
720,20230131,SQMI,64.0,0.0,67.0,61.0,64.0,22086200.0,0.0,1418073800.0,7979.0,65.0,1242100.0,64.0,265900.0,17400.0,0.0
721,20230201,SQMI,64.0,0.0,67.0,63.0,65.0,4319500.0,1.0,280874300.0,765.0,65.0,289700.0,64.0,721000.0,0.0,32500.0
721,20230202,SQMI,65.0,0.0,69.0,65.0,68.0,31939100.0,3.0,2118565500.0,1463.0,68.0,1137300.0,67.0,1659500.0,15577100.0,0.0
721,20230203,SQMI,68.0,0.0,70.0,67.0,68.0,15185900.0,0.0,1042855800.0,735.0,69.0,774300.0,68.0,9200.0,32500.0,40000.0
722,20230206,SQMI,68.0,0.0,72.0,68.0,69.0,19057600.0,1.0,1336855000.0,1041.0,70.0,625400.0,69.0,763900.0,403100.0,900.0
723,20230207,SQMI,69.0,0.0,72.0,68.0,72.0,16180300.0,3.0,1140558300.0,765.0,72.0,2338600.0,71.0,472800.0,1678600.0,505000.0
726,20230208,SQMI,72.0,0.0,73.0,70.0,70.0,9569900.0,-2.0,678803700.0,454.0,71.0,566100.0,70.0,1890200.0,23000.0,0.0
726,20230209,SQMI,70.0,0.0,73.0,69.0,70.0,29586100.0,0.0,2104929600.0,26660.0,70.0,564000.0,69.0,3064100.0,2007200.0,550000.0
726,20230210,SQMI,70.0,0.0,71.0,68.0,69.0,9665800.0,-1.0,667079000.0,434.0,70.0,410500.0,69.0,1617500.0,0.0,0.0
726,20230213,SQMI,69.0,0.0,70.0,68.0,68.0,6549000.0,-1.0,447598500.0,250.0,69.0,88100.0,68.0,1384900.0,161400.0,0.0
726,20230214,SQMI,68.0,0.0,70.0,67.0,67.0,3560200.0,-1.0,242493700.0,220.0,68.0,96000.0,67.0,1048200.0,0.0,0.0
726,20230215,SQMI,67.0,0.0,69.0,67.0,67.0,4241700.0,0.0,286514800.0,163.0,68.0,1100.0,67.0,1231900.0,0.0,0.0
727,20230216,SQMI,67.0,0.0,68.0,66.0,67.0,9003100.0,0.0,603474100.0,230.0,68.0,802100.0,67.0,582300.0,0.0,0.0
727,20230217,SQMI,67.0,0.0,68.0,66.0,68.0,6612800.0,1.0,439778100.0,251.0,68.0,1741300.0,67.0,91800.0,0.0,200000.0
727,20230220,SQMI,68.0,0.0,68.0,65.0,65.0,5475600.0,-3.0,363559900.0,268.0,66.0,150000.0,65.0,812400.0,0.0,0.0
727,20230221,SQMI,65.0,0.0,67.0,64.0,65.0,4006700.0,0.0,262409900.0,273.0,65.0,141500.0,64.0,646700.0,0.0,0.0
727,20230222,SQMI,65.0,0.0,66.0,64.0,65.0,5273000.0,0.0,342339400.0,230.0,66.0,972100.0,65.0,16900.0,0.0,0.0
727,20230223,SQMI,65.0,0.0,66.0,64.0,64.0,5769500.0,-1.0,373110100.0,257.0,65.0,830300.0,64.0,227100.0,0.0,0.0
728,20230224,SQMI,64.0,0.0,66.0,63.0,64.0,14940300.0,0.0,955378200.0,368.0,64.0,975500.0,63.0,2502600.0,0.0,0.0
729,20230227,SQMI,64.0,0.0,64.0,63.0,63.0,3453000.0,-1.0,218159800.0,190.0,64.0,695500.0,63.0,525800.0,0.0,0.0
