No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
713,20221230,SRAJ,655.0,0.0,660.0,630.0,655.0,856200.0,0.0,557694500.0,174.0,655.0,328600.0,645.0,3900.0,50900.0,400.0
713,20230102,SRAJ,655.0,0.0,655.0,640.0,655.0,647500.0,0.0,421743500.0,138.0,660.0,93800.0,655.0,3076400.0,19100.0,0.0
713,20230103,SRAJ,655.0,0.0,675.0,645.0,655.0,951300.0,0.0,629102000.0,332.0,655.0,351200.0,650.0,47100.0,2200.0,33500.0
713,20230104,SRAJ,655.0,0.0,665.0,635.0,655.0,842100.0,0.0,546312000.0,222.0,655.0,82700.0,640.0,23200.0,95300.0,34400.0
713,20230105,SRAJ,655.0,0.0,655.0,615.0,645.0,1584300.0,-10.0,1013845000.0,281.0,645.0,108700.0,615.0,3000.0,126500.0,0.0
717,20230106,SRAJ,645.0,0.0,600.0,600.0,600.0,310200.0,-45.0,186120000.0,88.0,600.0,1335400.0,0.0,0.0,0.0,0.0
718,20230109,SRAJ,600.0,0.0,560.0,560.0,560.0,139700.0,-40.0,78232000.0,26.0,560.0,1450400.0,0.0,0.0,0.0,0.0
718,20230110,SRAJ,560.0,0.0,615.0,525.0,585.0,19839000.0,25.0,11565523500.0,1304.0,585.0,829600.0,580.0,100.0,64700.0,78300.0
719,20230111,SRAJ,585.0,0.0,595.0,565.0,595.0,3901600.0,10.0,2305779500.0,313.0,595.0,217900.0,575.0,1000.0,129400.0,24700.0
719,20230112,SRAJ,595.0,0.0,595.0,570.0,595.0,2236200.0,0.0,1326619000.0,128.0,595.0,164600.0,585.0,400.0,15900.0,0.0
719,20230113,SRAJ,595.0,0.0,595.0,580.0,595.0,805900.0,0.0,477327500.0,124.0,595.0,639100.0,580.0,2500.0,88300.0,0.0
719,20230116,SRAJ,595.0,0.0,740.0,575.0,640.0,8943300.0,45.0,5564433000.0,1092.0,640.0,34200.0,580.0,300.0,290500.0,107600.0
719,20230117,SRAJ,640.0,0.0,660.0,600.0,600.0,11101900.0,-40.0,6858649500.0,759.0,600.0,191900.0,0.0,0.0,170000.0,109100.0
719,20230118,SRAJ,600.0,0.0,645.0,575.0,595.0,9630400.0,-5.0,5909473000.0,678.0,595.0,47600.0,590.0,51500.0,106800.0,62000.0
719,20230119,SRAJ,595.0,0.0,640.0,590.0,605.0,7752300.0,10.0,4789993000.0,358.0,605.0,891500.0,600.0,36100.0,96800.0,428700.0
