No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
716,20221230,SRTG,2500.0,0.0,2550.0,2500.0,2530.0,4060700.0,30.0,10295400000.0,1102.0,2540.0,35700.0,2530.0,176500.0,37800.0,153100.0
716,20230102,SRTG,2530.0,0.0,2550.0,2460.0,2470.0,11944200.0,-60.0,30078219000.0,3067.0,2470.0,13700.0,2460.0,173100.0,100000.0,261300.0
716,20230103,SRTG,2470.0,0.0,2530.0,2450.0,2520.0,12133100.0,50.0,30337996000.0,2913.0,2530.0,23500.0,2520.0,145900.0,834300.0,1225200.0
716,20230104,SRTG,2520.0,0.0,2580.0,2520.0,2550.0,12650400.0,30.0,32317087000.0,2919.0,2550.0,119300.0,2540.0,57700.0,715400.0,1902300.0
716,20230105,SRTG,2550.0,0.0,2570.0,2410.0,2410.0,14476100.0,-140.0,36144480000.0,3595.0,2420.0,30200.0,2410.0,49000.0,480000.0,517600.0
720,20230106,SRTG,2410.0,0.0,2420.0,2320.0,2360.0,15078400.0,-50.0,35787255000.0,4495.0,2360.0,133300.0,2350.0,478200.0,4922200.0,1342800.0
721,20230109,SRTG,2360.0,0.0,2400.0,2300.0,2310.0,15640100.0,-50.0,36722101000.0,4013.0,2320.0,35500.0,2310.0,1219600.0,2978900.0,3574900.0
721,20230110,SRTG,2310.0,0.0,2390.0,2320.0,2340.0,10561300.0,30.0,24890509000.0,2749.0,2360.0,14700.0,2340.0,229500.0,2464800.0,3493700.0
722,20230111,SRTG,2340.0,0.0,2370.0,2320.0,2340.0,11287400.0,0.0,26338573000.0,2799.0,2340.0,193200.0,2330.0,383000.0,4195400.0,3640500.0
722,20230112,SRTG,2340.0,0.0,2380.0,2320.0,2340.0,16732700.0,0.0,39295161000.0,3545.0,2350.0,78000.0,2340.0,110100.0,4759800.0,4097900.0
722,20230113,SRTG,2340.0,0.0,2370.0,2320.0,2340.0,13673600.0,0.0,31976533000.0,2752.0,2350.0,30700.0,2340.0,3100.0,3269400.0,3322000.0
722,20230116,SRTG,2340.0,0.0,2380.0,2340.0,2350.0,12283500.0,10.0,28949809000.0,2481.0,2360.0,120400.0,2350.0,11600.0,108500.0,2072900.0
722,20230117,SRTG,2350.0,0.0,2460.0,2350.0,2430.0,21499400.0,80.0,51892689000.0,4552.0,2430.0,151300.0,2420.0,138300.0,724900.0,8065900.0
722,20230118,SRTG,2430.0,0.0,2450.0,2380.0,2380.0,12212300.0,-50.0,29502197000.0,3428.0,2390.0,29000.0,2380.0,436300.0,2731600.0,1024700.0
722,20230119,SRTG,2380.0,0.0,2440.0,2380.0,2420.0,9034900.0,40.0,21841244000.0,2469.0,2420.0,24100.0,2410.0,392300.0,428900.0,2760100.0
722,20230120,SRTG,2420.0,0.0,2460.0,2410.0,2420.0,11380100.0,0.0,27614811000.0,2826.0,2430.0,62800.0,2420.0,41600.0,1434500.0,804900.0
723,20230124,SRTG,2420.0,0.0,2450.0,2380.0,2400.0,11163700.0,-20.0,26983119000.0,2796.0,2400.0,1006000.0,2390.0,113400.0,506200.0,2256200.0
723,20230125,SRTG,2400.0,0.0,2430.0,2380.0,2390.0,11667100.0,-10.0,27967406000.0,2468.0,2400.0,19000.0,2390.0,258100.0,555000.0,3379000.0
723,20230126,SRTG,2390.0,0.0,2510.0,2370.0,2470.0,24907300.0,80.0,61302763000.0,5007.0,2470.0,4600.0,2460.0,312700.0,1920200.0,8653100.0
724,20230127,SRTG,2470.0,0.0,2510.0,2440.0,2460.0,16969400.0,-10.0,41914011000.0,4313.0,2460.0,26800.0,2450.0,301000.0,4905800.0,5747200.0
724,20230130,SRTG,2460.0,0.0,2500.0,2420.0,2450.0,13703300.0,-10.0,33632953000.0,4250.0,2460.0,58400.0,2450.0,11400.0,4587200.0,1271200.0
724,20230131,SRTG,2450.0,0.0,2480.0,2430.0,2430.0,15919900.0,-20.0,38880919000.0,3253.0,2430.0,110700.0,2420.0,772700.0,6577300.0,696900.0
725,20230201,SRTG,2430.0,2430.0,2460.0,2400.0,2430.0,17155400.0,0.0,41694124000.0,3758.0,2430.0,289600.0,2420.0,158100.0,4743200.0,747300.0
725,20230202,SRTG,2430.0,2420.0,2430.0,2390.0,2390.0,13150400.0,-40.0,31639611000.0,3182.0,2400.0,21700.0,2390.0,650400.0,2898500.0,2314700.0
725,20230203,SRTG,2390.0,2400.0,2430.0,2330.0,2340.0,20446800.0,-50.0,48554733000.0,5514.0,2350.0,13100.0,2340.0,407700.0,6005200.0,4707300.0
726,20230206,SRTG,2340.0,2340.0,2360.0,2240.0,2260.0,29436000.0,-80.0,67674985000.0,6950.0,2260.0,1044300.0,2250.0,471100.0,8502700.0,5925300.0
727,20230207,SRTG,2260.0,2280.0,2330.0,2240.0,2320.0,18783600.0,60.0,42835372000.0,5225.0,2320.0,1838800.0,2310.0,159200.0,4990900.0,5594800.0
730,20230208,SRTG,2320.0,2320.0,2330.0,2290.0,2290.0,15795600.0,-30.0,36426736000.0,3421.0,2300.0,78600.0,2290.0,31400.0,3513000.0,2796900.0
730,20230209,SRTG,2290.0,2290.0,2310.0,2260.0,2270.0,16362800.0,-20.0,37380127000.0,3480.0,2280.0,33400.0,2270.0,299700.0,2859900.0,3456100.0
730,20230210,SRTG,2270.0,2270.0,2290.0,2240.0,2260.0,15291900.0,-10.0,34588435000.0,3333.0,2270.0,45000.0,2260.0,118300.0,1115600.0,4674500.0
730,20230213,SRTG,2260.0,2260.0,2330.0,2260.0,2310.0,18001800.0,50.0,41198951000.0,4047.0,2320.0,272800.0,2310.0,55500.0,4165900.0,7939700.0
730,20230214,SRTG,2310.0,2330.0,2330.0,2310.0,2310.0,10633200.0,0.0,24680422000.0,2419.0,2320.0,50500.0,2310.0,130600.0,1786400.0,3532600.0
