No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
718,20221230,SSMS,1490.0,0.0,1495.0,1460.0,1470.0,11744900.0,-20.0,17368601000.0,566.0,1475.0,6500.0,1470.0,23300.0,326300.0,217400.0
718,20230102,SSMS,1470.0,0.0,1490.0,1450.0,1475.0,4919500.0,5.0,7246372000.0,230.0,1475.0,3400.0,1470.0,10000.0,8200.0,109300.0
718,20230103,SSMS,1475.0,0.0,1485.0,1455.0,1480.0,5009700.0,5.0,7386239500.0,380.0,1490.0,13100.0,1480.0,21700.0,84100.0,29400.0
718,20230104,SSMS,1480.0,0.0,1495.0,1440.0,1440.0,590200.0,-40.0,859597000.0,612.0,1455.0,2000.0,1440.0,47500.0,392800.0,249100.0
718,20230105,SSMS,1440.0,0.0,1475.0,1415.0,1415.0,21594000.0,-25.0,31387867500.0,1195.0,1420.0,5900.0,1415.0,96600.0,470200.0,1467300.0
722,20230106,SSMS,1415.0,0.0,1510.0,1370.0,1510.0,22082500.0,95.0,32657019000.0,1217.0,1510.0,166600.0,1505.0,300.0,688100.0,1661500.0
723,20230109,SSMS,1510.0,0.0,1580.0,1505.0,1565.0,17060600.0,55.0,26439949500.0,1007.0,1565.0,29700.0,1545.0,1000.0,456400.0,3593200.0
723,20230110,SSMS,1565.0,0.0,1565.0,1460.0,1540.0,6748000.0,-25.0,10313947000.0,632.0,1540.0,20600.0,1495.0,300.0,92300.0,244000.0
724,20230111,SSMS,1540.0,0.0,1535.0,1480.0,1480.0,11762600.0,-60.0,17530150000.0,1359.0,1480.0,14200.0,1475.0,7800.0,1417600.0,801700.0
724,20230112,SSMS,1480.0,0.0,1560.0,1485.0,1560.0,12917300.0,80.0,19482628000.0,1005.0,1560.0,97900.0,1530.0,3000.0,431900.0,1710600.0
724,20230113,SSMS,1560.0,0.0,1565.0,1515.0,1555.0,4510300.0,-5.0,6969756000.0,749.0,1555.0,66900.0,1550.0,600.0,636300.0,726200.0
724,20230116,SSMS,1555.0,0.0,1600.0,1550.0,1575.0,13613000.0,20.0,21403420500.0,882.0,1575.0,58500.0,1570.0,52300.0,12400.0,877300.0
724,20230117,SSMS,1575.0,0.0,1595.0,1535.0,1595.0,13518200.0,20.0,21210298000.0,752.0,1595.0,220900.0,1580.0,10000.0,109500.0,738700.0
724,20230118,SSMS,1595.0,0.0,1595.0,1545.0,1545.0,10350600.0,-50.0,16281333500.0,552.0,1545.0,3700.0,1540.0,13000.0,212100.0,119700.0
724,20230119,SSMS,1545.0,0.0,1585.0,1540.0,1560.0,9011200.0,15.0,13983382000.0,219.0,1565.0,61100.0,1560.0,6700.0,32300.0,84500.0
724,20230120,SSMS,1560.0,0.0,1560.0,1520.0,1545.0,7319900.0,-15.0,11334534000.0,270.0,1545.0,15400.0,1540.0,9400.0,66500.0,505700.0
725,20230124,SSMS,1545.0,0.0,1620.0,1540.0,1585.0,14121100.0,40.0,22324909500.0,632.0,1585.0,18200.0,1580.0,2100.0,104300.0,1983600.0
725,20230125,SSMS,1585.0,0.0,1620.0,1580.0,1600.0,12142900.0,15.0,19356691500.0,514.0,1600.0,14300.0,1595.0,6000.0,64300.0,2625300.0
725,20230126,SSMS,1600.0,0.0,1615.0,1570.0,1585.0,8840700.0,-15.0,14067082500.0,440.0,1585.0,103300.0,1580.0,3800.0,259800.0,2097400.0
726,20230127,SSMS,1585.0,0.0,1585.0,1570.0,1585.0,7395700.0,0.0,11669506000.0,1013.0,1585.0,383200.0,1575.0,2400.0,281300.0,1719800.0
726,20230130,SSMS,1585.0,0.0,1625.0,1535.0,1535.0,14180500.0,-50.0,22623020000.0,986.0,1570.0,2000.0,1535.0,600.0,975200.0,2234800.0
726,20230131,SSMS,1535.0,0.0,1605.0,1540.0,1585.0,9828400.0,50.0,15502510000.0,1692.0,1595.0,63700.0,1585.0,11800.0,954300.0,3668700.0
727,20230201,SSMS,1585.0,0.0,1610.0,1575.0,1575.0,14329200.0,-10.0,22792169500.0,810.0,1595.0,52400.0,1575.0,11400.0,143800.0,3887000.0
727,20230202,SSMS,1575.0,0.0,1620.0,1570.0,1580.0,10630700.0,5.0,16951985000.0,699.0,1580.0,179400.0,1575.0,1500.0,296400.0,3239400.0
727,20230203,SSMS,1580.0,0.0,1590.0,1535.0,1535.0,11882400.0,-45.0,18743126500.0,611.0,1575.0,8900.0,1535.0,177800.0,1488200.0,1953700.0
728,20230206,SSMS,1535.0,0.0,1595.0,1540.0,1585.0,12976000.0,50.0,20379177500.0,1052.0,1585.0,124800.0,1580.0,400.0,578600.0,2438800.0
729,20230207,SSMS,1585.0,0.0,1610.0,1575.0,1605.0,9614700.0,20.0,15306684000.0,618.0,1605.0,29700.0,1580.0,6200.0,85300.0,3990300.0
732,20230208,SSMS,1605.0,0.0,1620.0,1595.0,1605.0,11180700.0,0.0,17939755500.0,461.0,1605.0,38500.0,1600.0,26600.0,56800.0,3246700.0
732,20230209,SSMS,1605.0,0.0,1610.0,1545.0,1610.0,18265800.0,5.0,28866541000.0,1154.0,1610.0,145400.0,1590.0,500.0,2167200.0,3206800.0
732,20230210,SSMS,1610.0,0.0,1635.0,1575.0,1575.0,11776500.0,-35.0,18910919500.0,687.0,1590.0,2000.0,1575.0,7700.0,378100.0,3451000.0
732,20230213,SSMS,1575.0,0.0,1610.0,1575.0,1610.0,16078700.0,35.0,25518460000.0,734.0,1610.0,168200.0,1605.0,500.0,203500.0,4374600.0
732,20230214,SSMS,1610.0,0.0,1620.0,1555.0,1575.0,8121300.0,-35.0,12835360500.0,780.0,1575.0,28700.0,1565.0,15000.0,2142100.0,1219100.0
732,20230215,SSMS,1575.0,0.0,1585.0,1545.0,1575.0,8735000.0,0.0,13602362500.0,825.0,1575.0,43900.0,1555.0,200.0,783400.0,367300.0
