No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
744,20221230,TELE,50.0,0.0,50.0,50.0,50.0,600.0,0.0,30000.0,2.0,50.0,55135500.0,0.0,0.0,0.0,0.0
744,20230102,TELE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,56919600.0,0.0,0.0,0.0,0.0
744,20230103,TELE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,53782300.0,0.0,0.0,0.0,0.0
744,20230104,TELE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,54047100.0,0.0,0.0,0.0,0.0
744,20230105,TELE,50.0,0.0,50.0,50.0,50.0,166200.0,0.0,8310000.0,2.0,50.0,55747800.0,0.0,0.0,0.0,20000.0
748,20230106,TELE,50.0,0.0,50.0,50.0,50.0,2500.0,0.0,125000.0,3.0,50.0,56499500.0,0.0,0.0,0.0,0.0
750,20230109,TELE,50.0,0.0,50.0,50.0,50.0,2700.0,0.0,135000.0,4.0,50.0,53765100.0,0.0,0.0,0.0,1000.0
750,20230110,TELE,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,45627600.0,0.0,0.0,0.0,0.0
751,20230111,TELE,50.0,0.0,50.0,50.0,50.0,4000.0,0.0,200000.0,2.0,50.0,44221500.0,0.0,0.0,0.0,0.0
751,20230112,TELE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,45524100.0,0.0,0.0,0.0,0.0
751,20230113,TELE,50.0,0.0,50.0,50.0,50.0,377100.0,0.0,18855000.0,4.0,50.0,55785900.0,0.0,0.0,0.0,0.0
751,20230116,TELE,50.0,0.0,50.0,50.0,50.0,9500.0,0.0,475000.0,7.0,50.0,52525400.0,0.0,0.0,0.0,3000.0
751,20230117,TELE,50.0,0.0,50.0,50.0,50.0,277800.0,0.0,13890000.0,9.0,50.0,58510200.0,0.0,0.0,0.0,0.0
751,20230118,TELE,50.0,0.0,50.0,50.0,50.0,1200.0,0.0,60000.0,2.0,50.0,54973900.0,0.0,0.0,0.0,0.0
751,20230119,TELE,50.0,0.0,50.0,50.0,50.0,5000.0,0.0,250000.0,6.0,50.0,59128800.0,0.0,0.0,0.0,0.0
751,20230120,TELE,50.0,0.0,50.0,50.0,50.0,300.0,0.0,15000.0,3.0,50.0,43332900.0,0.0,0.0,0.0,0.0
752,20230124,TELE,50.0,0.0,50.0,50.0,50.0,20300.0,0.0,1015000.0,4.0,50.0,47863000.0,0.0,0.0,0.0,20000.0
752,20230125,TELE,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,61482400.0,0.0,0.0,0.0,0.0
752,20230126,TELE,50.0,0.0,50.0,50.0,50.0,1000.0,0.0,50000.0,1.0,50.0,59586000.0,0.0,0.0,0.0,0.0
753,20230127,TELE,50.0,0.0,50.0,50.0,50.0,400.0,0.0,20000.0,4.0,50.0,52352700.0,0.0,0.0,0.0,0.0
753,20230130,TELE,50.0,0.0,50.0,50.0,50.0,12300.0,0.0,615000.0,4.0,50.0,60928300.0,0.0,0.0,0.0,0.0
