No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
746,20221230,TFCO,650.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,685.0,700.0,610.0,1000.0,0.0,0.0
746,20230102,TFCO,650.0,0.0,630.0,625.0,625.0,600.0,-25.0,375500.0,3.0,680.0,100.0,625.0,1300.0,0.0,0.0
746,20230103,TFCO,625.0,0.0,670.0,630.0,670.0,200.0,45.0,130000.0,2.0,650.0,500.0,600.0,200.0,0.0,0.0
746,20230104,TFCO,670.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,655.0,600.0,0.0,0.0,0.0,0.0
746,20230105,TFCO,670.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,665.0,500.0,0.0,0.0,0.0,0.0
750,20230106,TFCO,670.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,670.0,700.0,0.0,0.0,0.0,0.0
752,20230109,TFCO,670.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,670.0,700.0,0.0,0.0,0.0,0.0
752,20230110,TFCO,670.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,665.0,100.0,0.0,0.0,0.0,0.0
753,20230111,TFCO,670.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,665.0,100.0,0.0,0.0,0.0,0.0
753,20230112,TFCO,670.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,665.0,100.0,0.0,0.0,0.0,0.0
753,20230113,TFCO,670.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,665.0,300.0,0.0,0.0,0.0,0.0
753,20230116,TFCO,670.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,660.0,100.0,0.0,0.0,0.0,0.0
753,20230117,TFCO,670.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,665.0,100.0,0.0,0.0,0.0,0.0
753,20230118,TFCO,670.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,660.0,400.0,0.0,0.0,0.0,0.0
753,20230119,TFCO,670.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,655.0,100.0,0.0,0.0,0.0,0.0
753,20230120,TFCO,670.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,665.0,100.0,625.0,700.0,0.0,0.0
754,20230124,TFCO,670.0,0.0,665.0,665.0,665.0,100.0,-5.0,66500.0,1.0,660.0,500.0,625.0,200.0,0.0,0.0
754,20230125,TFCO,665.0,0.0,0.0,0.0,665.0,0.0,0.0,0.0,0.0,660.0,500.0,0.0,0.0,0.0,0.0
754,20230126,TFCO,665.0,0.0,0.0,0.0,665.0,0.0,0.0,0.0,0.0,660.0,500.0,0.0,0.0,0.0,0.0
755,20230127,TFCO,665.0,0.0,0.0,0.0,665.0,0.0,0.0,0.0,0.0,665.0,200.0,0.0,0.0,0.0,0.0
755,20230130,TFCO,665.0,0.0,0.0,0.0,665.0,0.0,0.0,0.0,0.0,660.0,500.0,0.0,0.0,0.0,0.0
755,20230131,TFCO,665.0,0.0,0.0,0.0,665.0,0.0,0.0,0.0,0.0,660.0,500.0,0.0,0.0,0.0,0.0
756,20230201,TFCO,665.0,0.0,0.0,0.0,665.0,0.0,0.0,0.0,0.0,660.0,500.0,0.0,0.0,0.0,0.0
756,20230202,TFCO,665.0,0.0,0.0,0.0,665.0,0.0,0.0,0.0,0.0,660.0,500.0,0.0,0.0,0.0,0.0
756,20230203,TFCO,665.0,0.0,0.0,0.0,665.0,0.0,0.0,0.0,0.0,660.0,1000.0,0.0,0.0,0.0,0.0
757,20230206,TFCO,665.0,0.0,640.0,640.0,640.0,600.0,-25.0,384000.0,1.0,660.0,1000.0,640.0,6400.0,0.0,0.0
758,20230207,TFCO,640.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,640.0,200.0,0.0,0.0,0.0,0.0
761,20230208,TFCO,640.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,640.0,300.0,0.0,0.0,0.0,0.0
761,20230209,TFCO,640.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,635.0,800.0,0.0,0.0,0.0,0.0
761,20230210,TFCO,640.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,640.0,200.0,0.0,0.0,0.0,0.0
761,20230213,TFCO,640.0,0.0,600.0,600.0,600.0,2700.0,-40.0,1620000.0,5.0,680.0,100.0,0.0,0.0,0.0,0.0
761,20230214,TFCO,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,650.0,1000.0,0.0,0.0,0.0,0.0
761,20230215,TFCO,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,100.0,0.0,0.0
762,20230216,TFCO,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,650.0,900.0,560.0,1100.0,0.0,0.0
762,20230217,TFCO,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,640.0,900.0,560.0,1100.0,0.0,0.0
762,20230220,TFCO,600.0,0.0,660.0,610.0,610.0,800.0,10.0,511500.0,7.0,645.0,100.0,605.0,100.0,0.0,100.0
762,20230221,TFCO,610.0,0.0,0.0,0.0,610.0,0.0,0.0,0.0,0.0,660.0,900.0,575.0,200.0,0.0,0.0
762,20230222,TFCO,610.0,0.0,610.0,610.0,610.0,200.0,0.0,122000.0,1.0,610.0,27300.0,580.0,100.0,200.0,0.0
762,20230223,TFCO,610.0,0.0,0.0,0.0,610.0,0.0,0.0,0.0,0.0,650.0,100.0,0.0,0.0,0.0,0.0
763,20230224,TFCO,610.0,0.0,0.0,0.0,610.0,0.0,0.0,0.0,0.0,645.0,100.0,610.0,300.0,0.0,0.0
