No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
749,20221230,TIFA,414.0,0.0,412.0,406.0,406.0,10100.0,-8.0,4101200.0,15.0,416.0,100.0,406.0,300.0,0.0,0.0
749,20230102,TIFA,406.0,0.0,434.0,388.0,432.0,500.0,26.0,211800.0,3.0,430.0,500.0,406.0,7100.0,0.0,0.0
749,20230103,TIFA,432.0,0.0,432.0,414.0,430.0,12400.0,-2.0,5259000.0,15.0,432.0,700.0,410.0,100.0,0.0,0.0
749,20230104,TIFA,430.0,0.0,430.0,430.0,430.0,1000.0,0.0,430000.0,5.0,448.0,900.0,430.0,5100.0,200.0,0.0
749,20230105,TIFA,430.0,0.0,430.0,430.0,430.0,5000.0,0.0,2150000.0,2.0,430.0,7300.0,418.0,200.0,0.0,0.0
753,20230106,TIFA,430.0,0.0,430.0,430.0,430.0,5500.0,0.0,2365000.0,3.0,428.0,700.0,410.0,100.0,0.0,0.0
755,20230109,TIFA,430.0,0.0,430.0,428.0,428.0,800.0,-2.0,343400.0,3.0,430.0,1300.0,428.0,5300.0,0.0,0.0
755,20230110,TIFA,428.0,0.0,428.0,428.0,428.0,5200.0,0.0,2225600.0,4.0,428.0,800.0,406.0,200.0,0.0,0.0
756,20230111,TIFA,428.0,0.0,428.0,428.0,428.0,1300.0,0.0,556400.0,1.0,428.0,100.0,404.0,600.0,0.0,0.0
756,20230112,TIFA,428.0,0.0,426.0,426.0,426.0,100.0,-2.0,42600.0,1.0,428.0,800.0,416.0,100.0,0.0,0.0
756,20230113,TIFA,426.0,0.0,426.0,424.0,424.0,200.0,-2.0,85000.0,2.0,426.0,700.0,410.0,100.0,0.0,0.0
756,20230116,TIFA,424.0,0.0,412.0,410.0,410.0,1500.0,-14.0,615200.0,3.0,422.0,800.0,410.0,8600.0,0.0,0.0
756,20230117,TIFA,410.0,0.0,444.0,408.0,422.0,2400.0,12.0,987600.0,5.0,440.0,5000.0,412.0,100.0,0.0,0.0
756,20230118,TIFA,422.0,0.0,454.0,414.0,414.0,300.0,-8.0,129200.0,3.0,436.0,100.0,412.0,600.0,0.0,0.0
756,20230119,TIFA,414.0,0.0,432.0,410.0,422.0,1800.0,8.0,754400.0,17.0,424.0,100.0,410.0,1000.0,0.0,0.0
756,20230120,TIFA,422.0,0.0,432.0,418.0,418.0,400.0,-4.0,171400.0,3.0,426.0,100.0,418.0,500.0,0.0,0.0
757,20230124,TIFA,418.0,0.0,426.0,408.0,426.0,16000.0,8.0,6533200.0,12.0,426.0,800.0,410.0,100.0,0.0,0.0
757,20230125,TIFA,426.0,0.0,0.0,0.0,426.0,0.0,0.0,0.0,0.0,426.0,500.0,410.0,200.0,0.0,0.0
