No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
750,20221230,TINS,1165.0,1170.0,1185.0,1170.0,1170.0,6741500.0,5.0,7948910000.0,1278.0,1170.0,346100.0,1165.0,636400.0,120600.0,1624800.0
750,20230102,TINS,1170.0,1170.0,1180.0,1150.0,1160.0,10566900.0,-10.0,12257698500.0,1771.0,1160.0,10200.0,1155.0,265500.0,223700.0,77900.0
750,20230103,TINS,1160.0,1160.0,1180.0,1155.0,1165.0,6513200.0,5.0,7597798500.0,1477.0,1170.0,70100.0,1165.0,121100.0,250900.0,340200.0
750,20230104,TINS,1165.0,1170.0,1200.0,1170.0,1180.0,23786700.0,15.0,28248958500.0,3584.0,1180.0,444600.0,1175.0,115600.0,1397500.0,2703900.0
750,20230105,TINS,1180.0,1180.0,1185.0,1120.0,1125.0,21983600.0,-55.0,25216728000.0,4103.0,1130.0,75000.0,1125.0,274500.0,2780000.0,853200.0
754,20230106,TINS,1125.0,1125.0,1160.0,1090.0,1145.0,10660000.0,20.0,12030567500.0,2601.0,1150.0,69800.0,1145.0,309900.0,1139700.0,1437400.0
756,20230109,TINS,1145.0,1155.0,1175.0,1145.0,1165.0,10406000.0,20.0,12101012500.0,1964.0,1170.0,280300.0,1160.0,99300.0,942300.0,2464400.0
756,20230110,TINS,1165.0,1165.0,1175.0,1140.0,1160.0,7884600.0,-5.0,9125763000.0,2410.0,1160.0,146200.0,1155.0,15400.0,1567400.0,1476500.0
757,20230111,TINS,1160.0,1170.0,1170.0,1150.0,1165.0,7132100.0,5.0,8275353500.0,1866.0,1170.0,530700.0,1165.0,9100.0,2038000.0,1445500.0
757,20230112,TINS,1165.0,1170.0,1190.0,1155.0,1180.0,12187700.0,15.0,14390452000.0,3046.0,1180.0,1526700.0,1175.0,224900.0,1848700.0,1032200.0
757,20230113,TINS,1180.0,1195.0,1195.0,1170.0,1185.0,11795500.0,5.0,13923335000.0,2378.0,1190.0,789500.0,1185.0,1546400.0,3652700.0,285800.0
757,20230116,TINS,1185.0,1200.0,1235.0,1195.0,1230.0,43947800.0,45.0,53622674500.0,5823.0,1235.0,998900.0,1230.0,2892900.0,6802500.0,2960600.0
757,20230117,TINS,1230.0,1240.0,1300.0,1230.0,1295.0,64870300.0,65.0,82178194000.0,7512.0,1295.0,817100.0,1290.0,164900.0,9668900.0,1149000.0
757,20230118,TINS,1295.0,1290.0,1295.0,1255.0,1270.0,20784000.0,-25.0,26433675500.0,4119.0,1275.0,606400.0,1270.0,158100.0,3435600.0,406700.0
757,20230119,TINS,1270.0,1275.0,1295.0,1270.0,1280.0,14297800.0,10.0,18344778500.0,2625.0,1280.0,4100.0,1275.0,958400.0,463500.0,766500.0
757,20230120,TINS,1280.0,1290.0,1295.0,1270.0,1275.0,15563000.0,-5.0,19942147000.0,3341.0,1280.0,182500.0,1275.0,3016800.0,2231500.0,697900.0
758,20230124,TINS,1275.0,1285.0,1295.0,1270.0,1280.0,11529200.0,5.0,14771387000.0,1911.0,1280.0,267500.0,1275.0,733700.0,2065000.0,839400.0
758,20230125,TINS,1280.0,1290.0,1290.0,1250.0,1265.0,13594900.0,-15.0,17209043000.0,2517.0,1265.0,297900.0,1260.0,334600.0,810200.0,236700.0
758,20230126,TINS,1265.0,1270.0,1285.0,1265.0,1275.0,11169200.0,10.0,14207424500.0,1956.0,1275.0,47300.0,1270.0,77200.0,1299200.0,2384700.0
759,20230127,TINS,1275.0,1285.0,1335.0,1285.0,1310.0,56737800.0,35.0,74597518000.0,7432.0,1310.0,3097300.0,1305.0,777700.0,6399000.0,6329500.0
759,20230130,TINS,1310.0,1300.0,1305.0,1260.0,1265.0,22965200.0,-45.0,29381984500.0,5462.0,1270.0,33500.0,1265.0,9976800.0,6359100.0,312900.0
759,20230131,TINS,1265.0,1275.0,1285.0,1250.0,1250.0,20695500.0,-15.0,26057885000.0,4172.0,1260.0,4000.0,1250.0,10334500.0,4196100.0,7811400.0
760,20230201,TINS,1250.0,1250.0,1290.0,1225.0,1270.0,36040200.0,20.0,45476728500.0,6547.0,1275.0,108700.0,1270.0,346900.0,4415200.0,8145200.0
760,20230202,TINS,1270.0,1275.0,1285.0,1260.0,1265.0,8013000.0,-5.0,10176489000.0,1899.0,1270.0,32700.0,1265.0,55300.0,3027400.0,2145200.0
760,20230203,TINS,1265.0,1270.0,1270.0,1250.0,1255.0,12013900.0,-10.0,15090736500.0,2382.0,1260.0,129100.0,1255.0,238800.0,3671800.0,623400.0
761,20230206,TINS,1255.0,1240.0,1245.0,1210.0,1220.0,18841600.0,-35.0,23144819500.0,4249.0,1220.0,2340200.0,1215.0,1098100.0,895200.0,1047700.0
762,20230207,TINS,1220.0,1215.0,1230.0,1210.0,1225.0,11127200.0,5.0,13607095000.0,1861.0,1230.0,216400.0,1225.0,1933800.0,1251300.0,818500.0
765,20230208,TINS,1225.0,1220.0,1230.0,1215.0,1220.0,8755700.0,-5.0,10677926000.0,2058.0,1225.0,265500.0,1220.0,381000.0,3113700.0,237700.0
765,20230209,TINS,1220.0,1220.0,1230.0,1200.0,1210.0,13312800.0,-10.0,16168860000.0,2540.0,1215.0,38000.0,1210.0,104100.0,2743100.0,359100.0
765,20230210,TINS,1210.0,1220.0,1225.0,1190.0,1210.0,11773900.0,0.0,14155894000.0,2560.0,1215.0,52500.0,1210.0,51200.0,1672200.0,1897600.0
765,20230213,TINS,1210.0,1200.0,1220.0,1200.0,1210.0,3476800.0,0.0,4207193000.0,1286.0,1210.0,96600.0,1205.0,673600.0,754300.0,820300.0
765,20230214,TINS,1210.0,1210.0,1220.0,1205.0,1210.0,5361100.0,0.0,6494766000.0,1632.0,1210.0,16400.0,1205.0,1873400.0,1199500.0,1203600.0
765,20230215,TINS,1210.0,1210.0,1220.0,1205.0,1210.0,4283900.0,0.0,5186065000.0,1194.0,1210.0,56000.0,1205.0,955100.0,1357600.0,1019400.0
766,20230216,TINS,1210.0,1215.0,1215.0,1195.0,1205.0,6047300.0,-5.0,7262435500.0,1854.0,1205.0,5800.0,1200.0,35000.0,733300.0,931900.0
766,20230217,TINS,1205.0,1200.0,1215.0,1170.0,1200.0,10163500.0,-5.0,12164360500.0,1905.0,1200.0,40000.0,1195.0,358500.0,964700.0,1633400.0
766,20230220,TINS,1200.0,1200.0,1205.0,1180.0,1200.0,3798000.0,0.0,4522460500.0,1730.0,1200.0,681300.0,1195.0,200300.0,341200.0,618800.0
766,20230221,TINS,1200.0,1210.0,1215.0,1190.0,1190.0,6651200.0,-10.0,7999643500.0,1693.0,1200.0,217600.0,1190.0,591400.0,367100.0,1126800.0
766,20230222,TINS,1190.0,1190.0,1200.0,1180.0,1185.0,4970200.0,-5.0,5898802500.0,1955.0,1190.0,65100.0,1185.0,62700.0,892000.0,598700.0
766,20230223,TINS,1185.0,1185.0,1200.0,1180.0,1190.0,4589800.0,5.0,5461512500.0,1241.0,1190.0,9100.0,1185.0,608300.0,133600.0,1506400.0
767,20230224,TINS,1190.0,1190.0,1195.0,1185.0,1185.0,2254900.0,-5.0,2682647000.0,1137.0,1190.0,13200.0,1185.0,1727700.0,347500.0,106000.0
768,20230227,TINS,1185.0,1185.0,1195.0,1170.0,1175.0,5597600.0,-10.0,6601309000.0,1795.0,1180.0,92700.0,1175.0,472000.0,632500.0,201500.0
768,20230228,TINS,1175.0,1195.0,1195.0,1175.0,1190.0,4405300.0,15.0,5204907000.0,1288.0,1190.0,408000.0,1180.0,183900.0,487800.0,630000.0
769,20230301,TINS,1190.0,1190.0,1195.0,1170.0,1185.0,3728500.0,-5.0,4419189500.0,1361.0,1190.0,53200.0,1185.0,84300.0,1008200.0,1003100.0
769,20230302,TINS,1185.0,1185.0,1205.0,1180.0,1200.0,6315000.0,15.0,7539514500.0,1484.0,1205.0,92000.0,1200.0,1493600.0,866700.0,864800.0
