No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
752,20221230,TIRT,51.0,0.0,52.0,50.0,51.0,102000.0,0.0,5157500.0,34.0,52.0,111900.0,51.0,2200.0,0.0,0.0
752,20230102,TIRT,51.0,0.0,51.0,50.0,50.0,120100.0,-1.0,6011200.0,23.0,51.0,183700.0,50.0,651500.0,0.0,0.0
752,20230103,TIRT,50.0,0.0,51.0,50.0,51.0,338000.0,1.0,17134500.0,36.0,51.0,622400.0,50.0,852800.0,0.0,0.0
752,20230104,TIRT,51.0,0.0,51.0,50.0,50.0,762900.0,-1.0,38148500.0,24.0,51.0,183300.0,50.0,445200.0,0.0,0.0
752,20230105,TIRT,50.0,0.0,51.0,50.0,50.0,102800.0,0.0,5140700.0,27.0,50.0,2900.0,0.0,0.0,0.0,0.0
756,20230106,TIRT,50.0,0.0,51.0,50.0,50.0,13500.0,0.0,675200.0,14.0,50.0,10700.0,0.0,0.0,0.0,0.0
758,20230109,TIRT,50.0,0.0,50.0,50.0,50.0,19000.0,0.0,950000.0,21.0,50.0,314700.0,0.0,0.0,0.0,0.0
758,20230110,TIRT,50.0,0.0,50.0,50.0,50.0,57200.0,0.0,2860000.0,7.0,50.0,212800.0,0.0,0.0,0.0,0.0
759,20230111,TIRT,50.0,0.0,50.0,50.0,50.0,319300.0,0.0,15965000.0,37.0,50.0,25900.0,0.0,0.0,0.0,0.0
759,20230112,TIRT,50.0,0.0,51.0,50.0,50.0,95300.0,0.0,4765100.0,11.0,51.0,261500.0,50.0,55800.0,0.0,0.0
759,20230113,TIRT,50.0,0.0,51.0,50.0,50.0,155300.0,0.0,7765100.0,16.0,51.0,247600.0,0.0,0.0,0.0,0.0
759,20230116,TIRT,50.0,0.0,51.0,50.0,51.0,38800.0,1.0,1940400.0,16.0,51.0,228800.0,50.0,161700.0,0.0,0.0
