No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
754,20221230,TLDN,575.0,0.0,580.0,570.0,580.0,153300.0,5.0,88072000.0,69.0,580.0,150800.0,570.0,400.0,3600.0,0.0
754,20230102,TLDN,580.0,0.0,585.0,570.0,585.0,137200.0,5.0,79475000.0,74.0,585.0,126800.0,580.0,7900.0,0.0,0.0
754,20230103,TLDN,585.0,0.0,585.0,570.0,585.0,191300.0,0.0,110589000.0,102.0,585.0,87500.0,575.0,1200.0,1600.0,0.0
754,20230104,TLDN,585.0,0.0,585.0,575.0,585.0,75100.0,0.0,43883000.0,55.0,585.0,31400.0,580.0,2100.0,0.0,0.0
754,20230105,TLDN,585.0,0.0,585.0,570.0,580.0,68700.0,-5.0,39855000.0,60.0,580.0,19400.0,570.0,2600.0,500.0,0.0
758,20230106,TLDN,580.0,0.0,585.0,570.0,585.0,191600.0,5.0,111112000.0,72.0,585.0,164300.0,580.0,6200.0,0.0,0.0
760,20230109,TLDN,585.0,0.0,580.0,560.0,580.0,171600.0,-5.0,98084500.0,63.0,580.0,107400.0,575.0,1800.0,0.0,2700.0
760,20230110,TLDN,580.0,0.0,580.0,565.0,580.0,153000.0,0.0,87576500.0,94.0,580.0,162300.0,575.0,4000.0,0.0,1900.0
761,20230111,TLDN,580.0,0.0,580.0,570.0,575.0,83200.0,-5.0,47772000.0,61.0,575.0,28900.0,565.0,2200.0,0.0,0.0
761,20230112,TLDN,575.0,0.0,575.0,560.0,575.0,104600.0,0.0,59851500.0,53.0,575.0,44100.0,570.0,800.0,0.0,0.0
761,20230113,TLDN,575.0,0.0,575.0,565.0,575.0,115700.0,0.0,66354000.0,73.0,575.0,48300.0,570.0,200.0,0.0,0.0
761,20230116,TLDN,575.0,0.0,575.0,565.0,575.0,108500.0,0.0,62194000.0,65.0,575.0,55200.0,565.0,26200.0,0.0,0.0
761,20230117,TLDN,575.0,0.0,580.0,565.0,580.0,96600.0,5.0,55751500.0,60.0,580.0,185400.0,575.0,300.0,0.0,0.0
761,20230118,TLDN,580.0,0.0,580.0,570.0,580.0,115100.0,0.0,66257500.0,74.0,580.0,282400.0,575.0,8100.0,1900.0,0.0
761,20230119,TLDN,580.0,0.0,580.0,565.0,580.0,117700.0,0.0,67761500.0,71.0,580.0,1121700.0,575.0,3000.0,0.0,0.0
761,20230120,TLDN,580.0,0.0,580.0,570.0,580.0,137000.0,0.0,79180000.0,88.0,580.0,1138200.0,575.0,1600.0,0.0,800.0
762,20230124,TLDN,580.0,0.0,575.0,565.0,575.0,136200.0,-5.0,77869000.0,79.0,575.0,172000.0,570.0,500.0,2300.0,0.0
762,20230125,TLDN,575.0,0.0,580.0,565.0,580.0,113000.0,5.0,65217000.0,54.0,580.0,225700.0,575.0,800.0,0.0,0.0
762,20230126,TLDN,580.0,0.0,580.0,560.0,570.0,120700.0,-10.0,68817500.0,65.0,570.0,85500.0,565.0,14600.0,0.0,0.0
763,20230127,TLDN,570.0,0.0,580.0,570.0,570.0,63900.0,0.0,36528500.0,44.0,570.0,38600.0,565.0,3800.0,0.0,0.0
763,20230130,TLDN,570.0,0.0,575.0,560.0,565.0,142400.0,-5.0,80646500.0,46.0,565.0,36300.0,560.0,4000.0,74100.0,0.0
763,20230131,TLDN,565.0,0.0,570.0,555.0,560.0,129000.0,-5.0,72402000.0,63.0,560.0,23700.0,555.0,46200.0,0.0,0.0
764,20230201,TLDN,560.0,0.0,560.0,555.0,560.0,117000.0,0.0,65274500.0,82.0,560.0,38500.0,555.0,5900.0,0.0,0.0
764,20230202,TLDN,560.0,0.0,565.0,555.0,560.0,212300.0,0.0,118780000.0,73.0,560.0,26400.0,555.0,11100.0,0.0,100.0
764,20230203,TLDN,560.0,0.0,565.0,555.0,560.0,80700.0,0.0,45296000.0,45.0,560.0,66100.0,555.0,3100.0,0.0,0.0
765,20230206,TLDN,560.0,0.0,560.0,555.0,560.0,70000.0,0.0,39146000.0,63.0,560.0,43100.0,555.0,6100.0,0.0,100.0
766,20230207,TLDN,560.0,0.0,560.0,555.0,560.0,66100.0,0.0,36929500.0,64.0,560.0,105800.0,555.0,23200.0,0.0,0.0
769,20230208,TLDN,560.0,0.0,565.0,555.0,565.0,70300.0,5.0,39604000.0,71.0,565.0,79900.0,555.0,42200.0,0.0,0.0
769,20230209,TLDN,565.0,0.0,565.0,555.0,560.0,68700.0,-5.0,38511000.0,45.0,560.0,66300.0,555.0,28500.0,0.0,0.0
769,20230210,TLDN,560.0,0.0,560.0,530.0,560.0,91400.0,0.0,50289500.0,60.0,560.0,66100.0,555.0,1200.0,0.0,0.0
769,20230213,TLDN,560.0,0.0,560.0,555.0,560.0,73100.0,0.0,40903000.0,44.0,560.0,62700.0,555.0,13300.0,0.0,0.0
769,20230214,TLDN,560.0,0.0,560.0,545.0,560.0,53000.0,0.0,29491500.0,38.0,560.0,32100.0,555.0,1100.0,0.0,0.0
