No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
755,20221230,TLKM,3780.0,3760.0,3800.0,3750.0,3750.0,79677300.0,-30.0,300395885000.0,9410.0,3760.0,250100.0,3750.0,630100.0,62331600.0,42017500.0
755,20230102,TLKM,3750.0,3750.0,3800.0,3750.0,3800.0,10522400.0,50.0,39687918000.0,4627.0,3800.0,5089400.0,3780.0,1000.0,4699300.0,3215100.0
755,20230103,TLKM,3800.0,3790.0,3890.0,3770.0,3860.0,64297400.0,60.0,248221930000.0,11232.0,3870.0,1001700.0,3860.0,2110700.0,31025300.0,21779900.0
755,20230104,TLKM,3860.0,3840.0,3860.0,3810.0,3820.0,56942300.0,-40.0,218016958000.0,7739.0,3830.0,688500.0,3820.0,12581600.0,44737700.0,26652000.0
755,20230105,TLKM,3820.0,3800.0,3820.0,3720.0,3770.0,135167000.0,-50.0,506851892000.0,11966.0,3770.0,476600.0,3760.0,51400.0,115055300.0,65298400.0
759,20230106,TLKM,3770.0,3750.0,3770.0,3710.0,3710.0,65207400.0,-60.0,243428606000.0,10707.0,3720.0,18400.0,3710.0,152900.0,52025600.0,34366100.0
761,20230109,TLKM,3710.0,3730.0,3790.0,3730.0,3790.0,46617800.0,80.0,175289612000.0,6648.0,3790.0,795200.0,3780.0,100.0,30174100.0,29302800.0
761,20230110,TLKM,3790.0,3810.0,3850.0,3750.0,3830.0,65259000.0,40.0,248500057000.0,8439.0,3830.0,761400.0,3820.0,61600.0,45264700.0,35676100.0
762,20230111,TLKM,3830.0,3820.0,3900.0,3790.0,3870.0,93911500.0,40.0,362943421000.0,9925.0,3870.0,50100.0,3860.0,62600.0,58443300.0,59955900.0
762,20230112,TLKM,3870.0,3790.0,3900.0,3780.0,3860.0,93386300.0,-10.0,359418149000.0,10773.0,3880.0,158200.0,3860.0,1311600.0,59753100.0,50763800.0
762,20230113,TLKM,3860.0,3820.0,3860.0,3770.0,3780.0,85817100.0,-80.0,325634602000.0,11012.0,3790.0,321100.0,3780.0,1716200.0,59623200.0,47606800.0
762,20230116,TLKM,3780.0,3780.0,3850.0,3780.0,3850.0,46693300.0,70.0,178783198000.0,7295.0,3850.0,2769200.0,3840.0,9800.0,23193100.0,31223100.0
