No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
761,20221230,TOPS,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,158439000.0,0.0,0.0,0.0,0.0
761,20230102,TOPS,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,161621400.0,0.0,0.0,0.0,0.0
761,20230103,TOPS,50.0,0.0,50.0,50.0,50.0,1000.0,0.0,50000.0,2.0,50.0,198650400.0,0.0,0.0,0.0,0.0
761,20230104,TOPS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,198167700.0,0.0,0.0,0.0,0.0
761,20230105,TOPS,50.0,0.0,50.0,50.0,50.0,3200.0,0.0,160000.0,4.0,50.0,196600700.0,0.0,0.0,0.0,0.0
765,20230106,TOPS,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,187119200.0,0.0,0.0,0.0,0.0
767,20230109,TOPS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,204385600.0,0.0,0.0,0.0,0.0
767,20230110,TOPS,50.0,0.0,50.0,50.0,50.0,1659400.0,0.0,82970000.0,53.0,50.0,173942400.0,0.0,0.0,0.0,0.0
768,20230111,TOPS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,195213800.0,0.0,0.0,0.0,0.0
768,20230112,TOPS,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,1.0,50.0,196740300.0,0.0,0.0,0.0,0.0
768,20230113,TOPS,50.0,0.0,50.0,50.0,50.0,2999800.0,0.0,149990000.0,248.0,50.0,151982300.0,0.0,0.0,0.0,0.0
768,20230116,TOPS,50.0,0.0,50.0,50.0,50.0,2800.0,0.0,140000.0,4.0,50.0,193593700.0,0.0,0.0,0.0,0.0
768,20230117,TOPS,50.0,0.0,50.0,50.0,50.0,1900.0,0.0,95000.0,2.0,50.0,172748900.0,0.0,0.0,0.0,0.0
768,20230118,TOPS,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,195987200.0,0.0,0.0,0.0,0.0
768,20230119,TOPS,50.0,0.0,50.0,50.0,50.0,1200.0,0.0,60000.0,4.0,50.0,193505500.0,0.0,0.0,0.0,0.0
768,20230120,TOPS,50.0,0.0,50.0,50.0,50.0,2400.0,0.0,120000.0,2.0,50.0,198044600.0,0.0,0.0,0.0,0.0
769,20230124,TOPS,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,220266000.0,0.0,0.0,0.0,0.0
769,20230125,TOPS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,200326000.0,0.0,0.0,0.0,0.0
769,20230126,TOPS,50.0,0.0,50.0,50.0,50.0,300.0,0.0,15000.0,2.0,50.0,207052000.0,0.0,0.0,0.0,0.0
770,20230127,TOPS,50.0,0.0,50.0,50.0,50.0,3200.0,0.0,160000.0,7.0,50.0,199826000.0,0.0,0.0,0.0,0.0
770,20230130,TOPS,50.0,0.0,50.0,50.0,50.0,400.0,0.0,20000.0,4.0,50.0,200987500.0,0.0,0.0,0.0,0.0
770,20230131,TOPS,50.0,0.0,50.0,50.0,50.0,2500.0,0.0,125000.0,6.0,50.0,207881000.0,0.0,0.0,0.0,0.0
771,20230201,TOPS,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,208130700.0,0.0,0.0,0.0,0.0
771,20230202,TOPS,50.0,0.0,50.0,50.0,50.0,1000.0,0.0,50000.0,4.0,50.0,213549500.0,0.0,0.0,0.0,100.0
771,20230203,TOPS,50.0,0.0,50.0,50.0,50.0,300.0,0.0,15000.0,3.0,50.0,226304900.0,0.0,0.0,0.0,0.0
772,20230206,TOPS,50.0,0.0,50.0,50.0,50.0,20200.0,0.0,1010000.0,4.0,50.0,234102100.0,0.0,0.0,0.0,0.0
773,20230207,TOPS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,204564000.0,0.0,0.0,0.0,0.0
776,20230208,TOPS,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,199214000.0,0.0,0.0,0.0,0.0
776,20230209,TOPS,50.0,0.0,50.0,50.0,50.0,1500.0,0.0,75000.0,4.0,50.0,202529900.0,0.0,0.0,0.0,0.0
776,20230210,TOPS,50.0,0.0,50.0,50.0,50.0,700.0,0.0,35000.0,3.0,50.0,197025300.0,0.0,0.0,0.0,0.0
776,20230213,TOPS,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,179332200.0,0.0,0.0,0.0,0.0
776,20230214,TOPS,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,224285300.0,0.0,0.0,0.0,0.0
776,20230215,TOPS,50.0,0.0,50.0,50.0,50.0,14000.0,0.0,700000.0,1.0,50.0,204861800.0,0.0,0.0,0.0,0.0
777,20230216,TOPS,50.0,0.0,50.0,50.0,50.0,400.0,0.0,20000.0,2.0,50.0,221638900.0,0.0,0.0,0.0,0.0
777,20230217,TOPS,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,1.0,50.0,216322900.0,0.0,0.0,0.0,0.0
777,20230220,TOPS,50.0,0.0,50.0,50.0,50.0,600.0,0.0,30000.0,5.0,50.0,205182400.0,0.0,0.0,0.0,0.0
777,20230221,TOPS,50.0,0.0,50.0,50.0,50.0,300.0,0.0,15000.0,3.0,50.0,193843300.0,0.0,0.0,0.0,0.0
777,20230222,TOPS,50.0,0.0,50.0,50.0,50.0,2100.0,0.0,105000.0,3.0,50.0,208057700.0,0.0,0.0,0.0,0.0
777,20230223,TOPS,50.0,0.0,50.0,50.0,50.0,10200.0,0.0,510000.0,3.0,50.0,189260300.0,0.0,0.0,0.0,0.0
778,20230224,TOPS,50.0,0.0,50.0,50.0,50.0,7500.0,0.0,375000.0,4.0,50.0,192821900.0,0.0,0.0,0.0,0.0
779,20230227,TOPS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,212673100.0,0.0,0.0,0.0,0.0
779,20230228,TOPS,50.0,0.0,50.0,50.0,50.0,500.0,0.0,25000.0,2.0,50.0,212155600.0,0.0,0.0,0.0,0.0
780,20230301,TOPS,50.0,0.0,50.0,50.0,50.0,600.0,0.0,30000.0,3.0,50.0,199330100.0,0.0,0.0,0.0,0.0
780,20230302,TOPS,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,202741500.0,0.0,0.0,0.0,0.0
781,20230303,TOPS,50.0,0.0,50.0,50.0,50.0,1500.0,0.0,75000.0,3.0,50.0,203918100.0,0.0,0.0,0.0,0.0
782,20230306,TOPS,50.0,0.0,50.0,50.0,50.0,10700.0,0.0,535000.0,3.0,50.0,213591000.0,0.0,0.0,0.0,0.0
782,20230307,TOPS,50.0,0.0,50.0,50.0,50.0,600.0,0.0,30000.0,4.0,50.0,213106000.0,0.0,0.0,0.0,0.0
784,20230308,TOPS,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,209707400.0,0.0,0.0,0.0,0.0
784,20230309,TOPS,50.0,0.0,50.0,50.0,50.0,600.0,0.0,30000.0,3.0,50.0,212347500.0,0.0,0.0,0.0,0.0
785,20230310,TOPS,50.0,0.0,50.0,50.0,50.0,2000.0,0.0,100000.0,4.0,50.0,200432100.0,0.0,0.0,0.0,0.0
785,20230313,TOPS,50.0,0.0,50.0,50.0,50.0,300.0,0.0,15000.0,3.0,50.0,187815200.0,0.0,0.0,0.0,0.0
785,20230314,TOPS,50.0,0.0,50.0,50.0,50.0,300.0,0.0,15000.0,2.0,50.0,209872400.0,0.0,0.0,0.0,0.0
785,20230315,TOPS,50.0,0.0,50.0,50.0,50.0,300.0,0.0,15000.0,3.0,50.0,193354300.0,0.0,0.0,0.0,0.0
785,20230316,TOPS,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,212910800.0,0.0,0.0,0.0,0.0
785,20230317,TOPS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,195757200.0,0.0,0.0,0.0,0.0
785,20230320,TOPS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,198770600.0,0.0,0.0,0.0,0.0
785,20230321,TOPS,50.0,0.0,50.0,50.0,50.0,500.0,0.0,25000.0,3.0,50.0,200086400.0,0.0,0.0,0.0,0.0
785,20230324,TOPS,50.0,0.0,50.0,50.0,50.0,400.0,0.0,20000.0,3.0,50.0,197225100.0,0.0,0.0,0.0,0.0
785,20230327,TOPS,50.0,0.0,50.0,50.0,50.0,400.0,0.0,20000.0,2.0,50.0,213629200.0,0.0,0.0,0.0,0.0
785,20230328,TOPS,50.0,0.0,50.0,50.0,50.0,2100.0,0.0,105000.0,2.0,50.0,209373900.0,0.0,0.0,0.0,0.0
785,20230329,TOPS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,206229600.0,0.0,0.0,0.0,0.0
786,20230330,TOPS,50.0,0.0,50.0,50.0,50.0,1500.0,0.0,75000.0,3.0,50.0,189374800.0,0.0,0.0,0.0,0.0
786,20230331,TOPS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,198232800.0,0.0,0.0,0.0,0.0
786,20230403,TOPS,50.0,0.0,50.0,50.0,50.0,1000.0,0.0,50000.0,3.0,50.0,220223600.0,0.0,0.0,0.0,0.0
786,20230404,TOPS,50.0,0.0,50.0,50.0,50.0,700.0,0.0,35000.0,3.0,50.0,228493800.0,0.0,0.0,0.0,0.0
787,20230405,TOPS,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,209729600.0,0.0,0.0,0.0,0.0
787,20230406,TOPS,50.0,0.0,50.0,50.0,50.0,600.0,0.0,30000.0,3.0,50.0,191806700.0,0.0,0.0,0.0,0.0
788,20230410,TOPS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,207116100.0,0.0,0.0,0.0,0.0
788,20230411,TOPS,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,225036000.0,0.0,0.0,0.0,0.0
789,20230412,TOPS,50.0,0.0,50.0,50.0,50.0,6000.0,0.0,300000.0,3.0,50.0,224916800.0,0.0,0.0,0.0,0.0
789,20230413,TOPS,50.0,0.0,50.0,50.0,50.0,1000.0,0.0,50000.0,1.0,50.0,198558400.0,0.0,0.0,0.0,0.0
789,20230414,TOPS,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,192207300.0,0.0,0.0,0.0,0.0
789,20230417,TOPS,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,195081000.0,0.0,0.0,0.0,0.0
792,20230418,TOPS,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,188591500.0,0.0,0.0,0.0,0.0
792,20230426,TOPS,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,198647100.0,0.0,0.0,0.0,0.0
792,20230427,TOPS,50.0,0.0,50.0,50.0,50.0,600.0,0.0,30000.0,3.0,50.0,190136700.0,0.0,0.0,0.0,0.0
792,20230428,TOPS,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,186746300.0,0.0,0.0,0.0,0.0
792,20230502,TOPS,50.0,0.0,50.0,50.0,50.0,2400.0,0.0,120000.0,2.0,50.0,206325400.0,0.0,0.0,0.0,0.0
792,20230503,TOPS,50.0,0.0,50.0,50.0,50.0,2000.0,0.0,100000.0,3.0,50.0,225719500.0,0.0,0.0,0.0,0.0
792,20230504,TOPS,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,191879700.0,0.0,0.0,0.0,0.0
792,20230505,TOPS,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,222446200.0,0.0,0.0,0.0,0.0
795,20230508,TOPS,50.0,0.0,50.0,50.0,50.0,2600.0,0.0,130000.0,3.0,50.0,211128600.0,0.0,0.0,0.0,0.0
796,20230509,TOPS,50.0,0.0,50.0,50.0,50.0,2300.0,0.0,115000.0,5.0,50.0,195773200.0,0.0,0.0,0.0,0.0
796,20230510,TOPS,50.0,0.0,50.0,50.0,50.0,15000.0,0.0,750000.0,1.0,50.0,209689600.0,0.0,0.0,0.0,0.0
796,20230511,TOPS,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,201403700.0,0.0,0.0,0.0,0.0
797,20230512,TOPS,50.0,0.0,50.0,50.0,50.0,4000.0,0.0,200000.0,1.0,50.0,196521900.0,0.0,0.0,0.0,0.0
797,20230515,TOPS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,197353800.0,0.0,0.0,0.0,0.0
797,20230516,TOPS,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,205531200.0,0.0,0.0,0.0,0.0
797,20230517,TOPS,50.0,0.0,50.0,50.0,50.0,600.0,0.0,30000.0,3.0,50.0,204693900.0,0.0,0.0,0.0,0.0
797,20230519,TOPS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,210896100.0,0.0,0.0,0.0,0.0
797,20230522,TOPS,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,210281200.0,0.0,0.0,0.0,0.0
797,20230523,TOPS,50.0,0.0,50.0,50.0,50.0,10200.0,0.0,510000.0,3.0,50.0,205632000.0,0.0,0.0,0.0,0.0
797,20230524,TOPS,50.0,0.0,50.0,50.0,50.0,600.0,0.0,30000.0,2.0,50.0,207995100.0,0.0,0.0,0.0,0.0
797,20230525,TOPS,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,207618200.0,0.0,0.0,0.0,0.0
797,20230526,TOPS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,217296200.0,0.0,0.0,0.0,0.0
797,20230529,TOPS,50.0,0.0,50.0,50.0,50.0,300.0,0.0,15000.0,2.0,50.0,243839500.0,0.0,0.0,0.0,0.0
797,20230530,TOPS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,232465200.0,0.0,0.0,0.0,0.0
