No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
844,20240207,TOSK,125.0,0.0,168.0,82.0,130.0,2240376100.0,5.0,283840684500.0,119747.0,130.0,7339600.0,129.0,5000.0,5024000.0,5297400.0
847,20240212,TOSK,130.0,0.0,143.0,108.0,113.0,394427400.0,-17.0,49772931900.0,26274.0,113.0,1707400.0,112.0,2500.0,520700.0,101500.0
848,20240213,TOSK,113.0,0.0,117.0,97.0,97.0,51949100.0,-16.0,5544377900.0,5840.0,98.0,95400.0,97.0,1453000.0,34400.0,520000.0
849,20240215,TOSK,97.0,0.0,110.0,87.0,96.0,152550000.0,-1.0,15278117200.0,6998.0,97.0,10100.0,96.0,318600.0,149300.0,172600.0
849,20240216,TOSK,96.0,0.0,99.0,92.0,93.0,75351200.0,-3.0,7158992100.0,1444.0,94.0,16300.0,93.0,12800.0,12800.0,85000.0
849,20240219,TOSK,93.0,0.0,95.0,79.0,86.0,34402900.0,-7.0,2966897400.0,3751.0,86.0,228700.0,85.0,200100.0,114400.0,20800.0
849,20240220,TOSK,86.0,0.0,94.0,77.0,85.0,17233300.0,-1.0,1533813600.0,2087.0,86.0,34900.0,85.0,146700.0,92400.0,57900.0
849,20240221,TOSK,85.0,0.0,86.0,74.0,75.0,17457200.0,-10.0,1386077800.0,1927.0,75.0,716400.0,74.0,168400.0,72400.0,103800.0
849,20240222,TOSK,75.0,0.0,82.0,71.0,75.0,159325000.0,0.0,11943798900.0,3501.0,76.0,328500.0,75.0,254100.0,89300.0,57000.0
849,20240223,TOSK,75.0,0.0,97.0,75.0,81.0,117466800.0,6.0,10244455600.0,10293.0,82.0,744700.0,81.0,356900.0,107000.0,231100.0
849,20240226,TOSK,81.0,0.0,88.0,78.0,84.0,41895600.0,3.0,3502255900.0,4004.0,84.0,1156700.0,83.0,470500.0,99800.0,70900.0
849,20240227,TOSK,84.0,0.0,93.0,82.0,90.0,214007700.0,6.0,18463038400.0,7170.0,91.0,1504800.0,90.0,2324200.0,84000.0,1069300.0
849,20240228,TOSK,90.0,0.0,92.0,86.0,88.0,48059800.0,-2.0,4297884800.0,3208.0,88.0,249800.0,87.0,981900.0,131500.0,285300.0
849,20240229,TOSK,88.0,0.0,98.0,86.0,96.0,194124000.0,8.0,18066539000.0,11342.0,97.0,2465500.0,96.0,1570900.0,1282700.0,379400.0
849,20240301,TOSK,96.0,0.0,101.0,90.0,92.0,254204100.0,-4.0,24430207800.0,10972.0,92.0,2811500.0,91.0,1732700.0,428000.0,63600.0
849,20240304,TOSK,92.0,0.0,95.0,90.0,94.0,53931100.0,2.0,5025730500.0,5433.0,95.0,2662900.0,94.0,2207900.0,63600.0,200000.0
849,20240305,TOSK,94.0,0.0,100.0,94.0,100.0,79343300.0,6.0,7732365700.0,5883.0,101.0,881000.0,100.0,3423900.0,0.0,239200.0
849,20240306,TOSK,100.0,0.0,105.0,98.0,101.0,63506600.0,1.0,6368499300.0,4886.0,101.0,1752800.0,100.0,2909000.0,71800.0,63500.0
849,20240307,TOSK,101.0,0.0,116.0,100.0,112.0,303135700.0,11.0,32223090300.0,12043.0,113.0,139300.0,112.0,119000.0,899900.0,1446700.0
849,20240308,TOSK,112.0,0.0,115.0,97.0,98.0,159148500.0,-14.0,16446578900.0,9296.0,98.0,37600.0,97.0,2104000.0,1470200.0,152500.0
849,20240313,TOSK,98.0,0.0,104.0,98.0,103.0,76944000.0,5.0,7794066400.0,3639.0,104.0,833800.0,103.0,113600.0,309000.0,403200.0
849,20240314,TOSK,103.0,0.0,106.0,102.0,105.0,214410000.0,2.0,22266201500.0,5743.0,105.0,215400.0,104.0,3751700.0,527200.0,628500.0
849,20240315,TOSK,105.0,0.0,106.0,101.0,103.0,43929800.0,-2.0,4575007900.0,2317.0,103.0,1029900.0,102.0,2240100.0,115100.0,334900.0
849,20240318,TOSK,103.0,0.0,114.0,103.0,114.0,128783500.0,11.0,14033387900.0,4638.0,114.0,573700.0,113.0,1837700.0,546400.0,21554100.0
849,20240319,TOSK,114.0,0.0,120.0,108.0,120.0,211572000.0,6.0,24197183500.0,7071.0,120.0,3208300.0,119.0,2895500.0,4664400.0,15767300.0
849,20240320,TOSK,120.0,0.0,125.0,111.0,116.0,193669700.0,-4.0,22644858500.0,9016.0,116.0,761500.0,115.0,2962800.0,20116400.0,8074900.0
849,20240321,TOSK,116.0,0.0,121.0,110.0,113.0,210717700.0,-3.0,24172635400.0,6578.0,114.0,535100.0,113.0,200600.0,11545400.0,8240600.0
849,20240322,TOSK,113.0,0.0,114.0,109.0,112.0,153077600.0,-1.0,17183974200.0,3051.0,112.0,718800.0,111.0,1099900.0,3613900.0,3654600.0
849,20240325,TOSK,112.0,0.0,112.0,76.0,86.0,199545200.0,-26.0,19616521200.0,9621.0,87.0,174400.0,86.0,9400.0,13163200.0,9945600.0
849,20240326,TOSK,86.0,0.0,97.0,86.0,90.0,247077600.0,4.0,22122411400.0,7950.0,90.0,829900.0,89.0,1190200.0,12223000.0,10666500.0
849,20240327,TOSK,90.0,0.0,93.0,90.0,91.0,164188700.0,1.0,15064498800.0,2136.0,92.0,1516200.0,91.0,3004600.0,4360000.0,4627100.0
849,20240328,TOSK,91.0,0.0,92.0,88.0,88.0,128954600.0,-3.0,11677728800.0,1873.0,89.0,340800.0,88.0,3800.0,2938900.0,1683000.0
850,20240401,TOSK,88.0,0.0,93.0,87.0,89.0,77073400.0,1.0,6895953900.0,2506.0,89.0,966100.0,88.0,12400.0,1870600.0,3129800.0
